time,open,high,low,close,volume,ticker,llm_text
2023-09-27 13:00:00,15.6,15.6,15.6,15.6,200,DNM,"At 2023-09-27 13:00:00, the stock DNM opened at 15.60 VND, reached a high of 15.60 VND, a low of 15.60 VND, and closed the hour at 15.60 VND with a trading volume of 200 shares."
2023-09-28 09:00:00,15.6,15.6,15.6,15.6,300,DNM,"At 2023-09-28 09:00:00, the stock DNM opened at 15.60 VND, reached a high of 15.60 VND, a low of 15.60 VND, and closed the hour at 15.60 VND with a trading volume of 300 shares."
2023-10-16 09:00:00,15.9,15.9,15.9,15.9,100,DNM,"At 2023-10-16 09:00:00, the stock DNM opened at 15.90 VND, reached a high of 15.90 VND, a low of 15.90 VND, and closed the hour at 15.90 VND with a trading volume of 100 shares."
2023-10-24 09:00:00,16.0,16.0,16.0,16.0,100,DNM,"At 2023-10-24 09:00:00, the stock DNM opened at 16.00 VND, reached a high of 16.00 VND, a low of 16.00 VND, and closed the hour at 16.00 VND with a trading volume of 100 shares."
2023-11-01 09:00:00,16.9,16.9,16.9,16.9,100,DNM,"At 2023-11-01 09:00:00, the stock DNM opened at 16.90 VND, reached a high of 16.90 VND, a low of 16.90 VND, and closed the hour at 16.90 VND with a trading volume of 100 shares."
2023-11-02 09:00:00,17.2,17.2,17.2,17.2,100,DNM,"At 2023-11-02 09:00:00, the stock DNM opened at 17.20 VND, reached a high of 17.20 VND, a low of 17.20 VND, and closed the hour at 17.20 VND with a trading volume of 100 shares."
2023-11-14 09:00:00,17.9,17.9,17.9,17.9,100,DNM,"At 2023-11-14 09:00:00, the stock DNM opened at 17.90 VND, reached a high of 17.90 VND, a low of 17.90 VND, and closed the hour at 17.90 VND with a trading volume of 100 shares."
2023-11-15 13:00:00,17.8,17.8,17.8,17.8,100,DNM,"At 2023-11-15 13:00:00, the stock DNM opened at 17.80 VND, reached a high of 17.80 VND, a low of 17.80 VND, and closed the hour at 17.80 VND with a trading volume of 100 shares."
2023-11-23 09:00:00,15.2,17.7,15.2,17.0,500,DNM,"At 2023-11-23 09:00:00, the stock DNM opened at 15.20 VND, reached a high of 17.70 VND, a low of 15.20 VND, and closed the hour at 17.00 VND with a trading volume of 500 shares."
2023-11-29 09:00:00,17.3,17.3,17.3,17.3,100,DNM,"At 2023-11-29 09:00:00, the stock DNM opened at 17.30 VND, reached a high of 17.30 VND, a low of 17.30 VND, and closed the hour at 17.30 VND with a trading volume of 100 shares."
2023-12-04 09:00:00,17.7,17.7,17.7,17.7,100,DNM,"At 2023-12-04 09:00:00, the stock DNM opened at 17.70 VND, reached a high of 17.70 VND, a low of 17.70 VND, and closed the hour at 17.70 VND with a trading volume of 100 shares."
