time,open,high,low,close,volume,ticker,llm_text
2025-09-10 14:00:00,43.0,43.15,42.9,42.95,210100,DPG,"At 2025-09-10 14:00:00, the stock DPG opened at 43.00 VND, reached a high of 43.15 VND, a low of 42.90 VND, and closed the hour at 42.95 VND with a trading volume of 210,100 shares."
2025-09-11 09:00:00,42.75,42.8,42.0,42.15,373700,DPG,"At 2025-09-11 09:00:00, the stock DPG opened at 42.75 VND, reached a high of 42.80 VND, a low of 42.00 VND, and closed the hour at 42.15 VND with a trading volume of 373,700 shares."
2025-09-11 10:00:00,42.15,42.75,42.05,42.65,505100,DPG,"At 2025-09-11 10:00:00, the stock DPG opened at 42.15 VND, reached a high of 42.75 VND, a low of 42.05 VND, and closed the hour at 42.65 VND with a trading volume of 505,100 shares."
2025-09-11 11:00:00,42.65,43.3,42.55,43.2,209300,DPG,"At 2025-09-11 11:00:00, the stock DPG opened at 42.65 VND, reached a high of 43.30 VND, a low of 42.55 VND, and closed the hour at 43.20 VND with a trading volume of 209,300 shares."
2025-09-11 13:00:00,43.1,43.65,43.0,43.6,498000,DPG,"At 2025-09-11 13:00:00, the stock DPG opened at 43.10 VND, reached a high of 43.65 VND, a low of 43.00 VND, and closed the hour at 43.60 VND with a trading volume of 498,000 shares."
2025-09-11 14:00:00,43.6,44.0,43.55,43.95,378400,DPG,"At 2025-09-11 14:00:00, the stock DPG opened at 43.60 VND, reached a high of 44.00 VND, a low of 43.55 VND, and closed the hour at 43.95 VND with a trading volume of 378,400 shares."
2025-09-12 09:00:00,44.45,45.15,44.0,44.65,524100,DPG,"At 2025-09-12 09:00:00, the stock DPG opened at 44.45 VND, reached a high of 45.15 VND, a low of 44.00 VND, and closed the hour at 44.65 VND with a trading volume of 524,100 shares."
2025-09-12 10:00:00,44.65,44.7,44.4,44.55,149600,DPG,"At 2025-09-12 10:00:00, the stock DPG opened at 44.65 VND, reached a high of 44.70 VND, a low of 44.40 VND, and closed the hour at 44.55 VND with a trading volume of 149,600 shares."
2025-09-12 11:00:00,44.55,44.6,44.3,44.3,44700,DPG,"At 2025-09-12 11:00:00, the stock DPG opened at 44.55 VND, reached a high of 44.60 VND, a low of 44.30 VND, and closed the hour at 44.30 VND with a trading volume of 44,700 shares."
2025-09-12 13:00:00,44.3,44.6,44.25,44.55,146400,DPG,"At 2025-09-12 13:00:00, the stock DPG opened at 44.30 VND, reached a high of 44.60 VND, a low of 44.25 VND, and closed the hour at 44.55 VND with a trading volume of 146,400 shares."
2025-09-12 14:00:00,44.55,44.6,44.0,44.25,153000,DPG,"At 2025-09-12 14:00:00, the stock DPG opened at 44.55 VND, reached a high of 44.60 VND, a low of 44.00 VND, and closed the hour at 44.25 VND with a trading volume of 153,000 shares."
2025-09-15 09:00:00,44.25,44.7,44.1,44.6,157800,DPG,"At 2025-09-15 09:00:00, the stock DPG opened at 44.25 VND, reached a high of 44.70 VND, a low of 44.10 VND, and closed the hour at 44.60 VND with a trading volume of 157,800 shares."
2025-09-15 10:00:00,44.6,44.6,44.45,44.6,179600,DPG,"At 2025-09-15 10:00:00, the stock DPG opened at 44.60 VND, reached a high of 44.60 VND, a low of 44.45 VND, and closed the hour at 44.60 VND with a trading volume of 179,600 shares."
2025-09-15 11:00:00,44.6,45.2,44.6,45.0,489200,DPG,"At 2025-09-15 11:00:00, the stock DPG opened at 44.60 VND, reached a high of 45.20 VND, a low of 44.60 VND, and closed the hour at 45.00 VND with a trading volume of 489,200 shares."
2025-09-15 13:00:00,45.0,45.6,44.8,45.3,1011000,DPG,"At 2025-09-15 13:00:00, the stock DPG opened at 45.00 VND, reached a high of 45.60 VND, a low of 44.80 VND, and closed the hour at 45.30 VND with a trading volume of 1,011,000 shares."
2025-09-15 14:00:00,45.35,47.1,45.35,46.95,1880400,DPG,"At 2025-09-15 14:00:00, the stock DPG opened at 45.35 VND, reached a high of 47.10 VND, a low of 45.35 VND, and closed the hour at 46.95 VND with a trading volume of 1,880,400 shares."
2025-09-16 09:00:00,47.5,47.5,46.1,46.35,729000,DPG,"At 2025-09-16 09:00:00, the stock DPG opened at 47.50 VND, reached a high of 47.50 VND, a low of 46.10 VND, and closed the hour at 46.35 VND with a trading volume of 729,000 shares."
2025-09-16 10:00:00,46.35,46.4,46.2,46.2,364000,DPG,"At 2025-09-16 10:00:00, the stock DPG opened at 46.35 VND, reached a high of 46.40 VND, a low of 46.20 VND, and closed the hour at 46.20 VND with a trading volume of 364,000 shares."
2025-09-16 11:00:00,46.3,46.3,46.15,46.15,78600,DPG,"At 2025-09-16 11:00:00, the stock DPG opened at 46.30 VND, reached a high of 46.30 VND, a low of 46.15 VND, and closed the hour at 46.15 VND with a trading volume of 78,600 shares."
2025-09-16 13:00:00,46.15,46.35,46.05,46.05,319700,DPG,"At 2025-09-16 13:00:00, the stock DPG opened at 46.15 VND, reached a high of 46.35 VND, a low of 46.05 VND, and closed the hour at 46.05 VND with a trading volume of 319,700 shares."
2025-09-16 14:00:00,46.05,46.05,45.4,45.6,607300,DPG,"At 2025-09-16 14:00:00, the stock DPG opened at 46.05 VND, reached a high of 46.05 VND, a low of 45.40 VND, and closed the hour at 45.60 VND with a trading volume of 607,300 shares."
2025-09-17 09:00:00,45.45,46.0,45.4,45.9,176100,DPG,"At 2025-09-17 09:00:00, the stock DPG opened at 45.45 VND, reached a high of 46.00 VND, a low of 45.40 VND, and closed the hour at 45.90 VND with a trading volume of 176,100 shares."
2025-09-17 10:00:00,45.95,45.95,45.75,45.85,175900,DPG,"At 2025-09-17 10:00:00, the stock DPG opened at 45.95 VND, reached a high of 45.95 VND, a low of 45.75 VND, and closed the hour at 45.85 VND with a trading volume of 175,900 shares."
2025-09-17 11:00:00,45.85,45.85,45.75,45.8,71000,DPG,"At 2025-09-17 11:00:00, the stock DPG opened at 45.85 VND, reached a high of 45.85 VND, a low of 45.75 VND, and closed the hour at 45.80 VND with a trading volume of 71,000 shares."
2025-09-17 13:00:00,45.75,45.85,45.05,45.25,489000,DPG,"At 2025-09-17 13:00:00, the stock DPG opened at 45.75 VND, reached a high of 45.85 VND, a low of 45.05 VND, and closed the hour at 45.25 VND with a trading volume of 489,000 shares."
2025-09-17 14:00:00,45.2,45.2,44.8,44.8,381100,DPG,"At 2025-09-17 14:00:00, the stock DPG opened at 45.20 VND, reached a high of 45.20 VND, a low of 44.80 VND, and closed the hour at 44.80 VND with a trading volume of 381,100 shares."
2025-09-18 09:00:00,44.8,44.95,44.0,44.1,281000,DPG,"At 2025-09-18 09:00:00, the stock DPG opened at 44.80 VND, reached a high of 44.95 VND, a low of 44.00 VND, and closed the hour at 44.10 VND with a trading volume of 281,000 shares."
2025-09-18 10:00:00,44.0,45.4,44.0,44.85,226100,DPG,"At 2025-09-18 10:00:00, the stock DPG opened at 44.00 VND, reached a high of 45.40 VND, a low of 44.00 VND, and closed the hour at 44.85 VND with a trading volume of 226,100 shares."
2025-09-18 11:00:00,44.85,44.95,44.8,44.95,59000,DPG,"At 2025-09-18 11:00:00, the stock DPG opened at 44.85 VND, reached a high of 44.95 VND, a low of 44.80 VND, and closed the hour at 44.95 VND with a trading volume of 59,000 shares."
2025-09-18 13:00:00,44.95,45.0,44.55,44.95,206900,DPG,"At 2025-09-18 13:00:00, the stock DPG opened at 44.95 VND, reached a high of 45.00 VND, a low of 44.55 VND, and closed the hour at 44.95 VND with a trading volume of 206,900 shares."
2025-09-18 14:00:00,44.95,45.1,44.75,44.8,240200,DPG,"At 2025-09-18 14:00:00, the stock DPG opened at 44.95 VND, reached a high of 45.10 VND, a low of 44.75 VND, and closed the hour at 44.80 VND with a trading volume of 240,200 shares."
2025-09-19 09:00:00,45.3,45.75,44.8,45.35,352200,DPG,"At 2025-09-19 09:00:00, the stock DPG opened at 45.30 VND, reached a high of 45.75 VND, a low of 44.80 VND, and closed the hour at 45.35 VND with a trading volume of 352,200 shares."
2025-09-19 10:00:00,45.4,46.0,45.35,45.6,308500,DPG,"At 2025-09-19 10:00:00, the stock DPG opened at 45.40 VND, reached a high of 46.00 VND, a low of 45.35 VND, and closed the hour at 45.60 VND with a trading volume of 308,500 shares."
2025-09-19 11:00:00,45.6,45.6,45.3,45.45,123900,DPG,"At 2025-09-19 11:00:00, the stock DPG opened at 45.60 VND, reached a high of 45.60 VND, a low of 45.30 VND, and closed the hour at 45.45 VND with a trading volume of 123,900 shares."
2025-09-19 13:00:00,45.4,45.65,45.25,45.6,247500,DPG,"At 2025-09-19 13:00:00, the stock DPG opened at 45.40 VND, reached a high of 45.65 VND, a low of 45.25 VND, and closed the hour at 45.60 VND with a trading volume of 247,500 shares."
2025-09-19 14:00:00,45.6,46.05,45.6,45.6,532500,DPG,"At 2025-09-19 14:00:00, the stock DPG opened at 45.60 VND, reached a high of 46.05 VND, a low of 45.60 VND, and closed the hour at 45.60 VND with a trading volume of 532,500 shares."
2025-09-22 09:00:00,46.0,46.3,45.6,45.95,301400,DPG,"At 2025-09-22 09:00:00, the stock DPG opened at 46.00 VND, reached a high of 46.30 VND, a low of 45.60 VND, and closed the hour at 45.95 VND with a trading volume of 301,400 shares."
2025-09-22 10:00:00,45.9,46.2,45.6,46.0,323500,DPG,"At 2025-09-22 10:00:00, the stock DPG opened at 45.90 VND, reached a high of 46.20 VND, a low of 45.60 VND, and closed the hour at 46.00 VND with a trading volume of 323,500 shares."
2025-09-22 11:00:00,46.0,46.0,45.5,45.6,143000,DPG,"At 2025-09-22 11:00:00, the stock DPG opened at 46.00 VND, reached a high of 46.00 VND, a low of 45.50 VND, and closed the hour at 45.60 VND with a trading volume of 143,000 shares."
2025-09-22 13:00:00,45.55,45.6,44.0,44.5,400600,DPG,"At 2025-09-22 13:00:00, the stock DPG opened at 45.55 VND, reached a high of 45.60 VND, a low of 44.00 VND, and closed the hour at 44.50 VND with a trading volume of 400,600 shares."
2025-09-22 14:00:00,44.6,45.3,44.2,44.85,215000,DPG,"At 2025-09-22 14:00:00, the stock DPG opened at 44.60 VND, reached a high of 45.30 VND, a low of 44.20 VND, and closed the hour at 44.85 VND with a trading volume of 215,000 shares."
2025-09-23 09:00:00,45.4,45.4,44.65,44.85,106000,DPG,"At 2025-09-23 09:00:00, the stock DPG opened at 45.40 VND, reached a high of 45.40 VND, a low of 44.65 VND, and closed the hour at 44.85 VND with a trading volume of 106,000 shares."
2025-09-23 10:00:00,44.95,45.2,44.9,45.1,56200,DPG,"At 2025-09-23 10:00:00, the stock DPG opened at 44.95 VND, reached a high of 45.20 VND, a low of 44.90 VND, and closed the hour at 45.10 VND with a trading volume of 56,200 shares."
2025-09-23 11:00:00,45.1,45.2,45.1,45.2,30100,DPG,"At 2025-09-23 11:00:00, the stock DPG opened at 45.10 VND, reached a high of 45.20 VND, a low of 45.10 VND, and closed the hour at 45.20 VND with a trading volume of 30,100 shares."
2025-09-23 13:00:00,45.2,45.6,45.1,45.5,390200,DPG,"At 2025-09-23 13:00:00, the stock DPG opened at 45.20 VND, reached a high of 45.60 VND, a low of 45.10 VND, and closed the hour at 45.50 VND with a trading volume of 390,200 shares."
2025-09-23 14:00:00,45.55,45.85,45.3,45.5,361200,DPG,"At 2025-09-23 14:00:00, the stock DPG opened at 45.55 VND, reached a high of 45.85 VND, a low of 45.30 VND, and closed the hour at 45.50 VND with a trading volume of 361,200 shares."
2025-09-24 09:00:00,45.7,46.75,45.5,46.3,725700,DPG,"At 2025-09-24 09:00:00, the stock DPG opened at 45.70 VND, reached a high of 46.75 VND, a low of 45.50 VND, and closed the hour at 46.30 VND with a trading volume of 725,700 shares."
2025-09-24 10:00:00,46.3,46.5,46.1,46.2,410400,DPG,"At 2025-09-24 10:00:00, the stock DPG opened at 46.30 VND, reached a high of 46.50 VND, a low of 46.10 VND, and closed the hour at 46.20 VND with a trading volume of 410,400 shares."
2025-09-24 11:00:00,46.2,46.2,45.9,46.05,88000,DPG,"At 2025-09-24 11:00:00, the stock DPG opened at 46.20 VND, reached a high of 46.20 VND, a low of 45.90 VND, and closed the hour at 46.05 VND with a trading volume of 88,000 shares."
2025-09-24 13:00:00,46.0,46.15,45.6,45.95,397900,DPG,"At 2025-09-24 13:00:00, the stock DPG opened at 46.00 VND, reached a high of 46.15 VND, a low of 45.60 VND, and closed the hour at 45.95 VND with a trading volume of 397,900 shares."
2025-09-24 14:00:00,45.95,46.4,45.95,46.35,379500,DPG,"At 2025-09-24 14:00:00, the stock DPG opened at 45.95 VND, reached a high of 46.40 VND, a low of 45.95 VND, and closed the hour at 46.35 VND with a trading volume of 379,500 shares."
2025-09-25 09:00:00,46.35,47.5,46.35,47.3,875500,DPG,"At 2025-09-25 09:00:00, the stock DPG opened at 46.35 VND, reached a high of 47.50 VND, a low of 46.35 VND, and closed the hour at 47.30 VND with a trading volume of 875,500 shares."
2025-09-25 10:00:00,47.3,47.3,46.7,46.75,280900,DPG,"At 2025-09-25 10:00:00, the stock DPG opened at 47.30 VND, reached a high of 47.30 VND, a low of 46.70 VND, and closed the hour at 46.75 VND with a trading volume of 280,900 shares."
2025-09-25 11:00:00,46.75,46.8,46.7,46.8,17100,DPG,"At 2025-09-25 11:00:00, the stock DPG opened at 46.75 VND, reached a high of 46.80 VND, a low of 46.70 VND, and closed the hour at 46.80 VND with a trading volume of 17,100 shares."
2025-09-25 13:00:00,46.8,47.0,46.5,47.0,598000,DPG,"At 2025-09-25 13:00:00, the stock DPG opened at 46.80 VND, reached a high of 47.00 VND, a low of 46.50 VND, and closed the hour at 47.00 VND with a trading volume of 598,000 shares."
2025-09-25 14:00:00,47.0,48.2,46.95,47.3,1417900,DPG,"At 2025-09-25 14:00:00, the stock DPG opened at 47.00 VND, reached a high of 48.20 VND, a low of 46.95 VND, and closed the hour at 47.30 VND with a trading volume of 1,417,900 shares."
2025-09-26 09:00:00,47.3,47.3,46.85,46.9,180500,DPG,"At 2025-09-26 09:00:00, the stock DPG opened at 47.30 VND, reached a high of 47.30 VND, a low of 46.85 VND, and closed the hour at 46.90 VND with a trading volume of 180,500 shares."
2025-09-26 10:00:00,46.9,47.0,46.75,46.75,266500,DPG,"At 2025-09-26 10:00:00, the stock DPG opened at 46.90 VND, reached a high of 47.00 VND, a low of 46.75 VND, and closed the hour at 46.75 VND with a trading volume of 266,500 shares."
2025-09-26 11:00:00,46.75,46.75,46.5,46.65,162100,DPG,"At 2025-09-26 11:00:00, the stock DPG opened at 46.75 VND, reached a high of 46.75 VND, a low of 46.50 VND, and closed the hour at 46.65 VND with a trading volume of 162,100 shares."
2025-09-26 13:00:00,46.6,47.1,46.4,47.0,497700,DPG,"At 2025-09-26 13:00:00, the stock DPG opened at 46.60 VND, reached a high of 47.10 VND, a low of 46.40 VND, and closed the hour at 47.00 VND with a trading volume of 497,700 shares."
2025-09-26 14:00:00,47.0,47.0,46.0,46.0,549500,DPG,"At 2025-09-26 14:00:00, the stock DPG opened at 47.00 VND, reached a high of 47.00 VND, a low of 46.00 VND, and closed the hour at 46.00 VND with a trading volume of 549,500 shares."
2025-09-29 09:00:00,45.8,47.15,45.5,46.65,411700,DPG,"At 2025-09-29 09:00:00, the stock DPG opened at 45.80 VND, reached a high of 47.15 VND, a low of 45.50 VND, and closed the hour at 46.65 VND with a trading volume of 411,700 shares."
2025-09-29 10:00:00,46.6,46.6,46.3,46.4,190100,DPG,"At 2025-09-29 10:00:00, the stock DPG opened at 46.60 VND, reached a high of 46.60 VND, a low of 46.30 VND, and closed the hour at 46.40 VND with a trading volume of 190,100 shares."
2025-09-29 11:00:00,46.4,46.45,46.0,46.05,116100,DPG,"At 2025-09-29 11:00:00, the stock DPG opened at 46.40 VND, reached a high of 46.45 VND, a low of 46.00 VND, and closed the hour at 46.05 VND with a trading volume of 116,100 shares."
2025-09-29 13:00:00,46.05,46.4,45.75,45.95,306500,DPG,"At 2025-09-29 13:00:00, the stock DPG opened at 46.05 VND, reached a high of 46.40 VND, a low of 45.75 VND, and closed the hour at 45.95 VND with a trading volume of 306,500 shares."
2025-09-29 14:00:00,45.95,46.0,45.5,45.5,320900,DPG,"At 2025-09-29 14:00:00, the stock DPG opened at 45.95 VND, reached a high of 46.00 VND, a low of 45.50 VND, and closed the hour at 45.50 VND with a trading volume of 320,900 shares."
2025-09-30 09:00:00,45.6,45.6,45.2,45.25,246500,DPG,"At 2025-09-30 09:00:00, the stock DPG opened at 45.60 VND, reached a high of 45.60 VND, a low of 45.20 VND, and closed the hour at 45.25 VND with a trading volume of 246,500 shares."
2025-09-30 10:00:00,45.25,46.05,44.1,44.7,557100,DPG,"At 2025-09-30 10:00:00, the stock DPG opened at 45.25 VND, reached a high of 46.05 VND, a low of 44.10 VND, and closed the hour at 44.70 VND with a trading volume of 557,100 shares."
2025-09-30 11:00:00,44.7,44.95,44.5,44.65,174300,DPG,"At 2025-09-30 11:00:00, the stock DPG opened at 44.70 VND, reached a high of 44.95 VND, a low of 44.50 VND, and closed the hour at 44.65 VND with a trading volume of 174,300 shares."
2025-09-30 13:00:00,44.65,45.15,44.3,45.1,353300,DPG,"At 2025-09-30 13:00:00, the stock DPG opened at 44.65 VND, reached a high of 45.15 VND, a low of 44.30 VND, and closed the hour at 45.10 VND with a trading volume of 353,300 shares."
2025-09-30 14:00:00,45.1,45.5,44.8,45.5,136800,DPG,"At 2025-09-30 14:00:00, the stock DPG opened at 45.10 VND, reached a high of 45.50 VND, a low of 44.80 VND, and closed the hour at 45.50 VND with a trading volume of 136,800 shares."
2025-10-01 09:00:00,45.5,45.85,45.2,45.35,70100,DPG,"At 2025-10-01 09:00:00, the stock DPG opened at 45.50 VND, reached a high of 45.85 VND, a low of 45.20 VND, and closed the hour at 45.35 VND with a trading volume of 70,100 shares."
2025-10-01 10:00:00,45.3,45.45,45.2,45.35,89300,DPG,"At 2025-10-01 10:00:00, the stock DPG opened at 45.30 VND, reached a high of 45.45 VND, a low of 45.20 VND, and closed the hour at 45.35 VND with a trading volume of 89,300 shares."
2025-10-01 11:00:00,45.3,45.35,45.25,45.3,31500,DPG,"At 2025-10-01 11:00:00, the stock DPG opened at 45.30 VND, reached a high of 45.35 VND, a low of 45.25 VND, and closed the hour at 45.30 VND with a trading volume of 31,500 shares."
2025-10-01 13:00:00,45.25,45.65,45.25,45.55,182800,DPG,"At 2025-10-01 13:00:00, the stock DPG opened at 45.25 VND, reached a high of 45.65 VND, a low of 45.25 VND, and closed the hour at 45.55 VND with a trading volume of 182,800 shares."
2025-10-01 14:00:00,45.55,45.75,45.35,45.55,184100,DPG,"At 2025-10-01 14:00:00, the stock DPG opened at 45.55 VND, reached a high of 45.75 VND, a low of 45.35 VND, and closed the hour at 45.55 VND with a trading volume of 184,100 shares."
2025-10-02 09:00:00,45.55,46.6,45.55,46.45,365400,DPG,"At 2025-10-02 09:00:00, the stock DPG opened at 45.55 VND, reached a high of 46.60 VND, a low of 45.55 VND, and closed the hour at 46.45 VND with a trading volume of 365,400 shares."
2025-10-02 10:00:00,46.45,46.45,45.9,45.9,195500,DPG,"At 2025-10-02 10:00:00, the stock DPG opened at 46.45 VND, reached a high of 46.45 VND, a low of 45.90 VND, and closed the hour at 45.90 VND with a trading volume of 195,500 shares."
2025-10-02 11:00:00,46.0,46.1,45.85,45.9,72200,DPG,"At 2025-10-02 11:00:00, the stock DPG opened at 46.00 VND, reached a high of 46.10 VND, a low of 45.85 VND, and closed the hour at 45.90 VND with a trading volume of 72,200 shares."
2025-10-02 13:00:00,45.85,45.9,45.65,45.65,170900,DPG,"At 2025-10-02 13:00:00, the stock DPG opened at 45.85 VND, reached a high of 45.90 VND, a low of 45.65 VND, and closed the hour at 45.65 VND with a trading volume of 170,900 shares."
