time,open,high,low,close,volume,ticker,llm_text
2025-08-11 10:00:00,11.3,11.3,11.1,11.1,6100,EVE,"At 2025-08-11 10:00:00, the stock EVE opened at 11.30 VND, reached a high of 11.30 VND, a low of 11.10 VND, and closed the hour at 11.10 VND with a trading volume of 6,100 shares."
2025-08-11 11:00:00,11.25,11.25,11.1,11.15,10300,EVE,"At 2025-08-11 11:00:00, the stock EVE opened at 11.25 VND, reached a high of 11.25 VND, a low of 11.10 VND, and closed the hour at 11.15 VND with a trading volume of 10,300 shares."
2025-08-11 13:00:00,11.15,11.2,11.1,11.2,10100,EVE,"At 2025-08-11 13:00:00, the stock EVE opened at 11.15 VND, reached a high of 11.20 VND, a low of 11.10 VND, and closed the hour at 11.20 VND with a trading volume of 10,100 shares."
2025-08-11 14:00:00,11.2,11.2,11.15,11.15,2300,EVE,"At 2025-08-11 14:00:00, the stock EVE opened at 11.20 VND, reached a high of 11.20 VND, a low of 11.15 VND, and closed the hour at 11.15 VND with a trading volume of 2,300 shares."
2025-08-12 09:00:00,11.15,11.3,11.15,11.2,16400,EVE,"At 2025-08-12 09:00:00, the stock EVE opened at 11.15 VND, reached a high of 11.30 VND, a low of 11.15 VND, and closed the hour at 11.20 VND with a trading volume of 16,400 shares."
2025-08-12 10:00:00,11.2,11.2,11.15,11.15,22000,EVE,"At 2025-08-12 10:00:00, the stock EVE opened at 11.20 VND, reached a high of 11.20 VND, a low of 11.15 VND, and closed the hour at 11.15 VND with a trading volume of 22,000 shares."
2025-08-12 11:00:00,11.2,11.25,11.1,11.1,26100,EVE,"At 2025-08-12 11:00:00, the stock EVE opened at 11.20 VND, reached a high of 11.25 VND, a low of 11.10 VND, and closed the hour at 11.10 VND with a trading volume of 26,100 shares."
2025-08-12 13:00:00,11.1,11.15,11.1,11.15,13000,EVE,"At 2025-08-12 13:00:00, the stock EVE opened at 11.10 VND, reached a high of 11.15 VND, a low of 11.10 VND, and closed the hour at 11.15 VND with a trading volume of 13,000 shares."
2025-08-12 14:00:00,11.2,11.2,11.15,11.15,13400,EVE,"At 2025-08-12 14:00:00, the stock EVE opened at 11.20 VND, reached a high of 11.20 VND, a low of 11.15 VND, and closed the hour at 11.15 VND with a trading volume of 13,400 shares."
2025-08-13 09:00:00,11.0,11.2,11.0,11.15,24400,EVE,"At 2025-08-13 09:00:00, the stock EVE opened at 11.00 VND, reached a high of 11.20 VND, a low of 11.00 VND, and closed the hour at 11.15 VND with a trading volume of 24,400 shares."
2025-08-13 10:00:00,11.15,11.15,10.85,11.15,67800,EVE,"At 2025-08-13 10:00:00, the stock EVE opened at 11.15 VND, reached a high of 11.15 VND, a low of 10.85 VND, and closed the hour at 11.15 VND with a trading volume of 67,800 shares."
2025-08-13 11:00:00,11.15,11.15,11.15,11.15,2000,EVE,"At 2025-08-13 11:00:00, the stock EVE opened at 11.15 VND, reached a high of 11.15 VND, a low of 11.15 VND, and closed the hour at 11.15 VND with a trading volume of 2,000 shares."
2025-08-13 13:00:00,11.15,11.15,11.15,11.15,800,EVE,"At 2025-08-13 13:00:00, the stock EVE opened at 11.15 VND, reached a high of 11.15 VND, a low of 11.15 VND, and closed the hour at 11.15 VND with a trading volume of 800 shares."
2025-08-13 14:00:00,11.15,11.15,11.15,11.15,10800,EVE,"At 2025-08-13 14:00:00, the stock EVE opened at 11.15 VND, reached a high of 11.15 VND, a low of 11.15 VND, and closed the hour at 11.15 VND with a trading volume of 10,800 shares."
2025-08-14 09:00:00,11.15,11.4,11.1,11.2,15300,EVE,"At 2025-08-14 09:00:00, the stock EVE opened at 11.15 VND, reached a high of 11.40 VND, a low of 11.10 VND, and closed the hour at 11.20 VND with a trading volume of 15,300 shares."
2025-08-14 10:00:00,11.2,11.25,11.2,11.25,35700,EVE,"At 2025-08-14 10:00:00, the stock EVE opened at 11.20 VND, reached a high of 11.25 VND, a low of 11.20 VND, and closed the hour at 11.25 VND with a trading volume of 35,700 shares."
2025-08-14 11:00:00,11.25,11.35,11.2,11.3,48800,EVE,"At 2025-08-14 11:00:00, the stock EVE opened at 11.25 VND, reached a high of 11.35 VND, a low of 11.20 VND, and closed the hour at 11.30 VND with a trading volume of 48,800 shares."
2025-08-14 13:00:00,11.3,11.6,11.3,11.5,128100,EVE,"At 2025-08-14 13:00:00, the stock EVE opened at 11.30 VND, reached a high of 11.60 VND, a low of 11.30 VND, and closed the hour at 11.50 VND with a trading volume of 128,100 shares."
2025-08-14 14:00:00,11.5,11.55,11.45,11.45,27400,EVE,"At 2025-08-14 14:00:00, the stock EVE opened at 11.50 VND, reached a high of 11.55 VND, a low of 11.45 VND, and closed the hour at 11.45 VND with a trading volume of 27,400 shares."
2025-08-15 09:00:00,11.35,11.65,11.35,11.55,13800,EVE,"At 2025-08-15 09:00:00, the stock EVE opened at 11.35 VND, reached a high of 11.65 VND, a low of 11.35 VND, and closed the hour at 11.55 VND with a trading volume of 13,800 shares."
2025-08-15 10:00:00,11.4,11.5,11.3,11.4,40200,EVE,"At 2025-08-15 10:00:00, the stock EVE opened at 11.40 VND, reached a high of 11.50 VND, a low of 11.30 VND, and closed the hour at 11.40 VND with a trading volume of 40,200 shares."
2025-08-15 11:00:00,11.4,11.5,11.35,11.35,3900,EVE,"At 2025-08-15 11:00:00, the stock EVE opened at 11.40 VND, reached a high of 11.50 VND, a low of 11.35 VND, and closed the hour at 11.35 VND with a trading volume of 3,900 shares."
2025-08-15 13:00:00,11.35,11.4,11.3,11.3,14600,EVE,"At 2025-08-15 13:00:00, the stock EVE opened at 11.35 VND, reached a high of 11.40 VND, a low of 11.30 VND, and closed the hour at 11.30 VND with a trading volume of 14,600 shares."
2025-08-15 14:00:00,11.3,11.3,11.2,11.3,39600,EVE,"At 2025-08-15 14:00:00, the stock EVE opened at 11.30 VND, reached a high of 11.30 VND, a low of 11.20 VND, and closed the hour at 11.30 VND with a trading volume of 39,600 shares."
2025-08-18 09:00:00,11.35,11.45,11.2,11.2,11700,EVE,"At 2025-08-18 09:00:00, the stock EVE opened at 11.35 VND, reached a high of 11.45 VND, a low of 11.20 VND, and closed the hour at 11.20 VND with a trading volume of 11,700 shares."
2025-08-18 10:00:00,11.2,11.3,11.2,11.3,1800,EVE,"At 2025-08-18 10:00:00, the stock EVE opened at 11.20 VND, reached a high of 11.30 VND, a low of 11.20 VND, and closed the hour at 11.30 VND with a trading volume of 1,800 shares."
2025-08-18 11:00:00,11.3,11.3,11.2,11.2,3800,EVE,"At 2025-08-18 11:00:00, the stock EVE opened at 11.30 VND, reached a high of 11.30 VND, a low of 11.20 VND, and closed the hour at 11.20 VND with a trading volume of 3,800 shares."
2025-08-18 13:00:00,11.2,11.25,11.2,11.2,6400,EVE,"At 2025-08-18 13:00:00, the stock EVE opened at 11.20 VND, reached a high of 11.25 VND, a low of 11.20 VND, and closed the hour at 11.20 VND with a trading volume of 6,400 shares."
