time,open,high,low,close,volume,ticker,llm_text
2025-09-10 14:00:00,4.68,4.69,4.66,4.68,179800,FIT,"At 2025-09-10 14:00:00, the stock FIT opened at 4.68 VND, reached a high of 4.69 VND, a low of 4.66 VND, and closed the hour at 4.68 VND with a trading volume of 179,800 shares."
2025-09-11 09:00:00,4.65,4.72,4.59,4.61,385400,FIT,"At 2025-09-11 09:00:00, the stock FIT opened at 4.65 VND, reached a high of 4.72 VND, a low of 4.59 VND, and closed the hour at 4.61 VND with a trading volume of 385,400 shares."
2025-09-11 10:00:00,4.6,4.64,4.58,4.62,229800,FIT,"At 2025-09-11 10:00:00, the stock FIT opened at 4.60 VND, reached a high of 4.64 VND, a low of 4.58 VND, and closed the hour at 4.62 VND with a trading volume of 229,800 shares."
2025-09-11 11:00:00,4.63,4.65,4.61,4.65,141800,FIT,"At 2025-09-11 11:00:00, the stock FIT opened at 4.63 VND, reached a high of 4.65 VND, a low of 4.61 VND, and closed the hour at 4.65 VND with a trading volume of 141,800 shares."
2025-09-11 13:00:00,4.65,4.7,4.63,4.67,136800,FIT,"At 2025-09-11 13:00:00, the stock FIT opened at 4.65 VND, reached a high of 4.70 VND, a low of 4.63 VND, and closed the hour at 4.67 VND with a trading volume of 136,800 shares."
2025-09-11 14:00:00,4.68,4.72,4.65,4.71,126700,FIT,"At 2025-09-11 14:00:00, the stock FIT opened at 4.68 VND, reached a high of 4.72 VND, a low of 4.65 VND, and closed the hour at 4.71 VND with a trading volume of 126,700 shares."
2025-09-12 09:00:00,4.74,4.76,4.71,4.72,251000,FIT,"At 2025-09-12 09:00:00, the stock FIT opened at 4.74 VND, reached a high of 4.76 VND, a low of 4.71 VND, and closed the hour at 4.72 VND with a trading volume of 251,000 shares."
2025-09-12 10:00:00,4.72,4.78,4.72,4.78,207200,FIT,"At 2025-09-12 10:00:00, the stock FIT opened at 4.72 VND, reached a high of 4.78 VND, a low of 4.72 VND, and closed the hour at 4.78 VND with a trading volume of 207,200 shares."
2025-09-12 11:00:00,4.78,4.79,4.74,4.79,77900,FIT,"At 2025-09-12 11:00:00, the stock FIT opened at 4.78 VND, reached a high of 4.79 VND, a low of 4.74 VND, and closed the hour at 4.79 VND with a trading volume of 77,900 shares."
2025-09-12 13:00:00,4.78,4.8,4.75,4.76,87900,FIT,"At 2025-09-12 13:00:00, the stock FIT opened at 4.78 VND, reached a high of 4.80 VND, a low of 4.75 VND, and closed the hour at 4.76 VND with a trading volume of 87,900 shares."
2025-09-12 14:00:00,4.76,4.78,4.75,4.78,94000,FIT,"At 2025-09-12 14:00:00, the stock FIT opened at 4.76 VND, reached a high of 4.78 VND, a low of 4.75 VND, and closed the hour at 4.78 VND with a trading volume of 94,000 shares."
