time,open,high,low,close,volume,ticker,llm_text
2025-04-22 09:00:00,5.9,6.1,5.9,6.1,600,HBS,"At 2025-04-22 09:00:00, the stock HBS opened at 5.90 VND, reached a high of 6.10 VND, a low of 5.90 VND, and closed the hour at 6.10 VND with a trading volume of 600 shares."
2025-04-22 10:00:00,6.1,6.1,6.1,6.1,500,HBS,"At 2025-04-22 10:00:00, the stock HBS opened at 6.10 VND, reached a high of 6.10 VND, a low of 6.10 VND, and closed the hour at 6.10 VND with a trading volume of 500 shares."
2025-04-22 11:00:00,6.0,6.0,6.0,6.0,1300,HBS,"At 2025-04-22 11:00:00, the stock HBS opened at 6.00 VND, reached a high of 6.00 VND, a low of 6.00 VND, and closed the hour at 6.00 VND with a trading volume of 1,300 shares."
2025-04-22 13:00:00,5.9,5.9,5.5,5.6,59500,HBS,"At 2025-04-22 13:00:00, the stock HBS opened at 5.90 VND, reached a high of 5.90 VND, a low of 5.50 VND, and closed the hour at 5.60 VND with a trading volume of 59,500 shares."
2025-04-22 14:00:00,5.6,5.8,5.6,5.8,36800,HBS,"At 2025-04-22 14:00:00, the stock HBS opened at 5.60 VND, reached a high of 5.80 VND, a low of 5.60 VND, and closed the hour at 5.80 VND with a trading volume of 36,800 shares."
2025-04-23 09:00:00,6.0,6.0,5.9,5.9,4400,HBS,"At 2025-04-23 09:00:00, the stock HBS opened at 6.00 VND, reached a high of 6.00 VND, a low of 5.90 VND, and closed the hour at 5.90 VND with a trading volume of 4,400 shares."
2025-04-23 10:00:00,5.9,5.9,5.9,5.9,6100,HBS,"At 2025-04-23 10:00:00, the stock HBS opened at 5.90 VND, reached a high of 5.90 VND, a low of 5.90 VND, and closed the hour at 5.90 VND with a trading volume of 6,100 shares."
2025-04-23 11:00:00,5.9,6.0,5.9,6.0,3800,HBS,"At 2025-04-23 11:00:00, the stock HBS opened at 5.90 VND, reached a high of 6.00 VND, a low of 5.90 VND, and closed the hour at 6.00 VND with a trading volume of 3,800 shares."
2025-04-23 13:00:00,6.1,6.1,6.1,6.1,2300,HBS,"At 2025-04-23 13:00:00, the stock HBS opened at 6.10 VND, reached a high of 6.10 VND, a low of 6.10 VND, and closed the hour at 6.10 VND with a trading volume of 2,300 shares."
2025-04-23 14:00:00,6.2,6.2,6.2,6.2,14600,HBS,"At 2025-04-23 14:00:00, the stock HBS opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 14,600 shares."
2025-04-24 09:00:00,6.2,6.3,6.2,6.2,400,HBS,"At 2025-04-24 09:00:00, the stock HBS opened at 6.20 VND, reached a high of 6.30 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 400 shares."
2025-04-24 10:00:00,6.2,6.3,6.2,6.2,1000,HBS,"At 2025-04-24 10:00:00, the stock HBS opened at 6.20 VND, reached a high of 6.30 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 1,000 shares."
2025-04-24 13:00:00,6.1,6.4,6.1,6.4,30700,HBS,"At 2025-04-24 13:00:00, the stock HBS opened at 6.10 VND, reached a high of 6.40 VND, a low of 6.10 VND, and closed the hour at 6.40 VND with a trading volume of 30,700 shares."
2025-04-24 14:00:00,6.3,6.4,6.2,6.2,4100,HBS,"At 2025-04-24 14:00:00, the stock HBS opened at 6.30 VND, reached a high of 6.40 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 4,100 shares."
2025-04-25 09:00:00,6.3,6.3,6.2,6.3,39700,HBS,"At 2025-04-25 09:00:00, the stock HBS opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.20 VND, and closed the hour at 6.30 VND with a trading volume of 39,700 shares."
2025-04-25 10:00:00,6.3,6.3,6.2,6.2,14200,HBS,"At 2025-04-25 10:00:00, the stock HBS opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 14,200 shares."
2025-04-25 11:00:00,6.2,6.2,6.2,6.2,2300,HBS,"At 2025-04-25 11:00:00, the stock HBS opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 2,300 shares."
2025-04-25 13:00:00,6.2,6.2,6.1,6.1,27800,HBS,"At 2025-04-25 13:00:00, the stock HBS opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.10 VND, and closed the hour at 6.10 VND with a trading volume of 27,800 shares."
2025-04-25 14:00:00,6.1,6.3,6.1,6.3,5500,HBS,"At 2025-04-25 14:00:00, the stock HBS opened at 6.10 VND, reached a high of 6.30 VND, a low of 6.10 VND, and closed the hour at 6.30 VND with a trading volume of 5,500 shares."
2025-04-28 09:00:00,6.3,6.5,6.3,6.5,3800,HBS,"At 2025-04-28 09:00:00, the stock HBS opened at 6.30 VND, reached a high of 6.50 VND, a low of 6.30 VND, and closed the hour at 6.50 VND with a trading volume of 3,800 shares."
