time,open,high,low,close,volume,ticker,llm_text
2025-06-03 14:00:00,11.13,11.13,11.13,11.13,100,HMC,"At 2025-06-03 14:00:00, the stock HMC opened at 11.13 VND, reached a high of 11.13 VND, a low of 11.13 VND, and closed the hour at 11.13 VND with a trading volume of 100 shares."
2025-06-04 09:00:00,11.17,11.17,11.17,11.17,100,HMC,"At 2025-06-04 09:00:00, the stock HMC opened at 11.17 VND, reached a high of 11.17 VND, a low of 11.17 VND, and closed the hour at 11.17 VND with a trading volume of 100 shares."
2025-06-04 10:00:00,11.13,11.13,11.13,11.13,100,HMC,"At 2025-06-04 10:00:00, the stock HMC opened at 11.13 VND, reached a high of 11.13 VND, a low of 11.13 VND, and closed the hour at 11.13 VND with a trading volume of 100 shares."
2025-06-04 13:00:00,11.03,11.03,10.94,11.03,5400,HMC,"At 2025-06-04 13:00:00, the stock HMC opened at 11.03 VND, reached a high of 11.03 VND, a low of 10.94 VND, and closed the hour at 11.03 VND with a trading volume of 5,400 shares."
2025-06-05 09:00:00,10.85,10.85,10.85,10.85,1300,HMC,"At 2025-06-05 09:00:00, the stock HMC opened at 10.85 VND, reached a high of 10.85 VND, a low of 10.85 VND, and closed the hour at 10.85 VND with a trading volume of 1,300 shares."
2025-06-05 10:00:00,10.85,10.85,10.85,10.85,400,HMC,"At 2025-06-05 10:00:00, the stock HMC opened at 10.85 VND, reached a high of 10.85 VND, a low of 10.85 VND, and closed the hour at 10.85 VND with a trading volume of 400 shares."
2025-06-05 13:00:00,10.89,10.89,10.89,10.89,100,HMC,"At 2025-06-05 13:00:00, the stock HMC opened at 10.89 VND, reached a high of 10.89 VND, a low of 10.89 VND, and closed the hour at 10.89 VND with a trading volume of 100 shares."
2025-06-05 14:00:00,10.94,11.03,10.94,11.03,1200,HMC,"At 2025-06-05 14:00:00, the stock HMC opened at 10.94 VND, reached a high of 11.03 VND, a low of 10.94 VND, and closed the hour at 11.03 VND with a trading volume of 1,200 shares."
2025-06-06 09:00:00,11.31,11.31,11.08,11.31,10800,HMC,"At 2025-06-06 09:00:00, the stock HMC opened at 11.31 VND, reached a high of 11.31 VND, a low of 11.08 VND, and closed the hour at 11.31 VND with a trading volume of 10,800 shares."
2025-06-06 10:00:00,11.31,11.31,11.13,11.13,400,HMC,"At 2025-06-06 10:00:00, the stock HMC opened at 11.31 VND, reached a high of 11.31 VND, a low of 11.13 VND, and closed the hour at 11.13 VND with a trading volume of 400 shares."
2025-06-06 13:00:00,11.13,11.13,11.13,11.13,100,HMC,"At 2025-06-06 13:00:00, the stock HMC opened at 11.13 VND, reached a high of 11.13 VND, a low of 11.13 VND, and closed the hour at 11.13 VND with a trading volume of 100 shares."
2025-06-06 14:00:00,11.22,11.31,11.22,11.31,900,HMC,"At 2025-06-06 14:00:00, the stock HMC opened at 11.22 VND, reached a high of 11.31 VND, a low of 11.22 VND, and closed the hour at 11.31 VND with a trading volume of 900 shares."
2025-06-09 09:00:00,11.31,11.31,11.22,11.22,300,HMC,"At 2025-06-09 09:00:00, the stock HMC opened at 11.31 VND, reached a high of 11.31 VND, a low of 11.22 VND, and closed the hour at 11.22 VND with a trading volume of 300 shares."
2025-06-09 10:00:00,11.22,11.22,11.22,11.22,1000,HMC,"At 2025-06-09 10:00:00, the stock HMC opened at 11.22 VND, reached a high of 11.22 VND, a low of 11.22 VND, and closed the hour at 11.22 VND with a trading volume of 1,000 shares."
