time,open,high,low,close,volume,ticker,llm_text
2025-09-10 14:00:00,19.0,19.2,18.8,19.0,822000,HUT,"At 2025-09-10 14:00:00, the stock HUT opened at 19.00 VND, reached a high of 19.20 VND, a low of 18.80 VND, and closed the hour at 19.00 VND with a trading volume of 822,000 shares."
2025-09-11 09:00:00,19.0,19.0,17.7,18.0,1272000,HUT,"At 2025-09-11 09:00:00, the stock HUT opened at 19.00 VND, reached a high of 19.00 VND, a low of 17.70 VND, and closed the hour at 18.00 VND with a trading volume of 1,272,000 shares."
2025-09-11 10:00:00,18.1,18.2,17.7,17.9,1223000,HUT,"At 2025-09-11 10:00:00, the stock HUT opened at 18.10 VND, reached a high of 18.20 VND, a low of 17.70 VND, and closed the hour at 17.90 VND with a trading volume of 1,223,000 shares."
2025-09-11 11:00:00,17.9,18.1,17.8,18.0,259400,HUT,"At 2025-09-11 11:00:00, the stock HUT opened at 17.90 VND, reached a high of 18.10 VND, a low of 17.80 VND, and closed the hour at 18.00 VND with a trading volume of 259,400 shares."
2025-09-11 13:00:00,18.1,18.2,17.7,18.2,1308600,HUT,"At 2025-09-11 13:00:00, the stock HUT opened at 18.10 VND, reached a high of 18.20 VND, a low of 17.70 VND, and closed the hour at 18.20 VND with a trading volume of 1,308,600 shares."
2025-09-11 14:00:00,18.2,18.3,18.0,18.3,1312700,HUT,"At 2025-09-11 14:00:00, the stock HUT opened at 18.20 VND, reached a high of 18.30 VND, a low of 18.00 VND, and closed the hour at 18.30 VND with a trading volume of 1,312,700 shares."
2025-09-12 09:00:00,18.5,19.2,18.4,18.8,1182100,HUT,"At 2025-09-12 09:00:00, the stock HUT opened at 18.50 VND, reached a high of 19.20 VND, a low of 18.40 VND, and closed the hour at 18.80 VND with a trading volume of 1,182,100 shares."
2025-09-12 10:00:00,18.9,19.1,18.8,18.9,452600,HUT,"At 2025-09-12 10:00:00, the stock HUT opened at 18.90 VND, reached a high of 19.10 VND, a low of 18.80 VND, and closed the hour at 18.90 VND with a trading volume of 452,600 shares."
2025-09-12 11:00:00,18.9,18.9,18.8,18.8,60600,HUT,"At 2025-09-12 11:00:00, the stock HUT opened at 18.90 VND, reached a high of 18.90 VND, a low of 18.80 VND, and closed the hour at 18.80 VND with a trading volume of 60,600 shares."
2025-09-12 13:00:00,18.7,18.9,18.5,18.7,398600,HUT,"At 2025-09-12 13:00:00, the stock HUT opened at 18.70 VND, reached a high of 18.90 VND, a low of 18.50 VND, and closed the hour at 18.70 VND with a trading volume of 398,600 shares."
2025-09-12 14:00:00,18.7,18.8,18.5,18.5,483000,HUT,"At 2025-09-12 14:00:00, the stock HUT opened at 18.70 VND, reached a high of 18.80 VND, a low of 18.50 VND, and closed the hour at 18.50 VND with a trading volume of 483,000 shares."
2025-09-15 09:00:00,18.6,19.1,18.4,18.9,532800,HUT,"At 2025-09-15 09:00:00, the stock HUT opened at 18.60 VND, reached a high of 19.10 VND, a low of 18.40 VND, and closed the hour at 18.90 VND with a trading volume of 532,800 shares."
2025-09-15 10:00:00,18.8,18.8,18.6,18.7,385000,HUT,"At 2025-09-15 10:00:00, the stock HUT opened at 18.80 VND, reached a high of 18.80 VND, a low of 18.60 VND, and closed the hour at 18.70 VND with a trading volume of 385,000 shares."
2025-09-15 11:00:00,18.7,19.0,18.7,18.8,129100,HUT,"At 2025-09-15 11:00:00, the stock HUT opened at 18.70 VND, reached a high of 19.00 VND, a low of 18.70 VND, and closed the hour at 18.80 VND with a trading volume of 129,100 shares."
2025-09-15 13:00:00,18.8,20.3,18.7,20.2,7119000,HUT,"At 2025-09-15 13:00:00, the stock HUT opened at 18.80 VND, reached a high of 20.30 VND, a low of 18.70 VND, and closed the hour at 20.20 VND with a trading volume of 7,119,000 shares."
2025-09-15 14:00:00,20.2,20.3,20.1,20.1,1804800,HUT,"At 2025-09-15 14:00:00, the stock HUT opened at 20.20 VND, reached a high of 20.30 VND, a low of 20.10 VND, and closed the hour at 20.10 VND with a trading volume of 1,804,800 shares."
2025-09-16 09:00:00,20.1,20.6,20.0,20.1,1387700,HUT,"At 2025-09-16 09:00:00, the stock HUT opened at 20.10 VND, reached a high of 20.60 VND, a low of 20.00 VND, and closed the hour at 20.10 VND with a trading volume of 1,387,700 shares."
2025-09-16 10:00:00,20.2,20.4,20.1,20.3,894100,HUT,"At 2025-09-16 10:00:00, the stock HUT opened at 20.20 VND, reached a high of 20.40 VND, a low of 20.10 VND, and closed the hour at 20.30 VND with a trading volume of 894,100 shares."
2025-09-16 11:00:00,20.3,20.3,19.8,20.0,637300,HUT,"At 2025-09-16 11:00:00, the stock HUT opened at 20.30 VND, reached a high of 20.30 VND, a low of 19.80 VND, and closed the hour at 20.00 VND with a trading volume of 637,300 shares."
2025-09-16 13:00:00,19.9,20.3,19.8,19.9,771600,HUT,"At 2025-09-16 13:00:00, the stock HUT opened at 19.90 VND, reached a high of 20.30 VND, a low of 19.80 VND, and closed the hour at 19.90 VND with a trading volume of 771,600 shares."
2025-09-16 14:00:00,19.8,20.0,19.7,19.7,1439900,HUT,"At 2025-09-16 14:00:00, the stock HUT opened at 19.80 VND, reached a high of 20.00 VND, a low of 19.70 VND, and closed the hour at 19.70 VND with a trading volume of 1,439,900 shares."
2025-09-17 09:00:00,19.7,21.0,19.6,20.6,2058700,HUT,"At 2025-09-17 09:00:00, the stock HUT opened at 19.70 VND, reached a high of 21.00 VND, a low of 19.60 VND, and closed the hour at 20.60 VND with a trading volume of 2,058,700 shares."
2025-09-17 10:00:00,20.6,20.6,20.2,20.3,973400,HUT,"At 2025-09-17 10:00:00, the stock HUT opened at 20.60 VND, reached a high of 20.60 VND, a low of 20.20 VND, and closed the hour at 20.30 VND with a trading volume of 973,400 shares."
2025-09-17 11:00:00,20.3,20.3,20.0,20.2,301600,HUT,"At 2025-09-17 11:00:00, the stock HUT opened at 20.30 VND, reached a high of 20.30 VND, a low of 20.00 VND, and closed the hour at 20.20 VND with a trading volume of 301,600 shares."
2025-09-17 13:00:00,20.2,20.4,19.9,20.1,1172600,HUT,"At 2025-09-17 13:00:00, the stock HUT opened at 20.20 VND, reached a high of 20.40 VND, a low of 19.90 VND, and closed the hour at 20.10 VND with a trading volume of 1,172,600 shares."
2025-09-17 14:00:00,20.0,20.1,19.7,19.9,1507600,HUT,"At 2025-09-17 14:00:00, the stock HUT opened at 20.00 VND, reached a high of 20.10 VND, a low of 19.70 VND, and closed the hour at 19.90 VND with a trading volume of 1,507,600 shares."
2025-09-18 09:00:00,20.0,20.4,19.9,20.0,1388900,HUT,"At 2025-09-18 09:00:00, the stock HUT opened at 20.00 VND, reached a high of 20.40 VND, a low of 19.90 VND, and closed the hour at 20.00 VND with a trading volume of 1,388,900 shares."
2025-09-18 10:00:00,20.0,20.5,19.9,20.2,1124600,HUT,"At 2025-09-18 10:00:00, the stock HUT opened at 20.00 VND, reached a high of 20.50 VND, a low of 19.90 VND, and closed the hour at 20.20 VND with a trading volume of 1,124,600 shares."
2025-09-18 11:00:00,20.2,20.7,20.2,20.4,1388500,HUT,"At 2025-09-18 11:00:00, the stock HUT opened at 20.20 VND, reached a high of 20.70 VND, a low of 20.20 VND, and closed the hour at 20.40 VND with a trading volume of 1,388,500 shares."
2025-09-18 13:00:00,20.4,20.4,20.0,20.4,1135600,HUT,"At 2025-09-18 13:00:00, the stock HUT opened at 20.40 VND, reached a high of 20.40 VND, a low of 20.00 VND, and closed the hour at 20.40 VND with a trading volume of 1,135,600 shares."
2025-09-18 14:00:00,20.3,20.4,20.0,20.1,866200,HUT,"At 2025-09-18 14:00:00, the stock HUT opened at 20.30 VND, reached a high of 20.40 VND, a low of 20.00 VND, and closed the hour at 20.10 VND with a trading volume of 866,200 shares."
2025-09-19 09:00:00,20.1,20.3,19.8,19.8,515100,HUT,"At 2025-09-19 09:00:00, the stock HUT opened at 20.10 VND, reached a high of 20.30 VND, a low of 19.80 VND, and closed the hour at 19.80 VND with a trading volume of 515,100 shares."
2025-09-19 10:00:00,19.8,20.0,19.7,19.8,529300,HUT,"At 2025-09-19 10:00:00, the stock HUT opened at 19.80 VND, reached a high of 20.00 VND, a low of 19.70 VND, and closed the hour at 19.80 VND with a trading volume of 529,300 shares."
2025-09-19 11:00:00,19.8,19.9,19.7,19.7,229000,HUT,"At 2025-09-19 11:00:00, the stock HUT opened at 19.80 VND, reached a high of 19.90 VND, a low of 19.70 VND, and closed the hour at 19.70 VND with a trading volume of 229,000 shares."
2025-09-19 13:00:00,19.7,19.8,19.5,19.6,1283000,HUT,"At 2025-09-19 13:00:00, the stock HUT opened at 19.70 VND, reached a high of 19.80 VND, a low of 19.50 VND, and closed the hour at 19.60 VND with a trading volume of 1,283,000 shares."
2025-09-19 14:00:00,19.6,19.8,19.0,19.0,3540300,HUT,"At 2025-09-19 14:00:00, the stock HUT opened at 19.60 VND, reached a high of 19.80 VND, a low of 19.00 VND, and closed the hour at 19.00 VND with a trading volume of 3,540,300 shares."
2025-09-22 09:00:00,19.3,19.5,19.2,19.2,701000,HUT,"At 2025-09-22 09:00:00, the stock HUT opened at 19.30 VND, reached a high of 19.50 VND, a low of 19.20 VND, and closed the hour at 19.20 VND with a trading volume of 701,000 shares."
2025-09-22 10:00:00,19.2,19.3,18.8,18.9,1069200,HUT,"At 2025-09-22 10:00:00, the stock HUT opened at 19.20 VND, reached a high of 19.30 VND, a low of 18.80 VND, and closed the hour at 18.90 VND with a trading volume of 1,069,200 shares."
2025-09-22 11:00:00,18.9,19.0,18.6,18.8,365400,HUT,"At 2025-09-22 11:00:00, the stock HUT opened at 18.90 VND, reached a high of 19.00 VND, a low of 18.60 VND, and closed the hour at 18.80 VND with a trading volume of 365,400 shares."
2025-09-22 13:00:00,18.8,18.8,18.0,18.1,3038800,HUT,"At 2025-09-22 13:00:00, the stock HUT opened at 18.80 VND, reached a high of 18.80 VND, a low of 18.00 VND, and closed the hour at 18.10 VND with a trading volume of 3,038,800 shares."
2025-09-22 14:00:00,18.1,18.7,18.0,18.4,817900,HUT,"At 2025-09-22 14:00:00, the stock HUT opened at 18.10 VND, reached a high of 18.70 VND, a low of 18.00 VND, and closed the hour at 18.40 VND with a trading volume of 817,900 shares."
2025-09-23 09:00:00,18.4,18.6,18.2,18.5,489000,HUT,"At 2025-09-23 09:00:00, the stock HUT opened at 18.40 VND, reached a high of 18.60 VND, a low of 18.20 VND, and closed the hour at 18.50 VND with a trading volume of 489,000 shares."
2025-09-23 10:00:00,18.5,18.5,18.3,18.4,216100,HUT,"At 2025-09-23 10:00:00, the stock HUT opened at 18.50 VND, reached a high of 18.50 VND, a low of 18.30 VND, and closed the hour at 18.40 VND with a trading volume of 216,100 shares."
2025-09-23 11:00:00,18.4,18.5,18.3,18.5,87500,HUT,"At 2025-09-23 11:00:00, the stock HUT opened at 18.40 VND, reached a high of 18.50 VND, a low of 18.30 VND, and closed the hour at 18.50 VND with a trading volume of 87,500 shares."
2025-09-23 13:00:00,18.4,18.5,18.1,18.3,572500,HUT,"At 2025-09-23 13:00:00, the stock HUT opened at 18.40 VND, reached a high of 18.50 VND, a low of 18.10 VND, and closed the hour at 18.30 VND with a trading volume of 572,500 shares."
2025-09-23 14:00:00,18.3,18.3,18.0,18.3,728300,HUT,"At 2025-09-23 14:00:00, the stock HUT opened at 18.30 VND, reached a high of 18.30 VND, a low of 18.00 VND, and closed the hour at 18.30 VND with a trading volume of 728,300 shares."
2025-09-24 09:00:00,18.1,18.2,17.5,18.1,2252000,HUT,"At 2025-09-24 09:00:00, the stock HUT opened at 18.10 VND, reached a high of 18.20 VND, a low of 17.50 VND, and closed the hour at 18.10 VND with a trading volume of 2,252,000 shares."
2025-09-24 10:00:00,18.1,18.3,17.9,18.0,826100,HUT,"At 2025-09-24 10:00:00, the stock HUT opened at 18.10 VND, reached a high of 18.30 VND, a low of 17.90 VND, and closed the hour at 18.00 VND with a trading volume of 826,100 shares."
2025-09-24 11:00:00,18.0,18.0,17.7,17.8,460100,HUT,"At 2025-09-24 11:00:00, the stock HUT opened at 18.00 VND, reached a high of 18.00 VND, a low of 17.70 VND, and closed the hour at 17.80 VND with a trading volume of 460,100 shares."
2025-09-24 13:00:00,17.8,18.1,17.7,18.0,940100,HUT,"At 2025-09-24 13:00:00, the stock HUT opened at 17.80 VND, reached a high of 18.10 VND, a low of 17.70 VND, and closed the hour at 18.00 VND with a trading volume of 940,100 shares."
2025-09-24 14:00:00,18.0,18.6,17.9,18.5,897500,HUT,"At 2025-09-24 14:00:00, the stock HUT opened at 18.00 VND, reached a high of 18.60 VND, a low of 17.90 VND, and closed the hour at 18.50 VND with a trading volume of 897,500 shares."
2025-09-25 09:00:00,18.6,19.1,18.5,19.0,1670700,HUT,"At 2025-09-25 09:00:00, the stock HUT opened at 18.60 VND, reached a high of 19.10 VND, a low of 18.50 VND, and closed the hour at 19.00 VND with a trading volume of 1,670,700 shares."
2025-09-25 10:00:00,18.9,19.0,18.7,18.8,309900,HUT,"At 2025-09-25 10:00:00, the stock HUT opened at 18.90 VND, reached a high of 19.00 VND, a low of 18.70 VND, and closed the hour at 18.80 VND with a trading volume of 309,900 shares."
2025-09-25 11:00:00,18.8,18.9,18.7,18.8,62600,HUT,"At 2025-09-25 11:00:00, the stock HUT opened at 18.80 VND, reached a high of 18.90 VND, a low of 18.70 VND, and closed the hour at 18.80 VND with a trading volume of 62,600 shares."
2025-09-25 13:00:00,18.8,19.0,18.7,18.9,601700,HUT,"At 2025-09-25 13:00:00, the stock HUT opened at 18.80 VND, reached a high of 19.00 VND, a low of 18.70 VND, and closed the hour at 18.90 VND with a trading volume of 601,700 shares."
2025-09-25 14:00:00,18.9,19.0,18.8,18.8,755700,HUT,"At 2025-09-25 14:00:00, the stock HUT opened at 18.90 VND, reached a high of 19.00 VND, a low of 18.80 VND, and closed the hour at 18.80 VND with a trading volume of 755,700 shares."
2025-09-26 09:00:00,19.0,19.1,18.7,18.9,381200,HUT,"At 2025-09-26 09:00:00, the stock HUT opened at 19.00 VND, reached a high of 19.10 VND, a low of 18.70 VND, and closed the hour at 18.90 VND with a trading volume of 381,200 shares."
2025-09-26 10:00:00,18.8,19.0,18.7,18.8,758700,HUT,"At 2025-09-26 10:00:00, the stock HUT opened at 18.80 VND, reached a high of 19.00 VND, a low of 18.70 VND, and closed the hour at 18.80 VND with a trading volume of 758,700 shares."
2025-09-26 11:00:00,18.8,18.9,18.5,18.6,440500,HUT,"At 2025-09-26 11:00:00, the stock HUT opened at 18.80 VND, reached a high of 18.90 VND, a low of 18.50 VND, and closed the hour at 18.60 VND with a trading volume of 440,500 shares."
2025-09-26 13:00:00,18.6,18.8,18.5,18.7,770000,HUT,"At 2025-09-26 13:00:00, the stock HUT opened at 18.60 VND, reached a high of 18.80 VND, a low of 18.50 VND, and closed the hour at 18.70 VND with a trading volume of 770,000 shares."
2025-09-26 14:00:00,18.7,18.7,18.3,18.4,1364700,HUT,"At 2025-09-26 14:00:00, the stock HUT opened at 18.70 VND, reached a high of 18.70 VND, a low of 18.30 VND, and closed the hour at 18.40 VND with a trading volume of 1,364,700 shares."
2025-09-29 09:00:00,18.2,18.7,18.2,18.5,913000,HUT,"At 2025-09-29 09:00:00, the stock HUT opened at 18.20 VND, reached a high of 18.70 VND, a low of 18.20 VND, and closed the hour at 18.50 VND with a trading volume of 913,000 shares."
2025-09-29 10:00:00,18.5,18.6,18.4,18.4,447300,HUT,"At 2025-09-29 10:00:00, the stock HUT opened at 18.50 VND, reached a high of 18.60 VND, a low of 18.40 VND, and closed the hour at 18.40 VND with a trading volume of 447,300 shares."
2025-09-29 11:00:00,18.4,18.5,18.3,18.4,97400,HUT,"At 2025-09-29 11:00:00, the stock HUT opened at 18.40 VND, reached a high of 18.50 VND, a low of 18.30 VND, and closed the hour at 18.40 VND with a trading volume of 97,400 shares."
2025-09-29 13:00:00,18.4,18.5,18.2,18.3,797400,HUT,"At 2025-09-29 13:00:00, the stock HUT opened at 18.40 VND, reached a high of 18.50 VND, a low of 18.20 VND, and closed the hour at 18.30 VND with a trading volume of 797,400 shares."
