time,open,high,low,close,volume,ticker,llm_text
2025-08-25 11:00:00,11.0,11.0,11.0,11.0,2200,KCB,"At 2025-08-25 11:00:00, the stock KCB opened at 11.00 VND, reached a high of 11.00 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 2,200 shares."
2025-08-25 13:00:00,10.9,10.9,10.7,10.8,17800,KCB,"At 2025-08-25 13:00:00, the stock KCB opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.70 VND, and closed the hour at 10.80 VND with a trading volume of 17,800 shares."
2025-08-25 14:00:00,10.8,10.8,10.7,10.8,12900,KCB,"At 2025-08-25 14:00:00, the stock KCB opened at 10.80 VND, reached a high of 10.80 VND, a low of 10.70 VND, and closed the hour at 10.80 VND with a trading volume of 12,900 shares."
2025-08-26 09:00:00,10.9,10.9,10.8,10.8,3400,KCB,"At 2025-08-26 09:00:00, the stock KCB opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.80 VND, and closed the hour at 10.80 VND with a trading volume of 3,400 shares."
2025-08-26 10:00:00,10.8,10.8,10.8,10.8,100,KCB,"At 2025-08-26 10:00:00, the stock KCB opened at 10.80 VND, reached a high of 10.80 VND, a low of 10.80 VND, and closed the hour at 10.80 VND with a trading volume of 100 shares."
2025-08-26 11:00:00,10.8,10.8,10.8,10.8,2100,KCB,"At 2025-08-26 11:00:00, the stock KCB opened at 10.80 VND, reached a high of 10.80 VND, a low of 10.80 VND, and closed the hour at 10.80 VND with a trading volume of 2,100 shares."
2025-08-26 13:00:00,10.7,10.9,10.6,10.7,6900,KCB,"At 2025-08-26 13:00:00, the stock KCB opened at 10.70 VND, reached a high of 10.90 VND, a low of 10.60 VND, and closed the hour at 10.70 VND with a trading volume of 6,900 shares."
2025-08-26 14:00:00,10.7,11.0,10.7,11.0,24400,KCB,"At 2025-08-26 14:00:00, the stock KCB opened at 10.70 VND, reached a high of 11.00 VND, a low of 10.70 VND, and closed the hour at 11.00 VND with a trading volume of 24,400 shares."
2025-08-27 09:00:00,10.9,10.9,10.8,10.8,1700,KCB,"At 2025-08-27 09:00:00, the stock KCB opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.80 VND, and closed the hour at 10.80 VND with a trading volume of 1,700 shares."
2025-08-27 10:00:00,10.8,10.9,10.8,10.8,11300,KCB,"At 2025-08-27 10:00:00, the stock KCB opened at 10.80 VND, reached a high of 10.90 VND, a low of 10.80 VND, and closed the hour at 10.80 VND with a trading volume of 11,300 shares."
2025-08-27 11:00:00,10.9,10.9,10.8,10.8,600,KCB,"At 2025-08-27 11:00:00, the stock KCB opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.80 VND, and closed the hour at 10.80 VND with a trading volume of 600 shares."
2025-08-27 13:00:00,10.8,11.4,10.8,11.3,34700,KCB,"At 2025-08-27 13:00:00, the stock KCB opened at 10.80 VND, reached a high of 11.40 VND, a low of 10.80 VND, and closed the hour at 11.30 VND with a trading volume of 34,700 shares."
2025-08-27 14:00:00,11.3,11.4,11.0,11.2,12400,KCB,"At 2025-08-27 14:00:00, the stock KCB opened at 11.30 VND, reached a high of 11.40 VND, a low of 11.00 VND, and closed the hour at 11.20 VND with a trading volume of 12,400 shares."
2025-08-28 09:00:00,11.2,11.2,11.2,11.2,1200,KCB,"At 2025-08-28 09:00:00, the stock KCB opened at 11.20 VND, reached a high of 11.20 VND, a low of 11.20 VND, and closed the hour at 11.20 VND with a trading volume of 1,200 shares."
2025-08-28 10:00:00,11.2,11.2,11.1,11.1,1900,KCB,"At 2025-08-28 10:00:00, the stock KCB opened at 11.20 VND, reached a high of 11.20 VND, a low of 11.10 VND, and closed the hour at 11.10 VND with a trading volume of 1,900 shares."
2025-08-28 13:00:00,11.1,11.1,11.0,11.1,1900,KCB,"At 2025-08-28 13:00:00, the stock KCB opened at 11.10 VND, reached a high of 11.10 VND, a low of 11.00 VND, and closed the hour at 11.10 VND with a trading volume of 1,900 shares."
2025-08-28 14:00:00,11.0,11.1,11.0,11.1,6500,KCB,"At 2025-08-28 14:00:00, the stock KCB opened at 11.00 VND, reached a high of 11.10 VND, a low of 11.00 VND, and closed the hour at 11.10 VND with a trading volume of 6,500 shares."
2025-08-29 09:00:00,11.1,11.2,11.1,11.2,2100,KCB,"At 2025-08-29 09:00:00, the stock KCB opened at 11.10 VND, reached a high of 11.20 VND, a low of 11.10 VND, and closed the hour at 11.20 VND with a trading volume of 2,100 shares."
2025-08-29 10:00:00,11.1,11.1,11.0,11.0,6600,KCB,"At 2025-08-29 10:00:00, the stock KCB opened at 11.10 VND, reached a high of 11.10 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 6,600 shares."
2025-08-29 11:00:00,11.0,11.0,11.0,11.0,2100,KCB,"At 2025-08-29 11:00:00, the stock KCB opened at 11.00 VND, reached a high of 11.00 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 2,100 shares."
2025-08-29 13:00:00,11.0,11.0,10.8,10.8,32200,KCB,"At 2025-08-29 13:00:00, the stock KCB opened at 11.00 VND, reached a high of 11.00 VND, a low of 10.80 VND, and closed the hour at 10.80 VND with a trading volume of 32,200 shares."
2025-08-29 14:00:00,10.8,10.9,10.8,10.9,16700,KCB,"At 2025-08-29 14:00:00, the stock KCB opened at 10.80 VND, reached a high of 10.90 VND, a low of 10.80 VND, and closed the hour at 10.90 VND with a trading volume of 16,700 shares."
2025-09-03 09:00:00,10.9,10.9,10.9,10.9,700,KCB,"At 2025-09-03 09:00:00, the stock KCB opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 700 shares."
2025-09-03 10:00:00,11.0,11.0,10.9,10.9,1700,KCB,"At 2025-09-03 10:00:00, the stock KCB opened at 11.00 VND, reached a high of 11.00 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 1,700 shares."
2025-09-03 11:00:00,10.9,10.9,10.9,10.9,800,KCB,"At 2025-09-03 11:00:00, the stock KCB opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 800 shares."
2025-09-03 13:00:00,10.9,10.9,10.9,10.9,1800,KCB,"At 2025-09-03 13:00:00, the stock KCB opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 1,800 shares."
2025-09-03 14:00:00,10.9,11.0,10.9,10.9,2600,KCB,"At 2025-09-03 14:00:00, the stock KCB opened at 10.90 VND, reached a high of 11.00 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 2,600 shares."
