time,open,high,low,close,volume,ticker,llm_text
2024-04-22 14:00:00,3.14,3.14,3.13,3.14,13400,KPF,"At 2024-04-22 14:00:00, the stock KPF opened at 3.14 VND, reached a high of 3.14 VND, a low of 3.13 VND, and closed the hour at 3.14 VND with a trading volume of 13,400 shares."
2024-04-23 10:00:00,3.14,3.14,3.1,3.12,16200,KPF,"At 2024-04-23 10:00:00, the stock KPF opened at 3.14 VND, reached a high of 3.14 VND, a low of 3.10 VND, and closed the hour at 3.12 VND with a trading volume of 16,200 shares."
2024-04-23 11:00:00,3.12,3.14,3.08,3.08,1100,KPF,"At 2024-04-23 11:00:00, the stock KPF opened at 3.12 VND, reached a high of 3.14 VND, a low of 3.08 VND, and closed the hour at 3.08 VND with a trading volume of 1,100 shares."
2024-04-23 13:00:00,3.08,3.13,3.05,3.07,26300,KPF,"At 2024-04-23 13:00:00, the stock KPF opened at 3.08 VND, reached a high of 3.13 VND, a low of 3.05 VND, and closed the hour at 3.07 VND with a trading volume of 26,300 shares."
2024-04-23 14:00:00,3.07,3.1,3.01,3.1,27300,KPF,"At 2024-04-23 14:00:00, the stock KPF opened at 3.07 VND, reached a high of 3.10 VND, a low of 3.01 VND, and closed the hour at 3.10 VND with a trading volume of 27,300 shares."
2024-04-24 10:00:00,3.08,3.1,3.07,3.1,39700,KPF,"At 2024-04-24 10:00:00, the stock KPF opened at 3.08 VND, reached a high of 3.10 VND, a low of 3.07 VND, and closed the hour at 3.10 VND with a trading volume of 39,700 shares."
2024-04-24 11:00:00,3.1,3.1,3.07,3.08,14900,KPF,"At 2024-04-24 11:00:00, the stock KPF opened at 3.10 VND, reached a high of 3.10 VND, a low of 3.07 VND, and closed the hour at 3.08 VND with a trading volume of 14,900 shares."
2024-04-24 13:00:00,3.08,3.08,3.01,3.01,93400,KPF,"At 2024-04-24 13:00:00, the stock KPF opened at 3.08 VND, reached a high of 3.08 VND, a low of 3.01 VND, and closed the hour at 3.01 VND with a trading volume of 93,400 shares."
2024-04-24 14:00:00,3.01,3.09,3.01,3.08,30700,KPF,"At 2024-04-24 14:00:00, the stock KPF opened at 3.01 VND, reached a high of 3.09 VND, a low of 3.01 VND, and closed the hour at 3.08 VND with a trading volume of 30,700 shares."
2024-04-25 10:00:00,3.02,3.06,3.0,3.06,40200,KPF,"At 2024-04-25 10:00:00, the stock KPF opened at 3.02 VND, reached a high of 3.06 VND, a low of 3.00 VND, and closed the hour at 3.06 VND with a trading volume of 40,200 shares."
2024-04-25 13:00:00,3.06,3.06,3.02,3.03,4500,KPF,"At 2024-04-25 13:00:00, the stock KPF opened at 3.06 VND, reached a high of 3.06 VND, a low of 3.02 VND, and closed the hour at 3.03 VND with a trading volume of 4,500 shares."
2024-04-25 14:00:00,3.03,3.05,3.02,3.02,17700,KPF,"At 2024-04-25 14:00:00, the stock KPF opened at 3.03 VND, reached a high of 3.05 VND, a low of 3.02 VND, and closed the hour at 3.02 VND with a trading volume of 17,700 shares."
2024-04-26 10:00:00,3.01,3.08,3.0,3.05,46400,KPF,"At 2024-04-26 10:00:00, the stock KPF opened at 3.01 VND, reached a high of 3.08 VND, a low of 3.00 VND, and closed the hour at 3.05 VND with a trading volume of 46,400 shares."
2024-04-26 11:00:00,3.05,3.05,3.05,3.05,800,KPF,"At 2024-04-26 11:00:00, the stock KPF opened at 3.05 VND, reached a high of 3.05 VND, a low of 3.05 VND, and closed the hour at 3.05 VND with a trading volume of 800 shares."
2024-04-26 13:00:00,3.05,3.07,3.02,3.02,28100,KPF,"At 2024-04-26 13:00:00, the stock KPF opened at 3.05 VND, reached a high of 3.07 VND, a low of 3.02 VND, and closed the hour at 3.02 VND with a trading volume of 28,100 shares."
2024-04-26 14:00:00,3.02,3.07,3.02,3.03,14900,KPF,"At 2024-04-26 14:00:00, the stock KPF opened at 3.02 VND, reached a high of 3.07 VND, a low of 3.02 VND, and closed the hour at 3.03 VND with a trading volume of 14,900 shares."
2024-05-02 10:00:00,3.05,3.09,3.05,3.06,130900,KPF,"At 2024-05-02 10:00:00, the stock KPF opened at 3.05 VND, reached a high of 3.09 VND, a low of 3.05 VND, and closed the hour at 3.06 VND with a trading volume of 130,900 shares."
2024-05-02 11:00:00,3.06,3.06,3.03,3.05,12800,KPF,"At 2024-05-02 11:00:00, the stock KPF opened at 3.06 VND, reached a high of 3.06 VND, a low of 3.03 VND, and closed the hour at 3.05 VND with a trading volume of 12,800 shares."
2024-05-02 13:00:00,3.05,3.05,3.03,3.03,1300,KPF,"At 2024-05-02 13:00:00, the stock KPF opened at 3.05 VND, reached a high of 3.05 VND, a low of 3.03 VND, and closed the hour at 3.03 VND with a trading volume of 1,300 shares."
2024-05-02 14:00:00,3.03,3.08,3.03,3.08,13500,KPF,"At 2024-05-02 14:00:00, the stock KPF opened at 3.03 VND, reached a high of 3.08 VND, a low of 3.03 VND, and closed the hour at 3.08 VND with a trading volume of 13,500 shares."
2024-05-03 10:00:00,3.1,3.1,3.07,3.07,6000,KPF,"At 2024-05-03 10:00:00, the stock KPF opened at 3.10 VND, reached a high of 3.10 VND, a low of 3.07 VND, and closed the hour at 3.07 VND with a trading volume of 6,000 shares."
2024-05-03 11:00:00,3.07,3.07,3.05,3.05,100,KPF,"At 2024-05-03 11:00:00, the stock KPF opened at 3.07 VND, reached a high of 3.07 VND, a low of 3.05 VND, and closed the hour at 3.05 VND with a trading volume of 100 shares."
2024-05-03 13:00:00,3.05,3.08,3.05,3.08,7100,KPF,"At 2024-05-03 13:00:00, the stock KPF opened at 3.05 VND, reached a high of 3.08 VND, a low of 3.05 VND, and closed the hour at 3.08 VND with a trading volume of 7,100 shares."
2024-05-03 14:00:00,3.08,3.09,3.06,3.06,10600,KPF,"At 2024-05-03 14:00:00, the stock KPF opened at 3.08 VND, reached a high of 3.09 VND, a low of 3.06 VND, and closed the hour at 3.06 VND with a trading volume of 10,600 shares."
2024-05-06 10:00:00,3.06,3.17,3.06,3.16,71600,KPF,"At 2024-05-06 10:00:00, the stock KPF opened at 3.06 VND, reached a high of 3.17 VND, a low of 3.06 VND, and closed the hour at 3.16 VND with a trading volume of 71,600 shares."
2024-05-06 11:00:00,3.16,3.19,3.16,3.19,2500,KPF,"At 2024-05-06 11:00:00, the stock KPF opened at 3.16 VND, reached a high of 3.19 VND, a low of 3.16 VND, and closed the hour at 3.19 VND with a trading volume of 2,500 shares."
2024-05-06 13:00:00,3.19,3.19,3.12,3.12,14700,KPF,"At 2024-05-06 13:00:00, the stock KPF opened at 3.19 VND, reached a high of 3.19 VND, a low of 3.12 VND, and closed the hour at 3.12 VND with a trading volume of 14,700 shares."
2024-05-06 14:00:00,3.12,3.18,3.11,3.12,44500,KPF,"At 2024-05-06 14:00:00, the stock KPF opened at 3.12 VND, reached a high of 3.18 VND, a low of 3.11 VND, and closed the hour at 3.12 VND with a trading volume of 44,500 shares."
2024-05-07 10:00:00,3.19,3.25,3.15,3.22,86000,KPF,"At 2024-05-07 10:00:00, the stock KPF opened at 3.19 VND, reached a high of 3.25 VND, a low of 3.15 VND, and closed the hour at 3.22 VND with a trading volume of 86,000 shares."
2024-05-07 11:00:00,3.22,3.22,3.2,3.2,10200,KPF,"At 2024-05-07 11:00:00, the stock KPF opened at 3.22 VND, reached a high of 3.22 VND, a low of 3.20 VND, and closed the hour at 3.20 VND with a trading volume of 10,200 shares."
2024-05-07 13:00:00,3.2,3.32,3.2,3.25,84900,KPF,"At 2024-05-07 13:00:00, the stock KPF opened at 3.20 VND, reached a high of 3.32 VND, a low of 3.20 VND, and closed the hour at 3.25 VND with a trading volume of 84,900 shares."
2024-05-07 14:00:00,3.25,3.31,3.25,3.3,11600,KPF,"At 2024-05-07 14:00:00, the stock KPF opened at 3.25 VND, reached a high of 3.31 VND, a low of 3.25 VND, and closed the hour at 3.30 VND with a trading volume of 11,600 shares."
2024-05-08 10:00:00,3.29,3.33,3.27,3.32,59800,KPF,"At 2024-05-08 10:00:00, the stock KPF opened at 3.29 VND, reached a high of 3.33 VND, a low of 3.27 VND, and closed the hour at 3.32 VND with a trading volume of 59,800 shares."
2024-05-08 11:00:00,3.32,3.32,3.29,3.29,7800,KPF,"At 2024-05-08 11:00:00, the stock KPF opened at 3.32 VND, reached a high of 3.32 VND, a low of 3.29 VND, and closed the hour at 3.29 VND with a trading volume of 7,800 shares."
2024-05-08 13:00:00,3.29,3.33,3.27,3.33,26400,KPF,"At 2024-05-08 13:00:00, the stock KPF opened at 3.29 VND, reached a high of 3.33 VND, a low of 3.27 VND, and closed the hour at 3.33 VND with a trading volume of 26,400 shares."
2024-05-08 14:00:00,3.33,3.36,3.33,3.35,34900,KPF,"At 2024-05-08 14:00:00, the stock KPF opened at 3.33 VND, reached a high of 3.36 VND, a low of 3.33 VND, and closed the hour at 3.35 VND with a trading volume of 34,900 shares."
2024-05-09 10:00:00,3.37,3.37,3.33,3.33,25000,KPF,"At 2024-05-09 10:00:00, the stock KPF opened at 3.37 VND, reached a high of 3.37 VND, a low of 3.33 VND, and closed the hour at 3.33 VND with a trading volume of 25,000 shares."
2024-05-09 11:00:00,3.33,3.36,3.32,3.32,21100,KPF,"At 2024-05-09 11:00:00, the stock KPF opened at 3.33 VND, reached a high of 3.36 VND, a low of 3.32 VND, and closed the hour at 3.32 VND with a trading volume of 21,100 shares."
2024-05-09 13:00:00,3.32,3.35,3.3,3.33,38900,KPF,"At 2024-05-09 13:00:00, the stock KPF opened at 3.32 VND, reached a high of 3.35 VND, a low of 3.30 VND, and closed the hour at 3.33 VND with a trading volume of 38,900 shares."
2024-05-09 14:00:00,3.33,3.4,3.33,3.35,62200,KPF,"At 2024-05-09 14:00:00, the stock KPF opened at 3.33 VND, reached a high of 3.40 VND, a low of 3.33 VND, and closed the hour at 3.35 VND with a trading volume of 62,200 shares."
2024-05-10 10:00:00,3.36,3.4,3.34,3.34,9500,KPF,"At 2024-05-10 10:00:00, the stock KPF opened at 3.36 VND, reached a high of 3.40 VND, a low of 3.34 VND, and closed the hour at 3.34 VND with a trading volume of 9,500 shares."
2024-05-10 11:00:00,3.34,3.35,3.33,3.33,8700,KPF,"At 2024-05-10 11:00:00, the stock KPF opened at 3.34 VND, reached a high of 3.35 VND, a low of 3.33 VND, and closed the hour at 3.33 VND with a trading volume of 8,700 shares."
2024-05-10 13:00:00,3.33,3.34,3.3,3.3,43200,KPF,"At 2024-05-10 13:00:00, the stock KPF opened at 3.33 VND, reached a high of 3.34 VND, a low of 3.30 VND, and closed the hour at 3.30 VND with a trading volume of 43,200 shares."
2024-05-10 14:00:00,3.3,3.35,3.3,3.33,41200,KPF,"At 2024-05-10 14:00:00, the stock KPF opened at 3.30 VND, reached a high of 3.35 VND, a low of 3.30 VND, and closed the hour at 3.33 VND with a trading volume of 41,200 shares."
2024-05-13 10:00:00,3.38,3.4,3.37,3.37,104800,KPF,"At 2024-05-13 10:00:00, the stock KPF opened at 3.38 VND, reached a high of 3.40 VND, a low of 3.37 VND, and closed the hour at 3.37 VND with a trading volume of 104,800 shares."
2024-05-13 11:00:00,3.37,3.37,3.33,3.33,3800,KPF,"At 2024-05-13 11:00:00, the stock KPF opened at 3.37 VND, reached a high of 3.37 VND, a low of 3.33 VND, and closed the hour at 3.33 VND with a trading volume of 3,800 shares."
2024-05-13 13:00:00,3.33,3.33,3.31,3.31,30500,KPF,"At 2024-05-13 13:00:00, the stock KPF opened at 3.33 VND, reached a high of 3.33 VND, a low of 3.31 VND, and closed the hour at 3.31 VND with a trading volume of 30,500 shares."
2024-05-13 14:00:00,3.31,3.36,3.31,3.35,8500,KPF,"At 2024-05-13 14:00:00, the stock KPF opened at 3.31 VND, reached a high of 3.36 VND, a low of 3.31 VND, and closed the hour at 3.35 VND with a trading volume of 8,500 shares."
2024-05-14 10:00:00,3.42,3.42,3.38,3.38,65800,KPF,"At 2024-05-14 10:00:00, the stock KPF opened at 3.42 VND, reached a high of 3.42 VND, a low of 3.38 VND, and closed the hour at 3.38 VND with a trading volume of 65,800 shares."
2024-05-14 11:00:00,3.38,3.41,3.38,3.38,6300,KPF,"At 2024-05-14 11:00:00, the stock KPF opened at 3.38 VND, reached a high of 3.41 VND, a low of 3.38 VND, and closed the hour at 3.38 VND with a trading volume of 6,300 shares."
2024-05-14 13:00:00,3.38,3.38,3.36,3.36,32000,KPF,"At 2024-05-14 13:00:00, the stock KPF opened at 3.38 VND, reached a high of 3.38 VND, a low of 3.36 VND, and closed the hour at 3.36 VND with a trading volume of 32,000 shares."
2024-05-14 14:00:00,3.36,3.36,3.35,3.35,18100,KPF,"At 2024-05-14 14:00:00, the stock KPF opened at 3.36 VND, reached a high of 3.36 VND, a low of 3.35 VND, and closed the hour at 3.35 VND with a trading volume of 18,100 shares."
2024-05-15 10:00:00,3.35,3.43,3.35,3.38,32400,KPF,"At 2024-05-15 10:00:00, the stock KPF opened at 3.35 VND, reached a high of 3.43 VND, a low of 3.35 VND, and closed the hour at 3.38 VND with a trading volume of 32,400 shares."
2024-05-15 11:00:00,3.38,3.43,3.38,3.41,4000,KPF,"At 2024-05-15 11:00:00, the stock KPF opened at 3.38 VND, reached a high of 3.43 VND, a low of 3.38 VND, and closed the hour at 3.41 VND with a trading volume of 4,000 shares."
2024-05-15 13:00:00,3.41,3.41,3.35,3.38,76200,KPF,"At 2024-05-15 13:00:00, the stock KPF opened at 3.41 VND, reached a high of 3.41 VND, a low of 3.35 VND, and closed the hour at 3.38 VND with a trading volume of 76,200 shares."
2024-05-15 14:00:00,3.38,3.38,3.36,3.36,13700,KPF,"At 2024-05-15 14:00:00, the stock KPF opened at 3.38 VND, reached a high of 3.38 VND, a low of 3.36 VND, and closed the hour at 3.36 VND with a trading volume of 13,700 shares."
2024-05-16 10:00:00,3.39,3.39,3.36,3.39,27100,KPF,"At 2024-05-16 10:00:00, the stock KPF opened at 3.39 VND, reached a high of 3.39 VND, a low of 3.36 VND, and closed the hour at 3.39 VND with a trading volume of 27,100 shares."
2024-05-16 11:00:00,3.39,3.39,3.35,3.35,17000,KPF,"At 2024-05-16 11:00:00, the stock KPF opened at 3.39 VND, reached a high of 3.39 VND, a low of 3.35 VND, and closed the hour at 3.35 VND with a trading volume of 17,000 shares."
2024-05-16 13:00:00,3.35,3.36,3.34,3.35,9500,KPF,"At 2024-05-16 13:00:00, the stock KPF opened at 3.35 VND, reached a high of 3.36 VND, a low of 3.34 VND, and closed the hour at 3.35 VND with a trading volume of 9,500 shares."
2024-05-16 14:00:00,3.35,3.36,3.33,3.36,18200,KPF,"At 2024-05-16 14:00:00, the stock KPF opened at 3.35 VND, reached a high of 3.36 VND, a low of 3.33 VND, and closed the hour at 3.36 VND with a trading volume of 18,200 shares."
2024-05-17 10:00:00,3.32,3.37,3.32,3.37,27000,KPF,"At 2024-05-17 10:00:00, the stock KPF opened at 3.32 VND, reached a high of 3.37 VND, a low of 3.32 VND, and closed the hour at 3.37 VND with a trading volume of 27,000 shares."
2024-05-17 11:00:00,3.37,3.37,3.35,3.35,400,KPF,"At 2024-05-17 11:00:00, the stock KPF opened at 3.37 VND, reached a high of 3.37 VND, a low of 3.35 VND, and closed the hour at 3.35 VND with a trading volume of 400 shares."
2024-05-17 13:00:00,3.35,3.36,3.33,3.33,29700,KPF,"At 2024-05-17 13:00:00, the stock KPF opened at 3.35 VND, reached a high of 3.36 VND, a low of 3.33 VND, and closed the hour at 3.33 VND with a trading volume of 29,700 shares."
2024-05-17 14:00:00,3.33,3.36,3.32,3.33,27100,KPF,"At 2024-05-17 14:00:00, the stock KPF opened at 3.33 VND, reached a high of 3.36 VND, a low of 3.32 VND, and closed the hour at 3.33 VND with a trading volume of 27,100 shares."
2024-05-20 10:00:00,3.38,3.39,3.35,3.35,68200,KPF,"At 2024-05-20 10:00:00, the stock KPF opened at 3.38 VND, reached a high of 3.39 VND, a low of 3.35 VND, and closed the hour at 3.35 VND with a trading volume of 68,200 shares."
2024-05-20 11:00:00,3.35,3.37,3.35,3.37,300,KPF,"At 2024-05-20 11:00:00, the stock KPF opened at 3.35 VND, reached a high of 3.37 VND, a low of 3.35 VND, and closed the hour at 3.37 VND with a trading volume of 300 shares."
2024-05-20 13:00:00,3.37,3.37,3.36,3.37,13100,KPF,"At 2024-05-20 13:00:00, the stock KPF opened at 3.37 VND, reached a high of 3.37 VND, a low of 3.36 VND, and closed the hour at 3.37 VND with a trading volume of 13,100 shares."
2024-05-20 14:00:00,3.37,3.37,3.33,3.36,24200,KPF,"At 2024-05-20 14:00:00, the stock KPF opened at 3.37 VND, reached a high of 3.37 VND, a low of 3.33 VND, and closed the hour at 3.36 VND with a trading volume of 24,200 shares."
2024-05-21 10:00:00,3.37,3.45,3.37,3.4,142000,KPF,"At 2024-05-21 10:00:00, the stock KPF opened at 3.37 VND, reached a high of 3.45 VND, a low of 3.37 VND, and closed the hour at 3.40 VND with a trading volume of 142,000 shares."
2024-05-21 11:00:00,3.4,3.4,3.39,3.39,5000,KPF,"At 2024-05-21 11:00:00, the stock KPF opened at 3.40 VND, reached a high of 3.40 VND, a low of 3.39 VND, and closed the hour at 3.39 VND with a trading volume of 5,000 shares."
2024-05-21 13:00:00,3.39,3.4,3.35,3.39,26300,KPF,"At 2024-05-21 13:00:00, the stock KPF opened at 3.39 VND, reached a high of 3.40 VND, a low of 3.35 VND, and closed the hour at 3.39 VND with a trading volume of 26,300 shares."
2024-05-21 14:00:00,3.39,3.4,3.37,3.4,45300,KPF,"At 2024-05-21 14:00:00, the stock KPF opened at 3.39 VND, reached a high of 3.40 VND, a low of 3.37 VND, and closed the hour at 3.40 VND with a trading volume of 45,300 shares."
2024-05-22 10:00:00,3.41,3.43,3.4,3.43,64500,KPF,"At 2024-05-22 10:00:00, the stock KPF opened at 3.41 VND, reached a high of 3.43 VND, a low of 3.40 VND, and closed the hour at 3.43 VND with a trading volume of 64,500 shares."
2024-05-22 11:00:00,3.43,3.43,3.41,3.41,23500,KPF,"At 2024-05-22 11:00:00, the stock KPF opened at 3.43 VND, reached a high of 3.43 VND, a low of 3.41 VND, and closed the hour at 3.41 VND with a trading volume of 23,500 shares."
