time,open,high,low,close,volume,ticker,llm_text
2024-08-21 13:00:00,38.29,38.29,38.29,38.29,100,KTS,"At 2024-08-21 13:00:00, the stock KTS opened at 38.29 VND, reached a high of 38.29 VND, a low of 38.29 VND, and closed the hour at 38.29 VND with a trading volume of 100 shares."
2024-08-22 09:00:00,38.96,38.96,38.29,38.29,300,KTS,"At 2024-08-22 09:00:00, the stock KTS opened at 38.96 VND, reached a high of 38.96 VND, a low of 38.29 VND, and closed the hour at 38.29 VND with a trading volume of 300 shares."
2024-08-22 10:00:00,37.82,37.82,37.82,37.82,100,KTS,"At 2024-08-22 10:00:00, the stock KTS opened at 37.82 VND, reached a high of 37.82 VND, a low of 37.82 VND, and closed the hour at 37.82 VND with a trading volume of 100 shares."
2024-08-22 11:00:00,37.72,37.72,36.38,36.38,1900,KTS,"At 2024-08-22 11:00:00, the stock KTS opened at 37.72 VND, reached a high of 37.72 VND, a low of 36.38 VND, and closed the hour at 36.38 VND with a trading volume of 1,900 shares."
2024-08-22 13:00:00,38.2,38.2,38.2,38.2,100,KTS,"At 2024-08-22 13:00:00, the stock KTS opened at 38.20 VND, reached a high of 38.20 VND, a low of 38.20 VND, and closed the hour at 38.20 VND with a trading volume of 100 shares."
2024-08-22 14:00:00,38.29,38.87,38.29,38.87,900,KTS,"At 2024-08-22 14:00:00, the stock KTS opened at 38.29 VND, reached a high of 38.87 VND, a low of 38.29 VND, and closed the hour at 38.87 VND with a trading volume of 900 shares."
2024-08-26 09:00:00,39.25,40.02,39.25,40.02,1200,KTS,"At 2024-08-26 09:00:00, the stock KTS opened at 39.25 VND, reached a high of 40.02 VND, a low of 39.25 VND, and closed the hour at 40.02 VND with a trading volume of 1,200 shares."
2024-08-28 13:00:00,38.29,38.29,38.29,38.29,1000,KTS,"At 2024-08-28 13:00:00, the stock KTS opened at 38.29 VND, reached a high of 38.29 VND, a low of 38.29 VND, and closed the hour at 38.29 VND with a trading volume of 1,000 shares."
2024-08-28 14:00:00,38.77,38.77,38.77,38.77,200,KTS,"At 2024-08-28 14:00:00, the stock KTS opened at 38.77 VND, reached a high of 38.77 VND, a low of 38.77 VND, and closed the hour at 38.77 VND with a trading volume of 200 shares."
2024-08-29 09:00:00,38.77,40.5,38.77,40.5,400,KTS,"At 2024-08-29 09:00:00, the stock KTS opened at 38.77 VND, reached a high of 40.50 VND, a low of 38.77 VND, and closed the hour at 40.50 VND with a trading volume of 400 shares."
2024-08-29 14:00:00,39.16,39.83,39.16,39.83,200,KTS,"At 2024-08-29 14:00:00, the stock KTS opened at 39.16 VND, reached a high of 39.83 VND, a low of 39.16 VND, and closed the hour at 39.83 VND with a trading volume of 200 shares."
2024-09-04 09:00:00,38.87,39.16,38.87,39.16,1500,KTS,"At 2024-09-04 09:00:00, the stock KTS opened at 38.87 VND, reached a high of 39.16 VND, a low of 38.87 VND, and closed the hour at 39.16 VND with a trading volume of 1,500 shares."
2024-09-04 10:00:00,38.87,39.44,38.87,39.44,900,KTS,"At 2024-09-04 10:00:00, the stock KTS opened at 38.87 VND, reached a high of 39.44 VND, a low of 38.87 VND, and closed the hour at 39.44 VND with a trading volume of 900 shares."
2024-09-04 13:00:00,39.73,40.21,39.73,40.21,700,KTS,"At 2024-09-04 13:00:00, the stock KTS opened at 39.73 VND, reached a high of 40.21 VND, a low of 39.73 VND, and closed the hour at 40.21 VND with a trading volume of 700 shares."
2024-09-05 09:00:00,40.21,40.21,40.21,40.21,200,KTS,"At 2024-09-05 09:00:00, the stock KTS opened at 40.21 VND, reached a high of 40.21 VND, a low of 40.21 VND, and closed the hour at 40.21 VND with a trading volume of 200 shares."
2024-09-05 13:00:00,40.11,40.11,40.11,40.11,100,KTS,"At 2024-09-05 13:00:00, the stock KTS opened at 40.11 VND, reached a high of 40.11 VND, a low of 40.11 VND, and closed the hour at 40.11 VND with a trading volume of 100 shares."
2024-09-05 14:00:00,39.73,39.83,39.63,39.83,1400,KTS,"At 2024-09-05 14:00:00, the stock KTS opened at 39.73 VND, reached a high of 39.83 VND, a low of 39.63 VND, and closed the hour at 39.83 VND with a trading volume of 1,400 shares."
2024-09-06 09:00:00,40.69,40.69,40.69,40.69,200,KTS,"At 2024-09-06 09:00:00, the stock KTS opened at 40.69 VND, reached a high of 40.69 VND, a low of 40.69 VND, and closed the hour at 40.69 VND with a trading volume of 200 shares."
2024-09-06 13:00:00,39.25,40.59,39.25,40.59,200,KTS,"At 2024-09-06 13:00:00, the stock KTS opened at 39.25 VND, reached a high of 40.59 VND, a low of 39.25 VND, and closed the hour at 40.59 VND with a trading volume of 200 shares."
2024-09-09 14:00:00,38.29,40.02,38.29,40.02,700,KTS,"At 2024-09-09 14:00:00, the stock KTS opened at 38.29 VND, reached a high of 40.02 VND, a low of 38.29 VND, and closed the hour at 40.02 VND with a trading volume of 700 shares."
2024-09-10 09:00:00,40.69,40.69,40.69,40.69,100,KTS,"At 2024-09-10 09:00:00, the stock KTS opened at 40.69 VND, reached a high of 40.69 VND, a low of 40.69 VND, and closed the hour at 40.69 VND with a trading volume of 100 shares."
2024-09-10 14:00:00,36.86,36.86,36.86,36.86,400,KTS,"At 2024-09-10 14:00:00, the stock KTS opened at 36.86 VND, reached a high of 36.86 VND, a low of 36.86 VND, and closed the hour at 36.86 VND with a trading volume of 400 shares."
2024-09-11 09:00:00,40.21,40.21,36.95,36.95,700,KTS,"At 2024-09-11 09:00:00, the stock KTS opened at 40.21 VND, reached a high of 40.21 VND, a low of 36.95 VND, and closed the hour at 36.95 VND with a trading volume of 700 shares."
2024-09-11 10:00:00,36.86,39.73,36.86,39.73,1500,KTS,"At 2024-09-11 10:00:00, the stock KTS opened at 36.86 VND, reached a high of 39.73 VND, a low of 36.86 VND, and closed the hour at 39.73 VND with a trading volume of 1,500 shares."
2024-09-12 13:00:00,39.73,39.73,39.73,39.73,400,KTS,"At 2024-09-12 13:00:00, the stock KTS opened at 39.73 VND, reached a high of 39.73 VND, a low of 39.73 VND, and closed the hour at 39.73 VND with a trading volume of 400 shares."
2024-09-12 14:00:00,39.73,39.73,39.73,39.73,600,KTS,"At 2024-09-12 14:00:00, the stock KTS opened at 39.73 VND, reached a high of 39.73 VND, a low of 39.73 VND, and closed the hour at 39.73 VND with a trading volume of 600 shares."
2024-09-13 09:00:00,40.21,42.12,40.21,42.12,200,KTS,"At 2024-09-13 09:00:00, the stock KTS opened at 40.21 VND, reached a high of 42.12 VND, a low of 40.21 VND, and closed the hour at 42.12 VND with a trading volume of 200 shares."
2024-09-13 10:00:00,39.73,39.73,39.73,39.73,100,KTS,"At 2024-09-13 10:00:00, the stock KTS opened at 39.73 VND, reached a high of 39.73 VND, a low of 39.73 VND, and closed the hour at 39.73 VND with a trading volume of 100 shares."
2024-09-13 14:00:00,38.77,38.77,38.77,38.77,200,KTS,"At 2024-09-13 14:00:00, the stock KTS opened at 38.77 VND, reached a high of 38.77 VND, a low of 38.77 VND, and closed the hour at 38.77 VND with a trading volume of 200 shares."
2024-09-16 09:00:00,38.77,38.77,38.77,38.77,700,KTS,"At 2024-09-16 09:00:00, the stock KTS opened at 38.77 VND, reached a high of 38.77 VND, a low of 38.77 VND, and closed the hour at 38.77 VND with a trading volume of 700 shares."
2024-09-16 10:00:00,39.73,39.73,39.44,39.44,500,KTS,"At 2024-09-16 10:00:00, the stock KTS opened at 39.73 VND, reached a high of 39.73 VND, a low of 39.44 VND, and closed the hour at 39.44 VND with a trading volume of 500 shares."
2024-09-16 14:00:00,38.77,39.25,38.77,39.25,200,KTS,"At 2024-09-16 14:00:00, the stock KTS opened at 38.77 VND, reached a high of 39.25 VND, a low of 38.77 VND, and closed the hour at 39.25 VND with a trading volume of 200 shares."
2024-09-17 09:00:00,39.16,39.73,39.16,39.73,500,KTS,"At 2024-09-17 09:00:00, the stock KTS opened at 39.16 VND, reached a high of 39.73 VND, a low of 39.16 VND, and closed the hour at 39.73 VND with a trading volume of 500 shares."
2024-09-18 09:00:00,39.25,40.21,39.25,40.21,900,KTS,"At 2024-09-18 09:00:00, the stock KTS opened at 39.25 VND, reached a high of 40.21 VND, a low of 39.25 VND, and closed the hour at 40.21 VND with a trading volume of 900 shares."
2024-09-18 10:00:00,39.25,39.25,39.25,39.25,500,KTS,"At 2024-09-18 10:00:00, the stock KTS opened at 39.25 VND, reached a high of 39.25 VND, a low of 39.25 VND, and closed the hour at 39.25 VND with a trading volume of 500 shares."
2024-09-18 13:00:00,39.44,40.21,39.44,40.02,2300,KTS,"At 2024-09-18 13:00:00, the stock KTS opened at 39.44 VND, reached a high of 40.21 VND, a low of 39.44 VND, and closed the hour at 40.02 VND with a trading volume of 2,300 shares."
2024-09-18 14:00:00,40.02,40.02,40.02,40.02,100,KTS,"At 2024-09-18 14:00:00, the stock KTS opened at 40.02 VND, reached a high of 40.02 VND, a low of 40.02 VND, and closed the hour at 40.02 VND with a trading volume of 100 shares."
2024-09-19 09:00:00,40.69,40.69,40.69,40.69,100,KTS,"At 2024-09-19 09:00:00, the stock KTS opened at 40.69 VND, reached a high of 40.69 VND, a low of 40.69 VND, and closed the hour at 40.69 VND with a trading volume of 100 shares."
2024-09-19 10:00:00,38.96,40.21,38.96,40.21,1000,KTS,"At 2024-09-19 10:00:00, the stock KTS opened at 38.96 VND, reached a high of 40.21 VND, a low of 38.96 VND, and closed the hour at 40.21 VND with a trading volume of 1,000 shares."
2024-09-20 09:00:00,40.69,40.69,39.73,40.21,1600,KTS,"At 2024-09-20 09:00:00, the stock KTS opened at 40.69 VND, reached a high of 40.69 VND, a low of 39.73 VND, and closed the hour at 40.21 VND with a trading volume of 1,600 shares."
2024-09-20 10:00:00,40.21,40.21,40.21,40.21,1300,KTS,"At 2024-09-20 10:00:00, the stock KTS opened at 40.21 VND, reached a high of 40.21 VND, a low of 40.21 VND, and closed the hour at 40.21 VND with a trading volume of 1,300 shares."
2024-09-20 11:00:00,40.21,40.21,40.21,40.21,500,KTS,"At 2024-09-20 11:00:00, the stock KTS opened at 40.21 VND, reached a high of 40.21 VND, a low of 40.21 VND, and closed the hour at 40.21 VND with a trading volume of 500 shares."
2024-09-20 13:00:00,40.59,41.17,40.59,41.17,1000,KTS,"At 2024-09-20 13:00:00, the stock KTS opened at 40.59 VND, reached a high of 41.17 VND, a low of 40.59 VND, and closed the hour at 41.17 VND with a trading volume of 1,000 shares."
2024-09-23 09:00:00,41.65,41.65,41.36,41.36,1100,KTS,"At 2024-09-23 09:00:00, the stock KTS opened at 41.65 VND, reached a high of 41.65 VND, a low of 41.36 VND, and closed the hour at 41.36 VND with a trading volume of 1,100 shares."
2024-09-23 10:00:00,41.36,41.36,41.36,41.36,100,KTS,"At 2024-09-23 10:00:00, the stock KTS opened at 41.36 VND, reached a high of 41.36 VND, a low of 41.36 VND, and closed the hour at 41.36 VND with a trading volume of 100 shares."
2024-09-23 11:00:00,41.36,41.36,41.36,41.36,400,KTS,"At 2024-09-23 11:00:00, the stock KTS opened at 41.36 VND, reached a high of 41.36 VND, a low of 41.36 VND, and closed the hour at 41.36 VND with a trading volume of 400 shares."
