time,open,high,low,close,volume,ticker,llm_text
2023-09-11 14:00:00,11.0,11.0,11.0,11.0,100,LMC,"At 2023-09-11 14:00:00, the stock LMC opened at 11.00 VND, reached a high of 11.00 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 100 shares."
2023-09-29 14:00:00,12.6,12.6,12.6,12.6,100,LMC,"At 2023-09-29 14:00:00, the stock LMC opened at 12.60 VND, reached a high of 12.60 VND, a low of 12.60 VND, and closed the hour at 12.60 VND with a trading volume of 100 shares."
2023-10-04 09:00:00,10.8,10.8,10.8,10.8,200,LMC,"At 2023-10-04 09:00:00, the stock LMC opened at 10.80 VND, reached a high of 10.80 VND, a low of 10.80 VND, and closed the hour at 10.80 VND with a trading volume of 200 shares."
2023-10-05 14:00:00,12.4,12.4,12.4,12.4,100,LMC,"At 2023-10-05 14:00:00, the stock LMC opened at 12.40 VND, reached a high of 12.40 VND, a low of 12.40 VND, and closed the hour at 12.40 VND with a trading volume of 100 shares."
2023-10-12 14:00:00,14.2,14.2,14.2,14.2,100,LMC,"At 2023-10-12 14:00:00, the stock LMC opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 100 shares."
2023-10-18 10:00:00,16.3,16.3,16.3,16.3,100,LMC,"At 2023-10-18 10:00:00, the stock LMC opened at 16.30 VND, reached a high of 16.30 VND, a low of 16.30 VND, and closed the hour at 16.30 VND with a trading volume of 100 shares."
2023-10-27 13:00:00,15.0,15.0,15.0,15.0,100,LMC,"At 2023-10-27 13:00:00, the stock LMC opened at 15.00 VND, reached a high of 15.00 VND, a low of 15.00 VND, and closed the hour at 15.00 VND with a trading volume of 100 shares."
2023-11-07 11:00:00,14.5,14.5,14.5,14.5,100,LMC,"At 2023-11-07 11:00:00, the stock LMC opened at 14.50 VND, reached a high of 14.50 VND, a low of 14.50 VND, and closed the hour at 14.50 VND with a trading volume of 100 shares."
2023-11-09 11:00:00,14.5,14.5,14.5,14.5,100,LMC,"At 2023-11-09 11:00:00, the stock LMC opened at 14.50 VND, reached a high of 14.50 VND, a low of 14.50 VND, and closed the hour at 14.50 VND with a trading volume of 100 shares."
2023-11-28 14:00:00,16.5,16.5,16.5,16.5,100,LMC,"At 2023-11-28 14:00:00, the stock LMC opened at 16.50 VND, reached a high of 16.50 VND, a low of 16.50 VND, and closed the hour at 16.50 VND with a trading volume of 100 shares."
2023-12-22 09:00:00,18.9,18.9,18.9,18.9,100,LMC,"At 2023-12-22 09:00:00, the stock LMC opened at 18.90 VND, reached a high of 18.90 VND, a low of 18.90 VND, and closed the hour at 18.90 VND with a trading volume of 100 shares."
2023-12-22 14:00:00,14.5,14.5,14.5,14.5,300,LMC,"At 2023-12-22 14:00:00, the stock LMC opened at 14.50 VND, reached a high of 14.50 VND, a low of 14.50 VND, and closed the hour at 14.50 VND with a trading volume of 300 shares."
