time,open,high,low,close,volume,ticker,llm_text
2025-08-29 11:00:00,45.7,45.7,45.7,45.7,1800,ODE,"At 2025-08-29 11:00:00, the stock ODE opened at 45.70 VND, reached a high of 45.70 VND, a low of 45.70 VND, and closed the hour at 45.70 VND with a trading volume of 1,800 shares."
2025-08-29 13:00:00,45.6,45.7,45.5,45.6,6100,ODE,"At 2025-08-29 13:00:00, the stock ODE opened at 45.60 VND, reached a high of 45.70 VND, a low of 45.50 VND, and closed the hour at 45.60 VND with a trading volume of 6,100 shares."
2025-08-29 14:00:00,45.6,45.6,45.6,45.6,1900,ODE,"At 2025-08-29 14:00:00, the stock ODE opened at 45.60 VND, reached a high of 45.60 VND, a low of 45.60 VND, and closed the hour at 45.60 VND with a trading volume of 1,900 shares."
2025-09-03 09:00:00,45.7,45.7,45.5,45.6,6000,ODE,"At 2025-09-03 09:00:00, the stock ODE opened at 45.70 VND, reached a high of 45.70 VND, a low of 45.50 VND, and closed the hour at 45.60 VND with a trading volume of 6,000 shares."
2025-09-03 10:00:00,45.6,45.7,45.6,45.7,7100,ODE,"At 2025-09-03 10:00:00, the stock ODE opened at 45.60 VND, reached a high of 45.70 VND, a low of 45.60 VND, and closed the hour at 45.70 VND with a trading volume of 7,100 shares."
2025-09-03 11:00:00,45.6,45.6,45.6,45.6,1300,ODE,"At 2025-09-03 11:00:00, the stock ODE opened at 45.60 VND, reached a high of 45.60 VND, a low of 45.60 VND, and closed the hour at 45.60 VND with a trading volume of 1,300 shares."
2025-09-03 13:00:00,45.5,45.7,45.5,45.7,4700,ODE,"At 2025-09-03 13:00:00, the stock ODE opened at 45.50 VND, reached a high of 45.70 VND, a low of 45.50 VND, and closed the hour at 45.70 VND with a trading volume of 4,700 shares."
2025-09-03 14:00:00,45.6,45.6,45.6,45.6,1300,ODE,"At 2025-09-03 14:00:00, the stock ODE opened at 45.60 VND, reached a high of 45.60 VND, a low of 45.60 VND, and closed the hour at 45.60 VND with a trading volume of 1,300 shares."
2025-09-04 09:00:00,45.6,45.8,45.6,45.8,4500,ODE,"At 2025-09-04 09:00:00, the stock ODE opened at 45.60 VND, reached a high of 45.80 VND, a low of 45.60 VND, and closed the hour at 45.80 VND with a trading volume of 4,500 shares."
2025-09-04 10:00:00,45.6,45.8,45.6,45.8,6100,ODE,"At 2025-09-04 10:00:00, the stock ODE opened at 45.60 VND, reached a high of 45.80 VND, a low of 45.60 VND, and closed the hour at 45.80 VND with a trading volume of 6,100 shares."
2025-09-04 13:00:00,45.7,45.7,45.6,45.7,4800,ODE,"At 2025-09-04 13:00:00, the stock ODE opened at 45.70 VND, reached a high of 45.70 VND, a low of 45.60 VND, and closed the hour at 45.70 VND with a trading volume of 4,800 shares."
2025-09-04 14:00:00,45.8,45.8,45.6,45.7,4800,ODE,"At 2025-09-04 14:00:00, the stock ODE opened at 45.80 VND, reached a high of 45.80 VND, a low of 45.60 VND, and closed the hour at 45.70 VND with a trading volume of 4,800 shares."
2025-09-05 09:00:00,45.7,46.0,45.7,46.0,7000,ODE,"At 2025-09-05 09:00:00, the stock ODE opened at 45.70 VND, reached a high of 46.00 VND, a low of 45.70 VND, and closed the hour at 46.00 VND with a trading volume of 7,000 shares."
2025-09-05 10:00:00,45.9,45.9,45.6,45.7,5200,ODE,"At 2025-09-05 10:00:00, the stock ODE opened at 45.90 VND, reached a high of 45.90 VND, a low of 45.60 VND, and closed the hour at 45.70 VND with a trading volume of 5,200 shares."
2025-09-05 11:00:00,45.8,45.8,45.8,45.8,1200,ODE,"At 2025-09-05 11:00:00, the stock ODE opened at 45.80 VND, reached a high of 45.80 VND, a low of 45.80 VND, and closed the hour at 45.80 VND with a trading volume of 1,200 shares."
2025-09-05 13:00:00,45.7,45.8,45.7,45.8,4700,ODE,"At 2025-09-05 13:00:00, the stock ODE opened at 45.70 VND, reached a high of 45.80 VND, a low of 45.70 VND, and closed the hour at 45.80 VND with a trading volume of 4,700 shares."
2025-09-05 14:00:00,45.9,45.9,45.9,45.9,1200,ODE,"At 2025-09-05 14:00:00, the stock ODE opened at 45.90 VND, reached a high of 45.90 VND, a low of 45.90 VND, and closed the hour at 45.90 VND with a trading volume of 1,200 shares."
2025-09-08 09:00:00,45.8,45.8,45.6,45.7,5600,ODE,"At 2025-09-08 09:00:00, the stock ODE opened at 45.80 VND, reached a high of 45.80 VND, a low of 45.60 VND, and closed the hour at 45.70 VND with a trading volume of 5,600 shares."
2025-09-08 10:00:00,45.7,45.7,45.6,45.7,4800,ODE,"At 2025-09-08 10:00:00, the stock ODE opened at 45.70 VND, reached a high of 45.70 VND, a low of 45.60 VND, and closed the hour at 45.70 VND with a trading volume of 4,800 shares."
2025-09-08 11:00:00,45.7,45.7,45.7,45.7,1000,ODE,"At 2025-09-08 11:00:00, the stock ODE opened at 45.70 VND, reached a high of 45.70 VND, a low of 45.70 VND, and closed the hour at 45.70 VND with a trading volume of 1,000 shares."
2025-09-08 13:00:00,45.7,45.7,45.6,45.7,6600,ODE,"At 2025-09-08 13:00:00, the stock ODE opened at 45.70 VND, reached a high of 45.70 VND, a low of 45.60 VND, and closed the hour at 45.70 VND with a trading volume of 6,600 shares."
