time,open,high,low,close,volume,ticker,llm_text
2025-09-10 14:00:00,23.3,23.5,23.15,23.4,2613200,PDR,"At 2025-09-10 14:00:00, the stock PDR opened at 23.30 VND, reached a high of 23.50 VND, a low of 23.15 VND, and closed the hour at 23.40 VND with a trading volume of 2,613,200 shares."
2025-09-11 09:00:00,23.15,23.4,22.45,22.65,8658400,PDR,"At 2025-09-11 09:00:00, the stock PDR opened at 23.15 VND, reached a high of 23.40 VND, a low of 22.45 VND, and closed the hour at 22.65 VND with a trading volume of 8,658,400 shares."
2025-09-11 10:00:00,22.65,22.85,22.4,22.55,4028200,PDR,"At 2025-09-11 10:00:00, the stock PDR opened at 22.65 VND, reached a high of 22.85 VND, a low of 22.40 VND, and closed the hour at 22.55 VND with a trading volume of 4,028,200 shares."
2025-09-11 11:00:00,22.55,22.85,22.5,22.75,1328600,PDR,"At 2025-09-11 11:00:00, the stock PDR opened at 22.55 VND, reached a high of 22.85 VND, a low of 22.50 VND, and closed the hour at 22.75 VND with a trading volume of 1,328,600 shares."
2025-09-11 13:00:00,22.7,23.15,22.6,22.9,3912800,PDR,"At 2025-09-11 13:00:00, the stock PDR opened at 22.70 VND, reached a high of 23.15 VND, a low of 22.60 VND, and closed the hour at 22.90 VND with a trading volume of 3,912,800 shares."
2025-09-11 14:00:00,22.95,23.55,22.85,23.4,5961000,PDR,"At 2025-09-11 14:00:00, the stock PDR opened at 22.95 VND, reached a high of 23.55 VND, a low of 22.85 VND, and closed the hour at 23.40 VND with a trading volume of 5,961,000 shares."
2025-09-12 09:00:00,23.55,24.35,23.55,24.05,7706800,PDR,"At 2025-09-12 09:00:00, the stock PDR opened at 23.55 VND, reached a high of 24.35 VND, a low of 23.55 VND, and closed the hour at 24.05 VND with a trading volume of 7,706,800 shares."
2025-09-12 10:00:00,24.05,24.05,23.8,23.85,2525500,PDR,"At 2025-09-12 10:00:00, the stock PDR opened at 24.05 VND, reached a high of 24.05 VND, a low of 23.80 VND, and closed the hour at 23.85 VND with a trading volume of 2,525,500 shares."
2025-09-12 11:00:00,23.85,23.95,23.8,23.85,976300,PDR,"At 2025-09-12 11:00:00, the stock PDR opened at 23.85 VND, reached a high of 23.95 VND, a low of 23.80 VND, and closed the hour at 23.85 VND with a trading volume of 976,300 shares."
2025-09-12 13:00:00,23.85,23.85,23.55,23.55,5332700,PDR,"At 2025-09-12 13:00:00, the stock PDR opened at 23.85 VND, reached a high of 23.85 VND, a low of 23.55 VND, and closed the hour at 23.55 VND with a trading volume of 5,332,700 shares."
