time,open,high,low,close,volume,ticker,llm_text
2025-09-10 14:00:00,29.51,30.05,29.36,29.36,483700,PET,"At 2025-09-10 14:00:00, the stock PET opened at 29.51 VND, reached a high of 30.05 VND, a low of 29.36 VND, and closed the hour at 29.36 VND with a trading volume of 483,700 shares."
2025-09-11 09:00:00,29.75,29.75,28.57,28.67,373900,PET,"At 2025-09-11 09:00:00, the stock PET opened at 29.75 VND, reached a high of 29.75 VND, a low of 28.57 VND, and closed the hour at 28.67 VND with a trading volume of 373,900 shares."
2025-09-11 10:00:00,28.67,29.06,27.39,28.72,549300,PET,"At 2025-09-11 10:00:00, the stock PET opened at 28.67 VND, reached a high of 29.06 VND, a low of 27.39 VND, and closed the hour at 28.72 VND with a trading volume of 549,300 shares."
2025-09-11 11:00:00,28.67,28.72,28.42,28.67,186800,PET,"At 2025-09-11 11:00:00, the stock PET opened at 28.67 VND, reached a high of 28.72 VND, a low of 28.42 VND, and closed the hour at 28.67 VND with a trading volume of 186,800 shares."
2025-09-11 13:00:00,28.52,29.65,28.37,29.51,907800,PET,"At 2025-09-11 13:00:00, the stock PET opened at 28.52 VND, reached a high of 29.65 VND, a low of 28.37 VND, and closed the hour at 29.51 VND with a trading volume of 907,800 shares."
2025-09-11 14:00:00,29.51,29.51,29.36,29.51,350100,PET,"At 2025-09-11 14:00:00, the stock PET opened at 29.51 VND, reached a high of 29.51 VND, a low of 29.36 VND, and closed the hour at 29.51 VND with a trading volume of 350,100 shares."
2025-09-12 09:00:00,29.56,29.8,29.51,29.61,224100,PET,"At 2025-09-12 09:00:00, the stock PET opened at 29.56 VND, reached a high of 29.80 VND, a low of 29.51 VND, and closed the hour at 29.61 VND with a trading volume of 224,100 shares."
2025-09-12 10:00:00,29.61,29.65,29.51,29.61,255200,PET,"At 2025-09-12 10:00:00, the stock PET opened at 29.61 VND, reached a high of 29.65 VND, a low of 29.51 VND, and closed the hour at 29.61 VND with a trading volume of 255,200 shares."
2025-09-12 11:00:00,29.61,29.65,29.56,29.65,148900,PET,"At 2025-09-12 11:00:00, the stock PET opened at 29.61 VND, reached a high of 29.65 VND, a low of 29.56 VND, and closed the hour at 29.65 VND with a trading volume of 148,900 shares."
2025-09-12 13:00:00,29.65,30.64,29.56,30.29,899900,PET,"At 2025-09-12 13:00:00, the stock PET opened at 29.65 VND, reached a high of 30.64 VND, a low of 29.56 VND, and closed the hour at 30.29 VND with a trading volume of 899,900 shares."
2025-09-12 14:00:00,30.29,30.34,30.1,30.15,222100,PET,"At 2025-09-12 14:00:00, the stock PET opened at 30.29 VND, reached a high of 30.34 VND, a low of 30.10 VND, and closed the hour at 30.15 VND with a trading volume of 222,100 shares."
2025-09-15 09:00:00,30.15,30.74,30.15,30.54,404500,PET,"At 2025-09-15 09:00:00, the stock PET opened at 30.15 VND, reached a high of 30.74 VND, a low of 30.15 VND, and closed the hour at 30.54 VND with a trading volume of 404,500 shares."
