time,open,high,low,close,volume,ticker,llm_text
2023-09-11 09:00:00,22.27,22.27,22.27,22.27,100,PIA,"At 2023-09-11 09:00:00, the stock PIA opened at 22.27 VND, reached a high of 22.27 VND, a low of 22.27 VND, and closed the hour at 22.27 VND with a trading volume of 100 shares."
2023-09-11 11:00:00,24.74,25.18,24.74,25.18,400,PIA,"At 2023-09-11 11:00:00, the stock PIA opened at 24.74 VND, reached a high of 25.18 VND, a low of 24.74 VND, and closed the hour at 25.18 VND with a trading volume of 400 shares."
2023-09-12 09:00:00,22.71,22.71,22.71,22.71,100,PIA,"At 2023-09-12 09:00:00, the stock PIA opened at 22.71 VND, reached a high of 22.71 VND, a low of 22.71 VND, and closed the hour at 22.71 VND with a trading volume of 100 shares."
2023-09-12 10:00:00,27.64,27.64,27.64,27.64,100,PIA,"At 2023-09-12 10:00:00, the stock PIA opened at 27.64 VND, reached a high of 27.64 VND, a low of 27.64 VND, and closed the hour at 27.64 VND with a trading volume of 100 shares."
2023-09-13 09:00:00,24.91,24.91,24.91,24.91,100,PIA,"At 2023-09-13 09:00:00, the stock PIA opened at 24.91 VND, reached a high of 24.91 VND, a low of 24.91 VND, and closed the hour at 24.91 VND with a trading volume of 100 shares."
2023-09-15 09:00:00,22.62,22.62,22.62,22.62,100,PIA,"At 2023-09-15 09:00:00, the stock PIA opened at 22.62 VND, reached a high of 22.62 VND, a low of 22.62 VND, and closed the hour at 22.62 VND with a trading volume of 100 shares."
2023-09-15 14:00:00,27.38,27.38,27.38,27.38,100,PIA,"At 2023-09-15 14:00:00, the stock PIA opened at 27.38 VND, reached a high of 27.38 VND, a low of 27.38 VND, and closed the hour at 27.38 VND with a trading volume of 100 shares."
2023-09-18 09:00:00,24.65,24.65,24.65,24.65,100,PIA,"At 2023-09-18 09:00:00, the stock PIA opened at 24.65 VND, reached a high of 24.65 VND, a low of 24.65 VND, and closed the hour at 24.65 VND with a trading volume of 100 shares."
2023-09-20 09:00:00,22.54,22.54,22.54,22.54,100,PIA,"At 2023-09-20 09:00:00, the stock PIA opened at 22.54 VND, reached a high of 22.54 VND, a low of 22.54 VND, and closed the hour at 22.54 VND with a trading volume of 100 shares."
2023-09-20 14:00:00,25.18,25.18,25.18,25.18,100,PIA,"At 2023-09-20 14:00:00, the stock PIA opened at 25.18 VND, reached a high of 25.18 VND, a low of 25.18 VND, and closed the hour at 25.18 VND with a trading volume of 100 shares."
