time,open,high,low,close,volume,ticker,llm_text
2024-06-05 09:00:00,33.14,36.2,33.14,36.2,11500,PMS,"At 2024-06-05 09:00:00, the stock PMS opened at 33.14 VND, reached a high of 36.20 VND, a low of 33.14 VND, and closed the hour at 36.20 VND with a trading volume of 11,500 shares."
2024-06-05 10:00:00,35.52,36.03,34.76,35.43,4500,PMS,"At 2024-06-05 10:00:00, the stock PMS opened at 35.52 VND, reached a high of 36.03 VND, a low of 34.76 VND, and closed the hour at 35.43 VND with a trading volume of 4,500 shares."
2024-06-05 11:00:00,35.43,35.43,35.43,35.43,700,PMS,"At 2024-06-05 11:00:00, the stock PMS opened at 35.43 VND, reached a high of 35.43 VND, a low of 35.43 VND, and closed the hour at 35.43 VND with a trading volume of 700 shares."
2024-06-05 13:00:00,35.26,35.26,34.84,35.26,3100,PMS,"At 2024-06-05 13:00:00, the stock PMS opened at 35.26 VND, reached a high of 35.26 VND, a low of 34.84 VND, and closed the hour at 35.26 VND with a trading volume of 3,100 shares."
2024-06-05 14:00:00,35.09,35.09,34.84,35.09,1200,PMS,"At 2024-06-05 14:00:00, the stock PMS opened at 35.09 VND, reached a high of 35.09 VND, a low of 34.84 VND, and closed the hour at 35.09 VND with a trading volume of 1,200 shares."
2024-06-06 09:00:00,36.03,36.03,35.18,35.18,1000,PMS,"At 2024-06-06 09:00:00, the stock PMS opened at 36.03 VND, reached a high of 36.03 VND, a low of 35.18 VND, and closed the hour at 35.18 VND with a trading volume of 1,000 shares."
2024-06-06 10:00:00,35.18,35.18,35.09,35.09,5800,PMS,"At 2024-06-06 10:00:00, the stock PMS opened at 35.18 VND, reached a high of 35.18 VND, a low of 35.09 VND, and closed the hour at 35.09 VND with a trading volume of 5,800 shares."
2024-06-06 11:00:00,35.09,35.09,35.09,35.09,500,PMS,"At 2024-06-06 11:00:00, the stock PMS opened at 35.09 VND, reached a high of 35.09 VND, a low of 35.09 VND, and closed the hour at 35.09 VND with a trading volume of 500 shares."
2024-06-06 13:00:00,34.76,34.76,33.91,34.59,7300,PMS,"At 2024-06-06 13:00:00, the stock PMS opened at 34.76 VND, reached a high of 34.76 VND, a low of 33.91 VND, and closed the hour at 34.59 VND with a trading volume of 7,300 shares."
2024-06-06 14:00:00,34.59,35.09,34.25,35.09,5200,PMS,"At 2024-06-06 14:00:00, the stock PMS opened at 34.59 VND, reached a high of 35.09 VND, a low of 34.25 VND, and closed the hour at 35.09 VND with a trading volume of 5,200 shares."
2024-06-07 09:00:00,36.89,36.89,34.13,34.13,3800,PMS,"At 2024-06-07 09:00:00, the stock PMS opened at 36.89 VND, reached a high of 36.89 VND, a low of 34.13 VND, and closed the hour at 34.13 VND with a trading volume of 3,800 shares."
2024-06-07 10:00:00,34.13,34.13,31.82,33.11,1100,PMS,"At 2024-06-07 10:00:00, the stock PMS opened at 34.13 VND, reached a high of 34.13 VND, a low of 31.82 VND, and closed the hour at 33.11 VND with a trading volume of 1,100 shares."
2024-06-07 11:00:00,34.13,34.22,34.13,34.22,6500,PMS,"At 2024-06-07 11:00:00, the stock PMS opened at 34.13 VND, reached a high of 34.22 VND, a low of 34.13 VND, and closed the hour at 34.22 VND with a trading volume of 6,500 shares."
2024-06-07 13:00:00,34.59,34.59,33.94,33.94,3200,PMS,"At 2024-06-07 13:00:00, the stock PMS opened at 34.59 VND, reached a high of 34.59 VND, a low of 33.94 VND, and closed the hour at 33.94 VND with a trading volume of 3,200 shares."
2024-06-07 14:00:00,34.13,34.59,33.94,34.31,1600,PMS,"At 2024-06-07 14:00:00, the stock PMS opened at 34.13 VND, reached a high of 34.59 VND, a low of 33.94 VND, and closed the hour at 34.31 VND with a trading volume of 1,600 shares."
2024-06-10 09:00:00,32.28,32.46,32.28,32.46,200,PMS,"At 2024-06-10 09:00:00, the stock PMS opened at 32.28 VND, reached a high of 32.46 VND, a low of 32.28 VND, and closed the hour at 32.46 VND with a trading volume of 200 shares."
2024-06-10 10:00:00,32.46,33.2,32.46,32.74,800,PMS,"At 2024-06-10 10:00:00, the stock PMS opened at 32.46 VND, reached a high of 33.20 VND, a low of 32.46 VND, and closed the hour at 32.74 VND with a trading volume of 800 shares."
2024-06-10 11:00:00,32.74,32.74,32.74,32.74,200,PMS,"At 2024-06-10 11:00:00, the stock PMS opened at 32.74 VND, reached a high of 32.74 VND, a low of 32.74 VND, and closed the hour at 32.74 VND with a trading volume of 200 shares."
2024-06-10 13:00:00,32.74,32.83,32.74,32.83,800,PMS,"At 2024-06-10 13:00:00, the stock PMS opened at 32.74 VND, reached a high of 32.83 VND, a low of 32.74 VND, and closed the hour at 32.83 VND with a trading volume of 800 shares."
2024-06-10 14:00:00,32.83,32.83,32.74,32.74,1200,PMS,"At 2024-06-10 14:00:00, the stock PMS opened at 32.83 VND, reached a high of 32.83 VND, a low of 32.74 VND, and closed the hour at 32.74 VND with a trading volume of 1,200 shares."
2024-06-11 09:00:00,32.74,32.74,32.74,32.74,200,PMS,"At 2024-06-11 09:00:00, the stock PMS opened at 32.74 VND, reached a high of 32.74 VND, a low of 32.74 VND, and closed the hour at 32.74 VND with a trading volume of 200 shares."
2024-06-11 10:00:00,32.65,32.65,32.28,32.28,900,PMS,"At 2024-06-11 10:00:00, the stock PMS opened at 32.65 VND, reached a high of 32.65 VND, a low of 32.28 VND, and closed the hour at 32.28 VND with a trading volume of 900 shares."
2024-06-11 11:00:00,32.65,32.65,32.28,32.28,200,PMS,"At 2024-06-11 11:00:00, the stock PMS opened at 32.65 VND, reached a high of 32.65 VND, a low of 32.28 VND, and closed the hour at 32.28 VND with a trading volume of 200 shares."
2024-06-11 13:00:00,32.19,32.19,30.34,31.73,7400,PMS,"At 2024-06-11 13:00:00, the stock PMS opened at 32.19 VND, reached a high of 32.19 VND, a low of 30.34 VND, and closed the hour at 31.73 VND with a trading volume of 7,400 shares."
2024-06-11 14:00:00,30.44,30.44,30.44,30.44,500,PMS,"At 2024-06-11 14:00:00, the stock PMS opened at 30.44 VND, reached a high of 30.44 VND, a low of 30.44 VND, and closed the hour at 30.44 VND with a trading volume of 500 shares."
2024-06-12 09:00:00,30.44,30.9,30.44,30.9,600,PMS,"At 2024-06-12 09:00:00, the stock PMS opened at 30.44 VND, reached a high of 30.90 VND, a low of 30.44 VND, and closed the hour at 30.90 VND with a trading volume of 600 shares."
2024-06-12 10:00:00,30.53,30.62,30.44,30.44,1000,PMS,"At 2024-06-12 10:00:00, the stock PMS opened at 30.53 VND, reached a high of 30.62 VND, a low of 30.44 VND, and closed the hour at 30.44 VND with a trading volume of 1,000 shares."
2024-06-12 11:00:00,29.79,29.79,29.79,29.79,1200,PMS,"At 2024-06-12 11:00:00, the stock PMS opened at 29.79 VND, reached a high of 29.79 VND, a low of 29.79 VND, and closed the hour at 29.79 VND with a trading volume of 1,200 shares."
2024-06-12 13:00:00,29.79,30.44,29.51,30.44,8600,PMS,"At 2024-06-12 13:00:00, the stock PMS opened at 29.79 VND, reached a high of 30.44 VND, a low of 29.51 VND, and closed the hour at 30.44 VND with a trading volume of 8,600 shares."
2024-06-12 14:00:00,30.07,30.07,29.88,30.07,2300,PMS,"At 2024-06-12 14:00:00, the stock PMS opened at 30.07 VND, reached a high of 30.07 VND, a low of 29.88 VND, and closed the hour at 30.07 VND with a trading volume of 2,300 shares."
2024-06-13 09:00:00,30.44,30.44,30.44,30.44,100,PMS,"At 2024-06-13 09:00:00, the stock PMS opened at 30.44 VND, reached a high of 30.44 VND, a low of 30.44 VND, and closed the hour at 30.44 VND with a trading volume of 100 shares."
2024-06-13 10:00:00,30.44,30.44,30.07,30.07,3800,PMS,"At 2024-06-13 10:00:00, the stock PMS opened at 30.44 VND, reached a high of 30.44 VND, a low of 30.07 VND, and closed the hour at 30.07 VND with a trading volume of 3,800 shares."
2024-06-13 13:00:00,30.07,30.07,30.07,30.07,100,PMS,"At 2024-06-13 13:00:00, the stock PMS opened at 30.07 VND, reached a high of 30.07 VND, a low of 30.07 VND, and closed the hour at 30.07 VND with a trading volume of 100 shares."
2024-06-13 14:00:00,29.7,29.7,29.61,29.7,900,PMS,"At 2024-06-13 14:00:00, the stock PMS opened at 29.70 VND, reached a high of 29.70 VND, a low of 29.61 VND, and closed the hour at 29.70 VND with a trading volume of 900 shares."
2024-06-14 09:00:00,29.7,29.7,29.7,29.7,1800,PMS,"At 2024-06-14 09:00:00, the stock PMS opened at 29.70 VND, reached a high of 29.70 VND, a low of 29.70 VND, and closed the hour at 29.70 VND with a trading volume of 1,800 shares."
2024-06-14 10:00:00,29.61,29.7,29.51,29.51,2200,PMS,"At 2024-06-14 10:00:00, the stock PMS opened at 29.61 VND, reached a high of 29.70 VND, a low of 29.51 VND, and closed the hour at 29.51 VND with a trading volume of 2,200 shares."
2024-06-14 11:00:00,29.61,29.97,29.61,29.97,300,PMS,"At 2024-06-14 11:00:00, the stock PMS opened at 29.61 VND, reached a high of 29.97 VND, a low of 29.61 VND, and closed the hour at 29.97 VND with a trading volume of 300 shares."
2024-06-14 13:00:00,29.61,29.97,29.42,29.97,2200,PMS,"At 2024-06-14 13:00:00, the stock PMS opened at 29.61 VND, reached a high of 29.97 VND, a low of 29.42 VND, and closed the hour at 29.97 VND with a trading volume of 2,200 shares."
2024-06-17 09:00:00,29.97,29.97,29.97,29.97,600,PMS,"At 2024-06-17 09:00:00, the stock PMS opened at 29.97 VND, reached a high of 29.97 VND, a low of 29.97 VND, and closed the hour at 29.97 VND with a trading volume of 600 shares."
2024-06-17 10:00:00,29.51,29.51,29.33,29.33,4100,PMS,"At 2024-06-17 10:00:00, the stock PMS opened at 29.51 VND, reached a high of 29.51 VND, a low of 29.33 VND, and closed the hour at 29.33 VND with a trading volume of 4,100 shares."
2024-06-17 13:00:00,29.33,29.33,29.33,29.33,300,PMS,"At 2024-06-17 13:00:00, the stock PMS opened at 29.33 VND, reached a high of 29.33 VND, a low of 29.33 VND, and closed the hour at 29.33 VND with a trading volume of 300 shares."
2024-06-17 14:00:00,29.33,29.33,29.33,29.33,400,PMS,"At 2024-06-17 14:00:00, the stock PMS opened at 29.33 VND, reached a high of 29.33 VND, a low of 29.33 VND, and closed the hour at 29.33 VND with a trading volume of 400 shares."
2024-06-18 10:00:00,29.33,29.33,29.33,29.33,100,PMS,"At 2024-06-18 10:00:00, the stock PMS opened at 29.33 VND, reached a high of 29.33 VND, a low of 29.33 VND, and closed the hour at 29.33 VND with a trading volume of 100 shares."
2024-06-18 11:00:00,28.96,28.96,28.96,28.96,400,PMS,"At 2024-06-18 11:00:00, the stock PMS opened at 28.96 VND, reached a high of 28.96 VND, a low of 28.96 VND, and closed the hour at 28.96 VND with a trading volume of 400 shares."
2024-06-18 13:00:00,28.78,28.78,28.41,28.78,9500,PMS,"At 2024-06-18 13:00:00, the stock PMS opened at 28.78 VND, reached a high of 28.78 VND, a low of 28.41 VND, and closed the hour at 28.78 VND with a trading volume of 9,500 shares."
2024-06-18 14:00:00,28.59,28.68,28.59,28.68,600,PMS,"At 2024-06-18 14:00:00, the stock PMS opened at 28.59 VND, reached a high of 28.68 VND, a low of 28.59 VND, and closed the hour at 28.68 VND with a trading volume of 600 shares."
2024-06-19 09:00:00,28.13,30.99,28.13,30.99,800,PMS,"At 2024-06-19 09:00:00, the stock PMS opened at 28.13 VND, reached a high of 30.99 VND, a low of 28.13 VND, and closed the hour at 30.99 VND with a trading volume of 800 shares."
2024-06-19 10:00:00,29.05,29.05,28.68,28.68,1100,PMS,"At 2024-06-19 10:00:00, the stock PMS opened at 29.05 VND, reached a high of 29.05 VND, a low of 28.68 VND, and closed the hour at 28.68 VND with a trading volume of 1,100 shares."
2024-06-19 13:00:00,28.68,28.68,28.68,28.68,1800,PMS,"At 2024-06-19 13:00:00, the stock PMS opened at 28.68 VND, reached a high of 28.68 VND, a low of 28.68 VND, and closed the hour at 28.68 VND with a trading volume of 1,800 shares."
2024-06-19 14:00:00,29.51,29.51,29.51,29.51,100,PMS,"At 2024-06-19 14:00:00, the stock PMS opened at 29.51 VND, reached a high of 29.51 VND, a low of 29.51 VND, and closed the hour at 29.51 VND with a trading volume of 100 shares."
2024-06-20 09:00:00,28.68,28.68,28.68,28.68,100,PMS,"At 2024-06-20 09:00:00, the stock PMS opened at 28.68 VND, reached a high of 28.68 VND, a low of 28.68 VND, and closed the hour at 28.68 VND with a trading volume of 100 shares."
2024-06-20 13:00:00,29.42,29.42,28.59,28.59,600,PMS,"At 2024-06-20 13:00:00, the stock PMS opened at 29.42 VND, reached a high of 29.42 VND, a low of 28.59 VND, and closed the hour at 28.59 VND with a trading volume of 600 shares."
2024-06-21 10:00:00,28.59,28.59,28.59,28.59,800,PMS,"At 2024-06-21 10:00:00, the stock PMS opened at 28.59 VND, reached a high of 28.59 VND, a low of 28.59 VND, and closed the hour at 28.59 VND with a trading volume of 800 shares."
2024-06-21 11:00:00,28.41,28.41,28.41,28.41,2200,PMS,"At 2024-06-21 11:00:00, the stock PMS opened at 28.41 VND, reached a high of 28.41 VND, a low of 28.41 VND, and closed the hour at 28.41 VND with a trading volume of 2,200 shares."
2024-06-21 13:00:00,28.41,28.41,28.41,28.41,1500,PMS,"At 2024-06-21 13:00:00, the stock PMS opened at 28.41 VND, reached a high of 28.41 VND, a low of 28.41 VND, and closed the hour at 28.41 VND with a trading volume of 1,500 shares."
2024-06-24 10:00:00,28.22,28.22,28.13,28.13,3000,PMS,"At 2024-06-24 10:00:00, the stock PMS opened at 28.22 VND, reached a high of 28.22 VND, a low of 28.13 VND, and closed the hour at 28.13 VND with a trading volume of 3,000 shares."
2024-06-24 11:00:00,28.13,28.13,28.13,28.13,100,PMS,"At 2024-06-24 11:00:00, the stock PMS opened at 28.13 VND, reached a high of 28.13 VND, a low of 28.13 VND, and closed the hour at 28.13 VND with a trading volume of 100 shares."
2024-06-24 13:00:00,28.13,28.13,28.13,28.13,1100,PMS,"At 2024-06-24 13:00:00, the stock PMS opened at 28.13 VND, reached a high of 28.13 VND, a low of 28.13 VND, and closed the hour at 28.13 VND with a trading volume of 1,100 shares."
2024-06-24 14:00:00,28.13,28.13,27.76,27.76,700,PMS,"At 2024-06-24 14:00:00, the stock PMS opened at 28.13 VND, reached a high of 28.13 VND, a low of 27.76 VND, and closed the hour at 27.76 VND with a trading volume of 700 shares."
2024-06-25 09:00:00,27.76,27.76,27.76,27.76,100,PMS,"At 2024-06-25 09:00:00, the stock PMS opened at 27.76 VND, reached a high of 27.76 VND, a low of 27.76 VND, and closed the hour at 27.76 VND with a trading volume of 100 shares."
2024-06-25 11:00:00,27.76,27.85,27.67,27.67,1100,PMS,"At 2024-06-25 11:00:00, the stock PMS opened at 27.76 VND, reached a high of 27.85 VND, a low of 27.67 VND, and closed the hour at 27.67 VND with a trading volume of 1,100 shares."
2024-06-25 13:00:00,27.76,27.76,27.76,27.76,100,PMS,"At 2024-06-25 13:00:00, the stock PMS opened at 27.76 VND, reached a high of 27.76 VND, a low of 27.76 VND, and closed the hour at 27.76 VND with a trading volume of 100 shares."
2024-06-26 09:00:00,27.76,28.13,27.76,28.13,400,PMS,"At 2024-06-26 09:00:00, the stock PMS opened at 27.76 VND, reached a high of 28.13 VND, a low of 27.76 VND, and closed the hour at 28.13 VND with a trading volume of 400 shares."
2024-06-26 10:00:00,28.13,28.13,28.13,28.13,100,PMS,"At 2024-06-26 10:00:00, the stock PMS opened at 28.13 VND, reached a high of 28.13 VND, a low of 28.13 VND, and closed the hour at 28.13 VND with a trading volume of 100 shares."
2024-06-26 11:00:00,27.85,27.85,27.85,27.85,200,PMS,"At 2024-06-26 11:00:00, the stock PMS opened at 27.85 VND, reached a high of 27.85 VND, a low of 27.85 VND, and closed the hour at 27.85 VND with a trading volume of 200 shares."
2024-06-26 13:00:00,27.85,27.85,27.85,27.85,200,PMS,"At 2024-06-26 13:00:00, the stock PMS opened at 27.85 VND, reached a high of 27.85 VND, a low of 27.85 VND, and closed the hour at 27.85 VND with a trading volume of 200 shares."
2024-06-26 14:00:00,27.85,27.85,27.85,27.85,300,PMS,"At 2024-06-26 14:00:00, the stock PMS opened at 27.85 VND, reached a high of 27.85 VND, a low of 27.85 VND, and closed the hour at 27.85 VND with a trading volume of 300 shares."
2024-06-27 09:00:00,27.85,27.85,27.85,27.85,300,PMS,"At 2024-06-27 09:00:00, the stock PMS opened at 27.85 VND, reached a high of 27.85 VND, a low of 27.85 VND, and closed the hour at 27.85 VND with a trading volume of 300 shares."
