time,open,high,low,close,volume,ticker,llm_text
2025-02-20 11:00:00,37.66,37.66,37.66,37.66,100,RTB,"At 2025-02-20 11:00:00, the stock RTB opened at 37.66 VND, reached a high of 37.66 VND, a low of 37.66 VND, and closed the hour at 37.66 VND with a trading volume of 100 shares."
2025-02-20 13:00:00,37.66,37.66,37.66,37.66,5800,RTB,"At 2025-02-20 13:00:00, the stock RTB opened at 37.66 VND, reached a high of 37.66 VND, a low of 37.66 VND, and closed the hour at 37.66 VND with a trading volume of 5,800 shares."
2025-02-20 14:00:00,36.82,38.42,36.82,38.42,12400,RTB,"At 2025-02-20 14:00:00, the stock RTB opened at 36.82 VND, reached a high of 38.42 VND, a low of 36.82 VND, and closed the hour at 38.42 VND with a trading volume of 12,400 shares."
2025-02-21 09:00:00,37.48,42.18,37.48,39.55,7100,RTB,"At 2025-02-21 09:00:00, the stock RTB opened at 37.48 VND, reached a high of 42.18 VND, a low of 37.48 VND, and closed the hour at 39.55 VND with a trading volume of 7,100 shares."
2025-02-21 10:00:00,40.49,40.49,38.7,38.7,3300,RTB,"At 2025-02-21 10:00:00, the stock RTB opened at 40.49 VND, reached a high of 40.49 VND, a low of 38.70 VND, and closed the hour at 38.70 VND with a trading volume of 3,300 shares."
2025-02-21 11:00:00,38.61,38.61,38.61,38.61,900,RTB,"At 2025-02-21 11:00:00, the stock RTB opened at 38.61 VND, reached a high of 38.61 VND, a low of 38.61 VND, and closed the hour at 38.61 VND with a trading volume of 900 shares."
2025-02-21 13:00:00,38.61,39.55,38.61,38.61,1900,RTB,"At 2025-02-21 13:00:00, the stock RTB opened at 38.61 VND, reached a high of 39.55 VND, a low of 38.61 VND, and closed the hour at 38.61 VND with a trading volume of 1,900 shares."
2025-02-21 14:00:00,39.08,39.08,38.42,38.61,3000,RTB,"At 2025-02-21 14:00:00, the stock RTB opened at 39.08 VND, reached a high of 39.08 VND, a low of 38.42 VND, and closed the hour at 38.61 VND with a trading volume of 3,000 shares."
2025-02-24 09:00:00,38.61,38.61,38.61,38.61,5200,RTB,"At 2025-02-24 09:00:00, the stock RTB opened at 38.61 VND, reached a high of 38.61 VND, a low of 38.61 VND, and closed the hour at 38.61 VND with a trading volume of 5,200 shares."
2025-02-24 10:00:00,38.51,38.61,37.85,38.61,8000,RTB,"At 2025-02-24 10:00:00, the stock RTB opened at 38.51 VND, reached a high of 38.61 VND, a low of 37.85 VND, and closed the hour at 38.61 VND with a trading volume of 8,000 shares."
2025-02-24 13:00:00,38.13,38.13,37.76,37.95,4200,RTB,"At 2025-02-24 13:00:00, the stock RTB opened at 38.13 VND, reached a high of 38.13 VND, a low of 37.76 VND, and closed the hour at 37.95 VND with a trading volume of 4,200 shares."
2025-02-24 14:00:00,38.61,38.61,37.66,38.32,6200,RTB,"At 2025-02-24 14:00:00, the stock RTB opened at 38.61 VND, reached a high of 38.61 VND, a low of 37.66 VND, and closed the hour at 38.32 VND with a trading volume of 6,200 shares."
2025-02-25 09:00:00,38.51,38.51,37.76,37.76,1200,RTB,"At 2025-02-25 09:00:00, the stock RTB opened at 38.51 VND, reached a high of 38.51 VND, a low of 37.76 VND, and closed the hour at 37.76 VND with a trading volume of 1,200 shares."
2025-02-25 10:00:00,38.42,38.42,38.42,38.42,200,RTB,"At 2025-02-25 10:00:00, the stock RTB opened at 38.42 VND, reached a high of 38.42 VND, a low of 38.42 VND, and closed the hour at 38.42 VND with a trading volume of 200 shares."
2025-02-25 13:00:00,37.85,37.85,37.48,37.57,6700,RTB,"At 2025-02-25 13:00:00, the stock RTB opened at 37.85 VND, reached a high of 37.85 VND, a low of 37.48 VND, and closed the hour at 37.57 VND with a trading volume of 6,700 shares."
2025-02-25 14:00:00,37.48,37.66,37.48,37.66,2600,RTB,"At 2025-02-25 14:00:00, the stock RTB opened at 37.48 VND, reached a high of 37.66 VND, a low of 37.48 VND, and closed the hour at 37.66 VND with a trading volume of 2,600 shares."
2025-02-26 09:00:00,37.66,37.76,37.66,37.76,900,RTB,"At 2025-02-26 09:00:00, the stock RTB opened at 37.66 VND, reached a high of 37.76 VND, a low of 37.66 VND, and closed the hour at 37.76 VND with a trading volume of 900 shares."
2025-02-26 10:00:00,37.66,38.42,37.66,37.85,3300,RTB,"At 2025-02-26 10:00:00, the stock RTB opened at 37.66 VND, reached a high of 38.42 VND, a low of 37.66 VND, and closed the hour at 37.85 VND with a trading volume of 3,300 shares."
