time,open,high,low,close,volume,ticker,llm_text
2025-03-11 09:00:00,15.1,15.1,14.9,14.9,600,SBB,"At 2025-03-11 09:00:00, the stock SBB opened at 15.10 VND, reached a high of 15.10 VND, a low of 14.90 VND, and closed the hour at 14.90 VND with a trading volume of 600 shares."
2025-03-11 10:00:00,14.9,14.9,14.7,14.7,2100,SBB,"At 2025-03-11 10:00:00, the stock SBB opened at 14.90 VND, reached a high of 14.90 VND, a low of 14.70 VND, and closed the hour at 14.70 VND with a trading volume of 2,100 shares."
2025-03-11 14:00:00,14.9,15.0,14.9,15.0,2800,SBB,"At 2025-03-11 14:00:00, the stock SBB opened at 14.90 VND, reached a high of 15.00 VND, a low of 14.90 VND, and closed the hour at 15.00 VND with a trading volume of 2,800 shares."
2025-03-12 09:00:00,15.0,15.0,14.9,14.9,1000,SBB,"At 2025-03-12 09:00:00, the stock SBB opened at 15.00 VND, reached a high of 15.00 VND, a low of 14.90 VND, and closed the hour at 14.90 VND with a trading volume of 1,000 shares."
2025-03-12 10:00:00,15.0,15.0,15.0,15.0,2900,SBB,"At 2025-03-12 10:00:00, the stock SBB opened at 15.00 VND, reached a high of 15.00 VND, a low of 15.00 VND, and closed the hour at 15.00 VND with a trading volume of 2,900 shares."
2025-03-12 13:00:00,15.0,15.0,14.9,14.9,12000,SBB,"At 2025-03-12 13:00:00, the stock SBB opened at 15.00 VND, reached a high of 15.00 VND, a low of 14.90 VND, and closed the hour at 14.90 VND with a trading volume of 12,000 shares."
2025-03-12 14:00:00,14.8,14.8,14.6,14.6,17800,SBB,"At 2025-03-12 14:00:00, the stock SBB opened at 14.80 VND, reached a high of 14.80 VND, a low of 14.60 VND, and closed the hour at 14.60 VND with a trading volume of 17,800 shares."
2025-03-13 13:00:00,14.8,14.8,14.7,14.7,1000,SBB,"At 2025-03-13 13:00:00, the stock SBB opened at 14.80 VND, reached a high of 14.80 VND, a low of 14.70 VND, and closed the hour at 14.70 VND with a trading volume of 1,000 shares."
2025-03-13 14:00:00,14.7,14.7,14.7,14.7,900,SBB,"At 2025-03-13 14:00:00, the stock SBB opened at 14.70 VND, reached a high of 14.70 VND, a low of 14.70 VND, and closed the hour at 14.70 VND with a trading volume of 900 shares."
2025-03-14 09:00:00,14.7,14.7,14.7,14.7,1000,SBB,"At 2025-03-14 09:00:00, the stock SBB opened at 14.70 VND, reached a high of 14.70 VND, a low of 14.70 VND, and closed the hour at 14.70 VND with a trading volume of 1,000 shares."
2025-03-14 10:00:00,14.4,14.7,14.4,14.7,3000,SBB,"At 2025-03-14 10:00:00, the stock SBB opened at 14.40 VND, reached a high of 14.70 VND, a low of 14.40 VND, and closed the hour at 14.70 VND with a trading volume of 3,000 shares."
2025-03-14 11:00:00,14.7,14.9,14.7,14.9,600,SBB,"At 2025-03-14 11:00:00, the stock SBB opened at 14.70 VND, reached a high of 14.90 VND, a low of 14.70 VND, and closed the hour at 14.90 VND with a trading volume of 600 shares."
2025-03-14 13:00:00,14.9,14.9,14.9,14.9,8900,SBB,"At 2025-03-14 13:00:00, the stock SBB opened at 14.90 VND, reached a high of 14.90 VND, a low of 14.90 VND, and closed the hour at 14.90 VND with a trading volume of 8,900 shares."
2025-03-14 14:00:00,14.9,14.9,14.7,14.9,2800,SBB,"At 2025-03-14 14:00:00, the stock SBB opened at 14.90 VND, reached a high of 14.90 VND, a low of 14.70 VND, and closed the hour at 14.90 VND with a trading volume of 2,800 shares."
2025-03-17 09:00:00,14.9,15.0,14.9,15.0,20300,SBB,"At 2025-03-17 09:00:00, the stock SBB opened at 14.90 VND, reached a high of 15.00 VND, a low of 14.90 VND, and closed the hour at 15.00 VND with a trading volume of 20,300 shares."
2025-03-17 10:00:00,15.2,15.3,15.2,15.2,1800,SBB,"At 2025-03-17 10:00:00, the stock SBB opened at 15.20 VND, reached a high of 15.30 VND, a low of 15.20 VND, and closed the hour at 15.20 VND with a trading volume of 1,800 shares."
2025-03-17 11:00:00,15.1,15.1,15.1,15.1,2000,SBB,"At 2025-03-17 11:00:00, the stock SBB opened at 15.10 VND, reached a high of 15.10 VND, a low of 15.10 VND, and closed the hour at 15.10 VND with a trading volume of 2,000 shares."
2025-03-17 13:00:00,15.3,15.3,15.3,15.3,800,SBB,"At 2025-03-17 13:00:00, the stock SBB opened at 15.30 VND, reached a high of 15.30 VND, a low of 15.30 VND, and closed the hour at 15.30 VND with a trading volume of 800 shares."
2025-03-18 09:00:00,15.0,15.0,14.9,14.9,3000,SBB,"At 2025-03-18 09:00:00, the stock SBB opened at 15.00 VND, reached a high of 15.00 VND, a low of 14.90 VND, and closed the hour at 14.90 VND with a trading volume of 3,000 shares."
2025-03-18 10:00:00,15.1,15.1,15.1,15.1,1000,SBB,"At 2025-03-18 10:00:00, the stock SBB opened at 15.10 VND, reached a high of 15.10 VND, a low of 15.10 VND, and closed the hour at 15.10 VND with a trading volume of 1,000 shares."
2025-03-18 11:00:00,15.1,15.1,15.1,15.1,10700,SBB,"At 2025-03-18 11:00:00, the stock SBB opened at 15.10 VND, reached a high of 15.10 VND, a low of 15.10 VND, and closed the hour at 15.10 VND with a trading volume of 10,700 shares."
2025-03-18 13:00:00,15.1,15.1,15.0,15.0,1100,SBB,"At 2025-03-18 13:00:00, the stock SBB opened at 15.10 VND, reached a high of 15.10 VND, a low of 15.00 VND, and closed the hour at 15.00 VND with a trading volume of 1,100 shares."
2025-03-18 14:00:00,15.0,15.0,14.9,15.0,30500,SBB,"At 2025-03-18 14:00:00, the stock SBB opened at 15.00 VND, reached a high of 15.00 VND, a low of 14.90 VND, and closed the hour at 15.00 VND with a trading volume of 30,500 shares."
2025-03-19 10:00:00,15.1,15.1,15.1,15.1,1800,SBB,"At 2025-03-19 10:00:00, the stock SBB opened at 15.10 VND, reached a high of 15.10 VND, a low of 15.10 VND, and closed the hour at 15.10 VND with a trading volume of 1,800 shares."
2025-03-19 13:00:00,15.1,15.1,15.0,15.1,3800,SBB,"At 2025-03-19 13:00:00, the stock SBB opened at 15.10 VND, reached a high of 15.10 VND, a low of 15.00 VND, and closed the hour at 15.10 VND with a trading volume of 3,800 shares."
2025-03-19 14:00:00,15.0,15.0,14.6,14.6,25700,SBB,"At 2025-03-19 14:00:00, the stock SBB opened at 15.00 VND, reached a high of 15.00 VND, a low of 14.60 VND, and closed the hour at 14.60 VND with a trading volume of 25,700 shares."
2025-03-20 09:00:00,14.9,14.9,14.9,14.9,700,SBB,"At 2025-03-20 09:00:00, the stock SBB opened at 14.90 VND, reached a high of 14.90 VND, a low of 14.90 VND, and closed the hour at 14.90 VND with a trading volume of 700 shares."
2025-03-20 10:00:00,14.8,14.8,14.8,14.8,4200,SBB,"At 2025-03-20 10:00:00, the stock SBB opened at 14.80 VND, reached a high of 14.80 VND, a low of 14.80 VND, and closed the hour at 14.80 VND with a trading volume of 4,200 shares."
2025-03-20 13:00:00,14.9,15.0,14.9,15.0,3300,SBB,"At 2025-03-20 13:00:00, the stock SBB opened at 14.90 VND, reached a high of 15.00 VND, a low of 14.90 VND, and closed the hour at 15.00 VND with a trading volume of 3,300 shares."
2025-03-20 14:00:00,15.0,15.0,14.9,15.0,2000,SBB,"At 2025-03-20 14:00:00, the stock SBB opened at 15.00 VND, reached a high of 15.00 VND, a low of 14.90 VND, and closed the hour at 15.00 VND with a trading volume of 2,000 shares."
2025-03-21 09:00:00,15.0,15.1,14.9,15.1,10000,SBB,"At 2025-03-21 09:00:00, the stock SBB opened at 15.00 VND, reached a high of 15.10 VND, a low of 14.90 VND, and closed the hour at 15.10 VND with a trading volume of 10,000 shares."
2025-03-21 10:00:00,15.1,15.1,15.1,15.1,1400,SBB,"At 2025-03-21 10:00:00, the stock SBB opened at 15.10 VND, reached a high of 15.10 VND, a low of 15.10 VND, and closed the hour at 15.10 VND with a trading volume of 1,400 shares."
