time,open,high,low,close,volume,ticker,llm_text
2025-08-01 11:00:00,17.4,17.5,17.0,17.5,20200,SGT,"At 2025-08-01 11:00:00, the stock SGT opened at 17.40 VND, reached a high of 17.50 VND, a low of 17.00 VND, and closed the hour at 17.50 VND with a trading volume of 20,200 shares."
2025-08-01 13:00:00,17.5,17.55,17.0,17.5,6900,SGT,"At 2025-08-01 13:00:00, the stock SGT opened at 17.50 VND, reached a high of 17.55 VND, a low of 17.00 VND, and closed the hour at 17.50 VND with a trading volume of 6,900 shares."
2025-08-01 14:00:00,17.15,17.45,17.15,17.15,21400,SGT,"At 2025-08-01 14:00:00, the stock SGT opened at 17.15 VND, reached a high of 17.45 VND, a low of 17.15 VND, and closed the hour at 17.15 VND with a trading volume of 21,400 shares."
2025-08-04 09:00:00,16.85,17.2,16.8,17.15,26000,SGT,"At 2025-08-04 09:00:00, the stock SGT opened at 16.85 VND, reached a high of 17.20 VND, a low of 16.80 VND, and closed the hour at 17.15 VND with a trading volume of 26,000 shares."
2025-08-04 10:00:00,17.15,17.2,17.0,17.0,16200,SGT,"At 2025-08-04 10:00:00, the stock SGT opened at 17.15 VND, reached a high of 17.20 VND, a low of 17.00 VND, and closed the hour at 17.00 VND with a trading volume of 16,200 shares."
2025-08-04 11:00:00,17.0,17.2,17.0,17.15,45100,SGT,"At 2025-08-04 11:00:00, the stock SGT opened at 17.00 VND, reached a high of 17.20 VND, a low of 17.00 VND, and closed the hour at 17.15 VND with a trading volume of 45,100 shares."
2025-08-04 13:00:00,17.1,17.15,17.05,17.1,38500,SGT,"At 2025-08-04 13:00:00, the stock SGT opened at 17.10 VND, reached a high of 17.15 VND, a low of 17.05 VND, and closed the hour at 17.10 VND with a trading volume of 38,500 shares."
2025-08-04 14:00:00,17.15,17.2,17.15,17.15,15800,SGT,"At 2025-08-04 14:00:00, the stock SGT opened at 17.15 VND, reached a high of 17.20 VND, a low of 17.15 VND, and closed the hour at 17.15 VND with a trading volume of 15,800 shares."
2025-08-05 09:00:00,17.15,17.8,16.95,17.2,61800,SGT,"At 2025-08-05 09:00:00, the stock SGT opened at 17.15 VND, reached a high of 17.80 VND, a low of 16.95 VND, and closed the hour at 17.20 VND with a trading volume of 61,800 shares."
2025-08-05 10:00:00,17.5,17.5,17.15,17.15,32300,SGT,"At 2025-08-05 10:00:00, the stock SGT opened at 17.50 VND, reached a high of 17.50 VND, a low of 17.15 VND, and closed the hour at 17.15 VND with a trading volume of 32,300 shares."
2025-08-05 11:00:00,17.5,17.5,17.2,17.2,11700,SGT,"At 2025-08-05 11:00:00, the stock SGT opened at 17.50 VND, reached a high of 17.50 VND, a low of 17.20 VND, and closed the hour at 17.20 VND with a trading volume of 11,700 shares."
