time,open,high,low,close,volume,ticker,llm_text
2023-09-12 10:00:00,47.2,47.2,47.2,47.2,100,STG,"At 2023-09-12 10:00:00, the stock STG opened at 47.20 VND, reached a high of 47.20 VND, a low of 47.20 VND, and closed the hour at 47.20 VND with a trading volume of 100 shares."
2023-09-18 13:00:00,47.5,47.5,47.5,47.5,200,STG,"At 2023-09-18 13:00:00, the stock STG opened at 47.50 VND, reached a high of 47.50 VND, a low of 47.50 VND, and closed the hour at 47.50 VND with a trading volume of 200 shares."
2023-09-20 14:00:00,47.2,47.5,47.2,47.5,1000,STG,"At 2023-09-20 14:00:00, the stock STG opened at 47.20 VND, reached a high of 47.50 VND, a low of 47.20 VND, and closed the hour at 47.50 VND with a trading volume of 1,000 shares."
2023-09-29 13:00:00,46.35,46.8,46.35,46.8,400,STG,"At 2023-09-29 13:00:00, the stock STG opened at 46.35 VND, reached a high of 46.80 VND, a low of 46.35 VND, and closed the hour at 46.80 VND with a trading volume of 400 shares."
2023-10-05 13:00:00,45.0,45.0,45.0,45.0,3600,STG,"At 2023-10-05 13:00:00, the stock STG opened at 45.00 VND, reached a high of 45.00 VND, a low of 45.00 VND, and closed the hour at 45.00 VND with a trading volume of 3,600 shares."
2023-10-05 14:00:00,46.0,46.0,45.9,45.9,500,STG,"At 2023-10-05 14:00:00, the stock STG opened at 46.00 VND, reached a high of 46.00 VND, a low of 45.90 VND, and closed the hour at 45.90 VND with a trading volume of 500 shares."
2023-10-09 13:00:00,44.85,44.85,44.85,44.85,200,STG,"At 2023-10-09 13:00:00, the stock STG opened at 44.85 VND, reached a high of 44.85 VND, a low of 44.85 VND, and closed the hour at 44.85 VND with a trading volume of 200 shares."
2023-10-09 14:00:00,48.7,48.7,44.8,44.8,900,STG,"At 2023-10-09 14:00:00, the stock STG opened at 48.70 VND, reached a high of 48.70 VND, a low of 44.80 VND, and closed the hour at 44.80 VND with a trading volume of 900 shares."
2023-10-10 13:00:00,44.85,44.85,44.85,44.85,900,STG,"At 2023-10-10 13:00:00, the stock STG opened at 44.85 VND, reached a high of 44.85 VND, a low of 44.85 VND, and closed the hour at 44.85 VND with a trading volume of 900 shares."
2023-10-11 13:00:00,46.8,46.8,46.8,46.8,100,STG,"At 2023-10-11 13:00:00, the stock STG opened at 46.80 VND, reached a high of 46.80 VND, a low of 46.80 VND, and closed the hour at 46.80 VND with a trading volume of 100 shares."
