time,open,high,low,close,volume,ticker,llm_text
2025-08-20 09:00:00,3.52,3.54,3.48,3.53,1600,TDG,"At 2025-08-20 09:00:00, the stock TDG opened at 3.52 VND, reached a high of 3.54 VND, a low of 3.48 VND, and closed the hour at 3.53 VND with a trading volume of 1,600 shares."
2025-08-20 10:00:00,3.51,3.51,3.45,3.48,9600,TDG,"At 2025-08-20 10:00:00, the stock TDG opened at 3.51 VND, reached a high of 3.51 VND, a low of 3.45 VND, and closed the hour at 3.48 VND with a trading volume of 9,600 shares."
2025-08-20 11:00:00,3.48,3.48,3.47,3.48,1900,TDG,"At 2025-08-20 11:00:00, the stock TDG opened at 3.48 VND, reached a high of 3.48 VND, a low of 3.47 VND, and closed the hour at 3.48 VND with a trading volume of 1,900 shares."
2025-08-20 13:00:00,3.45,3.47,3.4,3.4,47000,TDG,"At 2025-08-20 13:00:00, the stock TDG opened at 3.45 VND, reached a high of 3.47 VND, a low of 3.40 VND, and closed the hour at 3.40 VND with a trading volume of 47,000 shares."
2025-08-20 14:00:00,3.41,3.45,3.4,3.45,21200,TDG,"At 2025-08-20 14:00:00, the stock TDG opened at 3.41 VND, reached a high of 3.45 VND, a low of 3.40 VND, and closed the hour at 3.45 VND with a trading volume of 21,200 shares."
2025-08-21 09:00:00,3.41,3.45,3.41,3.45,300,TDG,"At 2025-08-21 09:00:00, the stock TDG opened at 3.41 VND, reached a high of 3.45 VND, a low of 3.41 VND, and closed the hour at 3.45 VND with a trading volume of 300 shares."
2025-08-21 10:00:00,3.42,3.5,3.41,3.49,20600,TDG,"At 2025-08-21 10:00:00, the stock TDG opened at 3.42 VND, reached a high of 3.50 VND, a low of 3.41 VND, and closed the hour at 3.49 VND with a trading volume of 20,600 shares."
2025-08-21 11:00:00,3.49,3.49,3.46,3.46,8100,TDG,"At 2025-08-21 11:00:00, the stock TDG opened at 3.49 VND, reached a high of 3.49 VND, a low of 3.46 VND, and closed the hour at 3.46 VND with a trading volume of 8,100 shares."
2025-08-21 13:00:00,3.46,3.49,3.46,3.46,11900,TDG,"At 2025-08-21 13:00:00, the stock TDG opened at 3.46 VND, reached a high of 3.49 VND, a low of 3.46 VND, and closed the hour at 3.46 VND with a trading volume of 11,900 shares."
2025-08-21 14:00:00,3.45,3.46,3.44,3.46,21600,TDG,"At 2025-08-21 14:00:00, the stock TDG opened at 3.45 VND, reached a high of 3.46 VND, a low of 3.44 VND, and closed the hour at 3.46 VND with a trading volume of 21,600 shares."
2025-08-22 09:00:00,3.43,3.43,3.37,3.37,500,TDG,"At 2025-08-22 09:00:00, the stock TDG opened at 3.43 VND, reached a high of 3.43 VND, a low of 3.37 VND, and closed the hour at 3.37 VND with a trading volume of 500 shares."
2025-08-22 10:00:00,3.43,3.46,3.39,3.46,11500,TDG,"At 2025-08-22 10:00:00, the stock TDG opened at 3.43 VND, reached a high of 3.46 VND, a low of 3.39 VND, and closed the hour at 3.46 VND with a trading volume of 11,500 shares."
2025-08-22 11:00:00,3.4,3.4,3.35,3.35,13400,TDG,"At 2025-08-22 11:00:00, the stock TDG opened at 3.40 VND, reached a high of 3.40 VND, a low of 3.35 VND, and closed the hour at 3.35 VND with a trading volume of 13,400 shares."
2025-08-22 13:00:00,3.41,3.45,3.36,3.45,9900,TDG,"At 2025-08-22 13:00:00, the stock TDG opened at 3.41 VND, reached a high of 3.45 VND, a low of 3.36 VND, and closed the hour at 3.45 VND with a trading volume of 9,900 shares."
2025-08-22 14:00:00,3.38,3.41,3.37,3.41,5500,TDG,"At 2025-08-22 14:00:00, the stock TDG opened at 3.38 VND, reached a high of 3.41 VND, a low of 3.37 VND, and closed the hour at 3.41 VND with a trading volume of 5,500 shares."
2025-08-25 09:00:00,3.45,3.5,3.43,3.43,4100,TDG,"At 2025-08-25 09:00:00, the stock TDG opened at 3.45 VND, reached a high of 3.50 VND, a low of 3.43 VND, and closed the hour at 3.43 VND with a trading volume of 4,100 shares."
2025-08-25 10:00:00,3.43,3.43,3.43,3.43,10700,TDG,"At 2025-08-25 10:00:00, the stock TDG opened at 3.43 VND, reached a high of 3.43 VND, a low of 3.43 VND, and closed the hour at 3.43 VND with a trading volume of 10,700 shares."
2025-08-25 13:00:00,3.41,3.41,3.39,3.4,12700,TDG,"At 2025-08-25 13:00:00, the stock TDG opened at 3.41 VND, reached a high of 3.41 VND, a low of 3.39 VND, and closed the hour at 3.40 VND with a trading volume of 12,700 shares."
2025-08-25 14:00:00,3.4,3.4,3.34,3.34,9200,TDG,"At 2025-08-25 14:00:00, the stock TDG opened at 3.40 VND, reached a high of 3.40 VND, a low of 3.34 VND, and closed the hour at 3.34 VND with a trading volume of 9,200 shares."
2025-08-26 09:00:00,3.38,3.45,3.34,3.45,8100,TDG,"At 2025-08-26 09:00:00, the stock TDG opened at 3.38 VND, reached a high of 3.45 VND, a low of 3.34 VND, and closed the hour at 3.45 VND with a trading volume of 8,100 shares."
2025-08-26 10:00:00,3.44,3.44,3.44,3.44,200,TDG,"At 2025-08-26 10:00:00, the stock TDG opened at 3.44 VND, reached a high of 3.44 VND, a low of 3.44 VND, and closed the hour at 3.44 VND with a trading volume of 200 shares."
2025-08-26 11:00:00,3.35,3.35,3.34,3.34,5500,TDG,"At 2025-08-26 11:00:00, the stock TDG opened at 3.35 VND, reached a high of 3.35 VND, a low of 3.34 VND, and closed the hour at 3.34 VND with a trading volume of 5,500 shares."
2025-08-26 13:00:00,3.36,3.43,3.35,3.36,10000,TDG,"At 2025-08-26 13:00:00, the stock TDG opened at 3.36 VND, reached a high of 3.43 VND, a low of 3.35 VND, and closed the hour at 3.36 VND with a trading volume of 10,000 shares."
2025-08-26 14:00:00,3.36,3.42,3.32,3.32,20600,TDG,"At 2025-08-26 14:00:00, the stock TDG opened at 3.36 VND, reached a high of 3.42 VND, a low of 3.32 VND, and closed the hour at 3.32 VND with a trading volume of 20,600 shares."
2025-08-27 09:00:00,3.5,3.5,3.46,3.46,50400,TDG,"At 2025-08-27 09:00:00, the stock TDG opened at 3.50 VND, reached a high of 3.50 VND, a low of 3.46 VND, and closed the hour at 3.46 VND with a trading volume of 50,400 shares."
2025-08-27 13:00:00,3.45,3.45,3.45,3.45,200,TDG,"At 2025-08-27 13:00:00, the stock TDG opened at 3.45 VND, reached a high of 3.45 VND, a low of 3.45 VND, and closed the hour at 3.45 VND with a trading volume of 200 shares."
2025-08-27 14:00:00,3.44,3.44,3.44,3.44,100,TDG,"At 2025-08-27 14:00:00, the stock TDG opened at 3.44 VND, reached a high of 3.44 VND, a low of 3.44 VND, and closed the hour at 3.44 VND with a trading volume of 100 shares."
2025-08-28 09:00:00,3.44,3.47,3.4,3.47,15300,TDG,"At 2025-08-28 09:00:00, the stock TDG opened at 3.44 VND, reached a high of 3.47 VND, a low of 3.40 VND, and closed the hour at 3.47 VND with a trading volume of 15,300 shares."
2025-08-28 10:00:00,3.45,3.45,3.45,3.45,100,TDG,"At 2025-08-28 10:00:00, the stock TDG opened at 3.45 VND, reached a high of 3.45 VND, a low of 3.45 VND, and closed the hour at 3.45 VND with a trading volume of 100 shares."
2025-08-28 13:00:00,3.37,3.43,3.29,3.43,35400,TDG,"At 2025-08-28 13:00:00, the stock TDG opened at 3.37 VND, reached a high of 3.43 VND, a low of 3.29 VND, and closed the hour at 3.43 VND with a trading volume of 35,400 shares."
2025-08-28 14:00:00,3.42,3.42,3.35,3.39,3700,TDG,"At 2025-08-28 14:00:00, the stock TDG opened at 3.42 VND, reached a high of 3.42 VND, a low of 3.35 VND, and closed the hour at 3.39 VND with a trading volume of 3,700 shares."
2025-08-29 09:00:00,3.39,3.4,3.29,3.39,2000,TDG,"At 2025-08-29 09:00:00, the stock TDG opened at 3.39 VND, reached a high of 3.40 VND, a low of 3.29 VND, and closed the hour at 3.39 VND with a trading volume of 2,000 shares."
2025-08-29 10:00:00,3.39,3.4,3.39,3.4,1600,TDG,"At 2025-08-29 10:00:00, the stock TDG opened at 3.39 VND, reached a high of 3.40 VND, a low of 3.39 VND, and closed the hour at 3.40 VND with a trading volume of 1,600 shares."
2025-08-29 11:00:00,3.4,3.4,3.4,3.4,6400,TDG,"At 2025-08-29 11:00:00, the stock TDG opened at 3.40 VND, reached a high of 3.40 VND, a low of 3.40 VND, and closed the hour at 3.40 VND with a trading volume of 6,400 shares."
