time,open,high,low,close,volume,ticker,llm_text
2023-10-10 09:00:00,8.5,8.5,8.5,8.5,20000,TEL,"At 2023-10-10 09:00:00, the stock TEL opened at 8.50 VND, reached a high of 8.50 VND, a low of 8.50 VND, and closed the hour at 8.50 VND with a trading volume of 20,000 shares."
2023-10-11 09:00:00,9.7,9.7,9.7,9.7,100,TEL,"At 2023-10-11 09:00:00, the stock TEL opened at 9.70 VND, reached a high of 9.70 VND, a low of 9.70 VND, and closed the hour at 9.70 VND with a trading volume of 100 shares."
2023-10-12 09:00:00,11.1,11.1,11.1,11.1,200,TEL,"At 2023-10-12 09:00:00, the stock TEL opened at 11.10 VND, reached a high of 11.10 VND, a low of 11.10 VND, and closed the hour at 11.10 VND with a trading volume of 200 shares."
2023-10-13 09:00:00,12.7,12.7,12.5,12.7,15300,TEL,"At 2023-10-13 09:00:00, the stock TEL opened at 12.70 VND, reached a high of 12.70 VND, a low of 12.50 VND, and closed the hour at 12.70 VND with a trading volume of 15,300 shares."
2023-10-16 09:00:00,14.6,14.6,14.6,14.6,3600,TEL,"At 2023-10-16 09:00:00, the stock TEL opened at 14.60 VND, reached a high of 14.60 VND, a low of 14.60 VND, and closed the hour at 14.60 VND with a trading volume of 3,600 shares."
2023-10-17 09:00:00,16.7,16.7,16.7,16.7,4500,TEL,"At 2023-10-17 09:00:00, the stock TEL opened at 16.70 VND, reached a high of 16.70 VND, a low of 16.70 VND, and closed the hour at 16.70 VND with a trading volume of 4,500 shares."
2023-10-17 13:00:00,16.7,16.7,16.7,16.7,2000,TEL,"At 2023-10-17 13:00:00, the stock TEL opened at 16.70 VND, reached a high of 16.70 VND, a low of 16.70 VND, and closed the hour at 16.70 VND with a trading volume of 2,000 shares."
2023-10-17 14:00:00,16.7,16.7,16.7,16.7,2000,TEL,"At 2023-10-17 14:00:00, the stock TEL opened at 16.70 VND, reached a high of 16.70 VND, a low of 16.70 VND, and closed the hour at 16.70 VND with a trading volume of 2,000 shares."
2023-10-18 09:00:00,19.2,19.2,16.7,16.7,500,TEL,"At 2023-10-18 09:00:00, the stock TEL opened at 19.20 VND, reached a high of 19.20 VND, a low of 16.70 VND, and closed the hour at 16.70 VND with a trading volume of 500 shares."
2023-10-18 13:00:00,15.0,16.7,15.0,16.7,3800,TEL,"At 2023-10-18 13:00:00, the stock TEL opened at 15.00 VND, reached a high of 16.70 VND, a low of 15.00 VND, and closed the hour at 16.70 VND with a trading volume of 3,800 shares."
2023-10-18 14:00:00,16.7,16.7,16.7,16.7,1100,TEL,"At 2023-10-18 14:00:00, the stock TEL opened at 16.70 VND, reached a high of 16.70 VND, a low of 16.70 VND, and closed the hour at 16.70 VND with a trading volume of 1,100 shares."
2023-10-19 14:00:00,16.0,16.0,16.0,16.0,100,TEL,"At 2023-10-19 14:00:00, the stock TEL opened at 16.00 VND, reached a high of 16.00 VND, a low of 16.00 VND, and closed the hour at 16.00 VND with a trading volume of 100 shares."
2023-10-20 14:00:00,14.2,14.2,14.2,14.2,200,TEL,"At 2023-10-20 14:00:00, the stock TEL opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 200 shares."
2023-10-23 10:00:00,15.0,15.0,15.0,15.0,10300,TEL,"At 2023-10-23 10:00:00, the stock TEL opened at 15.00 VND, reached a high of 15.00 VND, a low of 15.00 VND, and closed the hour at 15.00 VND with a trading volume of 10,300 shares."
2023-10-23 14:00:00,15.0,15.0,15.0,15.0,1000,TEL,"At 2023-10-23 14:00:00, the stock TEL opened at 15.00 VND, reached a high of 15.00 VND, a low of 15.00 VND, and closed the hour at 15.00 VND with a trading volume of 1,000 shares."
2023-10-24 14:00:00,15.0,15.0,15.0,15.0,1200,TEL,"At 2023-10-24 14:00:00, the stock TEL opened at 15.00 VND, reached a high of 15.00 VND, a low of 15.00 VND, and closed the hour at 15.00 VND with a trading volume of 1,200 shares."
2023-10-25 14:00:00,14.2,14.2,14.2,14.2,600,TEL,"At 2023-10-25 14:00:00, the stock TEL opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 600 shares."
2023-10-27 10:00:00,14.2,14.2,14.2,14.2,5000,TEL,"At 2023-10-27 10:00:00, the stock TEL opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 5,000 shares."
2023-10-27 13:00:00,14.2,14.2,14.2,14.2,5200,TEL,"At 2023-10-27 13:00:00, the stock TEL opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 5,200 shares."
2023-10-30 13:00:00,14.2,14.2,14.2,14.2,1000,TEL,"At 2023-10-30 13:00:00, the stock TEL opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 1,000 shares."
2023-10-30 14:00:00,14.2,14.2,14.2,14.2,1900,TEL,"At 2023-10-30 14:00:00, the stock TEL opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 1,900 shares."
2023-10-31 10:00:00,14.2,14.2,14.2,14.2,2400,TEL,"At 2023-10-31 10:00:00, the stock TEL opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 2,400 shares."
2023-10-31 11:00:00,14.2,14.2,14.2,14.2,2600,TEL,"At 2023-10-31 11:00:00, the stock TEL opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 2,600 shares."
2023-10-31 13:00:00,14.2,14.2,14.2,14.2,6000,TEL,"At 2023-10-31 13:00:00, the stock TEL opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 6,000 shares."
2023-10-31 14:00:00,14.2,14.2,14.2,14.2,3200,TEL,"At 2023-10-31 14:00:00, the stock TEL opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 3,200 shares."
2023-11-01 14:00:00,12.1,12.1,12.1,12.1,100,TEL,"At 2023-11-01 14:00:00, the stock TEL opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.10 VND, and closed the hour at 12.10 VND with a trading volume of 100 shares."
2023-11-14 10:00:00,12.1,12.1,12.1,12.1,100,TEL,"At 2023-11-14 10:00:00, the stock TEL opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.10 VND, and closed the hour at 12.10 VND with a trading volume of 100 shares."
2023-11-14 14:00:00,12.1,12.1,12.1,12.1,1000,TEL,"At 2023-11-14 14:00:00, the stock TEL opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.10 VND, and closed the hour at 12.10 VND with a trading volume of 1,000 shares."
2023-11-15 11:00:00,12.1,12.1,12.1,12.1,3900,TEL,"At 2023-11-15 11:00:00, the stock TEL opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.10 VND, and closed the hour at 12.10 VND with a trading volume of 3,900 shares."
2023-11-15 13:00:00,12.1,12.1,12.1,12.1,1100,TEL,"At 2023-11-15 13:00:00, the stock TEL opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.10 VND, and closed the hour at 12.10 VND with a trading volume of 1,100 shares."
2023-11-15 14:00:00,12.0,12.0,12.0,12.0,1000,TEL,"At 2023-11-15 14:00:00, the stock TEL opened at 12.00 VND, reached a high of 12.00 VND, a low of 12.00 VND, and closed the hour at 12.00 VND with a trading volume of 1,000 shares."
2023-11-16 09:00:00,12.1,12.1,12.1,12.1,1900,TEL,"At 2023-11-16 09:00:00, the stock TEL opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.10 VND, and closed the hour at 12.10 VND with a trading volume of 1,900 shares."
2023-11-16 13:00:00,12.1,12.1,12.1,12.1,2000,TEL,"At 2023-11-16 13:00:00, the stock TEL opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.10 VND, and closed the hour at 12.10 VND with a trading volume of 2,000 shares."
2023-11-16 14:00:00,12.1,12.1,12.1,12.1,1000,TEL,"At 2023-11-16 14:00:00, the stock TEL opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.10 VND, and closed the hour at 12.10 VND with a trading volume of 1,000 shares."
2023-11-17 14:00:00,12.1,12.1,12.1,12.1,1000,TEL,"At 2023-11-17 14:00:00, the stock TEL opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.10 VND, and closed the hour at 12.10 VND with a trading volume of 1,000 shares."
2023-11-20 14:00:00,10.4,10.4,10.4,10.4,100,TEL,"At 2023-11-20 14:00:00, the stock TEL opened at 10.40 VND, reached a high of 10.40 VND, a low of 10.40 VND, and closed the hour at 10.40 VND with a trading volume of 100 shares."
2023-11-22 09:00:00,9.0,9.0,9.0,9.0,100,TEL,"At 2023-11-22 09:00:00, the stock TEL opened at 9.00 VND, reached a high of 9.00 VND, a low of 9.00 VND, and closed the hour at 9.00 VND with a trading volume of 100 shares."
2023-11-28 10:00:00,10.3,10.3,10.3,10.3,100,TEL,"At 2023-11-28 10:00:00, the stock TEL opened at 10.30 VND, reached a high of 10.30 VND, a low of 10.30 VND, and closed the hour at 10.30 VND with a trading volume of 100 shares."
2023-11-29 10:00:00,11.8,11.8,11.8,11.8,100,TEL,"At 2023-11-29 10:00:00, the stock TEL opened at 11.80 VND, reached a high of 11.80 VND, a low of 11.80 VND, and closed the hour at 11.80 VND with a trading volume of 100 shares."
2023-11-30 13:00:00,12.8,12.8,12.8,12.8,3100,TEL,"At 2023-11-30 13:00:00, the stock TEL opened at 12.80 VND, reached a high of 12.80 VND, a low of 12.80 VND, and closed the hour at 12.80 VND with a trading volume of 3,100 shares."
2023-11-30 14:00:00,13.0,13.0,13.0,13.0,2000,TEL,"At 2023-11-30 14:00:00, the stock TEL opened at 13.00 VND, reached a high of 13.00 VND, a low of 13.00 VND, and closed the hour at 13.00 VND with a trading volume of 2,000 shares."
2023-12-04 13:00:00,11.5,11.5,11.5,11.5,100,TEL,"At 2023-12-04 13:00:00, the stock TEL opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 100 shares."
2023-12-05 09:00:00,11.6,11.6,11.6,11.6,5500,TEL,"At 2023-12-05 09:00:00, the stock TEL opened at 11.60 VND, reached a high of 11.60 VND, a low of 11.60 VND, and closed the hour at 11.60 VND with a trading volume of 5,500 shares."
2023-12-05 10:00:00,12.0,12.0,12.0,12.0,500,TEL,"At 2023-12-05 10:00:00, the stock TEL opened at 12.00 VND, reached a high of 12.00 VND, a low of 12.00 VND, and closed the hour at 12.00 VND with a trading volume of 500 shares."
2023-12-05 13:00:00,12.0,12.0,12.0,12.0,100,TEL,"At 2023-12-05 13:00:00, the stock TEL opened at 12.00 VND, reached a high of 12.00 VND, a low of 12.00 VND, and closed the hour at 12.00 VND with a trading volume of 100 shares."
2023-12-08 14:00:00,12.9,12.9,12.9,12.9,3600,TEL,"At 2023-12-08 14:00:00, the stock TEL opened at 12.90 VND, reached a high of 12.90 VND, a low of 12.90 VND, and closed the hour at 12.90 VND with a trading volume of 3,600 shares."
2023-12-12 13:00:00,12.9,12.9,12.9,12.9,1000,TEL,"At 2023-12-12 13:00:00, the stock TEL opened at 12.90 VND, reached a high of 12.90 VND, a low of 12.90 VND, and closed the hour at 12.90 VND with a trading volume of 1,000 shares."
2023-12-13 10:00:00,12.9,12.9,12.9,12.9,200,TEL,"At 2023-12-13 10:00:00, the stock TEL opened at 12.90 VND, reached a high of 12.90 VND, a low of 12.90 VND, and closed the hour at 12.90 VND with a trading volume of 200 shares."
2023-12-13 11:00:00,12.9,12.9,12.9,12.9,600,TEL,"At 2023-12-13 11:00:00, the stock TEL opened at 12.90 VND, reached a high of 12.90 VND, a low of 12.90 VND, and closed the hour at 12.90 VND with a trading volume of 600 shares."
2023-12-18 10:00:00,13.5,13.5,13.5,13.5,100,TEL,"At 2023-12-18 10:00:00, the stock TEL opened at 13.50 VND, reached a high of 13.50 VND, a low of 13.50 VND, and closed the hour at 13.50 VND with a trading volume of 100 shares."
2023-12-21 13:00:00,12.5,12.5,12.5,12.5,600,TEL,"At 2023-12-21 13:00:00, the stock TEL opened at 12.50 VND, reached a high of 12.50 VND, a low of 12.50 VND, and closed the hour at 12.50 VND with a trading volume of 600 shares."
