time,open,high,low,close,volume,ticker,llm_text
2025-04-09 13:00:00,49.77,49.77,49.77,49.77,22600,TFC,"At 2025-04-09 13:00:00, the stock TFC opened at 49.77 VND, reached a high of 49.77 VND, a low of 49.77 VND, and closed the hour at 49.77 VND with a trading volume of 22,600 shares."
2025-04-09 14:00:00,50.54,50.54,49.77,49.86,15600,TFC,"At 2025-04-09 14:00:00, the stock TFC opened at 50.54 VND, reached a high of 50.54 VND, a low of 49.77 VND, and closed the hour at 49.86 VND with a trading volume of 15,600 shares."
2025-04-10 09:00:00,54.81,54.81,54.81,54.81,700,TFC,"At 2025-04-10 09:00:00, the stock TFC opened at 54.81 VND, reached a high of 54.81 VND, a low of 54.81 VND, and closed the hour at 54.81 VND with a trading volume of 700 shares."
2025-04-11 09:00:00,60.24,60.24,59.08,60.24,9300,TFC,"At 2025-04-11 09:00:00, the stock TFC opened at 60.24 VND, reached a high of 60.24 VND, a low of 59.08 VND, and closed the hour at 60.24 VND with a trading volume of 9,300 shares."
2025-04-14 09:00:00,66.26,66.26,66.26,66.26,9200,TFC,"At 2025-04-14 09:00:00, the stock TFC opened at 66.26 VND, reached a high of 66.26 VND, a low of 66.26 VND, and closed the hour at 66.26 VND with a trading volume of 9,200 shares."
2025-04-15 09:00:00,67.03,67.13,66.94,67.03,7100,TFC,"At 2025-04-15 09:00:00, the stock TFC opened at 67.03 VND, reached a high of 67.13 VND, a low of 66.94 VND, and closed the hour at 67.03 VND with a trading volume of 7,100 shares."
2025-04-15 10:00:00,67.81,68.88,67.81,67.91,8400,TFC,"At 2025-04-15 10:00:00, the stock TFC opened at 67.81 VND, reached a high of 68.88 VND, a low of 67.81 VND, and closed the hour at 67.91 VND with a trading volume of 8,400 shares."
2025-04-15 11:00:00,67.91,67.91,67.91,67.91,300,TFC,"At 2025-04-15 11:00:00, the stock TFC opened at 67.91 VND, reached a high of 67.91 VND, a low of 67.91 VND, and closed the hour at 67.91 VND with a trading volume of 300 shares."
2025-04-15 13:00:00,67.91,67.91,65.97,66.26,5300,TFC,"At 2025-04-15 13:00:00, the stock TFC opened at 67.91 VND, reached a high of 67.91 VND, a low of 65.97 VND, and closed the hour at 66.26 VND with a trading volume of 5,300 shares."
2025-04-15 14:00:00,66.26,67.03,66.26,67.03,500,TFC,"At 2025-04-15 14:00:00, the stock TFC opened at 66.26 VND, reached a high of 67.03 VND, a low of 66.26 VND, and closed the hour at 67.03 VND with a trading volume of 500 shares."
2025-04-16 09:00:00,65.97,65.97,65.97,65.97,200,TFC,"At 2025-04-16 09:00:00, the stock TFC opened at 65.97 VND, reached a high of 65.97 VND, a low of 65.97 VND, and closed the hour at 65.97 VND with a trading volume of 200 shares."
2025-04-16 11:00:00,66.06,66.06,66.06,66.06,100,TFC,"At 2025-04-16 11:00:00, the stock TFC opened at 66.06 VND, reached a high of 66.06 VND, a low of 66.06 VND, and closed the hour at 66.06 VND with a trading volume of 100 shares."
