time,open,high,low,close,volume,ticker,llm_text
2023-10-13 11:00:00,9.17,9.17,9.17,9.17,4000,TR1,"At 2023-10-13 11:00:00, the stock TR1 opened at 9.17 VND, reached a high of 9.17 VND, a low of 9.17 VND, and closed the hour at 9.17 VND with a trading volume of 4,000 shares."
2023-10-25 14:00:00,9.17,9.17,9.17,9.17,1300,TR1,"At 2023-10-25 14:00:00, the stock TR1 opened at 9.17 VND, reached a high of 9.17 VND, a low of 9.17 VND, and closed the hour at 9.17 VND with a trading volume of 1,300 shares."
2023-10-31 14:00:00,10.17,10.17,10.17,10.17,3000,TR1,"At 2023-10-31 14:00:00, the stock TR1 opened at 10.17 VND, reached a high of 10.17 VND, a low of 10.17 VND, and closed the hour at 10.17 VND with a trading volume of 3,000 shares."
2023-11-01 09:00:00,8.75,8.75,8.75,8.75,2000,TR1,"At 2023-11-01 09:00:00, the stock TR1 opened at 8.75 VND, reached a high of 8.75 VND, a low of 8.75 VND, and closed the hour at 8.75 VND with a trading volume of 2,000 shares."
2023-11-01 14:00:00,10.17,10.17,10.17,10.17,2000,TR1,"At 2023-11-01 14:00:00, the stock TR1 opened at 10.17 VND, reached a high of 10.17 VND, a low of 10.17 VND, and closed the hour at 10.17 VND with a trading volume of 2,000 shares."
2023-11-02 13:00:00,10.17,10.17,10.17,10.17,2400,TR1,"At 2023-11-02 13:00:00, the stock TR1 opened at 10.17 VND, reached a high of 10.17 VND, a low of 10.17 VND, and closed the hour at 10.17 VND with a trading volume of 2,400 shares."
2023-11-03 13:00:00,10.17,10.17,10.17,10.17,3000,TR1,"At 2023-11-03 13:00:00, the stock TR1 opened at 10.17 VND, reached a high of 10.17 VND, a low of 10.17 VND, and closed the hour at 10.17 VND with a trading volume of 3,000 shares."
2023-11-28 09:00:00,8.67,8.67,8.67,8.67,24200,TR1,"At 2023-11-28 09:00:00, the stock TR1 opened at 8.67 VND, reached a high of 8.67 VND, a low of 8.67 VND, and closed the hour at 8.67 VND with a trading volume of 24,200 shares."
2023-12-12 10:00:00,9.92,9.92,9.92,9.92,500,TR1,"At 2023-12-12 10:00:00, the stock TR1 opened at 9.92 VND, reached a high of 9.92 VND, a low of 9.92 VND, and closed the hour at 9.92 VND with a trading volume of 500 shares."
2023-12-20 13:00:00,10.17,10.17,10.17,10.17,1500,TR1,"At 2023-12-20 13:00:00, the stock TR1 opened at 10.17 VND, reached a high of 10.17 VND, a low of 10.17 VND, and closed the hour at 10.17 VND with a trading volume of 1,500 shares."
2023-12-20 14:00:00,10.17,10.17,10.17,10.17,1500,TR1,"At 2023-12-20 14:00:00, the stock TR1 opened at 10.17 VND, reached a high of 10.17 VND, a low of 10.17 VND, and closed the hour at 10.17 VND with a trading volume of 1,500 shares."
2023-12-21 14:00:00,10.0,10.17,10.0,10.17,4500,TR1,"At 2023-12-21 14:00:00, the stock TR1 opened at 10.00 VND, reached a high of 10.17 VND, a low of 10.00 VND, and closed the hour at 10.17 VND with a trading volume of 4,500 shares."
2024-03-07 14:00:00,10.42,10.42,10.42,10.42,1500,TR1,"At 2024-03-07 14:00:00, the stock TR1 opened at 10.42 VND, reached a high of 10.42 VND, a low of 10.42 VND, and closed the hour at 10.42 VND with a trading volume of 1,500 shares."
2024-03-13 14:00:00,10.84,10.84,10.84,10.84,1000,TR1,"At 2024-03-13 14:00:00, the stock TR1 opened at 10.84 VND, reached a high of 10.84 VND, a low of 10.84 VND, and closed the hour at 10.84 VND with a trading volume of 1,000 shares."
2024-03-22 13:00:00,10.84,10.84,10.84,10.84,2100,TR1,"At 2024-03-22 13:00:00, the stock TR1 opened at 10.84 VND, reached a high of 10.84 VND, a low of 10.84 VND, and closed the hour at 10.84 VND with a trading volume of 2,100 shares."
2024-03-25 13:00:00,10.84,10.84,10.84,10.84,400,TR1,"At 2024-03-25 13:00:00, the stock TR1 opened at 10.84 VND, reached a high of 10.84 VND, a low of 10.84 VND, and closed the hour at 10.84 VND with a trading volume of 400 shares."
2024-03-25 14:00:00,10.92,10.92,10.92,10.92,100,TR1,"At 2024-03-25 14:00:00, the stock TR1 opened at 10.92 VND, reached a high of 10.92 VND, a low of 10.92 VND, and closed the hour at 10.92 VND with a trading volume of 100 shares."
2024-03-26 13:00:00,10.84,10.84,10.84,10.84,100,TR1,"At 2024-03-26 13:00:00, the stock TR1 opened at 10.84 VND, reached a high of 10.84 VND, a low of 10.84 VND, and closed the hour at 10.84 VND with a trading volume of 100 shares."
2024-03-28 09:00:00,11.09,11.09,11.09,11.09,100,TR1,"At 2024-03-28 09:00:00, the stock TR1 opened at 11.09 VND, reached a high of 11.09 VND, a low of 11.09 VND, and closed the hour at 11.09 VND with a trading volume of 100 shares."
2024-03-28 13:00:00,12.42,12.42,12.42,12.42,2400,TR1,"At 2024-03-28 13:00:00, the stock TR1 opened at 12.42 VND, reached a high of 12.42 VND, a low of 12.42 VND, and closed the hour at 12.42 VND with a trading volume of 2,400 shares."
2024-03-28 14:00:00,11.34,11.34,11.34,11.34,100,TR1,"At 2024-03-28 14:00:00, the stock TR1 opened at 11.34 VND, reached a high of 11.34 VND, a low of 11.34 VND, and closed the hour at 11.34 VND with a trading volume of 100 shares."
2024-04-05 10:00:00,10.84,10.84,10.84,10.84,800,TR1,"At 2024-04-05 10:00:00, the stock TR1 opened at 10.84 VND, reached a high of 10.84 VND, a low of 10.84 VND, and closed the hour at 10.84 VND with a trading volume of 800 shares."
2024-04-08 11:00:00,10.84,10.84,10.84,10.84,600,TR1,"At 2024-04-08 11:00:00, the stock TR1 opened at 10.84 VND, reached a high of 10.84 VND, a low of 10.84 VND, and closed the hour at 10.84 VND with a trading volume of 600 shares."
2024-04-10 13:00:00,12.42,12.42,12.42,12.42,900,TR1,"At 2024-04-10 13:00:00, the stock TR1 opened at 12.42 VND, reached a high of 12.42 VND, a low of 12.42 VND, and closed the hour at 12.42 VND with a trading volume of 900 shares."
2024-04-11 14:00:00,12.42,12.42,12.42,12.42,600,TR1,"At 2024-04-11 14:00:00, the stock TR1 opened at 12.42 VND, reached a high of 12.42 VND, a low of 12.42 VND, and closed the hour at 12.42 VND with a trading volume of 600 shares."
2024-04-23 14:00:00,11.67,11.67,11.67,11.67,1000,TR1,"At 2024-04-23 14:00:00, the stock TR1 opened at 11.67 VND, reached a high of 11.67 VND, a low of 11.67 VND, and closed the hour at 11.67 VND with a trading volume of 1,000 shares."
2024-05-09 14:00:00,11.67,11.67,11.67,11.67,2500,TR1,"At 2024-05-09 14:00:00, the stock TR1 opened at 11.67 VND, reached a high of 11.67 VND, a low of 11.67 VND, and closed the hour at 11.67 VND with a trading volume of 2,500 shares."
2024-05-16 14:00:00,13.17,13.17,13.17,13.17,100,TR1,"At 2024-05-16 14:00:00, the stock TR1 opened at 13.17 VND, reached a high of 13.17 VND, a low of 13.17 VND, and closed the hour at 13.17 VND with a trading volume of 100 shares."
2024-05-20 09:00:00,11.25,11.25,11.25,11.25,12000,TR1,"At 2024-05-20 09:00:00, the stock TR1 opened at 11.25 VND, reached a high of 11.25 VND, a low of 11.25 VND, and closed the hour at 11.25 VND with a trading volume of 12,000 shares."
2024-05-20 10:00:00,11.84,11.84,11.84,11.84,1500,TR1,"At 2024-05-20 10:00:00, the stock TR1 opened at 11.84 VND, reached a high of 11.84 VND, a low of 11.84 VND, and closed the hour at 11.84 VND with a trading volume of 1,500 shares."
2024-05-20 13:00:00,12.5,12.5,12.5,12.5,200,TR1,"At 2024-05-20 13:00:00, the stock TR1 opened at 12.50 VND, reached a high of 12.50 VND, a low of 12.50 VND, and closed the hour at 12.50 VND with a trading volume of 200 shares."
2024-05-22 14:00:00,12.92,12.92,12.92,12.92,1000,TR1,"At 2024-05-22 14:00:00, the stock TR1 opened at 12.92 VND, reached a high of 12.92 VND, a low of 12.92 VND, and closed the hour at 12.92 VND with a trading volume of 1,000 shares."
2024-05-24 09:00:00,12.92,12.92,12.92,12.92,600,TR1,"At 2024-05-24 09:00:00, the stock TR1 opened at 12.92 VND, reached a high of 12.92 VND, a low of 12.92 VND, and closed the hour at 12.92 VND with a trading volume of 600 shares."
2024-05-27 10:00:00,14.42,14.42,14.42,14.42,100,TR1,"At 2024-05-27 10:00:00, the stock TR1 opened at 14.42 VND, reached a high of 14.42 VND, a low of 14.42 VND, and closed the hour at 14.42 VND with a trading volume of 100 shares."
2024-05-27 13:00:00,13.34,13.34,13.34,13.34,100,TR1,"At 2024-05-27 13:00:00, the stock TR1 opened at 13.34 VND, reached a high of 13.34 VND, a low of 13.34 VND, and closed the hour at 13.34 VND with a trading volume of 100 shares."
2024-05-28 09:00:00,14.09,14.09,14.09,14.09,3000,TR1,"At 2024-05-28 09:00:00, the stock TR1 opened at 14.09 VND, reached a high of 14.09 VND, a low of 14.09 VND, and closed the hour at 14.09 VND with a trading volume of 3,000 shares."
2024-05-29 09:00:00,14.17,14.17,14.17,14.17,500,TR1,"At 2024-05-29 09:00:00, the stock TR1 opened at 14.17 VND, reached a high of 14.17 VND, a low of 14.17 VND, and closed the hour at 14.17 VND with a trading volume of 500 shares."
2024-05-29 14:00:00,14.5,14.59,14.5,14.59,1400,TR1,"At 2024-05-29 14:00:00, the stock TR1 opened at 14.50 VND, reached a high of 14.59 VND, a low of 14.50 VND, and closed the hour at 14.59 VND with a trading volume of 1,400 shares."
2024-05-30 13:00:00,14.92,14.92,14.92,14.92,2000,TR1,"At 2024-05-30 13:00:00, the stock TR1 opened at 14.92 VND, reached a high of 14.92 VND, a low of 14.92 VND, and closed the hour at 14.92 VND with a trading volume of 2,000 shares."
2024-05-31 11:00:00,15.0,15.0,15.0,15.0,200,TR1,"At 2024-05-31 11:00:00, the stock TR1 opened at 15.00 VND, reached a high of 15.00 VND, a low of 15.00 VND, and closed the hour at 15.00 VND with a trading volume of 200 shares."
2024-05-31 14:00:00,14.92,14.92,14.92,14.92,500,TR1,"At 2024-05-31 14:00:00, the stock TR1 opened at 14.92 VND, reached a high of 14.92 VND, a low of 14.92 VND, and closed the hour at 14.92 VND with a trading volume of 500 shares."
2024-06-03 10:00:00,14.59,14.59,14.59,14.59,500,TR1,"At 2024-06-03 10:00:00, the stock TR1 opened at 14.59 VND, reached a high of 14.59 VND, a low of 14.59 VND, and closed the hour at 14.59 VND with a trading volume of 500 shares."
2024-06-03 13:00:00,14.59,14.59,14.59,14.59,100,TR1,"At 2024-06-03 13:00:00, the stock TR1 opened at 14.59 VND, reached a high of 14.59 VND, a low of 14.59 VND, and closed the hour at 14.59 VND with a trading volume of 100 shares."
2024-06-03 14:00:00,14.59,14.59,14.59,14.59,100,TR1,"At 2024-06-03 14:00:00, the stock TR1 opened at 14.59 VND, reached a high of 14.59 VND, a low of 14.59 VND, and closed the hour at 14.59 VND with a trading volume of 100 shares."
2024-06-04 09:00:00,15.34,15.34,15.09,15.09,300,TR1,"At 2024-06-04 09:00:00, the stock TR1 opened at 15.34 VND, reached a high of 15.34 VND, a low of 15.09 VND, and closed the hour at 15.09 VND with a trading volume of 300 shares."
2024-06-04 10:00:00,15.09,15.09,14.92,14.92,300,TR1,"At 2024-06-04 10:00:00, the stock TR1 opened at 15.09 VND, reached a high of 15.09 VND, a low of 14.92 VND, and closed the hour at 14.92 VND with a trading volume of 300 shares."
2024-06-04 13:00:00,14.75,14.75,14.75,14.75,100,TR1,"At 2024-06-04 13:00:00, the stock TR1 opened at 14.75 VND, reached a high of 14.75 VND, a low of 14.75 VND, and closed the hour at 14.75 VND with a trading volume of 100 shares."
2024-06-05 09:00:00,15.84,15.84,15.84,15.84,100,TR1,"At 2024-06-05 09:00:00, the stock TR1 opened at 15.84 VND, reached a high of 15.84 VND, a low of 15.84 VND, and closed the hour at 15.84 VND with a trading volume of 100 shares."
2024-06-06 09:00:00,14.17,14.17,14.17,14.17,800,TR1,"At 2024-06-06 09:00:00, the stock TR1 opened at 14.17 VND, reached a high of 14.17 VND, a low of 14.17 VND, and closed the hour at 14.17 VND with a trading volume of 800 shares."
2024-06-06 10:00:00,14.17,14.17,14.17,14.17,500,TR1,"At 2024-06-06 10:00:00, the stock TR1 opened at 14.17 VND, reached a high of 14.17 VND, a low of 14.17 VND, and closed the hour at 14.17 VND with a trading volume of 500 shares."
2024-06-07 09:00:00,15.25,15.25,15.25,15.25,200,TR1,"At 2024-06-07 09:00:00, the stock TR1 opened at 15.25 VND, reached a high of 15.25 VND, a low of 15.25 VND, and closed the hour at 15.25 VND with a trading volume of 200 shares."
2024-06-07 13:00:00,13.75,13.75,13.75,13.75,200,TR1,"At 2024-06-07 13:00:00, the stock TR1 opened at 13.75 VND, reached a high of 13.75 VND, a low of 13.75 VND, and closed the hour at 13.75 VND with a trading volume of 200 shares."
2024-06-11 09:00:00,14.6,14.6,12.41,12.41,1100,TR1,"At 2024-06-11 09:00:00, the stock TR1 opened at 14.60 VND, reached a high of 14.60 VND, a low of 12.41 VND, and closed the hour at 12.41 VND with a trading volume of 1,100 shares."
2024-06-11 13:00:00,12.77,12.77,12.77,12.77,100,TR1,"At 2024-06-11 13:00:00, the stock TR1 opened at 12.77 VND, reached a high of 12.77 VND, a low of 12.77 VND, and closed the hour at 12.77 VND with a trading volume of 100 shares."
2024-06-11 14:00:00,12.86,12.86,12.77,12.77,1100,TR1,"At 2024-06-11 14:00:00, the stock TR1 opened at 12.86 VND, reached a high of 12.86 VND, a low of 12.77 VND, and closed the hour at 12.77 VND with a trading volume of 1,100 shares."
2024-06-13 13:00:00,13.68,13.68,13.68,13.68,1100,TR1,"At 2024-06-13 13:00:00, the stock TR1 opened at 13.68 VND, reached a high of 13.68 VND, a low of 13.68 VND, and closed the hour at 13.68 VND with a trading volume of 1,100 shares."
2024-06-14 09:00:00,13.68,13.68,13.68,13.68,600,TR1,"At 2024-06-14 09:00:00, the stock TR1 opened at 13.68 VND, reached a high of 13.68 VND, a low of 13.68 VND, and closed the hour at 13.68 VND with a trading volume of 600 shares."
2024-06-14 10:00:00,13.68,13.68,13.68,13.68,100,TR1,"At 2024-06-14 10:00:00, the stock TR1 opened at 13.68 VND, reached a high of 13.68 VND, a low of 13.68 VND, and closed the hour at 13.68 VND with a trading volume of 100 shares."
2024-06-14 13:00:00,13.68,13.68,13.68,13.68,400,TR1,"At 2024-06-14 13:00:00, the stock TR1 opened at 13.68 VND, reached a high of 13.68 VND, a low of 13.68 VND, and closed the hour at 13.68 VND with a trading volume of 400 shares."
2024-06-17 10:00:00,15.69,15.69,15.69,15.69,100,TR1,"At 2024-06-17 10:00:00, the stock TR1 opened at 15.69 VND, reached a high of 15.69 VND, a low of 15.69 VND, and closed the hour at 15.69 VND with a trading volume of 100 shares."
2024-06-20 10:00:00,13.41,13.41,13.41,13.41,100,TR1,"At 2024-06-20 10:00:00, the stock TR1 opened at 13.41 VND, reached a high of 13.41 VND, a low of 13.41 VND, and closed the hour at 13.41 VND with a trading volume of 100 shares."
2024-06-20 13:00:00,13.41,13.41,13.41,13.41,100,TR1,"At 2024-06-20 13:00:00, the stock TR1 opened at 13.41 VND, reached a high of 13.41 VND, a low of 13.41 VND, and closed the hour at 13.41 VND with a trading volume of 100 shares."
2024-06-24 13:00:00,11.86,11.86,11.86,11.86,300,TR1,"At 2024-06-24 13:00:00, the stock TR1 opened at 11.86 VND, reached a high of 11.86 VND, a low of 11.86 VND, and closed the hour at 11.86 VND with a trading volume of 300 shares."
2024-06-26 13:00:00,13.59,13.59,13.59,13.59,100,TR1,"At 2024-06-26 13:00:00, the stock TR1 opened at 13.59 VND, reached a high of 13.59 VND, a low of 13.59 VND, and closed the hour at 13.59 VND with a trading volume of 100 shares."
2024-07-01 09:00:00,15.23,15.32,15.23,15.32,200,TR1,"At 2024-07-01 09:00:00, the stock TR1 opened at 15.23 VND, reached a high of 15.32 VND, a low of 15.23 VND, and closed the hour at 15.32 VND with a trading volume of 200 shares."
2024-07-01 10:00:00,14.69,14.69,14.69,14.69,100,TR1,"At 2024-07-01 10:00:00, the stock TR1 opened at 14.69 VND, reached a high of 14.69 VND, a low of 14.69 VND, and closed the hour at 14.69 VND with a trading volume of 100 shares."
2024-07-01 13:00:00,13.59,13.59,13.59,13.59,200,TR1,"At 2024-07-01 13:00:00, the stock TR1 opened at 13.59 VND, reached a high of 13.59 VND, a low of 13.59 VND, and closed the hour at 13.59 VND with a trading volume of 200 shares."
2024-07-15 09:00:00,15.51,16.42,15.51,16.42,400,TR1,"At 2024-07-15 09:00:00, the stock TR1 opened at 15.51 VND, reached a high of 16.42 VND, a low of 15.51 VND, and closed the hour at 16.42 VND with a trading volume of 400 shares."
2024-07-15 14:00:00,14.6,14.6,14.6,14.6,300,TR1,"At 2024-07-15 14:00:00, the stock TR1 opened at 14.60 VND, reached a high of 14.60 VND, a low of 14.60 VND, and closed the hour at 14.60 VND with a trading volume of 300 shares."
2024-08-08 14:00:00,13.68,13.68,13.68,13.68,300,TR1,"At 2024-08-08 14:00:00, the stock TR1 opened at 13.68 VND, reached a high of 13.68 VND, a low of 13.68 VND, and closed the hour at 13.68 VND with a trading volume of 300 shares."
2024-10-18 14:00:00,14.14,14.14,14.14,14.14,100,TR1,"At 2024-10-18 14:00:00, the stock TR1 opened at 14.14 VND, reached a high of 14.14 VND, a low of 14.14 VND, and closed the hour at 14.14 VND with a trading volume of 100 shares."
2024-10-22 13:00:00,14.14,14.14,14.14,14.14,600,TR1,"At 2024-10-22 13:00:00, the stock TR1 opened at 14.14 VND, reached a high of 14.14 VND, a low of 14.14 VND, and closed the hour at 14.14 VND with a trading volume of 600 shares."
2024-10-24 13:00:00,14.14,14.14,14.14,14.14,400,TR1,"At 2024-10-24 13:00:00, the stock TR1 opened at 14.14 VND, reached a high of 14.14 VND, a low of 14.14 VND, and closed the hour at 14.14 VND with a trading volume of 400 shares."
2024-11-06 14:00:00,14.14,14.14,14.14,14.14,500,TR1,"At 2024-11-06 14:00:00, the stock TR1 opened at 14.14 VND, reached a high of 14.14 VND, a low of 14.14 VND, and closed the hour at 14.14 VND with a trading volume of 500 shares."
2024-11-13 09:00:00,16.24,16.24,16.24,16.24,100,TR1,"At 2024-11-13 09:00:00, the stock TR1 opened at 16.24 VND, reached a high of 16.24 VND, a low of 16.24 VND, and closed the hour at 16.24 VND with a trading volume of 100 shares."
2024-11-13 11:00:00,16.24,16.24,16.24,16.24,300,TR1,"At 2024-11-13 11:00:00, the stock TR1 opened at 16.24 VND, reached a high of 16.24 VND, a low of 16.24 VND, and closed the hour at 16.24 VND with a trading volume of 300 shares."
2024-11-25 13:00:00,13.87,13.87,13.87,13.87,100,TR1,"At 2024-11-25 13:00:00, the stock TR1 opened at 13.87 VND, reached a high of 13.87 VND, a low of 13.87 VND, and closed the hour at 13.87 VND with a trading volume of 100 shares."
2024-11-27 14:00:00,13.87,13.87,13.87,13.87,400,TR1,"At 2024-11-27 14:00:00, the stock TR1 opened at 13.87 VND, reached a high of 13.87 VND, a low of 13.87 VND, and closed the hour at 13.87 VND with a trading volume of 400 shares."
2024-11-29 13:00:00,15.87,15.87,15.87,15.87,100,TR1,"At 2024-11-29 13:00:00, the stock TR1 opened at 15.87 VND, reached a high of 15.87 VND, a low of 15.87 VND, and closed the hour at 15.87 VND with a trading volume of 100 shares."
2024-12-02 11:00:00,15.87,15.87,15.87,15.87,100,TR1,"At 2024-12-02 11:00:00, the stock TR1 opened at 15.87 VND, reached a high of 15.87 VND, a low of 15.87 VND, and closed the hour at 15.87 VND with a trading volume of 100 shares."
2024-12-10 14:00:00,15.87,15.87,15.87,15.87,300,TR1,"At 2024-12-10 14:00:00, the stock TR1 opened at 15.87 VND, reached a high of 15.87 VND, a low of 15.87 VND, and closed the hour at 15.87 VND with a trading volume of 300 shares."
2024-12-13 13:00:00,15.87,15.87,15.87,15.87,200,TR1,"At 2024-12-13 13:00:00, the stock TR1 opened at 15.87 VND, reached a high of 15.87 VND, a low of 15.87 VND, and closed the hour at 15.87 VND with a trading volume of 200 shares."
2024-12-23 11:00:00,13.5,13.5,13.5,13.5,1000,TR1,"At 2024-12-23 11:00:00, the stock TR1 opened at 13.50 VND, reached a high of 13.50 VND, a low of 13.50 VND, and closed the hour at 13.50 VND with a trading volume of 1,000 shares."
2024-12-26 09:00:00,14.14,14.14,14.14,14.14,100,TR1,"At 2024-12-26 09:00:00, the stock TR1 opened at 14.14 VND, reached a high of 14.14 VND, a low of 14.14 VND, and closed the hour at 14.14 VND with a trading volume of 100 shares."
2025-01-08 14:00:00,14.14,14.14,14.14,14.14,200,TR1,"At 2025-01-08 14:00:00, the stock TR1 opened at 14.14 VND, reached a high of 14.14 VND, a low of 14.14 VND, and closed the hour at 14.14 VND with a trading volume of 200 shares."
2025-01-09 11:00:00,14.14,14.14,14.14,14.14,400,TR1,"At 2025-01-09 11:00:00, the stock TR1 opened at 14.14 VND, reached a high of 14.14 VND, a low of 14.14 VND, and closed the hour at 14.14 VND with a trading volume of 400 shares."
2025-01-09 13:00:00,14.14,14.14,14.14,14.14,400,TR1,"At 2025-01-09 13:00:00, the stock TR1 opened at 14.14 VND, reached a high of 14.14 VND, a low of 14.14 VND, and closed the hour at 14.14 VND with a trading volume of 400 shares."
2025-02-03 13:00:00,12.13,12.13,12.13,12.13,100,TR1,"At 2025-02-03 13:00:00, the stock TR1 opened at 12.13 VND, reached a high of 12.13 VND, a low of 12.13 VND, and closed the hour at 12.13 VND with a trading volume of 100 shares."
2025-02-06 14:00:00,13.87,13.87,13.87,13.87,300,TR1,"At 2025-02-06 14:00:00, the stock TR1 opened at 13.87 VND, reached a high of 13.87 VND, a low of 13.87 VND, and closed the hour at 13.87 VND with a trading volume of 300 shares."
2025-02-07 09:00:00,14.6,14.6,14.6,14.6,100,TR1,"At 2025-02-07 09:00:00, the stock TR1 opened at 14.60 VND, reached a high of 14.60 VND, a low of 14.60 VND, and closed the hour at 14.60 VND with a trading volume of 100 shares."
2025-03-07 14:00:00,15.78,15.78,15.78,15.78,2000,TR1,"At 2025-03-07 14:00:00, the stock TR1 opened at 15.78 VND, reached a high of 15.78 VND, a low of 15.78 VND, and closed the hour at 15.78 VND with a trading volume of 2,000 shares."
2025-03-17 10:00:00,13.5,13.59,13.5,13.59,1500,TR1,"At 2025-03-17 10:00:00, the stock TR1 opened at 13.50 VND, reached a high of 13.59 VND, a low of 13.50 VND, and closed the hour at 13.59 VND with a trading volume of 1,500 shares."
2025-03-19 10:00:00,13.5,13.5,13.5,13.5,1400,TR1,"At 2025-03-19 10:00:00, the stock TR1 opened at 13.50 VND, reached a high of 13.50 VND, a low of 13.50 VND, and closed the hour at 13.50 VND with a trading volume of 1,400 shares."
2025-03-25 09:00:00,14.32,14.32,14.32,14.32,1400,TR1,"At 2025-03-25 09:00:00, the stock TR1 opened at 14.32 VND, reached a high of 14.32 VND, a low of 14.32 VND, and closed the hour at 14.32 VND with a trading volume of 1,400 shares."
2025-03-25 13:00:00,14.6,15.51,14.6,15.51,800,TR1,"At 2025-03-25 13:00:00, the stock TR1 opened at 14.60 VND, reached a high of 15.51 VND, a low of 14.60 VND, and closed the hour at 15.51 VND with a trading volume of 800 shares."
2025-03-26 11:00:00,16.05,16.05,16.05,16.05,100,TR1,"At 2025-03-26 11:00:00, the stock TR1 opened at 16.05 VND, reached a high of 16.05 VND, a low of 16.05 VND, and closed the hour at 16.05 VND with a trading volume of 100 shares."
2025-03-26 14:00:00,15.69,16.42,15.69,16.42,3000,TR1,"At 2025-03-26 14:00:00, the stock TR1 opened at 15.69 VND, reached a high of 16.42 VND, a low of 15.69 VND, and closed the hour at 16.42 VND with a trading volume of 3,000 shares."
2025-03-28 13:00:00,16.42,16.42,13.68,13.68,1500,TR1,"At 2025-03-28 13:00:00, the stock TR1 opened at 16.42 VND, reached a high of 16.42 VND, a low of 13.68 VND, and closed the hour at 13.68 VND with a trading volume of 1,500 shares."
2025-03-31 09:00:00,13.68,13.68,13.68,13.68,200,TR1,"At 2025-03-31 09:00:00, the stock TR1 opened at 13.68 VND, reached a high of 13.68 VND, a low of 13.68 VND, and closed the hour at 13.68 VND with a trading volume of 200 shares."
