time,open,high,low,close,volume,ticker,llm_text
2025-09-08 09:00:00,12.38,12.38,12.1,12.19,148500,TTA,"At 2025-09-08 09:00:00, the stock TTA opened at 12.38 VND, reached a high of 12.38 VND, a low of 12.10 VND, and closed the hour at 12.19 VND with a trading volume of 148,500 shares."
2025-09-08 10:00:00,12.19,12.19,12.1,12.1,96800,TTA,"At 2025-09-08 10:00:00, the stock TTA opened at 12.19 VND, reached a high of 12.19 VND, a low of 12.10 VND, and closed the hour at 12.10 VND with a trading volume of 96,800 shares."
2025-09-08 11:00:00,12.1,12.1,12.0,12.05,143400,TTA,"At 2025-09-08 11:00:00, the stock TTA opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.00 VND, and closed the hour at 12.05 VND with a trading volume of 143,400 shares."
2025-09-08 13:00:00,12.05,12.24,12.05,12.19,42700,TTA,"At 2025-09-08 13:00:00, the stock TTA opened at 12.05 VND, reached a high of 12.24 VND, a low of 12.05 VND, and closed the hour at 12.19 VND with a trading volume of 42,700 shares."
2025-09-08 14:00:00,12.19,12.19,12.05,12.1,83200,TTA,"At 2025-09-08 14:00:00, the stock TTA opened at 12.19 VND, reached a high of 12.19 VND, a low of 12.05 VND, and closed the hour at 12.10 VND with a trading volume of 83,200 shares."
2025-09-09 09:00:00,12.05,12.1,12.05,12.05,17500,TTA,"At 2025-09-09 09:00:00, the stock TTA opened at 12.05 VND, reached a high of 12.10 VND, a low of 12.05 VND, and closed the hour at 12.05 VND with a trading volume of 17,500 shares."
2025-09-09 10:00:00,12.05,12.05,12.0,12.0,33100,TTA,"At 2025-09-09 10:00:00, the stock TTA opened at 12.05 VND, reached a high of 12.05 VND, a low of 12.00 VND, and closed the hour at 12.00 VND with a trading volume of 33,100 shares."
2025-09-09 11:00:00,12.0,12.05,11.95,12.05,42900,TTA,"At 2025-09-09 11:00:00, the stock TTA opened at 12.00 VND, reached a high of 12.05 VND, a low of 11.95 VND, and closed the hour at 12.05 VND with a trading volume of 42,900 shares."
2025-09-09 13:00:00,12.0,12.1,12.0,12.1,86800,TTA,"At 2025-09-09 13:00:00, the stock TTA opened at 12.00 VND, reached a high of 12.10 VND, a low of 12.00 VND, and closed the hour at 12.10 VND with a trading volume of 86,800 shares."
2025-09-09 14:00:00,12.1,12.1,12.0,12.1,52900,TTA,"At 2025-09-09 14:00:00, the stock TTA opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.00 VND, and closed the hour at 12.10 VND with a trading volume of 52,900 shares."
2025-09-10 09:00:00,12.1,12.24,12.05,12.1,10500,TTA,"At 2025-09-10 09:00:00, the stock TTA opened at 12.10 VND, reached a high of 12.24 VND, a low of 12.05 VND, and closed the hour at 12.10 VND with a trading volume of 10,500 shares."
2025-09-10 10:00:00,12.1,12.1,12.0,12.05,49800,TTA,"At 2025-09-10 10:00:00, the stock TTA opened at 12.10 VND, reached a high of 12.10 VND, a low of 12.00 VND, and closed the hour at 12.05 VND with a trading volume of 49,800 shares."
2025-09-10 11:00:00,12.05,12.05,12.0,12.05,31800,TTA,"At 2025-09-10 11:00:00, the stock TTA opened at 12.05 VND, reached a high of 12.05 VND, a low of 12.00 VND, and closed the hour at 12.05 VND with a trading volume of 31,800 shares."
2025-09-10 13:00:00,12.0,12.05,11.9,12.05,89600,TTA,"At 2025-09-10 13:00:00, the stock TTA opened at 12.00 VND, reached a high of 12.05 VND, a low of 11.90 VND, and closed the hour at 12.05 VND with a trading volume of 89,600 shares."
2025-09-10 14:00:00,12.05,12.1,12.05,12.1,74400,TTA,"At 2025-09-10 14:00:00, the stock TTA opened at 12.05 VND, reached a high of 12.10 VND, a low of 12.05 VND, and closed the hour at 12.10 VND with a trading volume of 74,400 shares."
2025-09-11 09:00:00,12.1,12.19,12.0,12.0,52800,TTA,"At 2025-09-11 09:00:00, the stock TTA opened at 12.10 VND, reached a high of 12.19 VND, a low of 12.00 VND, and closed the hour at 12.00 VND with a trading volume of 52,800 shares."
