time,open,high,low,close,volume,ticker,llm_text
2025-08-29 13:00:00,15.04,15.04,14.87,14.87,21300,VTR,"At 2025-08-29 13:00:00, the stock VTR opened at 15.04 VND, reached a high of 15.04 VND, a low of 14.87 VND, and closed the hour at 14.87 VND with a trading volume of 21,300 shares."
2025-08-29 14:00:00,15.04,15.13,14.87,15.13,10300,VTR,"At 2025-08-29 14:00:00, the stock VTR opened at 15.04 VND, reached a high of 15.13 VND, a low of 14.87 VND, and closed the hour at 15.13 VND with a trading volume of 10,300 shares."
2025-09-03 09:00:00,15.04,15.04,14.78,15.04,10100,VTR,"At 2025-09-03 09:00:00, the stock VTR opened at 15.04 VND, reached a high of 15.04 VND, a low of 14.78 VND, and closed the hour at 15.04 VND with a trading volume of 10,100 shares."
2025-09-03 10:00:00,14.96,15.04,14.87,14.87,5200,VTR,"At 2025-09-03 10:00:00, the stock VTR opened at 14.96 VND, reached a high of 15.04 VND, a low of 14.87 VND, and closed the hour at 14.87 VND with a trading volume of 5,200 shares."
2025-09-03 11:00:00,14.96,14.96,14.96,14.96,100,VTR,"At 2025-09-03 11:00:00, the stock VTR opened at 14.96 VND, reached a high of 14.96 VND, a low of 14.96 VND, and closed the hour at 14.96 VND with a trading volume of 100 shares."
2025-09-03 13:00:00,14.96,15.04,14.87,14.87,13500,VTR,"At 2025-09-03 13:00:00, the stock VTR opened at 14.96 VND, reached a high of 15.04 VND, a low of 14.87 VND, and closed the hour at 14.87 VND with a trading volume of 13,500 shares."
2025-09-03 14:00:00,14.96,14.96,14.87,14.96,700,VTR,"At 2025-09-03 14:00:00, the stock VTR opened at 14.96 VND, reached a high of 14.96 VND, a low of 14.87 VND, and closed the hour at 14.96 VND with a trading volume of 700 shares."
2025-09-04 09:00:00,15.04,15.65,15.04,15.22,16400,VTR,"At 2025-09-04 09:00:00, the stock VTR opened at 15.04 VND, reached a high of 15.65 VND, a low of 15.04 VND, and closed the hour at 15.22 VND with a trading volume of 16,400 shares."
2025-09-04 10:00:00,15.22,15.22,15.13,15.13,7500,VTR,"At 2025-09-04 10:00:00, the stock VTR opened at 15.22 VND, reached a high of 15.22 VND, a low of 15.13 VND, and closed the hour at 15.13 VND with a trading volume of 7,500 shares."
2025-09-04 11:00:00,15.04,15.04,15.04,15.04,500,VTR,"At 2025-09-04 11:00:00, the stock VTR opened at 15.04 VND, reached a high of 15.04 VND, a low of 15.04 VND, and closed the hour at 15.04 VND with a trading volume of 500 shares."
