time,open,high,low,close,volume,ticker,llm_text
2025-05-15 14:00:00,5.8,5.8,5.8,5.8,300,ACS,"At 2025-05-15 14:00:00, the stock ACS opened at 5.80 VND, reached a high of 5.80 VND, a low of 5.80 VND, and closed the hour at 5.80 VND with a trading volume of 300 shares."
2025-06-04 13:00:00,5.2,5.2,5.1,5.1,1500,ACS,"At 2025-06-04 13:00:00, the stock ACS opened at 5.20 VND, reached a high of 5.20 VND, a low of 5.10 VND, and closed the hour at 5.10 VND with a trading volume of 1,500 shares."
2025-06-10 14:00:00,5.8,5.8,5.8,5.8,100,ACS,"At 2025-06-10 14:00:00, the stock ACS opened at 5.80 VND, reached a high of 5.80 VND, a low of 5.80 VND, and closed the hour at 5.80 VND with a trading volume of 100 shares."
2025-06-11 10:00:00,6.4,6.4,6.2,6.2,200,ACS,"At 2025-06-11 10:00:00, the stock ACS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 200 shares."
2025-06-16 09:00:00,6.2,6.2,6.2,6.2,200,ACS,"At 2025-06-16 09:00:00, the stock ACS opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 200 shares."
2025-06-16 13:00:00,6.4,6.4,6.4,6.4,100,ACS,"At 2025-06-16 13:00:00, the stock ACS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.40 VND, and closed the hour at 6.40 VND with a trading volume of 100 shares."
2025-06-18 13:00:00,6.4,6.4,6.4,6.4,100,ACS,"At 2025-06-18 13:00:00, the stock ACS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.40 VND, and closed the hour at 6.40 VND with a trading volume of 100 shares."
2025-06-20 09:00:00,7.3,7.3,7.3,7.3,100,ACS,"At 2025-06-20 09:00:00, the stock ACS opened at 7.30 VND, reached a high of 7.30 VND, a low of 7.30 VND, and closed the hour at 7.30 VND with a trading volume of 100 shares."
2025-06-23 09:00:00,6.3,6.3,6.3,6.3,500,ACS,"At 2025-06-23 09:00:00, the stock ACS opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.30 VND, and closed the hour at 6.30 VND with a trading volume of 500 shares."
2025-06-23 10:00:00,6.3,6.3,6.3,6.3,400,ACS,"At 2025-06-23 10:00:00, the stock ACS opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.30 VND, and closed the hour at 6.30 VND with a trading volume of 400 shares."
2025-06-23 13:00:00,6.3,6.3,6.3,6.3,300,ACS,"At 2025-06-23 13:00:00, the stock ACS opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.30 VND, and closed the hour at 6.30 VND with a trading volume of 300 shares."
2025-06-23 14:00:00,6.3,6.3,6.3,6.3,200,ACS,"At 2025-06-23 14:00:00, the stock ACS opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.30 VND, and closed the hour at 6.30 VND with a trading volume of 200 shares."
2025-06-24 13:00:00,5.4,5.4,5.4,5.4,100,ACS,"At 2025-06-24 13:00:00, the stock ACS opened at 5.40 VND, reached a high of 5.40 VND, a low of 5.40 VND, and closed the hour at 5.40 VND with a trading volume of 100 shares."
2025-06-24 14:00:00,6.8,6.8,6.8,6.8,100,ACS,"At 2025-06-24 14:00:00, the stock ACS opened at 6.80 VND, reached a high of 6.80 VND, a low of 6.80 VND, and closed the hour at 6.80 VND with a trading volume of 100 shares."
2025-06-26 09:00:00,6.8,6.8,6.8,6.8,100,ACS,"At 2025-06-26 09:00:00, the stock ACS opened at 6.80 VND, reached a high of 6.80 VND, a low of 6.80 VND, and closed the hour at 6.80 VND with a trading volume of 100 shares."
2025-06-30 09:00:00,6.4,6.4,6.4,6.4,500,ACS,"At 2025-06-30 09:00:00, the stock ACS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.40 VND, and closed the hour at 6.40 VND with a trading volume of 500 shares."
