time,open,high,low,close,volume,ticker,llm_text
2025-03-20 09:00:00,10.86,10.86,10.86,10.86,100,BT1,"At 2025-03-20 09:00:00, the stock BT1 opened at 10.86 VND, reached a high of 10.86 VND, a low of 10.86 VND, and closed the hour at 10.86 VND with a trading volume of 100 shares."
2025-03-21 09:00:00,9.26,9.26,9.26,9.26,6500,BT1,"At 2025-03-21 09:00:00, the stock BT1 opened at 9.26 VND, reached a high of 9.26 VND, a low of 9.26 VND, and closed the hour at 9.26 VND with a trading volume of 6,500 shares."
2025-03-21 14:00:00,10.3,10.3,10.3,10.3,100,BT1,"At 2025-03-21 14:00:00, the stock BT1 opened at 10.30 VND, reached a high of 10.30 VND, a low of 10.30 VND, and closed the hour at 10.30 VND with a trading volume of 100 shares."
2025-03-24 14:00:00,10.38,10.38,10.38,10.38,100,BT1,"At 2025-03-24 14:00:00, the stock BT1 opened at 10.38 VND, reached a high of 10.38 VND, a low of 10.38 VND, and closed the hour at 10.38 VND with a trading volume of 100 shares."
2025-03-28 14:00:00,10.38,10.38,10.38,10.38,400,BT1,"At 2025-03-28 14:00:00, the stock BT1 opened at 10.38 VND, reached a high of 10.38 VND, a low of 10.38 VND, and closed the hour at 10.38 VND with a trading volume of 400 shares."
2025-04-08 14:00:00,10.22,10.22,10.22,10.22,200,BT1,"At 2025-04-08 14:00:00, the stock BT1 opened at 10.22 VND, reached a high of 10.22 VND, a low of 10.22 VND, and closed the hour at 10.22 VND with a trading volume of 200 shares."
2025-04-09 13:00:00,10.22,10.22,10.22,10.22,100,BT1,"At 2025-04-09 13:00:00, the stock BT1 opened at 10.22 VND, reached a high of 10.22 VND, a low of 10.22 VND, and closed the hour at 10.22 VND with a trading volume of 100 shares."
2025-04-11 09:00:00,10.86,10.86,10.86,10.86,100,BT1,"At 2025-04-11 09:00:00, the stock BT1 opened at 10.86 VND, reached a high of 10.86 VND, a low of 10.86 VND, and closed the hour at 10.86 VND with a trading volume of 100 shares."
2025-04-29 10:00:00,11.34,11.34,11.34,11.34,100,BT1,"At 2025-04-29 10:00:00, the stock BT1 opened at 11.34 VND, reached a high of 11.34 VND, a low of 11.34 VND, and closed the hour at 11.34 VND with a trading volume of 100 shares."
2025-05-06 13:00:00,11.98,11.98,11.98,11.98,100,BT1,"At 2025-05-06 13:00:00, the stock BT1 opened at 11.98 VND, reached a high of 11.98 VND, a low of 11.98 VND, and closed the hour at 11.98 VND with a trading volume of 100 shares."
2025-05-20 14:00:00,10.38,10.38,10.38,10.38,200,BT1,"At 2025-05-20 14:00:00, the stock BT1 opened at 10.38 VND, reached a high of 10.38 VND, a low of 10.38 VND, and closed the hour at 10.38 VND with a trading volume of 200 shares."
2025-07-11 13:00:00,10.38,10.38,10.38,10.38,100,BT1,"At 2025-07-11 13:00:00, the stock BT1 opened at 10.38 VND, reached a high of 10.38 VND, a low of 10.38 VND, and closed the hour at 10.38 VND with a trading volume of 100 shares."
2025-07-15 14:00:00,9.95,9.95,9.95,9.95,500,BT1,"At 2025-07-15 14:00:00, the stock BT1 opened at 9.95 VND, reached a high of 9.95 VND, a low of 9.95 VND, and closed the hour at 9.95 VND with a trading volume of 500 shares."
2025-07-16 13:00:00,9.95,9.95,9.95,9.95,1000,BT1,"At 2025-07-16 13:00:00, the stock BT1 opened at 9.95 VND, reached a high of 9.95 VND, a low of 9.95 VND, and closed the hour at 9.95 VND with a trading volume of 1,000 shares."
2025-07-18 13:00:00,9.69,9.69,9.69,9.69,7200,BT1,"At 2025-07-18 13:00:00, the stock BT1 opened at 9.69 VND, reached a high of 9.69 VND, a low of 9.69 VND, and closed the hour at 9.69 VND with a trading volume of 7,200 shares."
2025-07-24 13:00:00,9.69,9.69,9.69,9.69,100,BT1,"At 2025-07-24 13:00:00, the stock BT1 opened at 9.69 VND, reached a high of 9.69 VND, a low of 9.69 VND, and closed the hour at 9.69 VND with a trading volume of 100 shares."
2025-07-24 14:00:00,9.86,9.86,9.86,9.86,100,BT1,"At 2025-07-24 14:00:00, the stock BT1 opened at 9.86 VND, reached a high of 9.86 VND, a low of 9.86 VND, and closed the hour at 9.86 VND with a trading volume of 100 shares."
2025-08-05 13:00:00,11.16,11.16,11.16,11.16,100,BT1,"At 2025-08-05 13:00:00, the stock BT1 opened at 11.16 VND, reached a high of 11.16 VND, a low of 11.16 VND, and closed the hour at 11.16 VND with a trading volume of 100 shares."
2025-08-05 14:00:00,11.16,11.16,11.16,11.16,200,BT1,"At 2025-08-05 14:00:00, the stock BT1 opened at 11.16 VND, reached a high of 11.16 VND, a low of 11.16 VND, and closed the hour at 11.16 VND with a trading volume of 200 shares."
2025-09-04 13:00:00,10.38,10.38,10.12,10.38,600,BT1,"At 2025-09-04 13:00:00, the stock BT1 opened at 10.38 VND, reached a high of 10.38 VND, a low of 10.12 VND, and closed the hour at 10.38 VND with a trading volume of 600 shares."
2025-09-24 13:00:00,10.38,10.38,10.38,10.38,200,BT1,"At 2025-09-24 13:00:00, the stock BT1 opened at 10.38 VND, reached a high of 10.38 VND, a low of 10.38 VND, and closed the hour at 10.38 VND with a trading volume of 200 shares."
2025-10-01 11:00:00,10.38,10.38,10.38,10.38,100,BT1,"At 2025-10-01 11:00:00, the stock BT1 opened at 10.38 VND, reached a high of 10.38 VND, a low of 10.38 VND, and closed the hour at 10.38 VND with a trading volume of 100 shares."
2025-10-02 13:00:00,10.38,10.38,10.38,10.38,100,BT1,"At 2025-10-02 13:00:00, the stock BT1 opened at 10.38 VND, reached a high of 10.38 VND, a low of 10.38 VND, and closed the hour at 10.38 VND with a trading volume of 100 shares."
2025-10-03 13:00:00,10.47,10.47,10.29,10.29,1900,BT1,"At 2025-10-03 13:00:00, the stock BT1 opened at 10.47 VND, reached a high of 10.47 VND, a low of 10.29 VND, and closed the hour at 10.29 VND with a trading volume of 1,900 shares."
2025-10-06 14:00:00,10.47,10.47,10.47,10.47,100,BT1,"At 2025-10-06 14:00:00, the stock BT1 opened at 10.47 VND, reached a high of 10.47 VND, a low of 10.47 VND, and closed the hour at 10.47 VND with a trading volume of 100 shares."
