time,open,high,low,close,volume,ticker,llm_text
2026-02-11 13:00:00,5.72,5.73,5.71,5.73,10500,CCL,"At 2026-02-11 13:00:00, the stock CCL opened at 5.72 VND, reached a high of 5.73 VND, a low of 5.71 VND, and closed the hour at 5.73 VND with a trading volume of 10,500 shares."
2026-02-11 14:00:00,5.73,5.73,5.72,5.72,8400,CCL,"At 2026-02-11 14:00:00, the stock CCL opened at 5.73 VND, reached a high of 5.73 VND, a low of 5.72 VND, and closed the hour at 5.72 VND with a trading volume of 8,400 shares."
2026-02-12 09:00:00,5.69,5.75,5.69,5.75,2300,CCL,"At 2026-02-12 09:00:00, the stock CCL opened at 5.69 VND, reached a high of 5.75 VND, a low of 5.69 VND, and closed the hour at 5.75 VND with a trading volume of 2,300 shares."
2026-02-12 10:00:00,5.71,5.72,5.71,5.72,10400,CCL,"At 2026-02-12 10:00:00, the stock CCL opened at 5.71 VND, reached a high of 5.72 VND, a low of 5.71 VND, and closed the hour at 5.72 VND with a trading volume of 10,400 shares."
2026-02-12 11:00:00,5.72,5.72,5.72,5.72,1100,CCL,"At 2026-02-12 11:00:00, the stock CCL opened at 5.72 VND, reached a high of 5.72 VND, a low of 5.72 VND, and closed the hour at 5.72 VND with a trading volume of 1,100 shares."
2026-02-12 13:00:00,5.72,5.72,5.71,5.71,18200,CCL,"At 2026-02-12 13:00:00, the stock CCL opened at 5.72 VND, reached a high of 5.72 VND, a low of 5.71 VND, and closed the hour at 5.71 VND with a trading volume of 18,200 shares."
2026-02-12 14:00:00,5.72,5.72,5.71,5.71,70300,CCL,"At 2026-02-12 14:00:00, the stock CCL opened at 5.72 VND, reached a high of 5.72 VND, a low of 5.71 VND, and closed the hour at 5.71 VND with a trading volume of 70,300 shares."
2026-02-13 09:00:00,5.65,5.74,5.65,5.74,9400,CCL,"At 2026-02-13 09:00:00, the stock CCL opened at 5.65 VND, reached a high of 5.74 VND, a low of 5.65 VND, and closed the hour at 5.74 VND with a trading volume of 9,400 shares."
2026-02-13 10:00:00,5.74,5.74,5.72,5.72,9200,CCL,"At 2026-02-13 10:00:00, the stock CCL opened at 5.74 VND, reached a high of 5.74 VND, a low of 5.72 VND, and closed the hour at 5.72 VND with a trading volume of 9,200 shares."
2026-02-13 11:00:00,5.72,5.73,5.71,5.71,11900,CCL,"At 2026-02-13 11:00:00, the stock CCL opened at 5.72 VND, reached a high of 5.73 VND, a low of 5.71 VND, and closed the hour at 5.71 VND with a trading volume of 11,900 shares."
