time,open,high,low,close,volume,ticker,llm_text
2025-10-17 13:00:00,11.02,11.02,11.02,11.02,600,CHS,"At 2025-10-17 13:00:00, the stock CHS opened at 11.02 VND, reached a high of 11.02 VND, a low of 11.02 VND, and closed the hour at 11.02 VND with a trading volume of 600 shares."
2025-10-24 13:00:00,10.93,10.93,10.93,10.93,1900,CHS,"At 2025-10-24 13:00:00, the stock CHS opened at 10.93 VND, reached a high of 10.93 VND, a low of 10.93 VND, and closed the hour at 10.93 VND with a trading volume of 1,900 shares."
2025-10-27 10:00:00,10.93,10.93,10.93,10.93,100,CHS,"At 2025-10-27 10:00:00, the stock CHS opened at 10.93 VND, reached a high of 10.93 VND, a low of 10.93 VND, and closed the hour at 10.93 VND with a trading volume of 100 shares."
2025-11-03 14:00:00,10.93,10.93,10.93,10.93,300,CHS,"At 2025-11-03 14:00:00, the stock CHS opened at 10.93 VND, reached a high of 10.93 VND, a low of 10.93 VND, and closed the hour at 10.93 VND with a trading volume of 300 shares."
2025-11-06 14:00:00,11.02,11.02,11.02,11.02,100,CHS,"At 2025-11-06 14:00:00, the stock CHS opened at 11.02 VND, reached a high of 11.02 VND, a low of 11.02 VND, and closed the hour at 11.02 VND with a trading volume of 100 shares."
2025-11-10 14:00:00,11.02,11.02,11.02,11.02,100,CHS,"At 2025-11-10 14:00:00, the stock CHS opened at 11.02 VND, reached a high of 11.02 VND, a low of 11.02 VND, and closed the hour at 11.02 VND with a trading volume of 100 shares."
2025-11-11 09:00:00,11.02,11.02,11.02,11.02,100,CHS,"At 2025-11-11 09:00:00, the stock CHS opened at 11.02 VND, reached a high of 11.02 VND, a low of 11.02 VND, and closed the hour at 11.02 VND with a trading volume of 100 shares."
2025-11-11 14:00:00,10.19,10.19,10.19,10.19,500,CHS,"At 2025-11-11 14:00:00, the stock CHS opened at 10.19 VND, reached a high of 10.19 VND, a low of 10.19 VND, and closed the hour at 10.19 VND with a trading volume of 500 shares."
2025-11-17 14:00:00,10.47,10.47,10.37,10.37,1100,CHS,"At 2025-11-17 14:00:00, the stock CHS opened at 10.47 VND, reached a high of 10.47 VND, a low of 10.37 VND, and closed the hour at 10.37 VND with a trading volume of 1,100 shares."
2025-11-19 13:00:00,10.47,10.47,10.47,10.47,500,CHS,"At 2025-11-19 13:00:00, the stock CHS opened at 10.47 VND, reached a high of 10.47 VND, a low of 10.47 VND, and closed the hour at 10.47 VND with a trading volume of 500 shares."
2025-11-20 11:00:00,10.84,10.84,10.84,10.84,100,CHS,"At 2025-11-20 11:00:00, the stock CHS opened at 10.84 VND, reached a high of 10.84 VND, a low of 10.84 VND, and closed the hour at 10.84 VND with a trading volume of 100 shares."
2025-11-21 14:00:00,11.02,11.02,11.02,11.02,1100,CHS,"At 2025-11-21 14:00:00, the stock CHS opened at 11.02 VND, reached a high of 11.02 VND, a low of 11.02 VND, and closed the hour at 11.02 VND with a trading volume of 1,100 shares."
2025-11-24 13:00:00,11.11,11.21,11.11,11.21,400,CHS,"At 2025-11-24 13:00:00, the stock CHS opened at 11.11 VND, reached a high of 11.21 VND, a low of 11.11 VND, and closed the hour at 11.21 VND with a trading volume of 400 shares."
2025-11-24 14:00:00,11.21,11.21,11.21,11.21,100,CHS,"At 2025-11-24 14:00:00, the stock CHS opened at 11.21 VND, reached a high of 11.21 VND, a low of 11.21 VND, and closed the hour at 11.21 VND with a trading volume of 100 shares."
2025-11-25 14:00:00,11.21,11.21,11.21,11.21,2100,CHS,"At 2025-11-25 14:00:00, the stock CHS opened at 11.21 VND, reached a high of 11.21 VND, a low of 11.21 VND, and closed the hour at 11.21 VND with a trading volume of 2,100 shares."
2025-11-26 09:00:00,11.3,11.39,11.3,11.39,300,CHS,"At 2025-11-26 09:00:00, the stock CHS opened at 11.30 VND, reached a high of 11.39 VND, a low of 11.30 VND, and closed the hour at 11.39 VND with a trading volume of 300 shares."
2025-11-26 10:00:00,11.3,11.3,11.3,11.3,200,CHS,"At 2025-11-26 10:00:00, the stock CHS opened at 11.30 VND, reached a high of 11.30 VND, a low of 11.30 VND, and closed the hour at 11.30 VND with a trading volume of 200 shares."
2025-11-27 14:00:00,11.3,11.39,11.3,11.39,200,CHS,"At 2025-11-27 14:00:00, the stock CHS opened at 11.30 VND, reached a high of 11.39 VND, a low of 11.30 VND, and closed the hour at 11.39 VND with a trading volume of 200 shares."
2025-12-01 14:00:00,11.3,11.3,11.3,11.3,2000,CHS,"At 2025-12-01 14:00:00, the stock CHS opened at 11.30 VND, reached a high of 11.30 VND, a low of 11.30 VND, and closed the hour at 11.30 VND with a trading volume of 2,000 shares."
2025-12-02 10:00:00,11.0,11.0,11.0,11.0,1000,CHS,"At 2025-12-02 10:00:00, the stock CHS opened at 11.00 VND, reached a high of 11.00 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 1,000 shares."
2025-12-02 11:00:00,11.5,11.5,11.5,11.5,1300,CHS,"At 2025-12-02 11:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 1,300 shares."
2025-12-02 13:00:00,11.5,11.5,11.5,11.5,700,CHS,"At 2025-12-02 13:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 700 shares."
2025-12-02 14:00:00,11.5,11.5,11.5,11.5,3200,CHS,"At 2025-12-02 14:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 3,200 shares."
2025-12-03 09:00:00,11.5,11.5,11.5,11.5,2000,CHS,"At 2025-12-03 09:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 2,000 shares."
2025-12-05 11:00:00,11.4,11.4,11.4,11.4,100,CHS,"At 2025-12-05 11:00:00, the stock CHS opened at 11.40 VND, reached a high of 11.40 VND, a low of 11.40 VND, and closed the hour at 11.40 VND with a trading volume of 100 shares."
2025-12-05 13:00:00,11.4,11.4,11.4,11.4,100,CHS,"At 2025-12-05 13:00:00, the stock CHS opened at 11.40 VND, reached a high of 11.40 VND, a low of 11.40 VND, and closed the hour at 11.40 VND with a trading volume of 100 shares."
2025-12-10 14:00:00,11.4,11.4,11.4,11.4,700,CHS,"At 2025-12-10 14:00:00, the stock CHS opened at 11.40 VND, reached a high of 11.40 VND, a low of 11.40 VND, and closed the hour at 11.40 VND with a trading volume of 700 shares."
2025-12-11 09:00:00,11.0,11.0,11.0,11.0,1000,CHS,"At 2025-12-11 09:00:00, the stock CHS opened at 11.00 VND, reached a high of 11.00 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 1,000 shares."
2025-12-11 10:00:00,9.7,9.7,9.7,9.7,600,CHS,"At 2025-12-11 10:00:00, the stock CHS opened at 9.70 VND, reached a high of 9.70 VND, a low of 9.70 VND, and closed the hour at 9.70 VND with a trading volume of 600 shares."
2025-12-11 13:00:00,11.4,11.4,11.4,11.4,1300,CHS,"At 2025-12-11 13:00:00, the stock CHS opened at 11.40 VND, reached a high of 11.40 VND, a low of 11.40 VND, and closed the hour at 11.40 VND with a trading volume of 1,300 shares."
2025-12-12 14:00:00,11.1,11.1,11.1,11.1,100,CHS,"At 2025-12-12 14:00:00, the stock CHS opened at 11.10 VND, reached a high of 11.10 VND, a low of 11.10 VND, and closed the hour at 11.10 VND with a trading volume of 100 shares."
2025-12-22 13:00:00,11.7,11.7,11.7,11.7,600,CHS,"At 2025-12-22 13:00:00, the stock CHS opened at 11.70 VND, reached a high of 11.70 VND, a low of 11.70 VND, and closed the hour at 11.70 VND with a trading volume of 600 shares."
2025-12-23 14:00:00,11.6,11.6,11.6,11.6,100,CHS,"At 2025-12-23 14:00:00, the stock CHS opened at 11.60 VND, reached a high of 11.60 VND, a low of 11.60 VND, and closed the hour at 11.60 VND with a trading volume of 100 shares."
2025-12-26 10:00:00,11.6,11.6,11.6,11.6,1000,CHS,"At 2025-12-26 10:00:00, the stock CHS opened at 11.60 VND, reached a high of 11.60 VND, a low of 11.60 VND, and closed the hour at 11.60 VND with a trading volume of 1,000 shares."
2025-12-30 09:00:00,11.6,11.6,10.0,10.0,1100,CHS,"At 2025-12-30 09:00:00, the stock CHS opened at 11.60 VND, reached a high of 11.60 VND, a low of 10.00 VND, and closed the hour at 10.00 VND with a trading volume of 1,100 shares."
2025-12-30 13:00:00,11.6,11.6,11.6,11.6,1000,CHS,"At 2025-12-30 13:00:00, the stock CHS opened at 11.60 VND, reached a high of 11.60 VND, a low of 11.60 VND, and closed the hour at 11.60 VND with a trading volume of 1,000 shares."
2025-12-31 13:00:00,11.5,11.5,11.5,11.5,1000,CHS,"At 2025-12-31 13:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 1,000 shares."
2026-01-05 09:00:00,11.5,11.5,11.0,11.0,1800,CHS,"At 2026-01-05 09:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 1,800 shares."
2026-01-07 14:00:00,11.3,11.3,11.3,11.3,100,CHS,"At 2026-01-07 14:00:00, the stock CHS opened at 11.30 VND, reached a high of 11.30 VND, a low of 11.30 VND, and closed the hour at 11.30 VND with a trading volume of 100 shares."
2026-01-08 14:00:00,11.5,11.5,11.5,11.5,500,CHS,"At 2026-01-08 14:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 500 shares."
2026-01-09 09:00:00,11.5,11.5,11.5,11.5,500,CHS,"At 2026-01-09 09:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 500 shares."
2026-01-09 13:00:00,11.5,11.5,11.5,11.5,1500,CHS,"At 2026-01-09 13:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 1,500 shares."
2026-01-09 14:00:00,11.7,11.7,11.7,11.7,2000,CHS,"At 2026-01-09 14:00:00, the stock CHS opened at 11.70 VND, reached a high of 11.70 VND, a low of 11.70 VND, and closed the hour at 11.70 VND with a trading volume of 2,000 shares."
2026-01-13 09:00:00,11.6,11.6,11.6,11.6,400,CHS,"At 2026-01-13 09:00:00, the stock CHS opened at 11.60 VND, reached a high of 11.60 VND, a low of 11.60 VND, and closed the hour at 11.60 VND with a trading volume of 400 shares."
2026-01-13 14:00:00,11.5,11.5,11.5,11.5,100,CHS,"At 2026-01-13 14:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 100 shares."
2026-01-14 09:00:00,11.5,11.5,11.5,11.5,300,CHS,"At 2026-01-14 09:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 300 shares."
2026-01-14 11:00:00,11.5,11.5,11.5,11.5,100,CHS,"At 2026-01-14 11:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 100 shares."
2026-01-14 13:00:00,11.5,11.5,11.5,11.5,1600,CHS,"At 2026-01-14 13:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 1,600 shares."
2026-01-15 09:00:00,11.5,11.5,11.5,11.5,300,CHS,"At 2026-01-15 09:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 300 shares."
2026-01-15 14:00:00,11.0,11.0,11.0,11.0,1000,CHS,"At 2026-01-15 14:00:00, the stock CHS opened at 11.00 VND, reached a high of 11.00 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 1,000 shares."
2026-01-16 09:00:00,11.6,11.6,11.6,11.6,100,CHS,"At 2026-01-16 09:00:00, the stock CHS opened at 11.60 VND, reached a high of 11.60 VND, a low of 11.60 VND, and closed the hour at 11.60 VND with a trading volume of 100 shares."
2026-01-16 11:00:00,11.4,11.4,11.4,11.4,1000,CHS,"At 2026-01-16 11:00:00, the stock CHS opened at 11.40 VND, reached a high of 11.40 VND, a low of 11.40 VND, and closed the hour at 11.40 VND with a trading volume of 1,000 shares."
2026-01-19 13:00:00,11.4,11.4,11.4,11.4,2500,CHS,"At 2026-01-19 13:00:00, the stock CHS opened at 11.40 VND, reached a high of 11.40 VND, a low of 11.40 VND, and closed the hour at 11.40 VND with a trading volume of 2,500 shares."
2026-01-19 14:00:00,11.4,11.4,11.4,11.4,100,CHS,"At 2026-01-19 14:00:00, the stock CHS opened at 11.40 VND, reached a high of 11.40 VND, a low of 11.40 VND, and closed the hour at 11.40 VND with a trading volume of 100 shares."
2026-01-20 13:00:00,11.5,11.5,11.5,11.5,2000,CHS,"At 2026-01-20 13:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 2,000 shares."
2026-01-20 14:00:00,11.5,11.5,11.5,11.5,600,CHS,"At 2026-01-20 14:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 600 shares."
2026-01-21 09:00:00,11.5,11.9,11.5,11.9,200,CHS,"At 2026-01-21 09:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.90 VND, a low of 11.50 VND, and closed the hour at 11.90 VND with a trading volume of 200 shares."
2026-01-21 10:00:00,11.5,11.5,11.5,11.5,100,CHS,"At 2026-01-21 10:00:00, the stock CHS opened at 11.50 VND, reached a high of 11.50 VND, a low of 11.50 VND, and closed the hour at 11.50 VND with a trading volume of 100 shares."
2026-01-22 09:00:00,11.6,11.6,11.6,11.6,100,CHS,"At 2026-01-22 09:00:00, the stock CHS opened at 11.60 VND, reached a high of 11.60 VND, a low of 11.60 VND, and closed the hour at 11.60 VND with a trading volume of 100 shares."
2026-01-23 09:00:00,11.6,11.6,11.6,11.6,100,CHS,"At 2026-01-23 09:00:00, the stock CHS opened at 11.60 VND, reached a high of 11.60 VND, a low of 11.60 VND, and closed the hour at 11.60 VND with a trading volume of 100 shares."
