time,open,high,low,close,volume,ticker,llm_text
2026-02-11 14:00:00,82.2,82.7,81.8,82.7,187100,CTD,"At 2026-02-11 14:00:00, the stock CTD opened at 82.20 VND, reached a high of 82.70 VND, a low of 81.80 VND, and closed the hour at 82.70 VND with a trading volume of 187,100 shares."
2026-02-12 09:00:00,82.3,83.0,82.2,82.4,40000,CTD,"At 2026-02-12 09:00:00, the stock CTD opened at 82.30 VND, reached a high of 83.00 VND, a low of 82.20 VND, and closed the hour at 82.40 VND with a trading volume of 40,000 shares."
2026-02-12 10:00:00,82.3,82.4,81.9,82.1,58400,CTD,"At 2026-02-12 10:00:00, the stock CTD opened at 82.30 VND, reached a high of 82.40 VND, a low of 81.90 VND, and closed the hour at 82.10 VND with a trading volume of 58,400 shares."
2026-02-12 11:00:00,82.1,82.4,82.1,82.3,12800,CTD,"At 2026-02-12 11:00:00, the stock CTD opened at 82.10 VND, reached a high of 82.40 VND, a low of 82.10 VND, and closed the hour at 82.30 VND with a trading volume of 12,800 shares."
2026-02-12 13:00:00,82.2,82.4,81.6,82.1,102700,CTD,"At 2026-02-12 13:00:00, the stock CTD opened at 82.20 VND, reached a high of 82.40 VND, a low of 81.60 VND, and closed the hour at 82.10 VND with a trading volume of 102,700 shares."
2026-02-12 14:00:00,82.0,82.0,81.5,81.5,92400,CTD,"At 2026-02-12 14:00:00, the stock CTD opened at 82.00 VND, reached a high of 82.00 VND, a low of 81.50 VND, and closed the hour at 81.50 VND with a trading volume of 92,400 shares."
2026-02-13 09:00:00,81.5,81.9,80.5,81.0,27800,CTD,"At 2026-02-13 09:00:00, the stock CTD opened at 81.50 VND, reached a high of 81.90 VND, a low of 80.50 VND, and closed the hour at 81.00 VND with a trading volume of 27,800 shares."
2026-02-13 10:00:00,80.9,81.5,80.8,80.9,50700,CTD,"At 2026-02-13 10:00:00, the stock CTD opened at 80.90 VND, reached a high of 81.50 VND, a low of 80.80 VND, and closed the hour at 80.90 VND with a trading volume of 50,700 shares."
2026-02-13 11:00:00,81.0,81.2,80.1,80.4,121700,CTD,"At 2026-02-13 11:00:00, the stock CTD opened at 81.00 VND, reached a high of 81.20 VND, a low of 80.10 VND, and closed the hour at 80.40 VND with a trading volume of 121,700 shares."
2026-02-13 13:00:00,80.4,81.1,80.4,81.0,148100,CTD,"At 2026-02-13 13:00:00, the stock CTD opened at 80.40 VND, reached a high of 81.10 VND, a low of 80.40 VND, and closed the hour at 81.00 VND with a trading volume of 148,100 shares."
2026-02-13 14:00:00,81.0,81.5,80.5,80.9,82900,CTD,"At 2026-02-13 14:00:00, the stock CTD opened at 81.00 VND, reached a high of 81.50 VND, a low of 80.50 VND, and closed the hour at 80.90 VND with a trading volume of 82,900 shares."
2026-02-23 09:00:00,82.4,83.7,81.2,83.7,255800,CTD,"At 2026-02-23 09:00:00, the stock CTD opened at 82.40 VND, reached a high of 83.70 VND, a low of 81.20 VND, and closed the hour at 83.70 VND with a trading volume of 255,800 shares."
