time,open,high,low,close,volume,ticker,llm_text
2025-08-13 11:00:00,14.44,14.44,14.25,14.25,4100,HAD,"At 2025-08-13 11:00:00, the stock HAD opened at 14.44 VND, reached a high of 14.44 VND, a low of 14.25 VND, and closed the hour at 14.25 VND with a trading volume of 4,100 shares."
2025-08-13 13:00:00,14.72,14.81,14.72,14.81,4200,HAD,"At 2025-08-13 13:00:00, the stock HAD opened at 14.72 VND, reached a high of 14.81 VND, a low of 14.72 VND, and closed the hour at 14.81 VND with a trading volume of 4,200 shares."
2025-08-13 14:00:00,14.81,14.81,14.81,14.81,300,HAD,"At 2025-08-13 14:00:00, the stock HAD opened at 14.81 VND, reached a high of 14.81 VND, a low of 14.81 VND, and closed the hour at 14.81 VND with a trading volume of 300 shares."
2025-08-14 09:00:00,14.9,15.09,14.9,14.99,4700,HAD,"At 2025-08-14 09:00:00, the stock HAD opened at 14.90 VND, reached a high of 15.09 VND, a low of 14.90 VND, and closed the hour at 14.99 VND with a trading volume of 4,700 shares."
2025-08-14 10:00:00,14.9,14.9,14.9,14.9,1000,HAD,"At 2025-08-14 10:00:00, the stock HAD opened at 14.90 VND, reached a high of 14.90 VND, a low of 14.90 VND, and closed the hour at 14.90 VND with a trading volume of 1,000 shares."
2025-08-14 11:00:00,14.9,14.99,14.81,14.99,800,HAD,"At 2025-08-14 11:00:00, the stock HAD opened at 14.90 VND, reached a high of 14.99 VND, a low of 14.81 VND, and closed the hour at 14.99 VND with a trading volume of 800 shares."
2025-08-14 13:00:00,14.99,15.09,14.9,14.9,5100,HAD,"At 2025-08-14 13:00:00, the stock HAD opened at 14.99 VND, reached a high of 15.09 VND, a low of 14.90 VND, and closed the hour at 14.90 VND with a trading volume of 5,100 shares."
2025-08-15 09:00:00,16.1,16.1,16.0,16.0,1500,HAD,"At 2025-08-15 09:00:00, the stock HAD opened at 16.10 VND, reached a high of 16.10 VND, a low of 16.00 VND, and closed the hour at 16.00 VND with a trading volume of 1,500 shares."
2025-08-15 10:00:00,16.0,16.0,15.9,15.9,2500,HAD,"At 2025-08-15 10:00:00, the stock HAD opened at 16.00 VND, reached a high of 16.00 VND, a low of 15.90 VND, and closed the hour at 15.90 VND with a trading volume of 2,500 shares."
2025-08-15 13:00:00,14.6,15.0,14.6,15.0,1200,HAD,"At 2025-08-15 13:00:00, the stock HAD opened at 14.60 VND, reached a high of 15.00 VND, a low of 14.60 VND, and closed the hour at 15.00 VND with a trading volume of 1,200 shares."
2025-08-15 14:00:00,15.0,15.7,15.0,15.7,1300,HAD,"At 2025-08-15 14:00:00, the stock HAD opened at 15.00 VND, reached a high of 15.70 VND, a low of 15.00 VND, and closed the hour at 15.70 VND with a trading volume of 1,300 shares."
2025-08-19 09:00:00,15.3,15.3,15.3,15.3,3500,HAD,"At 2025-08-19 09:00:00, the stock HAD opened at 15.30 VND, reached a high of 15.30 VND, a low of 15.30 VND, and closed the hour at 15.30 VND with a trading volume of 3,500 shares."
2025-08-19 10:00:00,15.3,15.3,14.2,14.2,1000,HAD,"At 2025-08-19 10:00:00, the stock HAD opened at 15.30 VND, reached a high of 15.30 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 1,000 shares."
2025-08-19 13:00:00,15.0,15.0,15.0,15.0,1000,HAD,"At 2025-08-19 13:00:00, the stock HAD opened at 15.00 VND, reached a high of 15.00 VND, a low of 15.00 VND, and closed the hour at 15.00 VND with a trading volume of 1,000 shares."
2025-08-20 09:00:00,14.5,14.5,14.5,14.5,500,HAD,"At 2025-08-20 09:00:00, the stock HAD opened at 14.50 VND, reached a high of 14.50 VND, a low of 14.50 VND, and closed the hour at 14.50 VND with a trading volume of 500 shares."
2025-08-21 10:00:00,14.8,14.8,14.5,14.5,200,HAD,"At 2025-08-21 10:00:00, the stock HAD opened at 14.80 VND, reached a high of 14.80 VND, a low of 14.50 VND, and closed the hour at 14.50 VND with a trading volume of 200 shares."
2025-08-22 09:00:00,14.5,14.5,14.5,14.5,100,HAD,"At 2025-08-22 09:00:00, the stock HAD opened at 14.50 VND, reached a high of 14.50 VND, a low of 14.50 VND, and closed the hour at 14.50 VND with a trading volume of 100 shares."
2025-08-22 10:00:00,14.5,14.5,14.5,14.5,100,HAD,"At 2025-08-22 10:00:00, the stock HAD opened at 14.50 VND, reached a high of 14.50 VND, a low of 14.50 VND, and closed the hour at 14.50 VND with a trading volume of 100 shares."
2025-08-22 13:00:00,14.9,14.9,14.9,14.9,100,HAD,"At 2025-08-22 13:00:00, the stock HAD opened at 14.90 VND, reached a high of 14.90 VND, a low of 14.90 VND, and closed the hour at 14.90 VND with a trading volume of 100 shares."
2025-08-25 10:00:00,14.3,14.3,14.3,14.3,700,HAD,"At 2025-08-25 10:00:00, the stock HAD opened at 14.30 VND, reached a high of 14.30 VND, a low of 14.30 VND, and closed the hour at 14.30 VND with a trading volume of 700 shares."
2025-08-25 11:00:00,14.3,14.3,14.3,14.3,300,HAD,"At 2025-08-25 11:00:00, the stock HAD opened at 14.30 VND, reached a high of 14.30 VND, a low of 14.30 VND, and closed the hour at 14.30 VND with a trading volume of 300 shares."
