time,open,high,low,close,volume,ticker,llm_text
2025-11-27 10:00:00,28.5,28.5,28.5,28.5,400,HRC,"At 2025-11-27 10:00:00, the stock HRC opened at 28.50 VND, reached a high of 28.50 VND, a low of 28.50 VND, and closed the hour at 28.50 VND with a trading volume of 400 shares."
2025-11-28 09:00:00,30.4,30.4,30.4,30.4,100,HRC,"At 2025-11-28 09:00:00, the stock HRC opened at 30.40 VND, reached a high of 30.40 VND, a low of 30.40 VND, and closed the hour at 30.40 VND with a trading volume of 100 shares."
2025-11-28 11:00:00,29.0,29.0,29.0,29.0,500,HRC,"At 2025-11-28 11:00:00, the stock HRC opened at 29.00 VND, reached a high of 29.00 VND, a low of 29.00 VND, and closed the hour at 29.00 VND with a trading volume of 500 shares."
2025-12-01 10:00:00,27.35,27.35,27.35,27.35,100,HRC,"At 2025-12-01 10:00:00, the stock HRC opened at 27.35 VND, reached a high of 27.35 VND, a low of 27.35 VND, and closed the hour at 27.35 VND with a trading volume of 100 shares."
2025-12-01 13:00:00,27.55,27.55,27.5,27.5,300,HRC,"At 2025-12-01 13:00:00, the stock HRC opened at 27.55 VND, reached a high of 27.55 VND, a low of 27.50 VND, and closed the hour at 27.50 VND with a trading volume of 300 shares."
2025-12-03 09:00:00,26.05,26.05,26.05,26.05,100,HRC,"At 2025-12-03 09:00:00, the stock HRC opened at 26.05 VND, reached a high of 26.05 VND, a low of 26.05 VND, and closed the hour at 26.05 VND with a trading volume of 100 shares."
2025-12-04 10:00:00,27.85,27.85,27.85,27.85,100,HRC,"At 2025-12-04 10:00:00, the stock HRC opened at 27.85 VND, reached a high of 27.85 VND, a low of 27.85 VND, and closed the hour at 27.85 VND with a trading volume of 100 shares."
2025-12-04 11:00:00,27.85,27.85,27.85,27.85,1200,HRC,"At 2025-12-04 11:00:00, the stock HRC opened at 27.85 VND, reached a high of 27.85 VND, a low of 27.85 VND, and closed the hour at 27.85 VND with a trading volume of 1,200 shares."
2025-12-09 09:00:00,26.0,26.0,26.0,26.0,100,HRC,"At 2025-12-09 09:00:00, the stock HRC opened at 26.00 VND, reached a high of 26.00 VND, a low of 26.00 VND, and closed the hour at 26.00 VND with a trading volume of 100 shares."
2025-12-10 09:00:00,27.7,27.7,27.7,27.7,700,HRC,"At 2025-12-10 09:00:00, the stock HRC opened at 27.70 VND, reached a high of 27.70 VND, a low of 27.70 VND, and closed the hour at 27.70 VND with a trading volume of 700 shares."
2025-12-10 10:00:00,27.7,27.7,27.7,27.7,400,HRC,"At 2025-12-10 10:00:00, the stock HRC opened at 27.70 VND, reached a high of 27.70 VND, a low of 27.70 VND, and closed the hour at 27.70 VND with a trading volume of 400 shares."
2025-12-12 09:00:00,26.25,26.25,26.25,26.25,100,HRC,"At 2025-12-12 09:00:00, the stock HRC opened at 26.25 VND, reached a high of 26.25 VND, a low of 26.25 VND, and closed the hour at 26.25 VND with a trading volume of 100 shares."
2025-12-12 10:00:00,26.65,26.65,26.65,26.65,100,HRC,"At 2025-12-12 10:00:00, the stock HRC opened at 26.65 VND, reached a high of 26.65 VND, a low of 26.65 VND, and closed the hour at 26.65 VND with a trading volume of 100 shares."
2025-12-15 11:00:00,25.5,25.5,25.5,25.5,100,HRC,"At 2025-12-15 11:00:00, the stock HRC opened at 25.50 VND, reached a high of 25.50 VND, a low of 25.50 VND, and closed the hour at 25.50 VND with a trading volume of 100 shares."
2025-12-19 09:00:00,24.15,24.15,24.15,24.15,100,HRC,"At 2025-12-19 09:00:00, the stock HRC opened at 24.15 VND, reached a high of 24.15 VND, a low of 24.15 VND, and closed the hour at 24.15 VND with a trading volume of 100 shares."
2025-12-24 09:00:00,25.8,25.8,25.8,25.8,1700,HRC,"At 2025-12-24 09:00:00, the stock HRC opened at 25.80 VND, reached a high of 25.80 VND, a low of 25.80 VND, and closed the hour at 25.80 VND with a trading volume of 1,700 shares."
