time,open,high,low,close,volume,ticker,llm_text
2025-12-30 09:00:00,28.8,28.8,28.6,28.6,8000,MCP,"At 2025-12-30 09:00:00, the stock MCP opened at 28.80 VND, reached a high of 28.80 VND, a low of 28.60 VND, and closed the hour at 28.60 VND with a trading volume of 8,000 shares."
2025-12-31 09:00:00,28.6,28.6,28.6,28.6,300,MCP,"At 2025-12-31 09:00:00, the stock MCP opened at 28.60 VND, reached a high of 28.60 VND, a low of 28.60 VND, and closed the hour at 28.60 VND with a trading volume of 300 shares."
2025-12-31 10:00:00,28.3,28.3,28.3,28.3,7000,MCP,"At 2025-12-31 10:00:00, the stock MCP opened at 28.30 VND, reached a high of 28.30 VND, a low of 28.30 VND, and closed the hour at 28.30 VND with a trading volume of 7,000 shares."
2026-01-05 09:00:00,28.3,28.3,28.0,28.0,2400,MCP,"At 2026-01-05 09:00:00, the stock MCP opened at 28.30 VND, reached a high of 28.30 VND, a low of 28.00 VND, and closed the hour at 28.00 VND with a trading volume of 2,400 shares."
2026-01-05 10:00:00,28.3,28.35,28.2,28.35,8900,MCP,"At 2026-01-05 10:00:00, the stock MCP opened at 28.30 VND, reached a high of 28.35 VND, a low of 28.20 VND, and closed the hour at 28.35 VND with a trading volume of 8,900 shares."
2026-01-06 09:00:00,28.35,28.35,28.35,28.35,200,MCP,"At 2026-01-06 09:00:00, the stock MCP opened at 28.35 VND, reached a high of 28.35 VND, a low of 28.35 VND, and closed the hour at 28.35 VND with a trading volume of 200 shares."
2026-01-06 10:00:00,28.1,28.25,28.1,28.25,12200,MCP,"At 2026-01-06 10:00:00, the stock MCP opened at 28.10 VND, reached a high of 28.25 VND, a low of 28.10 VND, and closed the hour at 28.25 VND with a trading volume of 12,200 shares."
2026-01-06 14:00:00,28.25,28.4,28.25,28.4,8200,MCP,"At 2026-01-06 14:00:00, the stock MCP opened at 28.25 VND, reached a high of 28.40 VND, a low of 28.25 VND, and closed the hour at 28.40 VND with a trading volume of 8,200 shares."
2026-01-07 09:00:00,28.4,28.4,28.2,28.2,6400,MCP,"At 2026-01-07 09:00:00, the stock MCP opened at 28.40 VND, reached a high of 28.40 VND, a low of 28.20 VND, and closed the hour at 28.20 VND with a trading volume of 6,400 shares."
2026-01-07 13:00:00,28.25,28.4,28.25,28.4,23900,MCP,"At 2026-01-07 13:00:00, the stock MCP opened at 28.25 VND, reached a high of 28.40 VND, a low of 28.25 VND, and closed the hour at 28.40 VND with a trading volume of 23,900 shares."
2026-01-08 09:00:00,28.4,28.4,28.2,28.2,4500,MCP,"At 2026-01-08 09:00:00, the stock MCP opened at 28.40 VND, reached a high of 28.40 VND, a low of 28.20 VND, and closed the hour at 28.20 VND with a trading volume of 4,500 shares."
2026-01-08 10:00:00,28.2,28.35,28.2,28.35,8300,MCP,"At 2026-01-08 10:00:00, the stock MCP opened at 28.20 VND, reached a high of 28.35 VND, a low of 28.20 VND, and closed the hour at 28.35 VND with a trading volume of 8,300 shares."
2026-01-08 14:00:00,28.35,28.35,28.35,28.35,8900,MCP,"At 2026-01-08 14:00:00, the stock MCP opened at 28.35 VND, reached a high of 28.35 VND, a low of 28.35 VND, and closed the hour at 28.35 VND with a trading volume of 8,900 shares."
2026-01-09 09:00:00,28.35,28.35,28.0,28.0,800,MCP,"At 2026-01-09 09:00:00, the stock MCP opened at 28.35 VND, reached a high of 28.35 VND, a low of 28.00 VND, and closed the hour at 28.00 VND with a trading volume of 800 shares."
2026-01-09 10:00:00,28.0,29.2,28.0,29.2,24900,MCP,"At 2026-01-09 10:00:00, the stock MCP opened at 28.00 VND, reached a high of 29.20 VND, a low of 28.00 VND, and closed the hour at 29.20 VND with a trading volume of 24,900 shares."
2026-01-12 09:00:00,29.2,29.3,29.0,29.3,19400,MCP,"At 2026-01-12 09:00:00, the stock MCP opened at 29.20 VND, reached a high of 29.30 VND, a low of 29.00 VND, and closed the hour at 29.30 VND with a trading volume of 19,400 shares."
2026-01-12 14:00:00,29.3,29.4,29.3,29.4,4100,MCP,"At 2026-01-12 14:00:00, the stock MCP opened at 29.30 VND, reached a high of 29.40 VND, a low of 29.30 VND, and closed the hour at 29.40 VND with a trading volume of 4,100 shares."
2026-01-13 09:00:00,29.4,29.4,29.2,29.35,7400,MCP,"At 2026-01-13 09:00:00, the stock MCP opened at 29.40 VND, reached a high of 29.40 VND, a low of 29.20 VND, and closed the hour at 29.35 VND with a trading volume of 7,400 shares."
2026-01-13 13:00:00,29.4,29.5,29.4,29.5,11400,MCP,"At 2026-01-13 13:00:00, the stock MCP opened at 29.40 VND, reached a high of 29.50 VND, a low of 29.40 VND, and closed the hour at 29.50 VND with a trading volume of 11,400 shares."
2026-01-14 09:00:00,29.2,29.4,29.2,29.4,7300,MCP,"At 2026-01-14 09:00:00, the stock MCP opened at 29.20 VND, reached a high of 29.40 VND, a low of 29.20 VND, and closed the hour at 29.40 VND with a trading volume of 7,300 shares."
2026-01-15 09:00:00,29.4,29.4,29.1,29.3,8600,MCP,"At 2026-01-15 09:00:00, the stock MCP opened at 29.40 VND, reached a high of 29.40 VND, a low of 29.10 VND, and closed the hour at 29.30 VND with a trading volume of 8,600 shares."
2026-01-15 10:00:00,29.3,29.3,29.2,29.2,300,MCP,"At 2026-01-15 10:00:00, the stock MCP opened at 29.30 VND, reached a high of 29.30 VND, a low of 29.20 VND, and closed the hour at 29.20 VND with a trading volume of 300 shares."
2026-01-15 13:00:00,29.1,29.1,28.8,28.8,300,MCP,"At 2026-01-15 13:00:00, the stock MCP opened at 29.10 VND, reached a high of 29.10 VND, a low of 28.80 VND, and closed the hour at 28.80 VND with a trading volume of 300 shares."
2026-01-16 09:00:00,28.8,28.8,28.45,28.45,10700,MCP,"At 2026-01-16 09:00:00, the stock MCP opened at 28.80 VND, reached a high of 28.80 VND, a low of 28.45 VND, and closed the hour at 28.45 VND with a trading volume of 10,700 shares."
2026-01-16 10:00:00,28.45,28.7,28.45,28.6,15300,MCP,"At 2026-01-16 10:00:00, the stock MCP opened at 28.45 VND, reached a high of 28.70 VND, a low of 28.45 VND, and closed the hour at 28.60 VND with a trading volume of 15,300 shares."
