time,open,high,low,close,volume,ticker,llm_text
2025-03-21 10:00:00,4.9,4.9,4.5,4.5,4000,MEC,"At 2025-03-21 10:00:00, the stock MEC opened at 4.90 VND, reached a high of 4.90 VND, a low of 4.50 VND, and closed the hour at 4.50 VND with a trading volume of 4,000 shares."
2025-03-21 11:00:00,4.9,4.9,4.9,4.9,4000,MEC,"At 2025-03-21 11:00:00, the stock MEC opened at 4.90 VND, reached a high of 4.90 VND, a low of 4.90 VND, and closed the hour at 4.90 VND with a trading volume of 4,000 shares."
2025-03-28 09:00:00,4.8,4.8,4.2,4.7,31200,MEC,"At 2025-03-28 09:00:00, the stock MEC opened at 4.80 VND, reached a high of 4.80 VND, a low of 4.20 VND, and closed the hour at 4.70 VND with a trading volume of 31,200 shares."
2025-03-28 10:00:00,4.7,4.7,4.7,4.7,3000,MEC,"At 2025-03-28 10:00:00, the stock MEC opened at 4.70 VND, reached a high of 4.70 VND, a low of 4.70 VND, and closed the hour at 4.70 VND with a trading volume of 3,000 shares."
2025-04-04 09:00:00,5.3,5.3,4.9,4.9,2600,MEC,"At 2025-04-04 09:00:00, the stock MEC opened at 5.30 VND, reached a high of 5.30 VND, a low of 4.90 VND, and closed the hour at 4.90 VND with a trading volume of 2,600 shares."
2025-04-11 09:00:00,5.9,5.9,5.9,5.9,100,MEC,"At 2025-04-11 09:00:00, the stock MEC opened at 5.90 VND, reached a high of 5.90 VND, a low of 5.90 VND, and closed the hour at 5.90 VND with a trading volume of 100 shares."
2025-04-11 10:00:00,4.5,5.8,4.5,5.8,56000,MEC,"At 2025-04-11 10:00:00, the stock MEC opened at 4.50 VND, reached a high of 5.80 VND, a low of 4.50 VND, and closed the hour at 5.80 VND with a trading volume of 56,000 shares."
2025-04-18 09:00:00,5.0,5.0,4.7,4.7,92500,MEC,"At 2025-04-18 09:00:00, the stock MEC opened at 5.00 VND, reached a high of 5.00 VND, a low of 4.70 VND, and closed the hour at 4.70 VND with a trading volume of 92,500 shares."
2025-04-25 09:00:00,4.7,4.7,4.7,4.7,80000,MEC,"At 2025-04-25 09:00:00, the stock MEC opened at 4.70 VND, reached a high of 4.70 VND, a low of 4.70 VND, and closed the hour at 4.70 VND with a trading volume of 80,000 shares."
2025-05-09 09:00:00,4.7,4.7,4.7,4.7,40000,MEC,"At 2025-05-09 09:00:00, the stock MEC opened at 4.70 VND, reached a high of 4.70 VND, a low of 4.70 VND, and closed the hour at 4.70 VND with a trading volume of 40,000 shares."
2025-05-09 10:00:00,4.6,4.6,4.6,4.6,30000,MEC,"At 2025-05-09 10:00:00, the stock MEC opened at 4.60 VND, reached a high of 4.60 VND, a low of 4.60 VND, and closed the hour at 4.60 VND with a trading volume of 30,000 shares."
2025-05-16 09:00:00,4.7,4.8,4.7,4.8,200000,MEC,"At 2025-05-16 09:00:00, the stock MEC opened at 4.70 VND, reached a high of 4.80 VND, a low of 4.70 VND, and closed the hour at 4.80 VND with a trading volume of 200,000 shares."
2025-05-16 14:00:00,4.8,4.8,4.8,4.8,100,MEC,"At 2025-05-16 14:00:00, the stock MEC opened at 4.80 VND, reached a high of 4.80 VND, a low of 4.80 VND, and closed the hour at 4.80 VND with a trading volume of 100 shares."
2025-05-23 09:00:00,4.9,5.0,4.1,4.9,2100,MEC,"At 2025-05-23 09:00:00, the stock MEC opened at 4.90 VND, reached a high of 5.00 VND, a low of 4.10 VND, and closed the hour at 4.90 VND with a trading volume of 2,100 shares."
