time,open,high,low,close,volume,ticker,llm_text
2025-08-21 10:00:00,26.8,26.8,26.8,26.8,350200,MNB,"At 2025-08-21 10:00:00, the stock MNB opened at 26.80 VND, reached a high of 26.80 VND, a low of 26.80 VND, and closed the hour at 26.80 VND with a trading volume of 350,200 shares."
2025-08-21 11:00:00,26.9,26.9,26.9,26.9,82300,MNB,"At 2025-08-21 11:00:00, the stock MNB opened at 26.90 VND, reached a high of 26.90 VND, a low of 26.90 VND, and closed the hour at 26.90 VND with a trading volume of 82,300 shares."
2025-08-21 13:00:00,27.0,27.0,26.8,26.8,1500,MNB,"At 2025-08-21 13:00:00, the stock MNB opened at 27.00 VND, reached a high of 27.00 VND, a low of 26.80 VND, and closed the hour at 26.80 VND with a trading volume of 1,500 shares."
2025-08-21 14:00:00,27.0,27.0,27.0,27.0,500,MNB,"At 2025-08-21 14:00:00, the stock MNB opened at 27.00 VND, reached a high of 27.00 VND, a low of 27.00 VND, and closed the hour at 27.00 VND with a trading volume of 500 shares."
2025-08-22 09:00:00,28.0,28.0,28.0,28.0,300,MNB,"At 2025-08-22 09:00:00, the stock MNB opened at 28.00 VND, reached a high of 28.00 VND, a low of 28.00 VND, and closed the hour at 28.00 VND with a trading volume of 300 shares."
2025-08-22 11:00:00,28.0,28.0,28.0,28.0,1400,MNB,"At 2025-08-22 11:00:00, the stock MNB opened at 28.00 VND, reached a high of 28.00 VND, a low of 28.00 VND, and closed the hour at 28.00 VND with a trading volume of 1,400 shares."
2025-08-22 13:00:00,29.0,29.0,26.8,26.8,200,MNB,"At 2025-08-22 13:00:00, the stock MNB opened at 29.00 VND, reached a high of 29.00 VND, a low of 26.80 VND, and closed the hour at 26.80 VND with a trading volume of 200 shares."
2025-08-22 14:00:00,26.6,26.6,26.0,26.0,700,MNB,"At 2025-08-22 14:00:00, the stock MNB opened at 26.60 VND, reached a high of 26.60 VND, a low of 26.00 VND, and closed the hour at 26.00 VND with a trading volume of 700 shares."
2025-08-25 09:00:00,28.0,28.0,28.0,28.0,900,MNB,"At 2025-08-25 09:00:00, the stock MNB opened at 28.00 VND, reached a high of 28.00 VND, a low of 28.00 VND, and closed the hour at 28.00 VND with a trading volume of 900 shares."
2025-08-26 10:00:00,28.0,28.0,28.0,28.0,500,MNB,"At 2025-08-26 10:00:00, the stock MNB opened at 28.00 VND, reached a high of 28.00 VND, a low of 28.00 VND, and closed the hour at 28.00 VND with a trading volume of 500 shares."
2025-08-26 13:00:00,27.0,28.0,27.0,28.0,900,MNB,"At 2025-08-26 13:00:00, the stock MNB opened at 27.00 VND, reached a high of 28.00 VND, a low of 27.00 VND, and closed the hour at 28.00 VND with a trading volume of 900 shares."
2025-08-28 10:00:00,27.9,27.9,27.9,27.9,400,MNB,"At 2025-08-28 10:00:00, the stock MNB opened at 27.90 VND, reached a high of 27.90 VND, a low of 27.90 VND, and closed the hour at 27.90 VND with a trading volume of 400 shares."
2025-08-28 13:00:00,27.9,27.9,27.9,27.9,2200,MNB,"At 2025-08-28 13:00:00, the stock MNB opened at 27.90 VND, reached a high of 27.90 VND, a low of 27.90 VND, and closed the hour at 27.90 VND with a trading volume of 2,200 shares."
2025-08-28 14:00:00,27.0,27.0,27.0,27.0,100,MNB,"At 2025-08-28 14:00:00, the stock MNB opened at 27.00 VND, reached a high of 27.00 VND, a low of 27.00 VND, and closed the hour at 27.00 VND with a trading volume of 100 shares."
2025-08-29 13:00:00,27.9,27.9,27.9,27.9,100,MNB,"At 2025-08-29 13:00:00, the stock MNB opened at 27.90 VND, reached a high of 27.90 VND, a low of 27.90 VND, and closed the hour at 27.90 VND with a trading volume of 100 shares."
2025-08-29 14:00:00,27.9,27.9,27.9,27.9,300,MNB,"At 2025-08-29 14:00:00, the stock MNB opened at 27.90 VND, reached a high of 27.90 VND, a low of 27.90 VND, and closed the hour at 27.90 VND with a trading volume of 300 shares."
2025-09-03 09:00:00,29.0,29.0,29.0,29.0,100,MNB,"At 2025-09-03 09:00:00, the stock MNB opened at 29.00 VND, reached a high of 29.00 VND, a low of 29.00 VND, and closed the hour at 29.00 VND with a trading volume of 100 shares."
2025-09-03 11:00:00,27.0,27.0,27.0,27.0,100,MNB,"At 2025-09-03 11:00:00, the stock MNB opened at 27.00 VND, reached a high of 27.00 VND, a low of 27.00 VND, and closed the hour at 27.00 VND with a trading volume of 100 shares."
2025-09-03 13:00:00,27.1,27.1,27.0,27.0,70000,MNB,"At 2025-09-03 13:00:00, the stock MNB opened at 27.10 VND, reached a high of 27.10 VND, a low of 27.00 VND, and closed the hour at 27.00 VND with a trading volume of 70,000 shares."
2025-09-04 10:00:00,27.1,27.1,27.1,27.1,100,MNB,"At 2025-09-04 10:00:00, the stock MNB opened at 27.10 VND, reached a high of 27.10 VND, a low of 27.10 VND, and closed the hour at 27.10 VND with a trading volume of 100 shares."
2025-09-04 13:00:00,27.2,27.2,27.2,27.2,70400,MNB,"At 2025-09-04 13:00:00, the stock MNB opened at 27.20 VND, reached a high of 27.20 VND, a low of 27.20 VND, and closed the hour at 27.20 VND with a trading volume of 70,400 shares."
2025-09-04 14:00:00,27.1,27.1,25.0,25.0,1900,MNB,"At 2025-09-04 14:00:00, the stock MNB opened at 27.10 VND, reached a high of 27.10 VND, a low of 25.00 VND, and closed the hour at 25.00 VND with a trading volume of 1,900 shares."
2025-09-05 09:00:00,27.0,27.0,27.0,27.0,500,MNB,"At 2025-09-05 09:00:00, the stock MNB opened at 27.00 VND, reached a high of 27.00 VND, a low of 27.00 VND, and closed the hour at 27.00 VND with a trading volume of 500 shares."
2025-09-05 13:00:00,27.0,27.8,27.0,27.8,200,MNB,"At 2025-09-05 13:00:00, the stock MNB opened at 27.00 VND, reached a high of 27.80 VND, a low of 27.00 VND, and closed the hour at 27.80 VND with a trading volume of 200 shares."
2025-09-05 14:00:00,27.7,27.8,27.7,27.8,1800,MNB,"At 2025-09-05 14:00:00, the stock MNB opened at 27.70 VND, reached a high of 27.80 VND, a low of 27.70 VND, and closed the hour at 27.80 VND with a trading volume of 1,800 shares."
2025-09-08 09:00:00,27.0,27.0,27.0,27.0,100,MNB,"At 2025-09-08 09:00:00, the stock MNB opened at 27.00 VND, reached a high of 27.00 VND, a low of 27.00 VND, and closed the hour at 27.00 VND with a trading volume of 100 shares."
2025-09-08 10:00:00,27.0,27.0,27.0,27.0,1900,MNB,"At 2025-09-08 10:00:00, the stock MNB opened at 27.00 VND, reached a high of 27.00 VND, a low of 27.00 VND, and closed the hour at 27.00 VND with a trading volume of 1,900 shares."
2025-09-08 13:00:00,27.0,27.3,27.0,27.0,3200,MNB,"At 2025-09-08 13:00:00, the stock MNB opened at 27.00 VND, reached a high of 27.30 VND, a low of 27.00 VND, and closed the hour at 27.00 VND with a trading volume of 3,200 shares."
2025-09-08 14:00:00,27.3,27.3,27.3,27.3,400,MNB,"At 2025-09-08 14:00:00, the stock MNB opened at 27.30 VND, reached a high of 27.30 VND, a low of 27.30 VND, and closed the hour at 27.30 VND with a trading volume of 400 shares."
2025-09-09 09:00:00,27.5,27.5,27.5,27.5,100,MNB,"At 2025-09-09 09:00:00, the stock MNB opened at 27.50 VND, reached a high of 27.50 VND, a low of 27.50 VND, and closed the hour at 27.50 VND with a trading volume of 100 shares."
2025-09-09 10:00:00,27.5,27.5,27.5,27.5,200,MNB,"At 2025-09-09 10:00:00, the stock MNB opened at 27.50 VND, reached a high of 27.50 VND, a low of 27.50 VND, and closed the hour at 27.50 VND with a trading volume of 200 shares."
2025-09-09 14:00:00,27.5,27.5,27.5,27.5,1000,MNB,"At 2025-09-09 14:00:00, the stock MNB opened at 27.50 VND, reached a high of 27.50 VND, a low of 27.50 VND, and closed the hour at 27.50 VND with a trading volume of 1,000 shares."
2025-09-10 14:00:00,27.5,27.8,27.5,27.8,600,MNB,"At 2025-09-10 14:00:00, the stock MNB opened at 27.50 VND, reached a high of 27.80 VND, a low of 27.50 VND, and closed the hour at 27.80 VND with a trading volume of 600 shares."
2025-09-11 10:00:00,27.8,27.8,27.8,27.8,1000,MNB,"At 2025-09-11 10:00:00, the stock MNB opened at 27.80 VND, reached a high of 27.80 VND, a low of 27.80 VND, and closed the hour at 27.80 VND with a trading volume of 1,000 shares."
2025-09-11 14:00:00,27.5,27.5,27.5,27.5,200,MNB,"At 2025-09-11 14:00:00, the stock MNB opened at 27.50 VND, reached a high of 27.50 VND, a low of 27.50 VND, and closed the hour at 27.50 VND with a trading volume of 200 shares."
2025-09-15 13:00:00,27.8,27.8,27.8,27.8,100,MNB,"At 2025-09-15 13:00:00, the stock MNB opened at 27.80 VND, reached a high of 27.80 VND, a low of 27.80 VND, and closed the hour at 27.80 VND with a trading volume of 100 shares."
