time,open,high,low,close,volume,ticker,llm_text
2026-02-11 14:00:00,26.8,26.9,26.75,26.9,248800,NT2,"At 2026-02-11 14:00:00, the stock NT2 opened at 26.80 VND, reached a high of 26.90 VND, a low of 26.75 VND, and closed the hour at 26.90 VND with a trading volume of 248,800 shares."
2026-02-12 09:00:00,27.0,27.0,26.85,27.0,106700,NT2,"At 2026-02-12 09:00:00, the stock NT2 opened at 27.00 VND, reached a high of 27.00 VND, a low of 26.85 VND, and closed the hour at 27.00 VND with a trading volume of 106,700 shares."
2026-02-12 10:00:00,27.0,27.4,26.95,27.2,324700,NT2,"At 2026-02-12 10:00:00, the stock NT2 opened at 27.00 VND, reached a high of 27.40 VND, a low of 26.95 VND, and closed the hour at 27.20 VND with a trading volume of 324,700 shares."
2026-02-12 11:00:00,27.2,27.2,27.15,27.15,57900,NT2,"At 2026-02-12 11:00:00, the stock NT2 opened at 27.20 VND, reached a high of 27.20 VND, a low of 27.15 VND, and closed the hour at 27.15 VND with a trading volume of 57,900 shares."
2026-02-12 13:00:00,27.1,27.15,27.05,27.05,183200,NT2,"At 2026-02-12 13:00:00, the stock NT2 opened at 27.10 VND, reached a high of 27.15 VND, a low of 27.05 VND, and closed the hour at 27.05 VND with a trading volume of 183,200 shares."
2026-02-12 14:00:00,27.1,27.1,26.9,27.05,144500,NT2,"At 2026-02-12 14:00:00, the stock NT2 opened at 27.10 VND, reached a high of 27.10 VND, a low of 26.90 VND, and closed the hour at 27.05 VND with a trading volume of 144,500 shares."
2026-02-13 09:00:00,26.9,27.1,26.9,27.1,55400,NT2,"At 2026-02-13 09:00:00, the stock NT2 opened at 26.90 VND, reached a high of 27.10 VND, a low of 26.90 VND, and closed the hour at 27.10 VND with a trading volume of 55,400 shares."
2026-02-13 10:00:00,27.1,27.15,26.95,27.05,74600,NT2,"At 2026-02-13 10:00:00, the stock NT2 opened at 27.10 VND, reached a high of 27.15 VND, a low of 26.95 VND, and closed the hour at 27.05 VND with a trading volume of 74,600 shares."
2026-02-13 11:00:00,27.05,27.1,27.0,27.1,49500,NT2,"At 2026-02-13 11:00:00, the stock NT2 opened at 27.05 VND, reached a high of 27.10 VND, a low of 27.00 VND, and closed the hour at 27.10 VND with a trading volume of 49,500 shares."
2026-02-13 13:00:00,27.0,27.25,27.0,27.2,237200,NT2,"At 2026-02-13 13:00:00, the stock NT2 opened at 27.00 VND, reached a high of 27.25 VND, a low of 27.00 VND, and closed the hour at 27.20 VND with a trading volume of 237,200 shares."
2026-02-13 14:00:00,27.2,27.25,27.1,27.25,168700,NT2,"At 2026-02-13 14:00:00, the stock NT2 opened at 27.20 VND, reached a high of 27.25 VND, a low of 27.10 VND, and closed the hour at 27.25 VND with a trading volume of 168,700 shares."
2026-02-23 09:00:00,27.4,27.45,27.25,27.4,232100,NT2,"At 2026-02-23 09:00:00, the stock NT2 opened at 27.40 VND, reached a high of 27.45 VND, a low of 27.25 VND, and closed the hour at 27.40 VND with a trading volume of 232,100 shares."
2026-02-23 10:00:00,27.4,27.7,27.35,27.5,530900,NT2,"At 2026-02-23 10:00:00, the stock NT2 opened at 27.40 VND, reached a high of 27.70 VND, a low of 27.35 VND, and closed the hour at 27.50 VND with a trading volume of 530,900 shares."
2026-02-23 11:00:00,27.5,27.6,27.45,27.6,66900,NT2,"At 2026-02-23 11:00:00, the stock NT2 opened at 27.50 VND, reached a high of 27.60 VND, a low of 27.45 VND, and closed the hour at 27.60 VND with a trading volume of 66,900 shares."
2026-02-23 13:00:00,27.5,27.6,27.4,27.45,159800,NT2,"At 2026-02-23 13:00:00, the stock NT2 opened at 27.50 VND, reached a high of 27.60 VND, a low of 27.40 VND, and closed the hour at 27.45 VND with a trading volume of 159,800 shares."
2026-02-23 14:00:00,27.45,27.55,27.45,27.55,93100,NT2,"At 2026-02-23 14:00:00, the stock NT2 opened at 27.45 VND, reached a high of 27.55 VND, a low of 27.45 VND, and closed the hour at 27.55 VND with a trading volume of 93,100 shares."
2026-02-24 09:00:00,27.6,27.7,27.5,27.65,127700,NT2,"At 2026-02-24 09:00:00, the stock NT2 opened at 27.60 VND, reached a high of 27.70 VND, a low of 27.50 VND, and closed the hour at 27.65 VND with a trading volume of 127,700 shares."
2026-02-24 10:00:00,27.6,28.25,27.6,28.0,718600,NT2,"At 2026-02-24 10:00:00, the stock NT2 opened at 27.60 VND, reached a high of 28.25 VND, a low of 27.60 VND, and closed the hour at 28.00 VND with a trading volume of 718,600 shares."
