time,open,high,low,close,volume,ticker,llm_text
2025-04-24 14:00:00,47.45,47.45,47.45,47.45,1500,PEQ,"At 2025-04-24 14:00:00, the stock PEQ opened at 47.45 VND, reached a high of 47.45 VND, a low of 47.45 VND, and closed the hour at 47.45 VND with a trading volume of 1,500 shares."
2025-04-28 09:00:00,47.45,47.45,47.45,47.45,200,PEQ,"At 2025-04-28 09:00:00, the stock PEQ opened at 47.45 VND, reached a high of 47.45 VND, a low of 47.45 VND, and closed the hour at 47.45 VND with a trading volume of 200 shares."
2025-04-28 14:00:00,41.85,41.85,41.85,41.85,500,PEQ,"At 2025-04-28 14:00:00, the stock PEQ opened at 41.85 VND, reached a high of 41.85 VND, a low of 41.85 VND, and closed the hour at 41.85 VND with a trading volume of 500 shares."
2025-05-05 14:00:00,47.45,47.45,47.45,47.45,1000,PEQ,"At 2025-05-05 14:00:00, the stock PEQ opened at 47.45 VND, reached a high of 47.45 VND, a low of 47.45 VND, and closed the hour at 47.45 VND with a trading volume of 1,000 shares."
2025-05-06 13:00:00,47.45,47.45,47.45,47.45,100,PEQ,"At 2025-05-06 13:00:00, the stock PEQ opened at 47.45 VND, reached a high of 47.45 VND, a low of 47.45 VND, and closed the hour at 47.45 VND with a trading volume of 100 shares."
2025-05-12 09:00:00,47.45,47.92,47.45,47.45,1400,PEQ,"At 2025-05-12 09:00:00, the stock PEQ opened at 47.45 VND, reached a high of 47.92 VND, a low of 47.45 VND, and closed the hour at 47.45 VND with a trading volume of 1,400 shares."
2025-05-12 13:00:00,47.45,47.45,47.45,47.45,1300,PEQ,"At 2025-05-12 13:00:00, the stock PEQ opened at 47.45 VND, reached a high of 47.45 VND, a low of 47.45 VND, and closed the hour at 47.45 VND with a trading volume of 1,300 shares."
2025-05-13 10:00:00,45.55,45.55,45.55,45.55,100,PEQ,"At 2025-05-13 10:00:00, the stock PEQ opened at 45.55 VND, reached a high of 45.55 VND, a low of 45.55 VND, and closed the hour at 45.55 VND with a trading volume of 100 shares."
2025-05-13 14:00:00,46.03,46.03,46.03,46.03,300,PEQ,"At 2025-05-13 14:00:00, the stock PEQ opened at 46.03 VND, reached a high of 46.03 VND, a low of 46.03 VND, and closed the hour at 46.03 VND with a trading volume of 300 shares."
2025-05-14 11:00:00,46.5,46.5,46.5,46.5,300,PEQ,"At 2025-05-14 11:00:00, the stock PEQ opened at 46.50 VND, reached a high of 46.50 VND, a low of 46.50 VND, and closed the hour at 46.50 VND with a trading volume of 300 shares."
2025-05-14 13:00:00,46.5,46.5,46.5,46.5,200,PEQ,"At 2025-05-14 13:00:00, the stock PEQ opened at 46.50 VND, reached a high of 46.50 VND, a low of 46.50 VND, and closed the hour at 46.50 VND with a trading volume of 200 shares."
2025-05-15 14:00:00,48.0,48.0,48.0,48.0,100,PEQ,"At 2025-05-15 14:00:00, the stock PEQ opened at 48.00 VND, reached a high of 48.00 VND, a low of 48.00 VND, and closed the hour at 48.00 VND with a trading volume of 100 shares."
2025-05-22 11:00:00,46.7,46.7,46.7,46.7,100,PEQ,"At 2025-05-22 11:00:00, the stock PEQ opened at 46.70 VND, reached a high of 46.70 VND, a low of 46.70 VND, and closed the hour at 46.70 VND with a trading volume of 100 shares."
