time,open,high,low,close,volume,ticker,llm_text
2025-09-23 14:00:00,18.5,18.5,18.5,18.5,100,QCC,"At 2025-09-23 14:00:00, the stock QCC opened at 18.50 VND, reached a high of 18.50 VND, a low of 18.50 VND, and closed the hour at 18.50 VND with a trading volume of 100 shares."
2025-09-24 09:00:00,17.3,17.3,17.3,17.3,200,QCC,"At 2025-09-24 09:00:00, the stock QCC opened at 17.30 VND, reached a high of 17.30 VND, a low of 17.30 VND, and closed the hour at 17.30 VND with a trading volume of 200 shares."
2025-10-07 13:00:00,17.6,17.6,17.6,17.6,100,QCC,"At 2025-10-07 13:00:00, the stock QCC opened at 17.60 VND, reached a high of 17.60 VND, a low of 17.60 VND, and closed the hour at 17.60 VND with a trading volume of 100 shares."
2025-10-07 14:00:00,17.5,17.5,17.5,17.5,300,QCC,"At 2025-10-07 14:00:00, the stock QCC opened at 17.50 VND, reached a high of 17.50 VND, a low of 17.50 VND, and closed the hour at 17.50 VND with a trading volume of 300 shares."
2025-10-13 09:00:00,20.1,20.1,20.1,20.1,100,QCC,"At 2025-10-13 09:00:00, the stock QCC opened at 20.10 VND, reached a high of 20.10 VND, a low of 20.10 VND, and closed the hour at 20.10 VND with a trading volume of 100 shares."
2025-10-13 14:00:00,20.1,20.1,20.1,20.1,1100,QCC,"At 2025-10-13 14:00:00, the stock QCC opened at 20.10 VND, reached a high of 20.10 VND, a low of 20.10 VND, and closed the hour at 20.10 VND with a trading volume of 1,100 shares."
2025-10-14 09:00:00,23.1,23.1,17.5,17.5,500,QCC,"At 2025-10-14 09:00:00, the stock QCC opened at 23.10 VND, reached a high of 23.10 VND, a low of 17.50 VND, and closed the hour at 17.50 VND with a trading volume of 500 shares."
2025-10-14 10:00:00,17.9,18.0,17.9,18.0,500,QCC,"At 2025-10-14 10:00:00, the stock QCC opened at 17.90 VND, reached a high of 18.00 VND, a low of 17.90 VND, and closed the hour at 18.00 VND with a trading volume of 500 shares."
2025-10-15 14:00:00,21.0,21.0,21.0,21.0,100,QCC,"At 2025-10-15 14:00:00, the stock QCC opened at 21.00 VND, reached a high of 21.00 VND, a low of 21.00 VND, and closed the hour at 21.00 VND with a trading volume of 100 shares."
2025-10-20 09:00:00,20.0,20.0,17.9,17.9,600,QCC,"At 2025-10-20 09:00:00, the stock QCC opened at 20.00 VND, reached a high of 20.00 VND, a low of 17.90 VND, and closed the hour at 17.90 VND with a trading volume of 600 shares."
2025-10-20 13:00:00,17.9,17.9,17.9,17.9,200,QCC,"At 2025-10-20 13:00:00, the stock QCC opened at 17.90 VND, reached a high of 17.90 VND, a low of 17.90 VND, and closed the hour at 17.90 VND with a trading volume of 200 shares."
2025-10-20 14:00:00,17.9,17.9,17.9,17.9,400,QCC,"At 2025-10-20 14:00:00, the stock QCC opened at 17.90 VND, reached a high of 17.90 VND, a low of 17.90 VND, and closed the hour at 17.90 VND with a trading volume of 400 shares."
2025-10-21 14:00:00,21.0,21.0,21.0,21.0,100,QCC,"At 2025-10-21 14:00:00, the stock QCC opened at 21.00 VND, reached a high of 21.00 VND, a low of 21.00 VND, and closed the hour at 21.00 VND with a trading volume of 100 shares."
2025-10-22 09:00:00,24.1,24.1,24.1,24.1,100,QCC,"At 2025-10-22 09:00:00, the stock QCC opened at 24.10 VND, reached a high of 24.10 VND, a low of 24.10 VND, and closed the hour at 24.10 VND with a trading volume of 100 shares."
2025-10-23 09:00:00,24.1,24.1,24.1,24.1,100,QCC,"At 2025-10-23 09:00:00, the stock QCC opened at 24.10 VND, reached a high of 24.10 VND, a low of 24.10 VND, and closed the hour at 24.10 VND with a trading volume of 100 shares."
2025-10-24 09:00:00,27.7,27.7,27.7,27.7,100,QCC,"At 2025-10-24 09:00:00, the stock QCC opened at 27.70 VND, reached a high of 27.70 VND, a low of 27.70 VND, and closed the hour at 27.70 VND with a trading volume of 100 shares."
2025-10-27 09:00:00,30.1,31.6,23.8,23.8,500,QCC,"At 2025-10-27 09:00:00, the stock QCC opened at 30.10 VND, reached a high of 31.60 VND, a low of 23.80 VND, and closed the hour at 23.80 VND with a trading volume of 500 shares."
2025-10-28 09:00:00,32.4,32.4,28.0,28.0,200,QCC,"At 2025-10-28 09:00:00, the stock QCC opened at 32.40 VND, reached a high of 32.40 VND, a low of 28.00 VND, and closed the hour at 28.00 VND with a trading volume of 200 shares."
2025-10-29 09:00:00,27.0,27.0,27.0,27.0,100,QCC,"At 2025-10-29 09:00:00, the stock QCC opened at 27.00 VND, reached a high of 27.00 VND, a low of 27.00 VND, and closed the hour at 27.00 VND with a trading volume of 100 shares."
2025-10-29 13:00:00,25.7,25.7,25.7,25.7,2500,QCC,"At 2025-10-29 13:00:00, the stock QCC opened at 25.70 VND, reached a high of 25.70 VND, a low of 25.70 VND, and closed the hour at 25.70 VND with a trading volume of 2,500 shares."
2025-10-30 13:00:00,22.0,22.0,22.0,22.0,3000,QCC,"At 2025-10-30 13:00:00, the stock QCC opened at 22.00 VND, reached a high of 22.00 VND, a low of 22.00 VND, and closed the hour at 22.00 VND with a trading volume of 3,000 shares."
2025-10-31 09:00:00,18.7,18.7,18.7,18.7,3000,QCC,"At 2025-10-31 09:00:00, the stock QCC opened at 18.70 VND, reached a high of 18.70 VND, a low of 18.70 VND, and closed the hour at 18.70 VND with a trading volume of 3,000 shares."
2025-10-31 10:00:00,18.7,18.7,18.7,18.7,1000,QCC,"At 2025-10-31 10:00:00, the stock QCC opened at 18.70 VND, reached a high of 18.70 VND, a low of 18.70 VND, and closed the hour at 18.70 VND with a trading volume of 1,000 shares."
2025-10-31 14:00:00,18.7,18.7,18.7,18.7,600,QCC,"At 2025-10-31 14:00:00, the stock QCC opened at 18.70 VND, reached a high of 18.70 VND, a low of 18.70 VND, and closed the hour at 18.70 VND with a trading volume of 600 shares."
2025-11-03 09:00:00,17.2,21.5,17.2,21.5,2100,QCC,"At 2025-11-03 09:00:00, the stock QCC opened at 17.20 VND, reached a high of 21.50 VND, a low of 17.20 VND, and closed the hour at 21.50 VND with a trading volume of 2,100 shares."
2025-11-04 09:00:00,17.8,17.9,17.8,17.9,800,QCC,"At 2025-11-04 09:00:00, the stock QCC opened at 17.80 VND, reached a high of 17.90 VND, a low of 17.80 VND, and closed the hour at 17.90 VND with a trading volume of 800 shares."
2025-11-04 10:00:00,18.0,18.0,18.0,18.0,1200,QCC,"At 2025-11-04 10:00:00, the stock QCC opened at 18.00 VND, reached a high of 18.00 VND, a low of 18.00 VND, and closed the hour at 18.00 VND with a trading volume of 1,200 shares."
2025-11-05 09:00:00,15.3,15.3,15.3,15.3,1000,QCC,"At 2025-11-05 09:00:00, the stock QCC opened at 15.30 VND, reached a high of 15.30 VND, a low of 15.30 VND, and closed the hour at 15.30 VND with a trading volume of 1,000 shares."
2025-11-28 09:00:00,13.1,17.5,13.1,17.5,1100,QCC,"At 2025-11-28 09:00:00, the stock QCC opened at 13.10 VND, reached a high of 17.50 VND, a low of 13.10 VND, and closed the hour at 17.50 VND with a trading volume of 1,100 shares."
2025-12-01 09:00:00,15.5,15.5,15.5,15.5,100,QCC,"At 2025-12-01 09:00:00, the stock QCC opened at 15.50 VND, reached a high of 15.50 VND, a low of 15.50 VND, and closed the hour at 15.50 VND with a trading volume of 100 shares."
2025-12-02 09:00:00,17.8,17.8,13.5,17.8,24400,QCC,"At 2025-12-02 09:00:00, the stock QCC opened at 17.80 VND, reached a high of 17.80 VND, a low of 13.50 VND, and closed the hour at 17.80 VND with a trading volume of 24,400 shares."
2025-12-02 10:00:00,14.2,17.8,14.2,17.8,2900,QCC,"At 2025-12-02 10:00:00, the stock QCC opened at 14.20 VND, reached a high of 17.80 VND, a low of 14.20 VND, and closed the hour at 17.80 VND with a trading volume of 2,900 shares."
2025-12-02 13:00:00,17.8,17.8,17.8,17.8,900,QCC,"At 2025-12-02 13:00:00, the stock QCC opened at 17.80 VND, reached a high of 17.80 VND, a low of 17.80 VND, and closed the hour at 17.80 VND with a trading volume of 900 shares."
