time,open,high,low,close,volume,ticker,llm_text
2026-02-11 14:00:00,14.75,14.75,14.65,14.75,94500,QCG,"At 2026-02-11 14:00:00, the stock QCG opened at 14.75 VND, reached a high of 14.75 VND, a low of 14.65 VND, and closed the hour at 14.75 VND with a trading volume of 94,500 shares."
2026-02-12 09:00:00,14.65,14.65,14.6,14.6,6900,QCG,"At 2026-02-12 09:00:00, the stock QCG opened at 14.65 VND, reached a high of 14.65 VND, a low of 14.60 VND, and closed the hour at 14.60 VND with a trading volume of 6,900 shares."
2026-02-12 10:00:00,14.6,14.7,14.45,14.6,38200,QCG,"At 2026-02-12 10:00:00, the stock QCG opened at 14.60 VND, reached a high of 14.70 VND, a low of 14.45 VND, and closed the hour at 14.60 VND with a trading volume of 38,200 shares."
2026-02-12 11:00:00,14.55,14.55,14.55,14.55,7400,QCG,"At 2026-02-12 11:00:00, the stock QCG opened at 14.55 VND, reached a high of 14.55 VND, a low of 14.55 VND, and closed the hour at 14.55 VND with a trading volume of 7,400 shares."
2026-02-12 13:00:00,14.5,14.75,14.5,14.7,60300,QCG,"At 2026-02-12 13:00:00, the stock QCG opened at 14.50 VND, reached a high of 14.75 VND, a low of 14.50 VND, and closed the hour at 14.70 VND with a trading volume of 60,300 shares."
2026-02-12 14:00:00,14.7,14.75,14.65,14.7,27100,QCG,"At 2026-02-12 14:00:00, the stock QCG opened at 14.70 VND, reached a high of 14.75 VND, a low of 14.65 VND, and closed the hour at 14.70 VND with a trading volume of 27,100 shares."
2026-02-13 09:00:00,14.7,15.7,14.7,15.35,672400,QCG,"At 2026-02-13 09:00:00, the stock QCG opened at 14.70 VND, reached a high of 15.70 VND, a low of 14.70 VND, and closed the hour at 15.35 VND with a trading volume of 672,400 shares."
2026-02-13 10:00:00,15.35,15.7,15.35,15.55,422500,QCG,"At 2026-02-13 10:00:00, the stock QCG opened at 15.35 VND, reached a high of 15.70 VND, a low of 15.35 VND, and closed the hour at 15.55 VND with a trading volume of 422,500 shares."
2026-02-13 11:00:00,15.5,15.55,15.4,15.4,96800,QCG,"At 2026-02-13 11:00:00, the stock QCG opened at 15.50 VND, reached a high of 15.55 VND, a low of 15.40 VND, and closed the hour at 15.40 VND with a trading volume of 96,800 shares."
2026-02-13 13:00:00,15.35,15.5,15.2,15.2,206900,QCG,"At 2026-02-13 13:00:00, the stock QCG opened at 15.35 VND, reached a high of 15.50 VND, a low of 15.20 VND, and closed the hour at 15.20 VND with a trading volume of 206,900 shares."
