time,open,high,low,close,volume,ticker,llm_text
2025-05-28 10:00:00,33.94,33.94,33.94,33.94,100,QHW,"At 2025-05-28 10:00:00, the stock QHW opened at 33.94 VND, reached a high of 33.94 VND, a low of 33.94 VND, and closed the hour at 33.94 VND with a trading volume of 100 shares."
2025-06-04 11:00:00,33.94,34.43,33.94,34.43,900,QHW,"At 2025-06-04 11:00:00, the stock QHW opened at 33.94 VND, reached a high of 34.43 VND, a low of 33.94 VND, and closed the hour at 34.43 VND with a trading volume of 900 shares."
2025-06-19 09:00:00,35.69,35.69,35.69,35.69,100,QHW,"At 2025-06-19 09:00:00, the stock QHW opened at 35.69 VND, reached a high of 35.69 VND, a low of 35.69 VND, and closed the hour at 35.69 VND with a trading volume of 100 shares."
2025-06-23 09:00:00,35.59,35.59,35.59,35.59,12300,QHW,"At 2025-06-23 09:00:00, the stock QHW opened at 35.59 VND, reached a high of 35.59 VND, a low of 35.59 VND, and closed the hour at 35.59 VND with a trading volume of 12,300 shares."
2025-06-23 13:00:00,34.43,34.43,34.43,34.43,1000,QHW,"At 2025-06-23 13:00:00, the stock QHW opened at 34.43 VND, reached a high of 34.43 VND, a low of 34.43 VND, and closed the hour at 34.43 VND with a trading volume of 1,000 shares."
2025-06-25 14:00:00,35.59,35.59,35.59,35.59,300,QHW,"At 2025-06-25 14:00:00, the stock QHW opened at 35.59 VND, reached a high of 35.59 VND, a low of 35.59 VND, and closed the hour at 35.59 VND with a trading volume of 300 shares."
2025-07-01 09:00:00,35.49,35.49,35.49,35.49,1000,QHW,"At 2025-07-01 09:00:00, the stock QHW opened at 35.49 VND, reached a high of 35.49 VND, a low of 35.49 VND, and closed the hour at 35.49 VND with a trading volume of 1,000 shares."
2025-07-02 13:00:00,35.49,35.69,35.49,35.69,7100,QHW,"At 2025-07-02 13:00:00, the stock QHW opened at 35.49 VND, reached a high of 35.69 VND, a low of 35.49 VND, and closed the hour at 35.69 VND with a trading volume of 7,100 shares."
2025-07-04 11:00:00,35.69,35.79,35.69,35.79,200,QHW,"At 2025-07-04 11:00:00, the stock QHW opened at 35.69 VND, reached a high of 35.79 VND, a low of 35.69 VND, and closed the hour at 35.79 VND with a trading volume of 200 shares."
2025-07-07 11:00:00,35.69,35.69,35.69,35.69,2000,QHW,"At 2025-07-07 11:00:00, the stock QHW opened at 35.69 VND, reached a high of 35.69 VND, a low of 35.69 VND, and closed the hour at 35.69 VND with a trading volume of 2,000 shares."
2025-07-07 14:00:00,32.29,32.29,32.29,32.29,5000,QHW,"At 2025-07-07 14:00:00, the stock QHW opened at 32.29 VND, reached a high of 32.29 VND, a low of 32.29 VND, and closed the hour at 32.29 VND with a trading volume of 5,000 shares."
2025-07-08 14:00:00,35.69,35.69,35.69,35.69,3700,QHW,"At 2025-07-08 14:00:00, the stock QHW opened at 35.69 VND, reached a high of 35.69 VND, a low of 35.69 VND, and closed the hour at 35.69 VND with a trading volume of 3,700 shares."
2025-07-09 13:00:00,35.49,35.49,35.01,35.49,4200,QHW,"At 2025-07-09 13:00:00, the stock QHW opened at 35.49 VND, reached a high of 35.49 VND, a low of 35.01 VND, and closed the hour at 35.49 VND with a trading volume of 4,200 shares."
2025-07-09 14:00:00,35.49,35.49,35.49,35.49,3100,QHW,"At 2025-07-09 14:00:00, the stock QHW opened at 35.49 VND, reached a high of 35.49 VND, a low of 35.49 VND, and closed the hour at 35.49 VND with a trading volume of 3,100 shares."
2025-07-18 10:00:00,33.07,33.07,32.97,32.97,1700,QHW,"At 2025-07-18 10:00:00, the stock QHW opened at 33.07 VND, reached a high of 33.07 VND, a low of 32.97 VND, and closed the hour at 32.97 VND with a trading volume of 1,700 shares."
2025-07-18 14:00:00,33.85,33.85,32.97,32.97,1100,QHW,"At 2025-07-18 14:00:00, the stock QHW opened at 33.85 VND, reached a high of 33.85 VND, a low of 32.97 VND, and closed the hour at 32.97 VND with a trading volume of 1,100 shares."
2025-07-22 14:00:00,33.94,33.94,33.94,33.94,1000,QHW,"At 2025-07-22 14:00:00, the stock QHW opened at 33.94 VND, reached a high of 33.94 VND, a low of 33.94 VND, and closed the hour at 33.94 VND with a trading volume of 1,000 shares."
2025-07-23 10:00:00,33.94,33.94,33.94,33.94,1000,QHW,"At 2025-07-23 10:00:00, the stock QHW opened at 33.94 VND, reached a high of 33.94 VND, a low of 33.94 VND, and closed the hour at 33.94 VND with a trading volume of 1,000 shares."
2025-07-23 13:00:00,33.94,33.94,33.94,33.94,100,QHW,"At 2025-07-23 13:00:00, the stock QHW opened at 33.94 VND, reached a high of 33.94 VND, a low of 33.94 VND, and closed the hour at 33.94 VND with a trading volume of 100 shares."
2025-07-25 11:00:00,32.97,32.97,32.97,32.97,1000,QHW,"At 2025-07-25 11:00:00, the stock QHW opened at 32.97 VND, reached a high of 32.97 VND, a low of 32.97 VND, and closed the hour at 32.97 VND with a trading volume of 1,000 shares."
2025-07-25 13:00:00,32.97,32.97,32.97,32.97,2500,QHW,"At 2025-07-25 13:00:00, the stock QHW opened at 32.97 VND, reached a high of 32.97 VND, a low of 32.97 VND, and closed the hour at 32.97 VND with a trading volume of 2,500 shares."
2025-07-25 14:00:00,32.97,32.97,32.97,32.97,600,QHW,"At 2025-07-25 14:00:00, the stock QHW opened at 32.97 VND, reached a high of 32.97 VND, a low of 32.97 VND, and closed the hour at 32.97 VND with a trading volume of 600 shares."
2025-07-28 13:00:00,32.2,32.2,32.2,32.2,30000,QHW,"At 2025-07-28 13:00:00, the stock QHW opened at 32.20 VND, reached a high of 32.20 VND, a low of 32.20 VND, and closed the hour at 32.20 VND with a trading volume of 30,000 shares."
2025-07-29 10:00:00,32.97,34.43,32.97,34.43,1900,QHW,"At 2025-07-29 10:00:00, the stock QHW opened at 32.97 VND, reached a high of 34.43 VND, a low of 32.97 VND, and closed the hour at 34.43 VND with a trading volume of 1,900 shares."
2025-08-04 13:00:00,34.43,34.43,34.43,34.43,400,QHW,"At 2025-08-04 13:00:00, the stock QHW opened at 34.43 VND, reached a high of 34.43 VND, a low of 34.43 VND, and closed the hour at 34.43 VND with a trading volume of 400 shares."
2025-08-08 14:00:00,32.49,32.49,32.49,32.49,100,QHW,"At 2025-08-08 14:00:00, the stock QHW opened at 32.49 VND, reached a high of 32.49 VND, a low of 32.49 VND, and closed the hour at 32.49 VND with a trading volume of 100 shares."
2025-08-11 10:00:00,33.94,33.94,33.94,33.94,100,QHW,"At 2025-08-11 10:00:00, the stock QHW opened at 33.94 VND, reached a high of 33.94 VND, a low of 33.94 VND, and closed the hour at 33.94 VND with a trading volume of 100 shares."
2025-08-11 13:00:00,32.97,32.97,32.97,32.97,400,QHW,"At 2025-08-11 13:00:00, the stock QHW opened at 32.97 VND, reached a high of 32.97 VND, a low of 32.97 VND, and closed the hour at 32.97 VND with a trading volume of 400 shares."
2025-08-12 09:00:00,34.91,34.91,34.91,34.91,100,QHW,"At 2025-08-12 09:00:00, the stock QHW opened at 34.91 VND, reached a high of 34.91 VND, a low of 34.91 VND, and closed the hour at 34.91 VND with a trading volume of 100 shares."
2025-08-12 14:00:00,33.46,33.46,33.46,33.46,900,QHW,"At 2025-08-12 14:00:00, the stock QHW opened at 33.46 VND, reached a high of 33.46 VND, a low of 33.46 VND, and closed the hour at 33.46 VND with a trading volume of 900 shares."
2025-08-13 09:00:00,34.91,34.91,34.91,34.91,100,QHW,"At 2025-08-13 09:00:00, the stock QHW opened at 34.91 VND, reached a high of 34.91 VND, a low of 34.91 VND, and closed the hour at 34.91 VND with a trading volume of 100 shares."
2025-08-14 09:00:00,34.43,34.43,34.43,34.43,600,QHW,"At 2025-08-14 09:00:00, the stock QHW opened at 34.43 VND, reached a high of 34.43 VND, a low of 34.43 VND, and closed the hour at 34.43 VND with a trading volume of 600 shares."
2025-08-15 09:00:00,34.91,34.91,34.91,34.91,100,QHW,"At 2025-08-15 09:00:00, the stock QHW opened at 34.91 VND, reached a high of 34.91 VND, a low of 34.91 VND, and closed the hour at 34.91 VND with a trading volume of 100 shares."
2025-08-21 09:00:00,34.43,34.43,34.43,34.43,200,QHW,"At 2025-08-21 09:00:00, the stock QHW opened at 34.43 VND, reached a high of 34.43 VND, a low of 34.43 VND, and closed the hour at 34.43 VND with a trading volume of 200 shares."
2025-08-21 10:00:00,34.43,34.43,34.43,34.43,500,QHW,"At 2025-08-21 10:00:00, the stock QHW opened at 34.43 VND, reached a high of 34.43 VND, a low of 34.43 VND, and closed the hour at 34.43 VND with a trading volume of 500 shares."
