time,open,high,low,close,volume,ticker,llm_text
2025-08-13 14:00:00,18.1,18.1,18.1,18.1,1200,RCC,"At 2025-08-13 14:00:00, the stock RCC opened at 18.10 VND, reached a high of 18.10 VND, a low of 18.10 VND, and closed the hour at 18.10 VND with a trading volume of 1,200 shares."
2025-08-14 09:00:00,18.0,18.0,18.0,18.0,600,RCC,"At 2025-08-14 09:00:00, the stock RCC opened at 18.00 VND, reached a high of 18.00 VND, a low of 18.00 VND, and closed the hour at 18.00 VND with a trading volume of 600 shares."
2025-08-15 10:00:00,17.0,17.0,17.0,17.0,900,RCC,"At 2025-08-15 10:00:00, the stock RCC opened at 17.00 VND, reached a high of 17.00 VND, a low of 17.00 VND, and closed the hour at 17.00 VND with a trading volume of 900 shares."
2025-08-15 11:00:00,17.5,18.0,17.2,18.0,600,RCC,"At 2025-08-15 11:00:00, the stock RCC opened at 17.50 VND, reached a high of 18.00 VND, a low of 17.20 VND, and closed the hour at 18.00 VND with a trading volume of 600 shares."
2025-08-18 10:00:00,18.0,18.0,18.0,18.0,2000,RCC,"At 2025-08-18 10:00:00, the stock RCC opened at 18.00 VND, reached a high of 18.00 VND, a low of 18.00 VND, and closed the hour at 18.00 VND with a trading volume of 2,000 shares."
2025-08-18 13:00:00,18.0,18.0,18.0,18.0,200,RCC,"At 2025-08-18 13:00:00, the stock RCC opened at 18.00 VND, reached a high of 18.00 VND, a low of 18.00 VND, and closed the hour at 18.00 VND with a trading volume of 200 shares."
2025-08-18 14:00:00,18.7,19.7,18.7,19.7,8200,RCC,"At 2025-08-18 14:00:00, the stock RCC opened at 18.70 VND, reached a high of 19.70 VND, a low of 18.70 VND, and closed the hour at 19.70 VND with a trading volume of 8,200 shares."
2025-08-19 09:00:00,19.7,21.8,19.7,21.8,1500,RCC,"At 2025-08-19 09:00:00, the stock RCC opened at 19.70 VND, reached a high of 21.80 VND, a low of 19.70 VND, and closed the hour at 21.80 VND with a trading volume of 1,500 shares."
2025-08-20 14:00:00,18.3,18.3,18.3,18.3,300,RCC,"At 2025-08-20 14:00:00, the stock RCC opened at 18.30 VND, reached a high of 18.30 VND, a low of 18.30 VND, and closed the hour at 18.30 VND with a trading volume of 300 shares."
2025-08-25 09:00:00,20.0,20.0,20.0,20.0,2000,RCC,"At 2025-08-25 09:00:00, the stock RCC opened at 20.00 VND, reached a high of 20.00 VND, a low of 20.00 VND, and closed the hour at 20.00 VND with a trading volume of 2,000 shares."
2025-08-25 14:00:00,20.0,20.0,20.0,20.0,1000,RCC,"At 2025-08-25 14:00:00, the stock RCC opened at 20.00 VND, reached a high of 20.00 VND, a low of 20.00 VND, and closed the hour at 20.00 VND with a trading volume of 1,000 shares."
2025-08-26 14:00:00,20.2,20.4,20.2,20.2,2500,RCC,"At 2025-08-26 14:00:00, the stock RCC opened at 20.20 VND, reached a high of 20.40 VND, a low of 20.20 VND, and closed the hour at 20.20 VND with a trading volume of 2,500 shares."
2025-08-27 09:00:00,20.2,20.2,20.2,20.2,500,RCC,"At 2025-08-27 09:00:00, the stock RCC opened at 20.20 VND, reached a high of 20.20 VND, a low of 20.20 VND, and closed the hour at 20.20 VND with a trading volume of 500 shares."
2025-08-27 10:00:00,20.0,20.0,20.0,20.0,2000,RCC,"At 2025-08-27 10:00:00, the stock RCC opened at 20.00 VND, reached a high of 20.00 VND, a low of 20.00 VND, and closed the hour at 20.00 VND with a trading volume of 2,000 shares."
2025-08-27 13:00:00,20.0,20.0,19.9,19.9,1000,RCC,"At 2025-08-27 13:00:00, the stock RCC opened at 20.00 VND, reached a high of 20.00 VND, a low of 19.90 VND, and closed the hour at 19.90 VND with a trading volume of 1,000 shares."
2025-08-28 09:00:00,20.7,20.7,20.7,20.7,300,RCC,"At 2025-08-28 09:00:00, the stock RCC opened at 20.70 VND, reached a high of 20.70 VND, a low of 20.70 VND, and closed the hour at 20.70 VND with a trading volume of 300 shares."
2025-08-28 10:00:00,20.7,20.7,20.7,20.7,4000,RCC,"At 2025-08-28 10:00:00, the stock RCC opened at 20.70 VND, reached a high of 20.70 VND, a low of 20.70 VND, and closed the hour at 20.70 VND with a trading volume of 4,000 shares."
2025-08-28 11:00:00,20.7,20.7,20.7,20.7,800,RCC,"At 2025-08-28 11:00:00, the stock RCC opened at 20.70 VND, reached a high of 20.70 VND, a low of 20.70 VND, and closed the hour at 20.70 VND with a trading volume of 800 shares."
2025-08-28 13:00:00,20.7,22.0,20.7,22.0,7500,RCC,"At 2025-08-28 13:00:00, the stock RCC opened at 20.70 VND, reached a high of 22.00 VND, a low of 20.70 VND, and closed the hour at 22.00 VND with a trading volume of 7,500 shares."
2025-08-28 14:00:00,21.8,22.0,21.8,22.0,2900,RCC,"At 2025-08-28 14:00:00, the stock RCC opened at 21.80 VND, reached a high of 22.00 VND, a low of 21.80 VND, and closed the hour at 22.00 VND with a trading volume of 2,900 shares."
2025-08-29 10:00:00,20.1,20.1,20.1,20.1,200,RCC,"At 2025-08-29 10:00:00, the stock RCC opened at 20.10 VND, reached a high of 20.10 VND, a low of 20.10 VND, and closed the hour at 20.10 VND with a trading volume of 200 shares."
2025-08-29 13:00:00,21.0,21.2,21.0,21.2,300,RCC,"At 2025-08-29 13:00:00, the stock RCC opened at 21.00 VND, reached a high of 21.20 VND, a low of 21.00 VND, and closed the hour at 21.20 VND with a trading volume of 300 shares."
2025-08-29 14:00:00,20.1,21.1,20.1,21.1,800,RCC,"At 2025-08-29 14:00:00, the stock RCC opened at 20.10 VND, reached a high of 21.10 VND, a low of 20.10 VND, and closed the hour at 21.10 VND with a trading volume of 800 shares."
2025-09-03 09:00:00,21.1,21.1,21.0,21.0,5400,RCC,"At 2025-09-03 09:00:00, the stock RCC opened at 21.10 VND, reached a high of 21.10 VND, a low of 21.00 VND, and closed the hour at 21.00 VND with a trading volume of 5,400 shares."
2025-09-03 10:00:00,21.0,21.0,21.0,21.0,1800,RCC,"At 2025-09-03 10:00:00, the stock RCC opened at 21.00 VND, reached a high of 21.00 VND, a low of 21.00 VND, and closed the hour at 21.00 VND with a trading volume of 1,800 shares."
2025-09-03 11:00:00,21.0,21.0,21.0,21.0,1000,RCC,"At 2025-09-03 11:00:00, the stock RCC opened at 21.00 VND, reached a high of 21.00 VND, a low of 21.00 VND, and closed the hour at 21.00 VND with a trading volume of 1,000 shares."
2025-09-03 13:00:00,19.5,19.5,19.0,19.0,5600,RCC,"At 2025-09-03 13:00:00, the stock RCC opened at 19.50 VND, reached a high of 19.50 VND, a low of 19.00 VND, and closed the hour at 19.00 VND with a trading volume of 5,600 shares."
2025-09-04 09:00:00,20.7,20.7,20.7,20.7,1500,RCC,"At 2025-09-04 09:00:00, the stock RCC opened at 20.70 VND, reached a high of 20.70 VND, a low of 20.70 VND, and closed the hour at 20.70 VND with a trading volume of 1,500 shares."
2025-09-04 10:00:00,20.5,20.9,19.1,20.9,8500,RCC,"At 2025-09-04 10:00:00, the stock RCC opened at 20.50 VND, reached a high of 20.90 VND, a low of 19.10 VND, and closed the hour at 20.90 VND with a trading volume of 8,500 shares."
2025-09-04 11:00:00,21.0,21.0,21.0,21.0,1200,RCC,"At 2025-09-04 11:00:00, the stock RCC opened at 21.00 VND, reached a high of 21.00 VND, a low of 21.00 VND, and closed the hour at 21.00 VND with a trading volume of 1,200 shares."
2025-09-04 13:00:00,21.3,21.4,21.3,21.4,2000,RCC,"At 2025-09-04 13:00:00, the stock RCC opened at 21.30 VND, reached a high of 21.40 VND, a low of 21.30 VND, and closed the hour at 21.40 VND with a trading volume of 2,000 shares."
2025-09-05 09:00:00,20.7,20.7,20.7,20.7,400,RCC,"At 2025-09-05 09:00:00, the stock RCC opened at 20.70 VND, reached a high of 20.70 VND, a low of 20.70 VND, and closed the hour at 20.70 VND with a trading volume of 400 shares."
2025-09-05 13:00:00,21.0,21.0,21.0,21.0,3000,RCC,"At 2025-09-05 13:00:00, the stock RCC opened at 21.00 VND, reached a high of 21.00 VND, a low of 21.00 VND, and closed the hour at 21.00 VND with a trading volume of 3,000 shares."
2025-09-05 14:00:00,21.0,21.3,21.0,21.3,600,RCC,"At 2025-09-05 14:00:00, the stock RCC opened at 21.00 VND, reached a high of 21.30 VND, a low of 21.00 VND, and closed the hour at 21.30 VND with a trading volume of 600 shares."
2025-09-08 10:00:00,21.0,21.0,21.0,21.0,4300,RCC,"At 2025-09-08 10:00:00, the stock RCC opened at 21.00 VND, reached a high of 21.00 VND, a low of 21.00 VND, and closed the hour at 21.00 VND with a trading volume of 4,300 shares."
2025-09-08 13:00:00,21.0,21.0,21.0,21.0,100,RCC,"At 2025-09-08 13:00:00, the stock RCC opened at 21.00 VND, reached a high of 21.00 VND, a low of 21.00 VND, and closed the hour at 21.00 VND with a trading volume of 100 shares."
2025-09-09 11:00:00,21.0,21.0,21.0,21.0,400,RCC,"At 2025-09-09 11:00:00, the stock RCC opened at 21.00 VND, reached a high of 21.00 VND, a low of 21.00 VND, and closed the hour at 21.00 VND with a trading volume of 400 shares."
