time,open,high,low,close,volume,ticker,llm_text
2026-02-11 14:00:00,54.4,54.5,54.1,54.4,34300,SCS,"At 2026-02-11 14:00:00, the stock SCS opened at 54.40 VND, reached a high of 54.50 VND, a low of 54.10 VND, and closed the hour at 54.40 VND with a trading volume of 34,300 shares."
2026-02-12 09:00:00,54.4,54.7,54.4,54.4,15300,SCS,"At 2026-02-12 09:00:00, the stock SCS opened at 54.40 VND, reached a high of 54.70 VND, a low of 54.40 VND, and closed the hour at 54.40 VND with a trading volume of 15,300 shares."
2026-02-12 10:00:00,54.4,54.5,54.3,54.5,5600,SCS,"At 2026-02-12 10:00:00, the stock SCS opened at 54.40 VND, reached a high of 54.50 VND, a low of 54.30 VND, and closed the hour at 54.50 VND with a trading volume of 5,600 shares."
2026-02-12 11:00:00,54.5,54.7,54.5,54.6,24200,SCS,"At 2026-02-12 11:00:00, the stock SCS opened at 54.50 VND, reached a high of 54.70 VND, a low of 54.50 VND, and closed the hour at 54.60 VND with a trading volume of 24,200 shares."
2026-02-12 13:00:00,54.6,54.6,54.4,54.5,31500,SCS,"At 2026-02-12 13:00:00, the stock SCS opened at 54.60 VND, reached a high of 54.60 VND, a low of 54.40 VND, and closed the hour at 54.50 VND with a trading volume of 31,500 shares."
2026-02-12 14:00:00,54.5,54.5,54.3,54.3,37700,SCS,"At 2026-02-12 14:00:00, the stock SCS opened at 54.50 VND, reached a high of 54.50 VND, a low of 54.30 VND, and closed the hour at 54.30 VND with a trading volume of 37,700 shares."
2026-02-13 09:00:00,54.3,54.5,54.2,54.3,5700,SCS,"At 2026-02-13 09:00:00, the stock SCS opened at 54.30 VND, reached a high of 54.50 VND, a low of 54.20 VND, and closed the hour at 54.30 VND with a trading volume of 5,700 shares."
2026-02-13 10:00:00,54.3,54.6,54.2,54.6,16200,SCS,"At 2026-02-13 10:00:00, the stock SCS opened at 54.30 VND, reached a high of 54.60 VND, a low of 54.20 VND, and closed the hour at 54.60 VND with a trading volume of 16,200 shares."
2026-02-13 11:00:00,54.5,54.6,54.5,54.6,13300,SCS,"At 2026-02-13 11:00:00, the stock SCS opened at 54.50 VND, reached a high of 54.60 VND, a low of 54.50 VND, and closed the hour at 54.60 VND with a trading volume of 13,300 shares."
2026-02-13 13:00:00,54.7,54.8,54.5,54.5,45600,SCS,"At 2026-02-13 13:00:00, the stock SCS opened at 54.70 VND, reached a high of 54.80 VND, a low of 54.50 VND, and closed the hour at 54.50 VND with a trading volume of 45,600 shares."
2026-02-13 14:00:00,54.5,54.5,54.3,54.5,35300,SCS,"At 2026-02-13 14:00:00, the stock SCS opened at 54.50 VND, reached a high of 54.50 VND, a low of 54.30 VND, and closed the hour at 54.50 VND with a trading volume of 35,300 shares."
2026-02-23 09:00:00,54.8,56.1,54.7,55.9,146500,SCS,"At 2026-02-23 09:00:00, the stock SCS opened at 54.80 VND, reached a high of 56.10 VND, a low of 54.70 VND, and closed the hour at 55.90 VND with a trading volume of 146,500 shares."
2026-02-23 10:00:00,55.9,56.1,55.5,55.9,81200,SCS,"At 2026-02-23 10:00:00, the stock SCS opened at 55.90 VND, reached a high of 56.10 VND, a low of 55.50 VND, and closed the hour at 55.90 VND with a trading volume of 81,200 shares."
2026-02-23 11:00:00,55.8,55.8,55.6,55.8,23200,SCS,"At 2026-02-23 11:00:00, the stock SCS opened at 55.80 VND, reached a high of 55.80 VND, a low of 55.60 VND, and closed the hour at 55.80 VND with a trading volume of 23,200 shares."
2026-02-23 13:00:00,55.8,56.2,55.6,56.1,165200,SCS,"At 2026-02-23 13:00:00, the stock SCS opened at 55.80 VND, reached a high of 56.20 VND, a low of 55.60 VND, and closed the hour at 56.10 VND with a trading volume of 165,200 shares."
2026-02-23 14:00:00,56.1,56.3,56.0,56.2,73200,SCS,"At 2026-02-23 14:00:00, the stock SCS opened at 56.10 VND, reached a high of 56.30 VND, a low of 56.00 VND, and closed the hour at 56.20 VND with a trading volume of 73,200 shares."
2026-02-24 09:00:00,56.5,56.9,56.4,56.7,113600,SCS,"At 2026-02-24 09:00:00, the stock SCS opened at 56.50 VND, reached a high of 56.90 VND, a low of 56.40 VND, and closed the hour at 56.70 VND with a trading volume of 113,600 shares."
2026-02-24 10:00:00,56.6,56.6,56.3,56.5,66800,SCS,"At 2026-02-24 10:00:00, the stock SCS opened at 56.60 VND, reached a high of 56.60 VND, a low of 56.30 VND, and closed the hour at 56.50 VND with a trading volume of 66,800 shares."
2026-02-24 11:00:00,56.5,56.6,56.3,56.5,21600,SCS,"At 2026-02-24 11:00:00, the stock SCS opened at 56.50 VND, reached a high of 56.60 VND, a low of 56.30 VND, and closed the hour at 56.50 VND with a trading volume of 21,600 shares."
2026-02-24 13:00:00,56.5,56.5,56.1,56.3,47000,SCS,"At 2026-02-24 13:00:00, the stock SCS opened at 56.50 VND, reached a high of 56.50 VND, a low of 56.10 VND, and closed the hour at 56.30 VND with a trading volume of 47,000 shares."
2026-02-24 14:00:00,56.3,56.5,56.0,56.5,79600,SCS,"At 2026-02-24 14:00:00, the stock SCS opened at 56.30 VND, reached a high of 56.50 VND, a low of 56.00 VND, and closed the hour at 56.50 VND with a trading volume of 79,600 shares."
2026-02-25 09:00:00,56.7,57.6,56.7,56.8,102900,SCS,"At 2026-02-25 09:00:00, the stock SCS opened at 56.70 VND, reached a high of 57.60 VND, a low of 56.70 VND, and closed the hour at 56.80 VND with a trading volume of 102,900 shares."
2026-02-25 10:00:00,56.8,56.9,56.4,56.5,71700,SCS,"At 2026-02-25 10:00:00, the stock SCS opened at 56.80 VND, reached a high of 56.90 VND, a low of 56.40 VND, and closed the hour at 56.50 VND with a trading volume of 71,700 shares."
2026-02-25 11:00:00,56.5,56.5,56.2,56.3,31800,SCS,"At 2026-02-25 11:00:00, the stock SCS opened at 56.50 VND, reached a high of 56.50 VND, a low of 56.20 VND, and closed the hour at 56.30 VND with a trading volume of 31,800 shares."
2026-02-25 13:00:00,56.3,56.5,56.0,56.4,127600,SCS,"At 2026-02-25 13:00:00, the stock SCS opened at 56.30 VND, reached a high of 56.50 VND, a low of 56.00 VND, and closed the hour at 56.40 VND with a trading volume of 127,600 shares."
2026-02-25 14:00:00,56.4,57.0,56.4,56.5,247200,SCS,"At 2026-02-25 14:00:00, the stock SCS opened at 56.40 VND, reached a high of 57.00 VND, a low of 56.40 VND, and closed the hour at 56.50 VND with a trading volume of 247,200 shares."
2026-02-26 09:00:00,56.5,56.6,56.0,56.2,58500,SCS,"At 2026-02-26 09:00:00, the stock SCS opened at 56.50 VND, reached a high of 56.60 VND, a low of 56.00 VND, and closed the hour at 56.20 VND with a trading volume of 58,500 shares."
2026-02-26 10:00:00,56.1,56.3,55.9,55.9,40300,SCS,"At 2026-02-26 10:00:00, the stock SCS opened at 56.10 VND, reached a high of 56.30 VND, a low of 55.90 VND, and closed the hour at 55.90 VND with a trading volume of 40,300 shares."
2026-02-26 11:00:00,55.9,56.0,55.8,55.9,14700,SCS,"At 2026-02-26 11:00:00, the stock SCS opened at 55.90 VND, reached a high of 56.00 VND, a low of 55.80 VND, and closed the hour at 55.90 VND with a trading volume of 14,700 shares."
2026-02-26 13:00:00,55.8,56.0,55.5,56.0,72200,SCS,"At 2026-02-26 13:00:00, the stock SCS opened at 55.80 VND, reached a high of 56.00 VND, a low of 55.50 VND, and closed the hour at 56.00 VND with a trading volume of 72,200 shares."
2026-02-26 14:00:00,56.0,56.5,55.9,55.9,119500,SCS,"At 2026-02-26 14:00:00, the stock SCS opened at 56.00 VND, reached a high of 56.50 VND, a low of 55.90 VND, and closed the hour at 55.90 VND with a trading volume of 119,500 shares."
2026-02-27 09:00:00,56.1,56.8,55.9,56.1,42800,SCS,"At 2026-02-27 09:00:00, the stock SCS opened at 56.10 VND, reached a high of 56.80 VND, a low of 55.90 VND, and closed the hour at 56.10 VND with a trading volume of 42,800 shares."
2026-02-27 10:00:00,56.1,56.6,55.9,56.4,65200,SCS,"At 2026-02-27 10:00:00, the stock SCS opened at 56.10 VND, reached a high of 56.60 VND, a low of 55.90 VND, and closed the hour at 56.40 VND with a trading volume of 65,200 shares."
2026-02-27 11:00:00,56.4,56.4,56.2,56.2,11100,SCS,"At 2026-02-27 11:00:00, the stock SCS opened at 56.40 VND, reached a high of 56.40 VND, a low of 56.20 VND, and closed the hour at 56.20 VND with a trading volume of 11,100 shares."
2026-02-27 13:00:00,56.2,57.6,56.2,57.2,244200,SCS,"At 2026-02-27 13:00:00, the stock SCS opened at 56.20 VND, reached a high of 57.60 VND, a low of 56.20 VND, and closed the hour at 57.20 VND with a trading volume of 244,200 shares."
2026-02-27 14:00:00,57.2,57.4,57.0,57.3,124900,SCS,"At 2026-02-27 14:00:00, the stock SCS opened at 57.20 VND, reached a high of 57.40 VND, a low of 57.00 VND, and closed the hour at 57.30 VND with a trading volume of 124,900 shares."
2026-03-02 09:00:00,56.2,56.6,55.3,56.6,394400,SCS,"At 2026-03-02 09:00:00, the stock SCS opened at 56.20 VND, reached a high of 56.60 VND, a low of 55.30 VND, and closed the hour at 56.60 VND with a trading volume of 394,400 shares."
2026-03-02 10:00:00,56.6,57.3,56.4,56.8,239700,SCS,"At 2026-03-02 10:00:00, the stock SCS opened at 56.60 VND, reached a high of 57.30 VND, a low of 56.40 VND, and closed the hour at 56.80 VND with a trading volume of 239,700 shares."
2026-03-02 11:00:00,56.9,57.3,56.9,57.2,48700,SCS,"At 2026-03-02 11:00:00, the stock SCS opened at 56.90 VND, reached a high of 57.30 VND, a low of 56.90 VND, and closed the hour at 57.20 VND with a trading volume of 48,700 shares."
2026-03-02 13:00:00,57.2,58.8,57.0,58.2,322000,SCS,"At 2026-03-02 13:00:00, the stock SCS opened at 57.20 VND, reached a high of 58.80 VND, a low of 57.00 VND, and closed the hour at 58.20 VND with a trading volume of 322,000 shares."
2026-03-02 14:00:00,58.1,58.2,57.0,57.0,138300,SCS,"At 2026-03-02 14:00:00, the stock SCS opened at 58.10 VND, reached a high of 58.20 VND, a low of 57.00 VND, and closed the hour at 57.00 VND with a trading volume of 138,300 shares."
2026-03-03 09:00:00,57.1,57.6,56.7,56.9,106600,SCS,"At 2026-03-03 09:00:00, the stock SCS opened at 57.10 VND, reached a high of 57.60 VND, a low of 56.70 VND, and closed the hour at 56.90 VND with a trading volume of 106,600 shares."
2026-03-03 10:00:00,56.9,57.1,56.7,56.9,58400,SCS,"At 2026-03-03 10:00:00, the stock SCS opened at 56.90 VND, reached a high of 57.10 VND, a low of 56.70 VND, and closed the hour at 56.90 VND with a trading volume of 58,400 shares."
2026-03-03 11:00:00,56.9,56.9,56.7,56.8,20900,SCS,"At 2026-03-03 11:00:00, the stock SCS opened at 56.90 VND, reached a high of 56.90 VND, a low of 56.70 VND, and closed the hour at 56.80 VND with a trading volume of 20,900 shares."
2026-03-03 13:00:00,56.8,56.9,56.4,56.6,131100,SCS,"At 2026-03-03 13:00:00, the stock SCS opened at 56.80 VND, reached a high of 56.90 VND, a low of 56.40 VND, and closed the hour at 56.60 VND with a trading volume of 131,100 shares."
2026-03-03 14:00:00,56.6,56.7,56.2,56.2,91300,SCS,"At 2026-03-03 14:00:00, the stock SCS opened at 56.60 VND, reached a high of 56.70 VND, a low of 56.20 VND, and closed the hour at 56.20 VND with a trading volume of 91,300 shares."
2026-03-04 09:00:00,56.3,56.5,55.9,55.9,75600,SCS,"At 2026-03-04 09:00:00, the stock SCS opened at 56.30 VND, reached a high of 56.50 VND, a low of 55.90 VND, and closed the hour at 55.90 VND with a trading volume of 75,600 shares."
2026-03-04 10:00:00,55.9,56.0,55.0,55.2,125300,SCS,"At 2026-03-04 10:00:00, the stock SCS opened at 55.90 VND, reached a high of 56.00 VND, a low of 55.00 VND, and closed the hour at 55.20 VND with a trading volume of 125,300 shares."
2026-03-04 11:00:00,55.2,55.5,55.0,55.3,28900,SCS,"At 2026-03-04 11:00:00, the stock SCS opened at 55.20 VND, reached a high of 55.50 VND, a low of 55.00 VND, and closed the hour at 55.30 VND with a trading volume of 28,900 shares."
2026-03-04 13:00:00,55.3,55.5,54.4,55.3,298300,SCS,"At 2026-03-04 13:00:00, the stock SCS opened at 55.30 VND, reached a high of 55.50 VND, a low of 54.40 VND, and closed the hour at 55.30 VND with a trading volume of 298,300 shares."
2026-03-04 14:00:00,55.3,56.0,55.2,56.0,89800,SCS,"At 2026-03-04 14:00:00, the stock SCS opened at 55.30 VND, reached a high of 56.00 VND, a low of 55.20 VND, and closed the hour at 56.00 VND with a trading volume of 89,800 shares."
2026-03-05 09:00:00,56.0,56.8,56.0,56.2,73000,SCS,"At 2026-03-05 09:00:00, the stock SCS opened at 56.00 VND, reached a high of 56.80 VND, a low of 56.00 VND, and closed the hour at 56.20 VND with a trading volume of 73,000 shares."
