time,open,high,low,close,volume,ticker,llm_text
2025-12-11 09:00:00,8.4,8.4,8.4,8.4,100,SD3,"At 2025-12-11 09:00:00, the stock SD3 opened at 8.40 VND, reached a high of 8.40 VND, a low of 8.40 VND, and closed the hour at 8.40 VND with a trading volume of 100 shares."
2025-12-11 14:00:00,7.8,7.8,7.8,7.8,100,SD3,"At 2025-12-11 14:00:00, the stock SD3 opened at 7.80 VND, reached a high of 7.80 VND, a low of 7.80 VND, and closed the hour at 7.80 VND with a trading volume of 100 shares."
2025-12-15 13:00:00,7.1,8.0,7.1,8.0,1200,SD3,"At 2025-12-15 13:00:00, the stock SD3 opened at 7.10 VND, reached a high of 8.00 VND, a low of 7.10 VND, and closed the hour at 8.00 VND with a trading volume of 1,200 shares."
2025-12-19 09:00:00,7.1,7.1,7.1,7.1,100,SD3,"At 2025-12-19 09:00:00, the stock SD3 opened at 7.10 VND, reached a high of 7.10 VND, a low of 7.10 VND, and closed the hour at 7.10 VND with a trading volume of 100 shares."
2025-12-19 13:00:00,7.9,7.9,7.9,7.9,200,SD3,"At 2025-12-19 13:00:00, the stock SD3 opened at 7.90 VND, reached a high of 7.90 VND, a low of 7.90 VND, and closed the hour at 7.90 VND with a trading volume of 200 shares."
2025-12-22 13:00:00,7.8,7.8,7.8,7.8,100,SD3,"At 2025-12-22 13:00:00, the stock SD3 opened at 7.80 VND, reached a high of 7.80 VND, a low of 7.80 VND, and closed the hour at 7.80 VND with a trading volume of 100 shares."
2025-12-25 13:00:00,8.2,8.2,8.2,8.2,100,SD3,"At 2025-12-25 13:00:00, the stock SD3 opened at 8.20 VND, reached a high of 8.20 VND, a low of 8.20 VND, and closed the hour at 8.20 VND with a trading volume of 100 shares."
2025-12-30 13:00:00,7.2,7.2,7.1,7.1,1000,SD3,"At 2025-12-30 13:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.10 VND, and closed the hour at 7.10 VND with a trading volume of 1,000 shares."
2025-12-30 14:00:00,7.2,7.7,7.2,7.7,200,SD3,"At 2025-12-30 14:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.70 VND, a low of 7.20 VND, and closed the hour at 7.70 VND with a trading volume of 200 shares."
2026-01-05 11:00:00,6.6,6.6,6.6,6.6,4800,SD3,"At 2026-01-05 11:00:00, the stock SD3 opened at 6.60 VND, reached a high of 6.60 VND, a low of 6.60 VND, and closed the hour at 6.60 VND with a trading volume of 4,800 shares."
2026-01-06 09:00:00,6.9,6.9,6.9,6.9,200,SD3,"At 2026-01-06 09:00:00, the stock SD3 opened at 6.90 VND, reached a high of 6.90 VND, a low of 6.90 VND, and closed the hour at 6.90 VND with a trading volume of 200 shares."
2026-01-06 14:00:00,6.9,7.2,6.9,7.2,3000,SD3,"At 2026-01-06 14:00:00, the stock SD3 opened at 6.90 VND, reached a high of 7.20 VND, a low of 6.90 VND, and closed the hour at 7.20 VND with a trading volume of 3,000 shares."
2026-01-08 13:00:00,7.8,7.8,7.8,7.8,100,SD3,"At 2026-01-08 13:00:00, the stock SD3 opened at 7.80 VND, reached a high of 7.80 VND, a low of 7.80 VND, and closed the hour at 7.80 VND with a trading volume of 100 shares."
2026-01-08 14:00:00,7.8,7.8,7.8,7.8,100,SD3,"At 2026-01-08 14:00:00, the stock SD3 opened at 7.80 VND, reached a high of 7.80 VND, a low of 7.80 VND, and closed the hour at 7.80 VND with a trading volume of 100 shares."
2026-01-12 14:00:00,7.2,7.2,7.2,7.2,800,SD3,"At 2026-01-12 14:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 800 shares."
2026-01-13 14:00:00,7.6,7.7,7.6,7.7,200,SD3,"At 2026-01-13 14:00:00, the stock SD3 opened at 7.60 VND, reached a high of 7.70 VND, a low of 7.60 VND, and closed the hour at 7.70 VND with a trading volume of 200 shares."
2026-01-14 09:00:00,8.5,8.5,8.5,8.5,100,SD3,"At 2026-01-14 09:00:00, the stock SD3 opened at 8.50 VND, reached a high of 8.50 VND, a low of 8.50 VND, and closed the hour at 8.50 VND with a trading volume of 100 shares."
2026-01-14 14:00:00,7.6,7.6,7.6,7.6,100,SD3,"At 2026-01-14 14:00:00, the stock SD3 opened at 7.60 VND, reached a high of 7.60 VND, a low of 7.60 VND, and closed the hour at 7.60 VND with a trading volume of 100 shares."
2026-01-16 09:00:00,7.2,7.2,7.0,7.1,4800,SD3,"At 2026-01-16 09:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.00 VND, and closed the hour at 7.10 VND with a trading volume of 4,800 shares."
2026-01-16 10:00:00,7.1,8.1,7.0,7.0,5500,SD3,"At 2026-01-16 10:00:00, the stock SD3 opened at 7.10 VND, reached a high of 8.10 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 5,500 shares."
2026-01-16 11:00:00,7.0,7.0,7.0,7.0,700,SD3,"At 2026-01-16 11:00:00, the stock SD3 opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 700 shares."
2026-01-16 13:00:00,7.0,7.0,7.0,7.0,600,SD3,"At 2026-01-16 13:00:00, the stock SD3 opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 600 shares."
2026-01-20 09:00:00,7.9,7.9,7.9,7.9,100,SD3,"At 2026-01-20 09:00:00, the stock SD3 opened at 7.90 VND, reached a high of 7.90 VND, a low of 7.90 VND, and closed the hour at 7.90 VND with a trading volume of 100 shares."
2026-01-20 10:00:00,7.8,7.8,7.8,7.8,100,SD3,"At 2026-01-20 10:00:00, the stock SD3 opened at 7.80 VND, reached a high of 7.80 VND, a low of 7.80 VND, and closed the hour at 7.80 VND with a trading volume of 100 shares."
2026-01-20 13:00:00,7.0,7.0,7.0,7.0,400,SD3,"At 2026-01-20 13:00:00, the stock SD3 opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 400 shares."
2026-01-20 14:00:00,7.0,7.0,7.0,7.0,1000,SD3,"At 2026-01-20 14:00:00, the stock SD3 opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 1,000 shares."
2026-01-21 13:00:00,6.3,6.3,6.3,6.3,3700,SD3,"At 2026-01-21 13:00:00, the stock SD3 opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.30 VND, and closed the hour at 6.30 VND with a trading volume of 3,700 shares."
2026-01-21 14:00:00,7.4,7.4,7.4,7.4,100,SD3,"At 2026-01-21 14:00:00, the stock SD3 opened at 7.40 VND, reached a high of 7.40 VND, a low of 7.40 VND, and closed the hour at 7.40 VND with a trading volume of 100 shares."
2026-01-22 09:00:00,7.2,7.2,7.2,7.2,100,SD3,"At 2026-01-22 09:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 100 shares."
2026-01-22 10:00:00,7.2,7.2,7.2,7.2,500,SD3,"At 2026-01-22 10:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 500 shares."
2026-01-22 13:00:00,7.2,7.2,7.2,7.2,1700,SD3,"At 2026-01-22 13:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 1,700 shares."
2026-01-22 14:00:00,6.8,7.2,6.8,7.2,2800,SD3,"At 2026-01-22 14:00:00, the stock SD3 opened at 6.80 VND, reached a high of 7.20 VND, a low of 6.80 VND, and closed the hour at 7.20 VND with a trading volume of 2,800 shares."
2026-01-23 09:00:00,8.0,8.0,8.0,8.0,100,SD3,"At 2026-01-23 09:00:00, the stock SD3 opened at 8.00 VND, reached a high of 8.00 VND, a low of 8.00 VND, and closed the hour at 8.00 VND with a trading volume of 100 shares."
2026-01-23 10:00:00,6.9,7.2,6.9,7.2,4600,SD3,"At 2026-01-23 10:00:00, the stock SD3 opened at 6.90 VND, reached a high of 7.20 VND, a low of 6.90 VND, and closed the hour at 7.20 VND with a trading volume of 4,600 shares."
2026-01-23 11:00:00,7.3,7.3,7.3,7.3,200,SD3,"At 2026-01-23 11:00:00, the stock SD3 opened at 7.30 VND, reached a high of 7.30 VND, a low of 7.30 VND, and closed the hour at 7.30 VND with a trading volume of 200 shares."
2026-01-23 13:00:00,7.3,7.3,7.3,7.3,3600,SD3,"At 2026-01-23 13:00:00, the stock SD3 opened at 7.30 VND, reached a high of 7.30 VND, a low of 7.30 VND, and closed the hour at 7.30 VND with a trading volume of 3,600 shares."
2026-01-26 09:00:00,7.2,7.2,7.2,7.2,900,SD3,"At 2026-01-26 09:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 900 shares."
2026-01-26 11:00:00,7.2,7.2,7.2,7.2,1000,SD3,"At 2026-01-26 11:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 1,000 shares."
2026-01-27 14:00:00,7.8,7.9,7.8,7.9,200,SD3,"At 2026-01-27 14:00:00, the stock SD3 opened at 7.80 VND, reached a high of 7.90 VND, a low of 7.80 VND, and closed the hour at 7.90 VND with a trading volume of 200 shares."
2026-01-29 09:00:00,7.2,7.2,7.2,7.2,300,SD3,"At 2026-01-29 09:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 300 shares."
2026-01-29 10:00:00,7.2,7.2,7.2,7.2,700,SD3,"At 2026-01-29 10:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 700 shares."
2026-02-02 09:00:00,8.2,8.2,7.9,7.9,600,SD3,"At 2026-02-02 09:00:00, the stock SD3 opened at 8.20 VND, reached a high of 8.20 VND, a low of 7.90 VND, and closed the hour at 7.90 VND with a trading volume of 600 shares."
2026-02-03 09:00:00,8.9,8.9,8.9,8.9,100,SD3,"At 2026-02-03 09:00:00, the stock SD3 opened at 8.90 VND, reached a high of 8.90 VND, a low of 8.90 VND, and closed the hour at 8.90 VND with a trading volume of 100 shares."
2026-02-03 10:00:00,7.2,7.2,7.2,7.2,1000,SD3,"At 2026-02-03 10:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 1,000 shares."
2026-02-03 13:00:00,7.2,7.2,7.2,7.2,2300,SD3,"At 2026-02-03 13:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 2,300 shares."
2026-02-03 14:00:00,7.1,7.1,7.1,7.1,500,SD3,"At 2026-02-03 14:00:00, the stock SD3 opened at 7.10 VND, reached a high of 7.10 VND, a low of 7.10 VND, and closed the hour at 7.10 VND with a trading volume of 500 shares."
2026-02-04 14:00:00,7.1,7.1,7.1,7.1,4700,SD3,"At 2026-02-04 14:00:00, the stock SD3 opened at 7.10 VND, reached a high of 7.10 VND, a low of 7.10 VND, and closed the hour at 7.10 VND with a trading volume of 4,700 shares."
2026-02-05 09:00:00,7.0,7.0,7.0,7.0,4700,SD3,"At 2026-02-05 09:00:00, the stock SD3 opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 4,700 shares."
2026-02-05 13:00:00,7.0,7.0,7.0,7.0,700,SD3,"At 2026-02-05 13:00:00, the stock SD3 opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 700 shares."
2026-02-09 09:00:00,7.1,7.1,7.1,7.1,2300,SD3,"At 2026-02-09 09:00:00, the stock SD3 opened at 7.10 VND, reached a high of 7.10 VND, a low of 7.10 VND, and closed the hour at 7.10 VND with a trading volume of 2,300 shares."
2026-02-09 10:00:00,7.4,7.4,7.4,7.4,500,SD3,"At 2026-02-09 10:00:00, the stock SD3 opened at 7.40 VND, reached a high of 7.40 VND, a low of 7.40 VND, and closed the hour at 7.40 VND with a trading volume of 500 shares."
2026-02-09 14:00:00,7.1,7.1,7.1,7.1,1000,SD3,"At 2026-02-09 14:00:00, the stock SD3 opened at 7.10 VND, reached a high of 7.10 VND, a low of 7.10 VND, and closed the hour at 7.10 VND with a trading volume of 1,000 shares."
2026-02-10 10:00:00,7.1,7.4,7.1,7.4,300,SD3,"At 2026-02-10 10:00:00, the stock SD3 opened at 7.10 VND, reached a high of 7.40 VND, a low of 7.10 VND, and closed the hour at 7.40 VND with a trading volume of 300 shares."
2026-02-10 11:00:00,7.1,7.1,7.1,7.1,1000,SD3,"At 2026-02-10 11:00:00, the stock SD3 opened at 7.10 VND, reached a high of 7.10 VND, a low of 7.10 VND, and closed the hour at 7.10 VND with a trading volume of 1,000 shares."
2026-02-10 14:00:00,7.1,7.1,7.1,7.1,5000,SD3,"At 2026-02-10 14:00:00, the stock SD3 opened at 7.10 VND, reached a high of 7.10 VND, a low of 7.10 VND, and closed the hour at 7.10 VND with a trading volume of 5,000 shares."
2026-02-12 13:00:00,7.0,7.0,6.9,6.9,5000,SD3,"At 2026-02-12 13:00:00, the stock SD3 opened at 7.00 VND, reached a high of 7.00 VND, a low of 6.90 VND, and closed the hour at 6.90 VND with a trading volume of 5,000 shares."
2026-02-12 14:00:00,7.0,7.0,7.0,7.0,3000,SD3,"At 2026-02-12 14:00:00, the stock SD3 opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 3,000 shares."
2026-02-13 09:00:00,7.0,7.0,7.0,7.0,1300,SD3,"At 2026-02-13 09:00:00, the stock SD3 opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 1,300 shares."
2026-02-13 14:00:00,7.2,7.5,7.2,7.5,3700,SD3,"At 2026-02-13 14:00:00, the stock SD3 opened at 7.20 VND, reached a high of 7.50 VND, a low of 7.20 VND, and closed the hour at 7.50 VND with a trading volume of 3,700 shares."
2026-02-23 09:00:00,7.3,7.8,7.3,7.8,1100,SD3,"At 2026-02-23 09:00:00, the stock SD3 opened at 7.30 VND, reached a high of 7.80 VND, a low of 7.30 VND, and closed the hour at 7.80 VND with a trading volume of 1,100 shares."
2026-02-23 10:00:00,7.3,7.3,7.3,7.3,700,SD3,"At 2026-02-23 10:00:00, the stock SD3 opened at 7.30 VND, reached a high of 7.30 VND, a low of 7.30 VND, and closed the hour at 7.30 VND with a trading volume of 700 shares."
2026-02-24 10:00:00,7.7,7.8,7.7,7.8,3400,SD3,"At 2026-02-24 10:00:00, the stock SD3 opened at 7.70 VND, reached a high of 7.80 VND, a low of 7.70 VND, and closed the hour at 7.80 VND with a trading volume of 3,400 shares."
