time,open,high,low,close,volume,ticker,llm_text
2026-02-05 11:00:00,3.7,3.7,3.6,3.6,23100,SHN,"At 2026-02-05 11:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.70 VND, a low of 3.60 VND, and closed the hour at 3.60 VND with a trading volume of 23,100 shares."
2026-02-05 13:00:00,3.6,3.8,3.6,3.8,23100,SHN,"At 2026-02-05 13:00:00, the stock SHN opened at 3.60 VND, reached a high of 3.80 VND, a low of 3.60 VND, and closed the hour at 3.80 VND with a trading volume of 23,100 shares."
2026-02-05 14:00:00,3.7,3.8,3.7,3.8,5300,SHN,"At 2026-02-05 14:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.80 VND, a low of 3.70 VND, and closed the hour at 3.80 VND with a trading volume of 5,300 shares."
2026-02-06 09:00:00,3.9,3.9,3.9,3.9,100,SHN,"At 2026-02-06 09:00:00, the stock SHN opened at 3.90 VND, reached a high of 3.90 VND, a low of 3.90 VND, and closed the hour at 3.90 VND with a trading volume of 100 shares."
2026-02-06 10:00:00,3.8,3.9,3.8,3.9,3100,SHN,"At 2026-02-06 10:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.90 VND, a low of 3.80 VND, and closed the hour at 3.90 VND with a trading volume of 3,100 shares."
2026-02-06 11:00:00,3.8,3.8,3.8,3.8,100,SHN,"At 2026-02-06 11:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.80 VND, a low of 3.80 VND, and closed the hour at 3.80 VND with a trading volume of 100 shares."
2026-02-06 13:00:00,3.8,3.8,3.7,3.8,400,SHN,"At 2026-02-06 13:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.80 VND, a low of 3.70 VND, and closed the hour at 3.80 VND with a trading volume of 400 shares."
2026-02-09 10:00:00,3.8,3.9,3.8,3.9,7600,SHN,"At 2026-02-09 10:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.90 VND, a low of 3.80 VND, and closed the hour at 3.90 VND with a trading volume of 7,600 shares."
2026-02-09 11:00:00,3.9,3.9,3.9,3.9,1400,SHN,"At 2026-02-09 11:00:00, the stock SHN opened at 3.90 VND, reached a high of 3.90 VND, a low of 3.90 VND, and closed the hour at 3.90 VND with a trading volume of 1,400 shares."
2026-02-09 13:00:00,3.8,3.9,3.8,3.8,17000,SHN,"At 2026-02-09 13:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.90 VND, a low of 3.80 VND, and closed the hour at 3.80 VND with a trading volume of 17,000 shares."
2026-02-09 14:00:00,3.7,3.9,3.7,3.9,800,SHN,"At 2026-02-09 14:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.90 VND, a low of 3.70 VND, and closed the hour at 3.90 VND with a trading volume of 800 shares."
2026-02-10 09:00:00,3.9,3.9,3.9,3.9,100,SHN,"At 2026-02-10 09:00:00, the stock SHN opened at 3.90 VND, reached a high of 3.90 VND, a low of 3.90 VND, and closed the hour at 3.90 VND with a trading volume of 100 shares."
2026-02-10 10:00:00,3.7,3.9,3.7,3.9,8000,SHN,"At 2026-02-10 10:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.90 VND, a low of 3.70 VND, and closed the hour at 3.90 VND with a trading volume of 8,000 shares."
2026-02-10 13:00:00,3.7,3.7,3.6,3.6,14100,SHN,"At 2026-02-10 13:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.70 VND, a low of 3.60 VND, and closed the hour at 3.60 VND with a trading volume of 14,100 shares."
2026-02-10 14:00:00,3.6,3.7,3.6,3.6,14100,SHN,"At 2026-02-10 14:00:00, the stock SHN opened at 3.60 VND, reached a high of 3.70 VND, a low of 3.60 VND, and closed the hour at 3.60 VND with a trading volume of 14,100 shares."
2026-02-11 09:00:00,3.7,3.8,3.7,3.8,1300,SHN,"At 2026-02-11 09:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.80 VND, a low of 3.70 VND, and closed the hour at 3.80 VND with a trading volume of 1,300 shares."
2026-02-11 10:00:00,3.8,3.8,3.8,3.8,3900,SHN,"At 2026-02-11 10:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.80 VND, a low of 3.80 VND, and closed the hour at 3.80 VND with a trading volume of 3,900 shares."
2026-02-11 11:00:00,3.7,3.8,3.7,3.8,600,SHN,"At 2026-02-11 11:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.80 VND, a low of 3.70 VND, and closed the hour at 3.80 VND with a trading volume of 600 shares."
2026-02-11 13:00:00,3.7,3.7,3.7,3.7,6000,SHN,"At 2026-02-11 13:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.70 VND, a low of 3.70 VND, and closed the hour at 3.70 VND with a trading volume of 6,000 shares."
2026-02-11 14:00:00,3.8,3.8,3.7,3.7,2000,SHN,"At 2026-02-11 14:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.80 VND, a low of 3.70 VND, and closed the hour at 3.70 VND with a trading volume of 2,000 shares."
2026-02-12 09:00:00,3.7,3.8,3.7,3.8,1200,SHN,"At 2026-02-12 09:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.80 VND, a low of 3.70 VND, and closed the hour at 3.80 VND with a trading volume of 1,200 shares."
2026-02-12 13:00:00,3.6,3.8,3.6,3.8,800,SHN,"At 2026-02-12 13:00:00, the stock SHN opened at 3.60 VND, reached a high of 3.80 VND, a low of 3.60 VND, and closed the hour at 3.80 VND with a trading volume of 800 shares."
2026-02-12 14:00:00,3.8,3.8,3.8,3.8,1000,SHN,"At 2026-02-12 14:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.80 VND, a low of 3.80 VND, and closed the hour at 3.80 VND with a trading volume of 1,000 shares."
2026-02-13 09:00:00,3.8,3.8,3.8,3.8,100,SHN,"At 2026-02-13 09:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.80 VND, a low of 3.80 VND, and closed the hour at 3.80 VND with a trading volume of 100 shares."
2026-02-13 10:00:00,3.8,3.8,3.8,3.8,2000,SHN,"At 2026-02-13 10:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.80 VND, a low of 3.80 VND, and closed the hour at 3.80 VND with a trading volume of 2,000 shares."
2026-02-13 11:00:00,3.7,3.7,3.7,3.7,2400,SHN,"At 2026-02-13 11:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.70 VND, a low of 3.70 VND, and closed the hour at 3.70 VND with a trading volume of 2,400 shares."
2026-02-13 13:00:00,3.7,3.8,3.6,3.8,1300,SHN,"At 2026-02-13 13:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.80 VND, a low of 3.60 VND, and closed the hour at 3.80 VND with a trading volume of 1,300 shares."
2026-02-13 14:00:00,3.8,3.8,3.8,3.8,800,SHN,"At 2026-02-13 14:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.80 VND, a low of 3.80 VND, and closed the hour at 3.80 VND with a trading volume of 800 shares."
2026-02-23 09:00:00,3.8,3.8,3.8,3.8,1000,SHN,"At 2026-02-23 09:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.80 VND, a low of 3.80 VND, and closed the hour at 3.80 VND with a trading volume of 1,000 shares."
2026-02-23 10:00:00,3.7,3.8,3.7,3.8,600,SHN,"At 2026-02-23 10:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.80 VND, a low of 3.70 VND, and closed the hour at 3.80 VND with a trading volume of 600 shares."
2026-02-23 13:00:00,3.7,3.7,3.6,3.6,7000,SHN,"At 2026-02-23 13:00:00, the stock SHN opened at 3.70 VND, reached a high of 3.70 VND, a low of 3.60 VND, and closed the hour at 3.60 VND with a trading volume of 7,000 shares."
2026-02-23 14:00:00,3.8,3.8,3.7,3.8,2200,SHN,"At 2026-02-23 14:00:00, the stock SHN opened at 3.80 VND, reached a high of 3.80 VND, a low of 3.70 VND, and closed the hour at 3.80 VND with a trading volume of 2,200 shares."
