time,open,high,low,close,volume,ticker,llm_text
2025-03-06 10:00:00,6.0,7.1,6.0,7.1,3700,SIG,"At 2025-03-06 10:00:00, the stock SIG opened at 6.00 VND, reached a high of 7.10 VND, a low of 6.00 VND, and closed the hour at 7.10 VND with a trading volume of 3,700 shares."
2025-03-06 14:00:00,7.0,7.0,7.0,7.0,900,SIG,"At 2025-03-06 14:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 900 shares."
2025-03-12 14:00:00,7.0,7.0,7.0,7.0,500,SIG,"At 2025-03-12 14:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 500 shares."
2025-03-13 13:00:00,7.0,7.0,7.0,7.0,800,SIG,"At 2025-03-13 13:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 800 shares."
2025-03-13 14:00:00,7.0,7.0,7.0,7.0,500,SIG,"At 2025-03-13 14:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 500 shares."
2025-03-14 14:00:00,7.0,7.0,7.0,7.0,500,SIG,"At 2025-03-14 14:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 500 shares."
2025-03-18 11:00:00,7.3,7.3,7.3,7.3,200,SIG,"At 2025-03-18 11:00:00, the stock SIG opened at 7.30 VND, reached a high of 7.30 VND, a low of 7.30 VND, and closed the hour at 7.30 VND with a trading volume of 200 shares."
2025-03-18 14:00:00,7.0,7.0,7.0,7.0,200,SIG,"At 2025-03-18 14:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 200 shares."
2025-03-20 13:00:00,6.3,8.2,6.3,8.0,1700,SIG,"At 2025-03-20 13:00:00, the stock SIG opened at 6.30 VND, reached a high of 8.20 VND, a low of 6.30 VND, and closed the hour at 8.00 VND with a trading volume of 1,700 shares."
2025-03-21 09:00:00,8.1,8.1,8.1,8.1,200,SIG,"At 2025-03-21 09:00:00, the stock SIG opened at 8.10 VND, reached a high of 8.10 VND, a low of 8.10 VND, and closed the hour at 8.10 VND with a trading volume of 200 shares."
2025-03-24 09:00:00,7.6,7.6,7.6,7.6,300,SIG,"At 2025-03-24 09:00:00, the stock SIG opened at 7.60 VND, reached a high of 7.60 VND, a low of 7.60 VND, and closed the hour at 7.60 VND with a trading volume of 300 shares."
2025-03-24 14:00:00,7.0,7.0,7.0,7.0,300,SIG,"At 2025-03-24 14:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 300 shares."
2025-03-27 14:00:00,7.0,7.0,7.0,7.0,200,SIG,"At 2025-03-27 14:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 200 shares."
2025-03-31 13:00:00,7.9,8.0,7.9,8.0,11600,SIG,"At 2025-03-31 13:00:00, the stock SIG opened at 7.90 VND, reached a high of 8.00 VND, a low of 7.90 VND, and closed the hour at 8.00 VND with a trading volume of 11,600 shares."
2025-04-01 09:00:00,8.1,8.1,8.1,8.1,100,SIG,"At 2025-04-01 09:00:00, the stock SIG opened at 8.10 VND, reached a high of 8.10 VND, a low of 8.10 VND, and closed the hour at 8.10 VND with a trading volume of 100 shares."
2025-04-01 10:00:00,8.0,8.0,8.0,8.0,700,SIG,"At 2025-04-01 10:00:00, the stock SIG opened at 8.00 VND, reached a high of 8.00 VND, a low of 8.00 VND, and closed the hour at 8.00 VND with a trading volume of 700 shares."
2025-04-02 09:00:00,9.2,9.2,9.2,9.2,100,SIG,"At 2025-04-02 09:00:00, the stock SIG opened at 9.20 VND, reached a high of 9.20 VND, a low of 9.20 VND, and closed the hour at 9.20 VND with a trading volume of 100 shares."
2025-04-02 10:00:00,8.0,8.0,8.0,8.0,500,SIG,"At 2025-04-02 10:00:00, the stock SIG opened at 8.00 VND, reached a high of 8.00 VND, a low of 8.00 VND, and closed the hour at 8.00 VND with a trading volume of 500 shares."
2025-04-02 13:00:00,7.9,7.9,7.9,7.9,500,SIG,"At 2025-04-02 13:00:00, the stock SIG opened at 7.90 VND, reached a high of 7.90 VND, a low of 7.90 VND, and closed the hour at 7.90 VND with a trading volume of 500 shares."
2025-04-03 14:00:00,7.7,7.7,7.7,7.7,500,SIG,"At 2025-04-03 14:00:00, the stock SIG opened at 7.70 VND, reached a high of 7.70 VND, a low of 7.70 VND, and closed the hour at 7.70 VND with a trading volume of 500 shares."
2025-04-04 09:00:00,7.0,7.0,7.0,7.0,1000,SIG,"At 2025-04-04 09:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 1,000 shares."
2025-04-10 09:00:00,8.0,8.0,8.0,8.0,200,SIG,"At 2025-04-10 09:00:00, the stock SIG opened at 8.00 VND, reached a high of 8.00 VND, a low of 8.00 VND, and closed the hour at 8.00 VND with a trading volume of 200 shares."
2025-04-11 09:00:00,8.7,8.7,8.7,8.7,100,SIG,"At 2025-04-11 09:00:00, the stock SIG opened at 8.70 VND, reached a high of 8.70 VND, a low of 8.70 VND, and closed the hour at 8.70 VND with a trading volume of 100 shares."
2025-04-24 09:00:00,9.9,9.9,9.4,9.4,400,SIG,"At 2025-04-24 09:00:00, the stock SIG opened at 9.90 VND, reached a high of 9.90 VND, a low of 9.40 VND, and closed the hour at 9.40 VND with a trading volume of 400 shares."
2025-06-17 09:00:00,13.2,13.2,13.2,13.2,100,SIG,"At 2025-06-17 09:00:00, the stock SIG opened at 13.20 VND, reached a high of 13.20 VND, a low of 13.20 VND, and closed the hour at 13.20 VND with a trading volume of 100 shares."
2025-06-17 13:00:00,8.0,8.0,8.0,8.0,1500,SIG,"At 2025-06-17 13:00:00, the stock SIG opened at 8.00 VND, reached a high of 8.00 VND, a low of 8.00 VND, and closed the hour at 8.00 VND with a trading volume of 1,500 shares."
2025-06-17 14:00:00,8.0,8.0,8.0,8.0,100,SIG,"At 2025-06-17 14:00:00, the stock SIG opened at 8.00 VND, reached a high of 8.00 VND, a low of 8.00 VND, and closed the hour at 8.00 VND with a trading volume of 100 shares."
2025-06-20 13:00:00,7.2,7.2,7.2,7.2,1000,SIG,"At 2025-06-20 13:00:00, the stock SIG opened at 7.20 VND, reached a high of 7.20 VND, a low of 7.20 VND, and closed the hour at 7.20 VND with a trading volume of 1,000 shares."
2025-06-25 13:00:00,7.0,7.0,7.0,7.0,500,SIG,"At 2025-06-25 13:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 500 shares."
2025-06-25 14:00:00,7.0,7.0,7.0,7.0,900,SIG,"At 2025-06-25 14:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 900 shares."
2025-07-04 13:00:00,6.0,6.0,6.0,6.0,500,SIG,"At 2025-07-04 13:00:00, the stock SIG opened at 6.00 VND, reached a high of 6.00 VND, a low of 6.00 VND, and closed the hour at 6.00 VND with a trading volume of 500 shares."
2025-07-04 14:00:00,6.1,6.1,6.1,6.1,500,SIG,"At 2025-07-04 14:00:00, the stock SIG opened at 6.10 VND, reached a high of 6.10 VND, a low of 6.10 VND, and closed the hour at 6.10 VND with a trading volume of 500 shares."
2025-07-08 10:00:00,7.0,7.0,7.0,7.0,100,SIG,"At 2025-07-08 10:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 100 shares."
2025-07-09 09:00:00,7.0,7.0,7.0,7.0,100,SIG,"At 2025-07-09 09:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 100 shares."
2025-07-11 13:00:00,6.0,7.0,6.0,7.0,300,SIG,"At 2025-07-11 13:00:00, the stock SIG opened at 6.00 VND, reached a high of 7.00 VND, a low of 6.00 VND, and closed the hour at 7.00 VND with a trading volume of 300 shares."
2025-07-14 14:00:00,7.7,7.7,7.7,7.7,100,SIG,"At 2025-07-14 14:00:00, the stock SIG opened at 7.70 VND, reached a high of 7.70 VND, a low of 7.70 VND, and closed the hour at 7.70 VND with a trading volume of 100 shares."
2025-07-18 13:00:00,7.6,7.6,7.6,7.6,600,SIG,"At 2025-07-18 13:00:00, the stock SIG opened at 7.60 VND, reached a high of 7.60 VND, a low of 7.60 VND, and closed the hour at 7.60 VND with a trading volume of 600 shares."
2025-07-21 09:00:00,7.6,7.6,7.6,7.6,400,SIG,"At 2025-07-21 09:00:00, the stock SIG opened at 7.60 VND, reached a high of 7.60 VND, a low of 7.60 VND, and closed the hour at 7.60 VND with a trading volume of 400 shares."
2025-07-23 09:00:00,7.6,7.6,7.6,7.6,100,SIG,"At 2025-07-23 09:00:00, the stock SIG opened at 7.60 VND, reached a high of 7.60 VND, a low of 7.60 VND, and closed the hour at 7.60 VND with a trading volume of 100 shares."
2025-07-24 10:00:00,7.0,7.0,7.0,7.0,500,SIG,"At 2025-07-24 10:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 500 shares."
2025-07-25 13:00:00,7.0,7.0,7.0,7.0,100,SIG,"At 2025-07-25 13:00:00, the stock SIG opened at 7.00 VND, reached a high of 7.00 VND, a low of 7.00 VND, and closed the hour at 7.00 VND with a trading volume of 100 shares."
2025-07-25 14:00:00,6.8,6.8,6.8,6.8,500,SIG,"At 2025-07-25 14:00:00, the stock SIG opened at 6.80 VND, reached a high of 6.80 VND, a low of 6.80 VND, and closed the hour at 6.80 VND with a trading volume of 500 shares."
2025-07-28 13:00:00,6.9,6.9,6.9,6.9,300,SIG,"At 2025-07-28 13:00:00, the stock SIG opened at 6.90 VND, reached a high of 6.90 VND, a low of 6.90 VND, and closed the hour at 6.90 VND with a trading volume of 300 shares."
2025-07-28 14:00:00,6.9,6.9,6.8,6.8,500,SIG,"At 2025-07-28 14:00:00, the stock SIG opened at 6.90 VND, reached a high of 6.90 VND, a low of 6.80 VND, and closed the hour at 6.80 VND with a trading volume of 500 shares."
2025-07-29 14:00:00,7.3,7.3,7.3,7.3,100,SIG,"At 2025-07-29 14:00:00, the stock SIG opened at 7.30 VND, reached a high of 7.30 VND, a low of 7.30 VND, and closed the hour at 7.30 VND with a trading volume of 100 shares."
2025-07-31 09:00:00,6.8,6.8,6.5,6.5,1000,SIG,"At 2025-07-31 09:00:00, the stock SIG opened at 6.80 VND, reached a high of 6.80 VND, a low of 6.50 VND, and closed the hour at 6.50 VND with a trading volume of 1,000 shares."
2025-08-01 09:00:00,7.5,7.5,7.5,7.5,100,SIG,"At 2025-08-01 09:00:00, the stock SIG opened at 7.50 VND, reached a high of 7.50 VND, a low of 7.50 VND, and closed the hour at 7.50 VND with a trading volume of 100 shares."
2025-08-06 11:00:00,6.5,6.5,6.4,6.4,600,SIG,"At 2025-08-06 11:00:00, the stock SIG opened at 6.50 VND, reached a high of 6.50 VND, a low of 6.40 VND, and closed the hour at 6.40 VND with a trading volume of 600 shares."
2025-08-07 09:00:00,7.3,7.3,7.3,7.3,100,SIG,"At 2025-08-07 09:00:00, the stock SIG opened at 7.30 VND, reached a high of 7.30 VND, a low of 7.30 VND, and closed the hour at 7.30 VND with a trading volume of 100 shares."
