time,open,high,low,close,volume,ticker,llm_text
2026-01-08 14:00:00,11.3,11.3,11.3,11.3,100,SMT,"At 2026-01-08 14:00:00, the stock SMT opened at 11.30 VND, reached a high of 11.30 VND, a low of 11.30 VND, and closed the hour at 11.30 VND with a trading volume of 100 shares."
2026-01-09 09:00:00,11.2,11.2,10.9,10.9,1500,SMT,"At 2026-01-09 09:00:00, the stock SMT opened at 11.20 VND, reached a high of 11.20 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 1,500 shares."
2026-01-09 10:00:00,10.9,10.9,10.9,10.9,1000,SMT,"At 2026-01-09 10:00:00, the stock SMT opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 1,000 shares."
2026-01-09 13:00:00,10.8,11.2,10.6,11.2,4400,SMT,"At 2026-01-09 13:00:00, the stock SMT opened at 10.80 VND, reached a high of 11.20 VND, a low of 10.60 VND, and closed the hour at 11.20 VND with a trading volume of 4,400 shares."
2026-01-09 14:00:00,10.7,10.7,10.7,10.7,2000,SMT,"At 2026-01-09 14:00:00, the stock SMT opened at 10.70 VND, reached a high of 10.70 VND, a low of 10.70 VND, and closed the hour at 10.70 VND with a trading volume of 2,000 shares."
2026-01-12 10:00:00,10.9,10.9,10.9,10.9,200,SMT,"At 2026-01-12 10:00:00, the stock SMT opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 200 shares."
2026-01-12 14:00:00,10.7,10.7,10.7,10.7,5000,SMT,"At 2026-01-12 14:00:00, the stock SMT opened at 10.70 VND, reached a high of 10.70 VND, a low of 10.70 VND, and closed the hour at 10.70 VND with a trading volume of 5,000 shares."
2026-01-13 09:00:00,11.1,11.1,11.1,11.1,100,SMT,"At 2026-01-13 09:00:00, the stock SMT opened at 11.10 VND, reached a high of 11.10 VND, a low of 11.10 VND, and closed the hour at 11.10 VND with a trading volume of 100 shares."
2026-01-13 10:00:00,10.7,10.7,10.7,10.7,1200,SMT,"At 2026-01-13 10:00:00, the stock SMT opened at 10.70 VND, reached a high of 10.70 VND, a low of 10.70 VND, and closed the hour at 10.70 VND with a trading volume of 1,200 shares."
2026-01-13 13:00:00,11.0,11.0,11.0,11.0,200,SMT,"At 2026-01-13 13:00:00, the stock SMT opened at 11.00 VND, reached a high of 11.00 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 200 shares."
2026-01-14 13:00:00,11.3,11.3,11.3,11.3,100,SMT,"At 2026-01-14 13:00:00, the stock SMT opened at 11.30 VND, reached a high of 11.30 VND, a low of 11.30 VND, and closed the hour at 11.30 VND with a trading volume of 100 shares."
2026-01-14 14:00:00,11.3,11.3,11.3,11.3,1200,SMT,"At 2026-01-14 14:00:00, the stock SMT opened at 11.30 VND, reached a high of 11.30 VND, a low of 11.30 VND, and closed the hour at 11.30 VND with a trading volume of 1,200 shares."
2026-01-15 09:00:00,11.4,11.4,11.4,11.4,100,SMT,"At 2026-01-15 09:00:00, the stock SMT opened at 11.40 VND, reached a high of 11.40 VND, a low of 11.40 VND, and closed the hour at 11.40 VND with a trading volume of 100 shares."
2026-01-16 09:00:00,10.7,10.7,10.4,10.4,4900,SMT,"At 2026-01-16 09:00:00, the stock SMT opened at 10.70 VND, reached a high of 10.70 VND, a low of 10.40 VND, and closed the hour at 10.40 VND with a trading volume of 4,900 shares."
2026-01-16 10:00:00,11.0,11.0,11.0,11.0,1100,SMT,"At 2026-01-16 10:00:00, the stock SMT opened at 11.00 VND, reached a high of 11.00 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 1,100 shares."
2026-01-16 11:00:00,10.8,10.8,10.7,10.7,200,SMT,"At 2026-01-16 11:00:00, the stock SMT opened at 10.80 VND, reached a high of 10.80 VND, a low of 10.70 VND, and closed the hour at 10.70 VND with a trading volume of 200 shares."
2026-01-16 13:00:00,10.6,10.6,10.6,10.6,2600,SMT,"At 2026-01-16 13:00:00, the stock SMT opened at 10.60 VND, reached a high of 10.60 VND, a low of 10.60 VND, and closed the hour at 10.60 VND with a trading volume of 2,600 shares."
2026-01-16 14:00:00,10.9,10.9,10.9,10.9,100,SMT,"At 2026-01-16 14:00:00, the stock SMT opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 100 shares."
2026-01-19 10:00:00,10.9,10.9,10.9,10.9,100,SMT,"At 2026-01-19 10:00:00, the stock SMT opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 100 shares."
2026-01-20 09:00:00,11.3,11.3,11.3,11.3,100,SMT,"At 2026-01-20 09:00:00, the stock SMT opened at 11.30 VND, reached a high of 11.30 VND, a low of 11.30 VND, and closed the hour at 11.30 VND with a trading volume of 100 shares."
2026-01-20 13:00:00,10.9,10.9,10.9,10.9,3000,SMT,"At 2026-01-20 13:00:00, the stock SMT opened at 10.90 VND, reached a high of 10.90 VND, a low of 10.90 VND, and closed the hour at 10.90 VND with a trading volume of 3,000 shares."
2026-01-20 14:00:00,11.0,11.0,11.0,11.0,1000,SMT,"At 2026-01-20 14:00:00, the stock SMT opened at 11.00 VND, reached a high of 11.00 VND, a low of 11.00 VND, and closed the hour at 11.00 VND with a trading volume of 1,000 shares."
2026-01-21 09:00:00,10.8,10.9,10.5,10.9,3100,SMT,"At 2026-01-21 09:00:00, the stock SMT opened at 10.80 VND, reached a high of 10.90 VND, a low of 10.50 VND, and closed the hour at 10.90 VND with a trading volume of 3,100 shares."
2026-01-21 10:00:00,10.4,10.5,9.9,9.9,14600,SMT,"At 2026-01-21 10:00:00, the stock SMT opened at 10.40 VND, reached a high of 10.50 VND, a low of 9.90 VND, and closed the hour at 9.90 VND with a trading volume of 14,600 shares."
2026-01-21 11:00:00,9.9,9.9,9.9,9.9,5800,SMT,"At 2026-01-21 11:00:00, the stock SMT opened at 9.90 VND, reached a high of 9.90 VND, a low of 9.90 VND, and closed the hour at 9.90 VND with a trading volume of 5,800 shares."
2026-01-21 13:00:00,9.9,9.9,9.9,9.9,1200,SMT,"At 2026-01-21 13:00:00, the stock SMT opened at 9.90 VND, reached a high of 9.90 VND, a low of 9.90 VND, and closed the hour at 9.90 VND with a trading volume of 1,200 shares."
2026-01-21 14:00:00,9.9,9.9,9.9,9.9,700,SMT,"At 2026-01-21 14:00:00, the stock SMT opened at 9.90 VND, reached a high of 9.90 VND, a low of 9.90 VND, and closed the hour at 9.90 VND with a trading volume of 700 shares."
2026-01-22 09:00:00,9.8,9.8,9.7,9.7,4100,SMT,"At 2026-01-22 09:00:00, the stock SMT opened at 9.80 VND, reached a high of 9.80 VND, a low of 9.70 VND, and closed the hour at 9.70 VND with a trading volume of 4,100 shares."
2026-01-22 10:00:00,9.5,9.5,9.3,9.3,3500,SMT,"At 2026-01-22 10:00:00, the stock SMT opened at 9.50 VND, reached a high of 9.50 VND, a low of 9.30 VND, and closed the hour at 9.30 VND with a trading volume of 3,500 shares."
2026-01-22 11:00:00,9.6,9.6,9.6,9.6,100,SMT,"At 2026-01-22 11:00:00, the stock SMT opened at 9.60 VND, reached a high of 9.60 VND, a low of 9.60 VND, and closed the hour at 9.60 VND with a trading volume of 100 shares."
2026-01-22 13:00:00,9.3,9.5,9.0,9.1,16400,SMT,"At 2026-01-22 13:00:00, the stock SMT opened at 9.30 VND, reached a high of 9.50 VND, a low of 9.00 VND, and closed the hour at 9.10 VND with a trading volume of 16,400 shares."
2026-01-22 14:00:00,9.1,9.8,9.1,9.8,3200,SMT,"At 2026-01-22 14:00:00, the stock SMT opened at 9.10 VND, reached a high of 9.80 VND, a low of 9.10 VND, and closed the hour at 9.80 VND with a trading volume of 3,200 shares."
2026-01-23 09:00:00,9.8,9.8,9.8,9.8,100,SMT,"At 2026-01-23 09:00:00, the stock SMT opened at 9.80 VND, reached a high of 9.80 VND, a low of 9.80 VND, and closed the hour at 9.80 VND with a trading volume of 100 shares."
2026-01-23 11:00:00,9.4,9.4,9.4,9.4,1100,SMT,"At 2026-01-23 11:00:00, the stock SMT opened at 9.40 VND, reached a high of 9.40 VND, a low of 9.40 VND, and closed the hour at 9.40 VND with a trading volume of 1,100 shares."
2026-01-23 13:00:00,9.4,9.4,9.4,9.4,2400,SMT,"At 2026-01-23 13:00:00, the stock SMT opened at 9.40 VND, reached a high of 9.40 VND, a low of 9.40 VND, and closed the hour at 9.40 VND with a trading volume of 2,400 shares."
2026-01-23 14:00:00,9.7,9.7,9.7,9.7,200,SMT,"At 2026-01-23 14:00:00, the stock SMT opened at 9.70 VND, reached a high of 9.70 VND, a low of 9.70 VND, and closed the hour at 9.70 VND with a trading volume of 200 shares."
