time,open,high,low,close,volume,ticker,llm_text
2023-10-09 09:00:00,13.75,13.75,13.75,13.75,100,SNC,"At 2023-10-09 09:00:00, the stock SNC opened at 13.75 VND, reached a high of 13.75 VND, a low of 13.75 VND, and closed the hour at 13.75 VND with a trading volume of 100 shares."
2023-11-02 10:00:00,15.79,15.79,15.79,15.79,500,SNC,"At 2023-11-02 10:00:00, the stock SNC opened at 15.79 VND, reached a high of 15.79 VND, a low of 15.79 VND, and closed the hour at 15.79 VND with a trading volume of 500 shares."
2023-11-02 14:00:00,15.79,15.79,15.79,15.79,100,SNC,"At 2023-11-02 14:00:00, the stock SNC opened at 15.79 VND, reached a high of 15.79 VND, a low of 15.79 VND, and closed the hour at 15.79 VND with a trading volume of 100 shares."
2023-11-15 09:00:00,15.79,15.79,15.79,15.79,800,SNC,"At 2023-11-15 09:00:00, the stock SNC opened at 15.79 VND, reached a high of 15.79 VND, a low of 15.79 VND, and closed the hour at 15.79 VND with a trading volume of 800 shares."
2023-12-22 10:00:00,18.08,18.08,18.08,18.08,100,SNC,"At 2023-12-22 10:00:00, the stock SNC opened at 18.08 VND, reached a high of 18.08 VND, a low of 18.08 VND, and closed the hour at 18.08 VND with a trading volume of 100 shares."
2023-12-25 09:00:00,18.08,18.08,18.08,18.08,100,SNC,"At 2023-12-25 09:00:00, the stock SNC opened at 18.08 VND, reached a high of 18.08 VND, a low of 18.08 VND, and closed the hour at 18.08 VND with a trading volume of 100 shares."
2023-12-27 14:00:00,16.13,16.13,16.13,16.13,100,SNC,"At 2023-12-27 14:00:00, the stock SNC opened at 16.13 VND, reached a high of 16.13 VND, a low of 16.13 VND, and closed the hour at 16.13 VND with a trading volume of 100 shares."
2023-12-28 10:00:00,15.7,15.7,15.7,15.7,300,SNC,"At 2023-12-28 10:00:00, the stock SNC opened at 15.70 VND, reached a high of 15.70 VND, a low of 15.70 VND, and closed the hour at 15.70 VND with a trading volume of 300 shares."
2023-12-29 13:00:00,15.79,16.13,15.79,16.13,3500,SNC,"At 2023-12-29 13:00:00, the stock SNC opened at 15.79 VND, reached a high of 16.13 VND, a low of 15.79 VND, and closed the hour at 16.13 VND with a trading volume of 3,500 shares."
2024-01-04 09:00:00,15.28,15.28,15.28,15.28,4000,SNC,"At 2024-01-04 09:00:00, the stock SNC opened at 15.28 VND, reached a high of 15.28 VND, a low of 15.28 VND, and closed the hour at 15.28 VND with a trading volume of 4,000 shares."
