time,open,high,low,close,volume,ticker,llm_text
2026-01-13 14:00:00,49.9,49.9,49.9,49.9,100,TDW,"At 2026-01-13 14:00:00, the stock TDW opened at 49.90 VND, reached a high of 49.90 VND, a low of 49.90 VND, and closed the hour at 49.90 VND with a trading volume of 100 shares."
2026-01-14 13:00:00,48.0,49.9,46.5,49.9,2100,TDW,"At 2026-01-14 13:00:00, the stock TDW opened at 48.00 VND, reached a high of 49.90 VND, a low of 46.50 VND, and closed the hour at 49.90 VND with a trading volume of 2,100 shares."
2026-01-14 14:00:00,49.9,49.9,49.9,49.9,100,TDW,"At 2026-01-14 14:00:00, the stock TDW opened at 49.90 VND, reached a high of 49.90 VND, a low of 49.90 VND, and closed the hour at 49.90 VND with a trading volume of 100 shares."
2026-01-15 14:00:00,49.0,49.0,49.0,49.0,100,TDW,"At 2026-01-15 14:00:00, the stock TDW opened at 49.00 VND, reached a high of 49.00 VND, a low of 49.00 VND, and closed the hour at 49.00 VND with a trading volume of 100 shares."
2026-01-16 14:00:00,48.35,48.35,48.35,48.35,100,TDW,"At 2026-01-16 14:00:00, the stock TDW opened at 48.35 VND, reached a high of 48.35 VND, a low of 48.35 VND, and closed the hour at 48.35 VND with a trading volume of 100 shares."
2026-01-19 14:00:00,48.8,48.8,48.8,48.8,100,TDW,"At 2026-01-19 14:00:00, the stock TDW opened at 48.80 VND, reached a high of 48.80 VND, a low of 48.80 VND, and closed the hour at 48.80 VND with a trading volume of 100 shares."
2026-01-20 09:00:00,46.5,46.5,46.5,46.5,100,TDW,"At 2026-01-20 09:00:00, the stock TDW opened at 46.50 VND, reached a high of 46.50 VND, a low of 46.50 VND, and closed the hour at 46.50 VND with a trading volume of 100 shares."
2026-01-20 14:00:00,48.6,48.6,48.6,48.6,100,TDW,"At 2026-01-20 14:00:00, the stock TDW opened at 48.60 VND, reached a high of 48.60 VND, a low of 48.60 VND, and closed the hour at 48.60 VND with a trading volume of 100 shares."
2026-01-21 10:00:00,47.5,47.5,46.6,46.6,1800,TDW,"At 2026-01-21 10:00:00, the stock TDW opened at 47.50 VND, reached a high of 47.50 VND, a low of 46.60 VND, and closed the hour at 46.60 VND with a trading volume of 1,800 shares."
2026-01-21 14:00:00,48.7,48.7,48.7,48.7,100,TDW,"At 2026-01-21 14:00:00, the stock TDW opened at 48.70 VND, reached a high of 48.70 VND, a low of 48.70 VND, and closed the hour at 48.70 VND with a trading volume of 100 shares."
2026-01-22 09:00:00,47.0,47.0,47.0,47.0,3000,TDW,"At 2026-01-22 09:00:00, the stock TDW opened at 47.00 VND, reached a high of 47.00 VND, a low of 47.00 VND, and closed the hour at 47.00 VND with a trading volume of 3,000 shares."
2026-01-22 14:00:00,48.6,48.6,48.6,48.6,100,TDW,"At 2026-01-22 14:00:00, the stock TDW opened at 48.60 VND, reached a high of 48.60 VND, a low of 48.60 VND, and closed the hour at 48.60 VND with a trading volume of 100 shares."
2026-01-23 09:00:00,47.1,47.1,47.1,47.1,100,TDW,"At 2026-01-23 09:00:00, the stock TDW opened at 47.10 VND, reached a high of 47.10 VND, a low of 47.10 VND, and closed the hour at 47.10 VND with a trading volume of 100 shares."
2026-01-23 10:00:00,47.15,47.15,47.15,47.15,200,TDW,"At 2026-01-23 10:00:00, the stock TDW opened at 47.15 VND, reached a high of 47.15 VND, a low of 47.15 VND, and closed the hour at 47.15 VND with a trading volume of 200 shares."
2026-01-23 13:00:00,47.1,47.1,46.0,47.05,3700,TDW,"At 2026-01-23 13:00:00, the stock TDW opened at 47.10 VND, reached a high of 47.10 VND, a low of 46.00 VND, and closed the hour at 47.05 VND with a trading volume of 3,700 shares."
