time,open,high,low,close,volume,ticker,llm_text
2025-07-14 14:00:00,14.2,14.2,14.2,14.2,500,TLT,"At 2025-07-14 14:00:00, the stock TLT opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 500 shares."
2025-07-15 13:00:00,14.2,14.2,14.2,14.2,400,TLT,"At 2025-07-15 13:00:00, the stock TLT opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 400 shares."
2025-07-15 14:00:00,14.2,14.2,14.2,14.2,600,TLT,"At 2025-07-15 14:00:00, the stock TLT opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 600 shares."
2025-07-16 11:00:00,14.2,14.2,14.2,14.2,1000,TLT,"At 2025-07-16 11:00:00, the stock TLT opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 1,000 shares."
2025-07-16 13:00:00,14.2,14.2,13.9,14.2,400,TLT,"At 2025-07-16 13:00:00, the stock TLT opened at 14.20 VND, reached a high of 14.20 VND, a low of 13.90 VND, and closed the hour at 14.20 VND with a trading volume of 400 shares."
2025-07-18 13:00:00,14.2,14.2,14.2,14.2,500,TLT,"At 2025-07-18 13:00:00, the stock TLT opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 500 shares."
2025-07-22 09:00:00,14.0,14.4,14.0,14.4,600,TLT,"At 2025-07-22 09:00:00, the stock TLT opened at 14.00 VND, reached a high of 14.40 VND, a low of 14.00 VND, and closed the hour at 14.40 VND with a trading volume of 600 shares."
2025-07-24 10:00:00,14.0,14.0,14.0,14.0,10000,TLT,"At 2025-07-24 10:00:00, the stock TLT opened at 14.00 VND, reached a high of 14.00 VND, a low of 14.00 VND, and closed the hour at 14.00 VND with a trading volume of 10,000 shares."
2025-07-25 10:00:00,14.4,14.4,14.2,14.2,1400,TLT,"At 2025-07-25 10:00:00, the stock TLT opened at 14.40 VND, reached a high of 14.40 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 1,400 shares."
2025-07-25 14:00:00,14.2,14.2,14.2,14.2,100,TLT,"At 2025-07-25 14:00:00, the stock TLT opened at 14.20 VND, reached a high of 14.20 VND, a low of 14.20 VND, and closed the hour at 14.20 VND with a trading volume of 100 shares."
2025-07-28 10:00:00,14.3,14.3,14.3,14.3,100,TLT,"At 2025-07-28 10:00:00, the stock TLT opened at 14.30 VND, reached a high of 14.30 VND, a low of 14.30 VND, and closed the hour at 14.30 VND with a trading volume of 100 shares."
2025-07-28 13:00:00,14.3,14.3,14.3,14.3,300,TLT,"At 2025-07-28 13:00:00, the stock TLT opened at 14.30 VND, reached a high of 14.30 VND, a low of 14.30 VND, and closed the hour at 14.30 VND with a trading volume of 300 shares."
