time,open,high,low,close,volume,ticker,llm_text
2024-02-01 14:00:00,7.09,7.09,7.09,7.09,500,TVM,"At 2024-02-01 14:00:00, the stock TVM opened at 7.09 VND, reached a high of 7.09 VND, a low of 7.09 VND, and closed the hour at 7.09 VND with a trading volume of 500 shares."
2024-05-23 09:00:00,7.18,7.18,7.18,7.18,100,TVM,"At 2024-05-23 09:00:00, the stock TVM opened at 7.18 VND, reached a high of 7.18 VND, a low of 7.18 VND, and closed the hour at 7.18 VND with a trading volume of 100 shares."
2024-06-04 14:00:00,6.2,6.2,6.2,6.2,12800,TVM,"At 2024-06-04 14:00:00, the stock TVM opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 12,800 shares."
2024-06-14 10:00:00,7.06,7.06,7.06,7.06,100,TVM,"At 2024-06-14 10:00:00, the stock TVM opened at 7.06 VND, reached a high of 7.06 VND, a low of 7.06 VND, and closed the hour at 7.06 VND with a trading volume of 100 shares."
2024-06-17 09:00:00,8.11,8.11,8.11,8.11,100,TVM,"At 2024-06-17 09:00:00, the stock TVM opened at 8.11 VND, reached a high of 8.11 VND, a low of 8.11 VND, and closed the hour at 8.11 VND with a trading volume of 100 shares."
2024-06-17 13:00:00,8.11,8.11,8.11,8.11,2000,TVM,"At 2024-06-17 13:00:00, the stock TVM opened at 8.11 VND, reached a high of 8.11 VND, a low of 8.11 VND, and closed the hour at 8.11 VND with a trading volume of 2,000 shares."
2024-06-18 09:00:00,9.26,9.26,9.26,9.26,1700,TVM,"At 2024-06-18 09:00:00, the stock TVM opened at 9.26 VND, reached a high of 9.26 VND, a low of 9.26 VND, and closed the hour at 9.26 VND with a trading volume of 1,700 shares."
2024-06-19 13:00:00,9.54,9.54,9.54,9.54,5000,TVM,"At 2024-06-19 13:00:00, the stock TVM opened at 9.54 VND, reached a high of 9.54 VND, a low of 9.54 VND, and closed the hour at 9.54 VND with a trading volume of 5,000 shares."
2024-06-19 14:00:00,10.5,10.5,9.64,9.64,400,TVM,"At 2024-06-19 14:00:00, the stock TVM opened at 10.50 VND, reached a high of 10.50 VND, a low of 9.64 VND, and closed the hour at 9.64 VND with a trading volume of 400 shares."
2024-06-26 14:00:00,9.54,9.54,9.54,9.54,1100,TVM,"At 2024-06-26 14:00:00, the stock TVM opened at 9.54 VND, reached a high of 9.54 VND, a low of 9.54 VND, and closed the hour at 9.54 VND with a trading volume of 1,100 shares."
2024-10-07 13:00:00,9.54,9.54,9.54,9.54,6600,TVM,"At 2024-10-07 13:00:00, the stock TVM opened at 9.54 VND, reached a high of 9.54 VND, a low of 9.54 VND, and closed the hour at 9.54 VND with a trading volume of 6,600 shares."
2024-10-17 13:00:00,10.5,10.5,10.02,10.02,300,TVM,"At 2024-10-17 13:00:00, the stock TVM opened at 10.50 VND, reached a high of 10.50 VND, a low of 10.02 VND, and closed the hour at 10.02 VND with a trading volume of 300 shares."
2024-10-17 14:00:00,10.02,10.02,10.02,10.02,600,TVM,"At 2024-10-17 14:00:00, the stock TVM opened at 10.02 VND, reached a high of 10.02 VND, a low of 10.02 VND, and closed the hour at 10.02 VND with a trading volume of 600 shares."
2024-10-21 14:00:00,10.12,10.12,10.12,10.12,100,TVM,"At 2024-10-21 14:00:00, the stock TVM opened at 10.12 VND, reached a high of 10.12 VND, a low of 10.12 VND, and closed the hour at 10.12 VND with a trading volume of 100 shares."
2024-10-22 09:00:00,10.5,10.5,10.5,10.5,100,TVM,"At 2024-10-22 09:00:00, the stock TVM opened at 10.50 VND, reached a high of 10.50 VND, a low of 10.50 VND, and closed the hour at 10.50 VND with a trading volume of 100 shares."
2024-10-30 11:00:00,10.5,10.5,10.5,10.5,100,TVM,"At 2024-10-30 11:00:00, the stock TVM opened at 10.50 VND, reached a high of 10.50 VND, a low of 10.50 VND, and closed the hour at 10.50 VND with a trading volume of 100 shares."
2025-03-14 10:00:00,10.5,10.5,10.5,10.5,100,TVM,"At 2025-03-14 10:00:00, the stock TVM opened at 10.50 VND, reached a high of 10.50 VND, a low of 10.50 VND, and closed the hour at 10.50 VND with a trading volume of 100 shares."
2025-03-14 14:00:00,10.5,10.5,10.5,10.5,100,TVM,"At 2025-03-14 14:00:00, the stock TVM opened at 10.50 VND, reached a high of 10.50 VND, a low of 10.50 VND, and closed the hour at 10.50 VND with a trading volume of 100 shares."
2025-08-19 09:00:00,10.4,10.4,10.4,10.4,7700,TVM,"At 2025-08-19 09:00:00, the stock TVM opened at 10.40 VND, reached a high of 10.40 VND, a low of 10.40 VND, and closed the hour at 10.40 VND with a trading volume of 7,700 shares."
2025-12-31 11:00:00,10.4,10.4,10.4,10.4,4700,TVM,"At 2025-12-31 11:00:00, the stock TVM opened at 10.40 VND, reached a high of 10.40 VND, a low of 10.40 VND, and closed the hour at 10.40 VND with a trading volume of 4,700 shares."
