time,open,high,low,close,volume,ticker,llm_text
2025-07-24 14:00:00,42.0,42.0,42.0,42.0,4800,VCW,"At 2025-07-24 14:00:00, the stock VCW opened at 42.00 VND, reached a high of 42.00 VND, a low of 42.00 VND, and closed the hour at 42.00 VND with a trading volume of 4,800 shares."
2025-07-25 09:00:00,41.7,43.0,41.7,43.0,900,VCW,"At 2025-07-25 09:00:00, the stock VCW opened at 41.70 VND, reached a high of 43.00 VND, a low of 41.70 VND, and closed the hour at 43.00 VND with a trading volume of 900 shares."
2025-07-25 10:00:00,43.0,43.0,43.0,43.0,200,VCW,"At 2025-07-25 10:00:00, the stock VCW opened at 43.00 VND, reached a high of 43.00 VND, a low of 43.00 VND, and closed the hour at 43.00 VND with a trading volume of 200 shares."
2025-07-25 11:00:00,43.0,43.0,43.0,43.0,200,VCW,"At 2025-07-25 11:00:00, the stock VCW opened at 43.00 VND, reached a high of 43.00 VND, a low of 43.00 VND, and closed the hour at 43.00 VND with a trading volume of 200 shares."
2025-07-25 13:00:00,43.5,49.5,43.5,49.5,9300,VCW,"At 2025-07-25 13:00:00, the stock VCW opened at 43.50 VND, reached a high of 49.50 VND, a low of 43.50 VND, and closed the hour at 49.50 VND with a trading volume of 9,300 shares."
2025-07-25 14:00:00,49.4,49.4,49.4,49.4,100,VCW,"At 2025-07-25 14:00:00, the stock VCW opened at 49.40 VND, reached a high of 49.40 VND, a low of 49.40 VND, and closed the hour at 49.40 VND with a trading volume of 100 shares."
2025-07-28 09:00:00,49.4,49.4,48.0,48.0,700,VCW,"At 2025-07-28 09:00:00, the stock VCW opened at 49.40 VND, reached a high of 49.40 VND, a low of 48.00 VND, and closed the hour at 48.00 VND with a trading volume of 700 shares."
2025-07-28 10:00:00,46.1,46.1,46.0,46.0,3300,VCW,"At 2025-07-28 10:00:00, the stock VCW opened at 46.10 VND, reached a high of 46.10 VND, a low of 46.00 VND, and closed the hour at 46.00 VND with a trading volume of 3,300 shares."
2025-07-28 13:00:00,44.5,46.0,44.5,46.0,3200,VCW,"At 2025-07-28 13:00:00, the stock VCW opened at 44.50 VND, reached a high of 46.00 VND, a low of 44.50 VND, and closed the hour at 46.00 VND with a trading volume of 3,200 shares."
2025-07-29 14:00:00,45.1,45.1,45.0,45.0,600,VCW,"At 2025-07-29 14:00:00, the stock VCW opened at 45.10 VND, reached a high of 45.10 VND, a low of 45.00 VND, and closed the hour at 45.00 VND with a trading volume of 600 shares."
2025-07-30 09:00:00,45.1,45.1,45.1,45.1,200,VCW,"At 2025-07-30 09:00:00, the stock VCW opened at 45.10 VND, reached a high of 45.10 VND, a low of 45.10 VND, and closed the hour at 45.10 VND with a trading volume of 200 shares."
2025-07-30 13:00:00,45.2,45.2,45.1,45.1,300,VCW,"At 2025-07-30 13:00:00, the stock VCW opened at 45.20 VND, reached a high of 45.20 VND, a low of 45.10 VND, and closed the hour at 45.10 VND with a trading volume of 300 shares."
2025-07-30 14:00:00,45.1,45.1,45.1,45.1,100,VCW,"At 2025-07-30 14:00:00, the stock VCW opened at 45.10 VND, reached a high of 45.10 VND, a low of 45.10 VND, and closed the hour at 45.10 VND with a trading volume of 100 shares."
