time,open,high,low,close,volume,ticker,llm_text
2024-08-16 13:00:00,1.8,1.8,1.8,1.8,200,VSG,"At 2024-08-16 13:00:00, the stock VSG opened at 1.80 VND, reached a high of 1.80 VND, a low of 1.80 VND, and closed the hour at 1.80 VND with a trading volume of 200 shares."
2024-08-16 14:00:00,1.8,1.8,1.8,1.8,1800,VSG,"At 2024-08-16 14:00:00, the stock VSG opened at 1.80 VND, reached a high of 1.80 VND, a low of 1.80 VND, and closed the hour at 1.80 VND with a trading volume of 1,800 shares."
2024-08-30 13:00:00,1.8,1.8,1.8,1.8,100,VSG,"At 2024-08-30 13:00:00, the stock VSG opened at 1.80 VND, reached a high of 1.80 VND, a low of 1.80 VND, and closed the hour at 1.80 VND with a trading volume of 100 shares."
2024-09-13 14:00:00,2.0,2.0,2.0,2.0,100,VSG,"At 2024-09-13 14:00:00, the stock VSG opened at 2.00 VND, reached a high of 2.00 VND, a low of 2.00 VND, and closed the hour at 2.00 VND with a trading volume of 100 shares."
2024-10-04 09:00:00,2.3,2.3,2.3,2.3,100,VSG,"At 2024-10-04 09:00:00, the stock VSG opened at 2.30 VND, reached a high of 2.30 VND, a low of 2.30 VND, and closed the hour at 2.30 VND with a trading volume of 100 shares."
2024-10-04 13:00:00,2.2,2.2,2.2,2.2,200,VSG,"At 2024-10-04 13:00:00, the stock VSG opened at 2.20 VND, reached a high of 2.20 VND, a low of 2.20 VND, and closed the hour at 2.20 VND with a trading volume of 200 shares."
2024-10-04 14:00:00,2.2,2.2,2.2,2.2,1200,VSG,"At 2024-10-04 14:00:00, the stock VSG opened at 2.20 VND, reached a high of 2.20 VND, a low of 2.20 VND, and closed the hour at 2.20 VND with a trading volume of 1,200 shares."
2024-10-11 10:00:00,1.9,1.9,1.9,1.9,5000,VSG,"At 2024-10-11 10:00:00, the stock VSG opened at 1.90 VND, reached a high of 1.90 VND, a low of 1.90 VND, and closed the hour at 1.90 VND with a trading volume of 5,000 shares."
2024-10-11 11:00:00,1.9,1.9,1.9,1.9,500,VSG,"At 2024-10-11 11:00:00, the stock VSG opened at 1.90 VND, reached a high of 1.90 VND, a low of 1.90 VND, and closed the hour at 1.90 VND with a trading volume of 500 shares."
2024-10-18 09:00:00,1.9,1.9,1.9,1.9,200,VSG,"At 2024-10-18 09:00:00, the stock VSG opened at 1.90 VND, reached a high of 1.90 VND, a low of 1.90 VND, and closed the hour at 1.90 VND with a trading volume of 200 shares."
2024-10-18 10:00:00,2.1,2.1,2.1,2.1,200,VSG,"At 2024-10-18 10:00:00, the stock VSG opened at 2.10 VND, reached a high of 2.10 VND, a low of 2.10 VND, and closed the hour at 2.10 VND with a trading volume of 200 shares."
2024-10-18 14:00:00,2.1,2.1,2.1,2.1,200,VSG,"At 2024-10-18 14:00:00, the stock VSG opened at 2.10 VND, reached a high of 2.10 VND, a low of 2.10 VND, and closed the hour at 2.10 VND with a trading volume of 200 shares."
2024-10-25 09:00:00,2.0,2.0,2.0,2.0,100,VSG,"At 2024-10-25 09:00:00, the stock VSG opened at 2.00 VND, reached a high of 2.00 VND, a low of 2.00 VND, and closed the hour at 2.00 VND with a trading volume of 100 shares."
2024-11-01 09:00:00,2.2,2.2,2.2,2.2,1000,VSG,"At 2024-11-01 09:00:00, the stock VSG opened at 2.20 VND, reached a high of 2.20 VND, a low of 2.20 VND, and closed the hour at 2.20 VND with a trading volume of 1,000 shares."
2024-11-01 10:00:00,2.2,2.2,2.2,2.2,900,VSG,"At 2024-11-01 10:00:00, the stock VSG opened at 2.20 VND, reached a high of 2.20 VND, a low of 2.20 VND, and closed the hour at 2.20 VND with a trading volume of 900 shares."
2024-11-01 11:00:00,2.2,2.2,2.2,2.2,900,VSG,"At 2024-11-01 11:00:00, the stock VSG opened at 2.20 VND, reached a high of 2.20 VND, a low of 2.20 VND, and closed the hour at 2.20 VND with a trading volume of 900 shares."
2024-11-29 10:00:00,2.2,2.2,2.2,2.2,700,VSG,"At 2024-11-29 10:00:00, the stock VSG opened at 2.20 VND, reached a high of 2.20 VND, a low of 2.20 VND, and closed the hour at 2.20 VND with a trading volume of 700 shares."
2024-12-06 14:00:00,1.9,1.9,1.9,1.9,100,VSG,"At 2024-12-06 14:00:00, the stock VSG opened at 1.90 VND, reached a high of 1.90 VND, a low of 1.90 VND, and closed the hour at 1.90 VND with a trading volume of 100 shares."
2024-12-20 10:00:00,2.0,2.1,2.0,2.1,1200,VSG,"At 2024-12-20 10:00:00, the stock VSG opened at 2.00 VND, reached a high of 2.10 VND, a low of 2.00 VND, and closed the hour at 2.10 VND with a trading volume of 1,200 shares."
2024-12-20 14:00:00,1.9,1.9,1.9,1.9,8200,VSG,"At 2024-12-20 14:00:00, the stock VSG opened at 1.90 VND, reached a high of 1.90 VND, a low of 1.90 VND, and closed the hour at 1.90 VND with a trading volume of 8,200 shares."
2024-12-27 14:00:00,1.8,1.8,1.8,1.8,600,VSG,"At 2024-12-27 14:00:00, the stock VSG opened at 1.80 VND, reached a high of 1.80 VND, a low of 1.80 VND, and closed the hour at 1.80 VND with a trading volume of 600 shares."
2025-01-03 13:00:00,1.8,1.8,1.8,1.8,2100,VSG,"At 2025-01-03 13:00:00, the stock VSG opened at 1.80 VND, reached a high of 1.80 VND, a low of 1.80 VND, and closed the hour at 1.80 VND with a trading volume of 2,100 shares."
2025-01-17 10:00:00,2.0,2.0,2.0,2.0,600,VSG,"At 2025-01-17 10:00:00, the stock VSG opened at 2.00 VND, reached a high of 2.00 VND, a low of 2.00 VND, and closed the hour at 2.00 VND with a trading volume of 600 shares."
2025-02-07 13:00:00,2.0,2.0,1.9,1.9,400,VSG,"At 2025-02-07 13:00:00, the stock VSG opened at 2.00 VND, reached a high of 2.00 VND, a low of 1.90 VND, and closed the hour at 1.90 VND with a trading volume of 400 shares."
2025-02-14 10:00:00,2.0,2.1,2.0,2.1,200,VSG,"At 2025-02-14 10:00:00, the stock VSG opened at 2.00 VND, reached a high of 2.10 VND, a low of 2.00 VND, and closed the hour at 2.10 VND with a trading volume of 200 shares."
2025-02-14 14:00:00,2.1,2.1,2.1,2.1,1000,VSG,"At 2025-02-14 14:00:00, the stock VSG opened at 2.10 VND, reached a high of 2.10 VND, a low of 2.10 VND, and closed the hour at 2.10 VND with a trading volume of 1,000 shares."
2025-02-21 13:00:00,2.1,2.1,2.1,2.1,100,VSG,"At 2025-02-21 13:00:00, the stock VSG opened at 2.10 VND, reached a high of 2.10 VND, a low of 2.10 VND, and closed the hour at 2.10 VND with a trading volume of 100 shares."
2025-02-28 10:00:00,2.0,2.0,2.0,2.0,1400,VSG,"At 2025-02-28 10:00:00, the stock VSG opened at 2.00 VND, reached a high of 2.00 VND, a low of 2.00 VND, and closed the hour at 2.00 VND with a trading volume of 1,400 shares."
2025-03-14 09:00:00,2.1,2.1,2.1,2.1,200,VSG,"At 2025-03-14 09:00:00, the stock VSG opened at 2.10 VND, reached a high of 2.10 VND, a low of 2.10 VND, and closed the hour at 2.10 VND with a trading volume of 200 shares."
2025-03-14 14:00:00,1.8,1.8,1.8,1.8,400,VSG,"At 2025-03-14 14:00:00, the stock VSG opened at 1.80 VND, reached a high of 1.80 VND, a low of 1.80 VND, and closed the hour at 1.80 VND with a trading volume of 400 shares."
2025-03-21 13:00:00,2.0,2.0,2.0,2.0,100,VSG,"At 2025-03-21 13:00:00, the stock VSG opened at 2.00 VND, reached a high of 2.00 VND, a low of 2.00 VND, and closed the hour at 2.00 VND with a trading volume of 100 shares."
