time,open,high,low,close,volume,ticker,llm_text
2026-02-03 13:00:00,6.4,6.4,6.2,6.2,3100,WSS,"At 2026-02-03 13:00:00, the stock WSS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 3,100 shares."
2026-02-03 14:00:00,6.4,6.4,6.4,6.4,100,WSS,"At 2026-02-03 14:00:00, the stock WSS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.40 VND, and closed the hour at 6.40 VND with a trading volume of 100 shares."
2026-02-04 09:00:00,6.4,6.4,6.4,6.4,8100,WSS,"At 2026-02-04 09:00:00, the stock WSS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.40 VND, and closed the hour at 6.40 VND with a trading volume of 8,100 shares."
2026-02-04 10:00:00,6.4,6.4,6.4,6.4,600,WSS,"At 2026-02-04 10:00:00, the stock WSS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.40 VND, and closed the hour at 6.40 VND with a trading volume of 600 shares."
2026-02-04 13:00:00,6.4,6.4,6.4,6.4,400,WSS,"At 2026-02-04 13:00:00, the stock WSS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.40 VND, and closed the hour at 6.40 VND with a trading volume of 400 shares."
2026-02-04 14:00:00,6.3,6.4,6.3,6.4,4200,WSS,"At 2026-02-04 14:00:00, the stock WSS opened at 6.30 VND, reached a high of 6.40 VND, a low of 6.30 VND, and closed the hour at 6.40 VND with a trading volume of 4,200 shares."
2026-02-05 09:00:00,6.3,6.3,6.3,6.3,1500,WSS,"At 2026-02-05 09:00:00, the stock WSS opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.30 VND, and closed the hour at 6.30 VND with a trading volume of 1,500 shares."
2026-02-05 10:00:00,6.4,6.4,6.4,6.4,500,WSS,"At 2026-02-05 10:00:00, the stock WSS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.40 VND, and closed the hour at 6.40 VND with a trading volume of 500 shares."
2026-02-05 13:00:00,6.3,6.3,6.3,6.3,100,WSS,"At 2026-02-05 13:00:00, the stock WSS opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.30 VND, and closed the hour at 6.30 VND with a trading volume of 100 shares."
2026-02-05 14:00:00,6.4,6.4,6.4,6.4,100,WSS,"At 2026-02-05 14:00:00, the stock WSS opened at 6.40 VND, reached a high of 6.40 VND, a low of 6.40 VND, and closed the hour at 6.40 VND with a trading volume of 100 shares."
2026-02-06 09:00:00,6.3,6.4,6.3,6.4,1400,WSS,"At 2026-02-06 09:00:00, the stock WSS opened at 6.30 VND, reached a high of 6.40 VND, a low of 6.30 VND, and closed the hour at 6.40 VND with a trading volume of 1,400 shares."
2026-02-06 10:00:00,6.3,6.3,6.3,6.3,2100,WSS,"At 2026-02-06 10:00:00, the stock WSS opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.30 VND, and closed the hour at 6.30 VND with a trading volume of 2,100 shares."
2026-02-06 13:00:00,6.3,6.3,6.2,6.2,1400,WSS,"At 2026-02-06 13:00:00, the stock WSS opened at 6.30 VND, reached a high of 6.30 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 1,400 shares."
2026-02-06 14:00:00,6.2,6.2,6.2,6.2,4400,WSS,"At 2026-02-06 14:00:00, the stock WSS opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 4,400 shares."
2026-02-09 10:00:00,6.2,6.2,6.2,6.2,2800,WSS,"At 2026-02-09 10:00:00, the stock WSS opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 2,800 shares."
2026-02-09 11:00:00,6.2,6.2,6.2,6.2,500,WSS,"At 2026-02-09 11:00:00, the stock WSS opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 500 shares."
2026-02-09 14:00:00,6.2,6.2,6.2,6.2,1200,WSS,"At 2026-02-09 14:00:00, the stock WSS opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 1,200 shares."
2026-02-10 09:00:00,6.2,6.2,6.2,6.2,500,WSS,"At 2026-02-10 09:00:00, the stock WSS opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 500 shares."
2026-02-10 13:00:00,6.2,6.3,6.2,6.2,3400,WSS,"At 2026-02-10 13:00:00, the stock WSS opened at 6.20 VND, reached a high of 6.30 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 3,400 shares."
2026-02-10 14:00:00,6.2,6.2,6.2,6.2,200,WSS,"At 2026-02-10 14:00:00, the stock WSS opened at 6.20 VND, reached a high of 6.20 VND, a low of 6.20 VND, and closed the hour at 6.20 VND with a trading volume of 200 shares."
