scope,step_size,ticker,horizon,competitor_model,stacking_mae_minus_model,stacking_rmse_minus_model,stacking_directional_accuracy_minus_model,stacking_better_mae,stacking_better_rmse,stacking_better_directional_accuracy
overall_horizon,1,OVERALL,long_3m,cart,-0.026424825893076376,-0.024785800022193327,-0.2668038408779149,True,True,False
overall_horizon,1,OVERALL,long_6m,cart,-0.02126520876439486,-0.02435438093100939,-0.11296296296296304,True,True,False
overall_horizon,1,OVERALL,short_10d,cart,-0.023060333901841673,-0.02732433879517432,-0.09065315315315314,True,True,False
overall_horizon,1,OVERALL,short_20d,cart,-0.02065101202045956,-0.025217393653868367,-0.08916083916083911,True,True,False
overall_horizon,1,OVERALL,short_30d,cart,-0.026572428994460842,-0.039578292332409004,-0.15398550724637683,True,True,False
overall_horizon,1,OVERALL,short_5d,cart,-0.01662986953965124,-0.01889380965266063,-0.07807308970099663,True,True,False
ticker,1,ACB,long_3m,cart,0.008508549277517569,-0.017477719356995408,-0.37448559670781895,False,True,False
ticker,1,ACB,long_6m,cart,0.024072356891710833,0.016137841671686026,-0.14444444444444443,False,False,False
ticker,1,ACB,short_10d,cart,-0.02950195476378213,-0.03138758603834898,0.047297297297297314,True,True,True
ticker,1,ACB,short_20d,cart,-0.007281125140406006,-0.012079608881805662,-0.1713286713286713,True,True,False
ticker,1,ACB,short_30d,cart,-0.021928193652941727,-0.04309320260942327,-0.15579710144927533,True,True,False
ticker,1,ACB,short_5d,cart,-0.025467592245181418,-0.02690151158551212,-0.0897009966777409,True,True,False
ticker,1,DGC,long_3m,cart,-0.09077740513005461,-0.07718603301927085,-0.5514403292181069,True,True,False
ticker,1,DGC,long_6m,cart,0.0583996209330781,0.04133940514430673,-0.27777777777777773,False,False,False
ticker,1,DGC,short_10d,cart,-0.0651587825873787,-0.06369335366906835,-0.15878378378378383,True,True,False
ticker,1,DGC,short_20d,cart,-0.04214464418135361,-0.03353075986887427,0.027972027972027913,True,True,True
ticker,1,DGC,short_30d,cart,-0.007087389643989334,-0.014685430369172137,-0.3079710144927536,True,True,False
ticker,1,DGC,short_5d,cart,-0.0372772719592827,-0.033959008622876236,-0.08305647840531555,True,True,False
ticker,1,FPT,long_3m,cart,0.006240725497285382,-0.0071941408272140905,-0.10699588477366251,False,True,False
ticker,1,FPT,long_6m,cart,0.03167800408595886,0.05175478253423452,-0.23888888888888893,False,False,False
ticker,1,FPT,short_10d,cart,-0.012607234653012903,-0.01324984039920192,-0.11486486486486486,True,True,False
ticker,1,FPT,short_20d,cart,-0.009898537199117069,-0.022328851530349275,-0.24825174825174823,True,True,False
ticker,1,FPT,short_30d,cart,-0.005204615973209772,-0.02295841262712811,-0.21739130434782616,True,True,False
ticker,1,FPT,short_5d,cart,-0.029619352212172975,-0.03155044846944634,-0.08305647840531566,True,True,False
ticker,1,MSN,long_3m,cart,0.024499993666132563,0.030954309055085838,-0.48559670781893005,False,False,False
ticker,1,MSN,long_6m,cart,-0.06158637857085053,-0.05706998422984627,-0.005555555555555647,True,True,False
ticker,1,MSN,short_10d,cart,0.00219052390018451,0.0004215340709869675,-0.12162162162162166,False,False,False
ticker,1,MSN,short_20d,cart,0.00345445530108425,0.003775552048871214,-0.1748251748251748,False,False,False
ticker,1,MSN,short_30d,cart,0.008314377236458836,0.010079966253019962,-0.10144927536231885,False,False,False
ticker,1,MSN,short_5d,cart,0.0015465899083832585,0.000764645875279725,-0.07641196013289037,False,False,False
ticker,1,MWG,long_3m,cart,-0.19054738483504843,-0.1621609340196033,0.37448559670781895,True,True,True
ticker,1,MWG,long_6m,cart,-0.1130579013875398,-0.08386405988898427,0.2444444444444444,True,True,True
ticker,1,MWG,short_10d,cart,-0.023610903188840383,-0.034426851204726355,-0.030405405405405428,True,True,False
ticker,1,MWG,short_20d,cart,-0.04545970459198018,-0.05538758723090137,0.0839160839160839,True,True,True
ticker,1,MWG,short_30d,cart,-0.10370326362834642,-0.12225168346015379,0.03623188405797101,True,True,True
ticker,1,MWG,short_5d,cart,-0.004032864009171341,-0.006740166044332842,-0.013289036544850474,True,True,False
ticker,1,SSI,long_3m,cart,0.08352656616570941,0.12078701946818532,-0.45679012345679015,False,False,False
ticker,1,SSI,long_6m,cart,-0.06709695453872644,-0.033883878919255817,-0.25555555555555554,True,True,False
ticker,1,SSI,short_10d,cart,-0.009673652118220355,-0.01368487949167356,-0.16554054054054057,True,True,False
ticker,1,SSI,short_20d,cart,-0.02257651631098488,-0.023576481722835857,-0.05244755244755245,True,True,False
ticker,1,SSI,short_30d,cart,-0.029825488304736664,-0.03512032832430312,-0.17753623188405798,True,True,False
ticker,1,SSI,short_5d,cart,-0.004928726720482182,-0.007248343523522896,-0.12292358803986714,True,True,False
