frequency,model,horizon,baseline,model_accuracy,baseline_accuracy,accuracy_delta,model_n_obs,baseline_n_obs,model_better_than_baseline
hourly,random_forest,1,always_up,0.5611353711790393,0.4480349344978166,0.1131004366812227,4580,4580,True
hourly,stacking,1,always_up,0.5524017467248908,0.4480349344978166,0.1043668122270742,4580,4580,True
hourly,xgboost,1,always_up,0.5456331877729258,0.4480349344978166,0.0975982532751091,4580,4580,True
hourly,lightgbm,1,always_up,0.5438864628820961,0.4480349344978166,0.0958515283842794,4580,4580,True
hourly,random_forest,1,previous_direction,0.5611353711790393,0.4912663755458515,0.0698689956331878,4580,4580,True
hourly,random_forest,1,moving_average_signal,0.5611353711790393,0.498471615720524,0.0626637554585153,4580,4580,True
hourly,random_forest,1,random_seeded_direction,0.5611353711790393,0.498471615720524,0.0626637554585153,4580,4580,True
hourly,stacking,1,previous_direction,0.5524017467248908,0.4912663755458515,0.0611353711790393,4580,4580,True
hourly,xgboost,8,moving_average_signal,0.5244927239188358,0.4685386349661816,0.0559540889526542,4879,4879,True
hourly,xgboost,1,previous_direction,0.5456331877729258,0.4912663755458515,0.0543668122270742,4580,4580,True
hourly,stacking,1,moving_average_signal,0.5524017467248908,0.498471615720524,0.0539301310043668,4580,4580,True
hourly,stacking,1,random_seeded_direction,0.5524017467248908,0.498471615720524,0.0539301310043668,4580,4580,True
hourly,lightgbm,1,previous_direction,0.5438864628820961,0.4912663755458515,0.0526200873362445,4580,4580,True
hourly,xgboost,4,moving_average_signal,0.5259819967266776,0.4787234042553192,0.0472585924713583,4888,4888,True
hourly,xgboost,1,random_seeded_direction,0.5456331877729258,0.498471615720524,0.0471615720524017,4580,4580,True
hourly,xgboost,1,moving_average_signal,0.5456331877729258,0.498471615720524,0.0471615720524017,4580,4580,True
hourly,random_forest,8,moving_average_signal,0.5140397622463619,0.4685386349661816,0.0455011272801803,4879,4879,True
hourly,lightgbm,1,moving_average_signal,0.5438864628820961,0.498471615720524,0.045414847161572,4580,4580,True
hourly,lightgbm,1,random_seeded_direction,0.5438864628820961,0.498471615720524,0.045414847161572,4580,4580,True
hourly,lightgbm,4,moving_average_signal,0.5237315875613748,0.4787234042553192,0.0450081833060556,4888,4888,True
