seed,seed_dir,command,status,return_code,started_at,completed_at,duration_seconds,was_complete_before_run,required_files_present,error_message
1,artifacts\quant_core_repeated_seed_1000_smoke\seed_000001,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 1 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000001 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
2,artifacts\quant_core_repeated_seed_1000_smoke\seed_000002,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 2 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000002 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
3,artifacts\quant_core_repeated_seed_1000_smoke\seed_000003,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 3 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000003 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
4,artifacts\quant_core_repeated_seed_1000_smoke\seed_000004,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 4 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000004 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
5,artifacts\quant_core_repeated_seed_1000_smoke\seed_000005,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 5 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000005 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
6,artifacts\quant_core_repeated_seed_1000_smoke\seed_000006,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 6 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000006 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
7,artifacts\quant_core_repeated_seed_1000_smoke\seed_000007,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 7 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000007 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
8,artifacts\quant_core_repeated_seed_1000_smoke\seed_000008,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 8 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000008 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
9,artifacts\quant_core_repeated_seed_1000_smoke\seed_000009,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 9 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000009 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
10,artifacts\quant_core_repeated_seed_1000_smoke\seed_000010,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 10 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000010 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
11,artifacts\quant_core_repeated_seed_1000_smoke\seed_000011,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 11 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000011 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
12,artifacts\quant_core_repeated_seed_1000_smoke\seed_000012,C:\Users\luong\.venv\Scripts\python.exe scripts\run_quant_core.py --seed 12 --output-dir artifacts\quant_core_repeated_seed_1000_smoke\seed_000012 --preset smoke --run-mode research_core --max-workers 1,skipped_complete,,,,0.0,True,True,
